"第一章 只有手段，没有目的","CHAPTER I    All Means and No End"
"说到想象力，我指的是假想自己处于并非实际境地的能力，比如说，设想自己处在另一个人的位置上。这是命运的讽刺幽默之一：想象力，对于不理智的头脑异常危险，而对于理智的头脑非常可贵，但它往往为前者而并非后者所有。而且这一品质在盎格鲁—撒克逊种族中极为罕见，他们既害怕它又以它为耻。","By imagination I mean the power to conceive oneself in a situation which one is not actually in; for instance, in another person’s place. It is among the sardonic humours of destiny that imagination, while positively dangerous in an ill-balanced mind and of the highest valuein a well-balanced mind, is to be found rather in the former than in the latter. And anyhow, the quality is rare in Anglo-Saxon races, which are indeed both afraid and ashamed of it."
"但是如果平凡人——头脑理智的盎格鲁—撒克逊男性，能够拥有它，那么我们该生活在一个多么不平凡的世界里啊！世界上最重要的事情就会发生变化。世界上最重要的事情，归根结底还是婚姻生活，而想象力这一品质主要的实际用途就是改善婚姻生活。但在英格兰或美国（或者其他地方）有谁会把这两者联系起来呢？平凡人认为只有诗人和小说家才用得上想象力。傻瓜！是的，尽管我对平凡人甚为尊重，还是要用最常用的词语来骂他，傻瓜！想象力对他本人极为重要，毫无疑问这是上天创造出来给平凡人主要用在平凡而辛苦的日常婚姻生活中的。如果他愿意运用想像力，好日子就会到来，尽管会有点慢。","And yet could the plain, the well-balanced Anglo-Saxon male acquire it, what a grand world we should live in! The most important thing in the world would be transformed. The most important thing in the world is, ultimately, married life, and the chief practical use of the quality of imagination is to ameliorate married life. But who in England or America (or elsewhere) thinks of it in that connection? The plain man considers that imagination is all very well for poets and novelists. Blockhead! Yes, despite my high esteem for him, I will apply to him the Johnsonian term of abuse. Blockhead! Imagination is super-eminently for himself, and was beyond doubt invented by Providence in order that the plain man might chiefly exercise it in the plain, drudging dailiness of married life. The day cometh, if tardily, when he will do so."
"二","2.0"
"这些念头是我在仔细思量认识的一位欧米克隆先生的近况时浮现在脑海中的，是研究他这个有趣案例的初步成果。不到一周前，欧米克隆先生和太太两人坐在家里的客厅里，这是欧米克隆家一个普通的夜晚。欧米克隆三十二岁，既说不上成功，也不算不成功，即使再敏锐的人也不好说二十年后他会成功还是失败。但人人都看得出来，他已经开始变为一个头脑理智的平凡人。他正在失去那些反复无常的特质，安心地成为国家呆板的骨干力量，比通常情况稍早一些。","These reflections have surged up in my brain as I contemplate the recent case of my acquaintance, Mr. Omicron, and they are preliminary to a study of that interesting case. Scarce a week ago Omicron was sitting in the Omicron drawing-room alone with Mrs. Omicron. It was an average Omicron evening. Omicron is aged thirty-two. He is neither successful nor unsuccessful, and no human perspicacity can say whether twenty years hence he will be successful or unsuccessful. But anybody can see that he is already on the way to be a plain, well-balanced man. Somewhat earlier than usual he is losing the fanciful capricious qualities and settling down into the stiff backbone of the nation."
"两人交谈不多。","Conversation was not abundant."
"欧米克隆太太突然用逢迎、讨好的语气说：","Said Mrs. Omicron suddenly, with an ingratiating accent:"
"“我要的那枚戒指怎么办呢？”","“What about that ring that I was to have?”"
"欧米克隆沉默了片刻，在这片刻中，这个男人身上的每块肌肉，特别是脸部肌肉，还有精神上的每条隐秘纤维，都明显绷紧了。然后欧米克隆先生带着反驳、责难、急躁的语气，简短且生硬地用这样一句话结束了交谈：","There was a pause, in which every muscle of the man’s body, and especially the facial muscles, and every secret fibre of his soul, perceptibly stiffened. And then Omicron answered, curtly, rebuttingly, reprovingly, snappishly, finishingly:"
"“我不知道。”","“I don’t know.”"
"然后他拿起了报纸，报纸犹如一面簌簌作响的脆弱墙壁，又像是一堵十二英寸厚的钢板，把每一点可能落到他身上的指责都挡了回去。","And took up his newspaper, whose fragile crackling wall defended him from attack every bit as well as a screen of twelve-inch armour-plating. "
"这个话题就此打住了。","The subject was dropped."
"谈话只持续了十秒钟，但这十秒钟标记了欧米克隆先生作为丈夫的一个时代，可他并不知道。他不知道自己婚姻生活的前景在这十秒钟里还是平衡的，然后就稍微有点倾斜了，当然是朝错误的方向倾斜。","It had endured about ten seconds. But those ten seconds marked an epoch in Omicron’s career as a husband—and he knew it not. He knew it not, but the whole of his conjugal future had hung evenly in the balance during those ten seconds, and then slid slightly but definitely—to the wrong side."
"当然了，事情并不是表面看上去那么简单。晚餐时，看上去很鲜美的羊腿，切开后才发现明显半生不熟。这真是太丢人了，一等的羊腿就这样因为糟糕的厨艺浪费了；要是条三等的羊腿，那罪孽还可能小一些。而且就在四天前，另一道好菜也同样因为厨艺不精，或因为漫不经心，或随便列出的什么理由，做得不适合给男人们吃。这还不是全部。咖啡煮得很稀，口味很淡，索然无味。而女人们在面对最后这个恶魔般的罪恶行为时辩解说，最后一刻才发现厨房里咖啡不够了。这完全正常！但正是这种寻常事件造就了牺牲品，而欧米克隆已经因此成了牺牲品。他，如果没有其他人的话，完全认识到那个晚上自己就是个牺牲品。而女人居然挑选了这个晚上来提出关于戒指这类俗气又无用的饰品问题！他没说什么。但他已经能代表广大丈夫的立场，在欧米克隆太太身上他看到了广大妻子的形象。","Of course, there was more in the affair than appeared on the surface. At dinner the otherwise excellent leg of mutton had proved on cutting to be most noticeably underdone. Now, it is a monstrous shame that first-class mutton should be wasted through inefficient cookery; with third-class mutton the crime might have been deemed less awful. Moreover, four days previously another excellent dish had been rendered unfit for masculine consumption by precisely the same inefficiency or gross negligence, or whatever one likes to call it. Nor was that all. The coffee had been thin, feeble, uninteresting. The feminine excuse for this last diabolic iniquity had been that the kitchen at the last moment had discovered itself to be short of coffee. An entirely commonplace episode! Yes, but it is out of commonplace episodes that martyrs are made, and Omicron had been made a martyr. He, if none else, was fully aware that evening that he was a martyr. And the woman had selected just that evening to raise the question of rings, gauds, futile ornamentations! He had said little. But he had stood for the universal husband, and in Mrs. Omicron he saw the universal wife."
"三","3.0"
"他心里是这样想的：","His reflections ran somewhat thus:"
"“保证家里有足够的咖啡绝对是件简单的事儿！小女孩都能做到！而她们居然可以让咖啡不够！我的要求一点都不过分。我对家庭生活没什么特殊要求。但我的确喜欢好咖啡，结果居然喝不到！太奇怪了！说到羊腿，别人会以为厨房里没有钟表呢，还以为这里以前没有人做过羊腿呢。她们这一生里煮过多少只羊腿了？几十只，上百只，我敢说有上千只呢。结果她们还是不明白某种大小的羊腿需要一定的时间才能做熟，如果烤得晚了，只会有两种结果——要么就是做不熟，要么就是晚餐推迟！太简单了！完全合乎逻辑！家里的四个女人（三个女仆和坏心眼且粗心大意的欧米克隆太太），居然能因为疏忽大意就把羊腿给浪费了！以前并不是没有发生过这种事！我也不是没有提出过！但女人就是半吊子。所有的女人都一样。家也给管得半吊子了。她（欧米克隆太太，这个罪魁祸首）在这个世界上除了持家什么都不需要做——可看看她干成什么样了！没有条理！没有方法！她学过科学持家没有啊？根本没有！她在乎吗？不在乎！如果她真的有点责任感，要是她稍微意识到自己的缺点，她根本不会开口问戒指的问题。但结果呢！她只想着花钱，打扮自己。我希望她得去自己挣点钱，能学点东西。她会知道生活不止是月亮宝石和汽车。戒指，真是的！她的没眼色惹恼了我。我是个受虐待的丈夫，所有丈夫都受到了不公正对待。整个体系都需要改变。不过，我必须精神饱满地来对付。我会精神饱满地来应付的。戒指，真是的！没眼色！”","“Surely a simple matter to keep enough coffee in the house! A schoolgirl could do it! And yet they let themselves run short of coffee! I ask for nothing out of the way. I make no inordinate demands on the household. But I do like good coffee. And I can’t have it! Strange! As for that mutton—one would think there was no clock in the kitchen. One would think that nobody had ever cooked a leg of mutton before. How many legs of mutton have they cooked between them in their lives? Scores; hundreds; I daresay thousands. And yet it hasn’t yet dawned on them that a leg of mutton of a certain weight requires a certain time for cooking, and that if it is putdown late one of two things must occur—either it will be undercooked or the dinner will be late! Simple enough! Logical enough! Four women in the house (three servants and the wicked, negligent Mrs. Omicron), and yet must needs waste a leg of mutton through nothing but gross carelessness! It isn’t as if it hadn’t happened before! It isn’t as if I hadn’t pointed it out! But women are amateurs. All women are alike. All housekeeping is amateurish. She (Mrs. Omicron, the criminal) has nothing in this world to do but run the house—and see how she runs it! No order! No method! Has she ever studied housekeeping scientifically? Not she! Does she care? Not she! If she had any real sense of responsibility, if she had the slightest glimmering of her own shortcomings, she wouldn’t have started on the ring question. But there you are! She only thinks of spending, and titivating herself. I wish she had to do a little earning. She’d find out a thing or two then. She’d find out that life isn’t all moonstones and motorcars. Ring, indeed! It’s the lack of tact that annoys me. I am an ill-used man. All husbands are ill-used men. The whole system wants altering. However, I must keep my end up. And I will keep my end up. Ring, indeed! No tact!”"
"他的怒气在心里暗暗地累积，而且他很享受这个积累怒气的过程。他的想法里有夸张的地方，第二天他会承认那些话可能说得太过绝对，但他会坚持那些话本质上是对的。他没有真的对欧米克隆太太怒不可遏；事实上也没有真的把她跟造假者和醉酒的司机归为一类；说真的，这家伙在以自己的方式爱着她。但他的确给了妻子一个成熟的评价。他把怨气用棉絮裹好放在抽屉里，恶作剧般地不时拿出来品味一番。他的确在积累那种毒液，千分之九百九十九个婚姻的社会健康受这种毒液影响——不管这些婚姻有多愉快。他巩固了这种有害的思维习惯。一开始是一点，后来是双倍的，最后他终于破坏了婚姻的幸福——因为一定不要忘记，在给自己创造不快的同时，他也给妻子带来了不快。他最终强化了两性之间普遍存在的互不理解。","He fostered a secret fury. And he enjoyed fostering it. There was exaggeration in these thoughts, which, he would admit next day, were possibly too sweeping in their scope. But he would maintain the essential truth of them. He was not really and effectively furious against Mrs. Omicron; he did not, as a fact, class her with forgers and drunken chauffeurs; indeed, the fellow loved her in his fashion. But he did pass a mature judgment against her. He did wrap up his grudge in cotton-wool and put it in a drawer and examine it with perverse pleasure now and then. He did increase that secretion of poison which weakens the social health of nine hundred and ninety-nine in a thousand married lives—however delightful they may be. He did render more permanent a noxious habit of mind. He did appreciably and doubly and finally impair the conjugal happiness—for it must not be forgotten that in creating a grievance for himself he also gave his wife a grievance. He did, in fine, contribute to the general mass of misunderstanding between sex and sex."
"如果欧米克隆先生正在读这本书，他一定在读，那么他会站起来大叫：","If he is reading this, as he assuredly is, Mr. Omicron will up and exclaim:"
"“带给我妻子不快！荒谬！事实是无可争议的。她能有什么不快？”","“My wife a grievance! Absurd! The facts are incontrovertible. What grievance can she have?”"
"欧米克隆先生正在日趋向平凡人转化，他的不幸在于没有在该用上想象力的地方运用想象力。","The grievance that Mr. Omicron, becoming every day more and more the plain man, is not exercising imagination in the very field where it is most needed."
"什么是家庭，欧米克隆先生？你回答说家庭就是家庭。你一直都有家庭，自己就出生于一个家庭，如果运气不错临终时也会有一个。你从未把家庭看做是家庭之外的什么东西，你脑子里的主要想法就是家庭断然不是公司，也不是工厂。但假设你不用眼睛——就是说用你的想象力——试着去看一下家庭呢？它不但是一个家庭，还是一家公司、一个工厂，因为它给一定的人群提供光、热、清洁、安逸和食物。假设你可以这么想，家庭的确是一个和公司、工厂相似的组织呢？——而且它是一个极端复杂和精巧的组织，有很多不同的部门，在极端困难的情况下运转。这就是真相。如果你能有一次这样的想象，就再也不会用那种轻蔑的语气说：“欧米克隆太太在这个世界上除了持家什么都不需要做。”因为欧米克隆太太也可以聪明地说：“欧米克隆先生在这个世界上除了经营公司之外什么都不需要做。”","What is a home, Mr. Omicron? You reply that a home is a home. You have always had a home. You were born in one. With luck you will die in one. And you have never regarded a home as anything but a home. Your leading idea has ever been that a home is emphatically not an office nor a manufactory. But suppose you were to unscale your eyes—that is to say, use your imagination—try to see that a home, in addition to being a home, is an office and manufactory for the supply of light, warmth, cleanliness, ease, and food to a given number of people? Suppose you were to allow it to occur to you that a home emphatically is an organization similar to an office and manufactory—and an extremely complicated and delicate one, with many diverse departments, functioning under extremely difficult conditions? For thus it in truth is. Could you once accomplish this feat of imaginative faculty, you would never again say, with that disdainful accent of yours: “Mrs. Omicron has nothing in the world to do but run the house.” For really it would be just as clever for her to say: “Mr. Omicron has nothing in the world to do but run the office.”"
"我从心底承认欧米克隆太太不是完人。她当然理应是个完人，不过啊，她辜负了这个理想。但在一些细节上她能够，也的确，给她丈夫这位天使长指明道路。当她的公司和工厂出错时，你，欧米克隆先生，自然而然地要生气，感到高人一等。你居高临下地琢磨，家里有四个女人这样那样。但当你回家后抱怨你男子汉的事业有点问题，抱怨一个经济阶段会到来，她有没有对你嗤之以鼻地说：“今晚别提咖啡的事儿了。我真是好奇，你单位有十四个（或一百四十个）成年男子，却不能保证足够而规律的收益？”没有，她做得很好，表示理解。而你，欧米克隆先生，如果她没有表示理解，你一定会非常吃惊和难过。用用你的想象力，就会明白这些对比多么有趣。","I admit heartily that Mrs. Omicron is not perfect. She ought to be, of course; but she, alas! falls short of the ideal. Yet in some details she can and does show the way to that archangel, her husband. When her office and manufactory goes wrong, you, Mr. Omicron, are righteously indignant and superior. You majestically wonder that with four women in the house, etc., etc. But when you come home and complain that things are askew in your masculine establishment, and that a period of economy must set in, does she say to you with scorn: “Don’t dare to mention coffee tonight. I really wonder that with fourteen (or a hundred and forty) grown men in your establishment you cannot produce an ample and regular income?” No; she makes the best of it. She is sympathetic. And you, Mr. Omicron, would be excessively startled and wounded if she were not sympathetic. Put your imagination to work and you will see how interesting are these comparisons."
"四","4.0"
"你说她在自己的领域里是个半吊子，也许吧。但是谁让她成了半吊子呢？你难道不是对保持古老的传统很满意吗？经常沉思的你，当你对着睡在婴儿床里的小女儿沉思时，你想的是教给她科学的持家之道，还是让她学习音乐、外语和优雅仪态而变得有魅力？你心里是愿意看见她在肉铺精明地挑牛肉，还是在客厅里熠熠生辉让你开心呢？","She is an amateur at her business, you say. Well, perhaps she is. But who brought her up to be an amateur? Are you not content to carry on the ancient tradition? As you meditate, and you often do meditate, upon that infant daughter of yours now sleeping in her cot, do you dream of giving her a scientific education in housekeeping, or do you dream of endowing her with the charms that music and foreign languages and physical grace can offer? Do you in your mind’s eye see her cannily choosing beef at the butcher’s, or shining for your pleasure in the drawing-room?"
"而且，欧米克隆太太也许不像你想的那样是个半吊子。人们总是熟能生巧。人性中难道有什么理由决定了像家庭这样复杂的机器一定比公司或工厂发生的事故少吗？再运用一下你的想象力，把你办公室里发生的多种多样的小灾难转嫁到家里。诚实一些，承认所谓普通办公室的高效率只是个传说吧。在办公室里发生的错误、疏忽或遗忘在得到弥补后就被丢在脑后了。欧米克隆太太——我亲爱的欧米克隆先生——从未听到过一点。但在欧米克隆太太的办公室，事情可不是这样的，被唤醒的想象力会告诉你。欧米克隆太太的客厅女仆没有掸去大厅桌子上的一点灰尘。欧米克隆先生走了进来，他像上帝一样的眼光立刻落在有灰的地方，马上就讽刺地大叫起来：“哈！家里有四个女人，却不能保证客厅桌子的整洁！”","And then Mrs. Omicron is, perhaps, not so much of an amateur as you assume. People learn by practice. Is there any reason in human nature why a complex machine such as a house may be worked with fewer breakdowns than an office or manufactory? Harness your imagination once more and transfer to your house the multitudinous minor catastrophes that happen in your office. Be sincere, and admit that the efficiency of the average office is naught but a pretty legend. A mistake or negligence or forgetfulness in an office is remedied and forgotten. Mrs. Omicron—my dear Mr. Omicron—never hears of it. Not so with Mrs. Omicron’s office, as your aroused imagination will tell you. Mrs. Omicron’s parlourmaid’s duster fails to make contact with one small portion of the hall-table. Mr.Omicron walks in, and his godlike glance drops instantly on the dusty place, and Mr. Omicron ejaculates sardonically: “H’m! Four women in the house, and they can’t even keep the hall-table respectable!”"
"欧米克隆先生把一封信忘在了未回信件篓子的底部，一星期后一封激动的电报从海外发了过来，然后需要回一封电报。没什么真正的损失。两镑的电报就解决了问题。而欧米克隆太太，一心念着前面提到的欧米克隆小姐脖子后面的疹子，从镇上回来时忘记订羊肉了。那天下午，她一意识到自己可怕的错误就马上奔向了电话。肉铺老板让她不用担心，保证说她要的羊腿会送来。但你看到那个和同伴在街角玩耍的伙计了吗？他带着那条羊腿，也把握着欧米克隆太太的声誉和幸福，尽管他自己并不知道也不在意。他迟到了。欧米克隆先生你自己就说过，如果羊腿烤得晚了，只会有两种结果——要不就是做不熟，要不就是推迟晚餐。","Mr. Omicron forgets a letter at the bottom of his unanswered-letter basket, and a week later an excited cable arrives from overseas, and that cable demands another cable. No real harm has been done. Two pounds spent on cables have cured the ill. Mrs. Omicron, preoccupied with a rash on the back of the neck of Miss Omicron before-mentioned, actually comes back from town without having ordered the mutton. In the afternoon she realizes her horrid sin and rushes to the telephone. The butcher reassures her. He swears the desired leg shall arrive. But do you see that boy dallying at the street corner with his mate? He carries the leg of mutton, and he carries also, though he knows it not nor cares, the reputation and happiness of Mrs. Omicron. He is late. As you yourself remarked, Mr. Omicron, if a leg of mutton is put down late to roast, one of two things must occur—either it will be undercooked or the dinner will be late."
"现在如果持家也像办公一样简单，欧米克隆太太面对意外事故会平静地笑着对自己说：“没关系，我会付滞纳金的——这样我还能有四十分钟的时间。”欧米克隆先生，当你因花三小时吃午饭而推迟口授信件时，就会这么说。只是欧米克隆太太的世界里没有滞纳金。如果欧米克隆太太在你回家时扔给你两便士，告诉你晚餐会晚四十分钟，这是她交的钱，那么，欧米克隆先生，你会怎么想呢？","Now, if housekeeping was as simple as office-keeping, Mrs. Omicron would smile in tranquillity at the contretemps, and say to herself: “Never mind, I shall pay the late-posting fee—that will give me an extra forty minutes.” You say that, Mr. Omicron, about your letters, when you happen to have taken three hours for lunch and your dictation of correspondence is thereby postponed. Only there is no late-posting fee in Mrs. Omicron’s world. If Mrs. Omicron flung two pence at you when you came home, and informed you that dinner would be forty minutes late and that she was paying the fee, what, Mr. Omicron, would be your state of mind?"
"现在你的想象力已经很敏锐了，欧米克隆先生，它将带着你进一步看看欧米克隆太太在管理她的公司或工厂时遇到的更可怕的困难。她的员工没受过教育，甚至比你的员工的受教育程度更低。而且她员工的心态一般都有某种特别奇怪之处。比如说，她的员工绝对不会走过来对她说：“太太，咖啡只够两天的量了。”不！她的员工只会平静地等四十八小时，然后在晚上七点过来说：“太太，咖啡不够了。”还有更糟的！欧米克隆先生，你可以严厉地对一名职员说：“听着，如果再发生这样的事儿，我就把你扔到街上去。”你和他都知道，有一百个职员在等着取代他的位置。可另一方面，有一百个主妇在等着雇佣欧米克隆太太的厨子。欧米克隆太太只能尽力而为，她必须柔声细语地强调规矩，因为家仆供不应求。还有更糟糕的呢。最糟糕的，也是欧米克隆太太所要承受的最不利的条件就是，她的大部分错误、疏忽和罪行都会直接影响一个男人的胃，而这个男人是个饥饿的男人。","And your imagination, now very alert, will carry you even farther than this, Mr. Omicron, and disclose to you still more fearful difficulties which Mrs. Omicron has to face in the management of her office or manufactory. Her staff is uneducated, less educated even than yours. And her staff is universally characterized by certain peculiarities of mentality. For example, her staff will never, never, never, come and say to her: “Please, ma’am, there is only enough coffee left for two days.” No! Her staff will placidly wait forty-eight hours, and then come at 7 p.m. and say: “Please, ma’am, there isn’t enough coffee” And worse! You, Mr. Omicron, can say roundly to a clerk: “Look here, if this occurs again I shall fling you into the street.” You are aware, and he is aware, that a hundred clerks are waiting to take his place. On the other hand, a hundred mistresses are waiting to take the place of Mrs. Omicron with regard to her cook. Mrs. Omicron has to do as best she can. She has to speak softly and to temper discipline, because the supply of domestic servants is unequal to the demand. And there is still worse. The worst of all, the supreme disadvantage under which Mrs. Omicron suffers, is that most of her errors, lapses, crimes, directly affect a man in the stomach, and the man is a hungry man."
"现在你完全活跃的想象力，欧米克隆先生，向你展示了你妻子俗世的命运并不是你以为的那样，只坐在天鹅绒沙发里，而且你过一万年也不会和她互换位置。对她作为凡人的有限能力，你的态度改善了，两性之间一大堆的误解也趋于缓和了。","Mr. Omicron, your imagination, now feverishly active, will thus demonstrate to you that your wife’s earthly lot is not the velvet couch that you had unimaginatively assumed it to be, and that, indeed, you would not change places with her for a hundred thousand a year. Your attitude towards her human limitations will be modified, and the general mass of misunderstanding between sex and sex will tend to diminish."
"（如果你的态度仍还没有改善，那就让想象力多停留一下。想想你知道的数目众多的服务差且价钱昂贵的旅馆——管理这些旅馆的不是半吊子的女人，而是专业的男人。还有你自己俱乐部的食品部门那顽固不化的混乱管理——那可是你一直都在向内务委员会的成员抱怨的。）","(And if even yet your attitude is not modified, let your imagination dwell for a few instants on the extraordinary number of bad and expensive hotels with which you are acquainted—managed, not by amateurish women, but by professional men. And on the obstinate mismanagement of the commissariat of your own club—of which you are continually complaining to members of the house-committee.)"
"五","5.0"
"在羊腿没做熟和咖啡不够这样可怕的失败后，欧米克隆太太还是不合时宜地问丈夫戒指的事儿，让欧米克隆先生有了一些想法。我现在要讨论这些想法中的另一方面了。“她只想着花钱，”欧米克隆先生愤恨地想。这想法毫无疑问有点道理，但如果欧米克隆先生好好用脑子想想，就会发现还有另一层意思。假设你不用眼睛，欧米克隆先生——就是说用你的想象力——设法去想一想金钱问题，你妻子人生中主要的、固有的任务就是花钱。想想如果有天早上她这么说你会怎么想：“亨利，我对花钱感到厌恶了，我要出去挣钱。”难道你不会提到“女人的领域”这个经典说法吗？简单说来，会有一场口角和吵闹。","I pass to another aspect of Mr. Omicron’s private reflections consequent upon Mrs. Omicron’s dreadful failure of tact in asking him about the ring after the mutton had proved to be underdone and the coffee to be inadequate. “She only thinks of spending,” reflected Mr. Omicron, resentfully. A more or less true reflection, no doubt, but there would have been a different colour to it if Mr. Omicron had exercised the greatest of his faculties. Suppose you were to unscale your eyes, Mr. Omicron—that is to say, use your imagination—and try to see that so far as finance is concerned your wife’s chief and proper occupation in life is to spend. Conceive what you would say if she announced one morning: “Henry, I am sick of spending. I am going out into the world to earn.” Can you not hear yourself employing a classic phrase about “the woman’s sphere”? In brief, there would occur an altercation and a shindy."
"想象力一旦开动，就会告诉你婚姻生活分为两大部门——挣钱部门和花钱部门。华兹华斯说过：在得到与花费间，我们耗尽了毕生精力。这是最让人满意的耗费精力的办法。这两个部门互不可缺，还互相平衡。是你将这两个部门组织起来，并安排自己和妻子各自成为一个部门的负责人。你当然也可以不这么组织安排。大可以按照霍屯督人的方式来决定让妻子去挣钱，你来负责花钱。但由于某种神秘的原因你不喜欢这种安排，所以你还是每天去上班，并把钱带回家。决定你每天行动的原理牢牢地建立在事物的本质上。这个原理是放诸四海而皆准的基本原理：钱挣来就是要花的——不管早花还是晚花。甚至守财奴也要遵从这个原理，因为他攒钱的唯一理由就是将来有一天，会比现在更需要花钱。","Your imagination, once set in motion, will show you that your conjugal existence is divided into two great departments—the getting and the spending departments. Wordsworth1 chanted that in getting and spending we lay waste our powers. We could not lay waste our powers in a more satisfying manner. The two departments, mutually indispensable, balance each other. You organized them. You made yourself the head of one and your wife the head of the other. You might, of course, have organized them otherwise. It was open to you in the Hottentot style to decree that your wife should do the earning while you did the spending. But for some mysterious reason this arrangement did not appeal to you, and you accordingly go forth daily to the office and return there from with money. The theory of your daily excursion is firmly based in the inherent nature of things. The theory is the fundamental cosmic one that money is made in order that money may be spent—either at once or later. Even the miser conforms to this theory, for he only saves in obedience to the argument that the need of spending in the future may be more imperious than is the need of spending at the moment."
"你自己的全部个人行为都仅仅是在为欧米克隆太太的行为做准备。没有她的行为，你的行为会显得荒唐、可笑、无用和极端愚蠢。有她的花销，你的劳动才完整而有价值；她的花钱行为让你的人生圆满。你娶她就是为了让她花钱。你需要有个人来花钱，而大家都认为应该由她来填补这一位置。她被养大就是为了花钱，而你也知道她被养大就是为了花钱。花钱是她的职业。结果你背地里还抱怨，“她只想着花钱。”","The whole of your own personal activity is a mere preliminary to the activity of Mrs. Omicron. Without hers, yours would be absurd, ridiculous, futile, supremely silly. By spending she completes and justifies your labour; she crowns your life by spending. You married her so that she might spend. You wanted some one to spend, and it was understood that she should fill the situation. She was brought up to spend, and you knew that she was brought up to spend. Spending is her vocation. And yet you turn round on her and complain, “She only thinks of spending.”"
"“没错，”你说，“但总要有个节制。”我承认的确要有节制。英语里的“奢侈”一词不是个没用的词，它描述了一种确实存在的品质。必须承认这个自明之理，欧米克隆太太是个凡人。就好像挣钱的倾向会在你身上凸显，直到你成为一个贪婪又小气的爱财之人，花钱的倾向也会在她身上凸显。这是有先例的。必须偶尔遏制一下。这点没有异议！但是，欧米克隆先生，你要挑一个时间，选一种语气来做这件事，而不是在我所描述的这个晚上。把钻戒和不熟的羊腿、口味很淡的咖啡混在一起的男人都非常愚蠢。","“Yes,” you say, “but there is such a thing as moderation.” There is; I admit it. The word “extravagance” is no idle word in the English language. It describes a quality which exists. Let it be an axiom that Mrs. Omicron is human. Just as the tendency to get may grow on you, until you become a rapacious and stingy money-grubber, so the tendency to spend may grow on her. One has known instances. A check-action must be occasionally employed. Agreed! But, Mr. Omicron, you should choose a time and a tone for employing it other than you chose on this evening that I have described. A man who mixes up jewelled rings with underdone mutton and feeble coffee is a clumsy man."
"发挥你的想象力，把自己放在欧米克隆太太的位置上，就能体会她一直处于需要张口要钱这种极为微妙又尴尬的困难处境，或者她至少需要暗示说要给她钱。张口要钱是她的权力，甚至是她的义务，但这些愚蠢而没有逻辑的生物——大多数女人都是这样的，即使那些丈夫慷慨有礼的女人也一样——觉得这个行为有些屈辱。欧米克隆先生，你也许从没有张口要过钱。但你的想象力大概能让你感受到要钱是个什么滋味。一位无法挣钱却以花钱为任务的女士，有时在要钱时会遭到拒绝。但她永远都不应该遭到一种待遇——那就是怠慢。","Exercise your imagination to put yourself in the place of Mrs. Omicron, and you will perceive that she is constantly in the highly delicate difficulty of having to ask for money, or at any rate of having to suggest or insinuate that money should be given to her. It is her right and even her duty to ask for money, but the foolish, illogical creature—like most women, even those with generous and polite husbands—regards the process as a little humiliating for herself. You, Mr. Omicron, have perhaps never asked for money. But your imagination will probably be able to make you feel how it feels to ask for money. A woman whose business in life it is to spend money which she does not and cannot earn may sometimes have to face a refusal when she asks for money. But there is one thing from which she ought to be absolutely and eternally safe—and that is a snub."
"六","6.0"
"最后，作为一生都要和一位没有眼色的女人绑在一起的遭到虐待的丈夫，欧米克隆先生在思绪里进一步宣称欧米克隆太太只想着花钱和打扮自己。指责她只想着花钱不能完全发泄他的怒气，必须加上“打扮自己”。他当然会承认，她有时也的确会想些其他事情，但一般都像平凡人所抱怨的那样。不过，了不起的欧米克隆！你需要像一位明智的平凡人那样直面现实，运用你的想象力，好看清你的抱怨根本就没有根据。","And finally, in his reflections as an ill-used man tied for life to a woman who knows not tact, Mr. Omicron asserted further that Mrs. Omicron only thought of spending and titivating herself. To assert that she only thought of spending did not satisfy his spleen; he must add “titivating herself.” He would admit, of course, that she did as a fact sometimes think of other matters, but still he would uphold the gravamen of his charge. And yet—excellent Omicron!—you have but to look the truth in the face—as a plain common-sense man will—and to use your imagination, in order to perceive that there really is no gravamen in the charge."
