"第一章 王子和贫儿的诞生","Chapter I  The Birth of the Prince and the Pauper"
"鞭子抽打下去，亨登没有喊叫，而是以士兵的坚韧承受着重重的鞭打。他的坚韧，连同他代替这男孩挨鞭打的事情，甚至让聚在那里的冷漠和卑鄙的人群油然生起敬意。嘲笑和蔑视的喊叫消失了，一片肃静，只剩下鞭子落下的声音。当亨登发现自己又戴上足枷上时，这里一片肃静，与刚刚那一片喧闹的侮辱声形成强烈的对比。国王轻轻地走到亨登旁边，在他耳边低声说：","Hendon made no outcry under the scourge, but bore the heavy blows with soldierly fortitude.This, together with his redeeming the boy by taking his stripes for him, compelled the respect of even that forlorn and degraded mob that was gathered there; and its gibes and hootings died away, and no sound remained but the sound of the falling blows.The stillness that pervaded the place, when Hendon found himself once more in the stocks, was in strong contrast with the insulting clamour which had prevailed there so little a while before.The King came softly to Hendon’s side, and whispered in his ear—"
"“国王不能够赐予你荣誉，好心人，伟大的灵魂，因为比国王伟大的上帝已经赐予你荣誉。但是，国王可以向人们彰显你的高尚。”他从地上捡起鞭子，轻轻地放在亨登流血的肩膀上，轻声说，“英国国王爱德华封您为伯爵！”","“Kings cannot ennoble thee, thou good, great soul, for One who is higher than kings hath done that for thee; but a king can confirm thy nobility to men.”He picked up the scourge from the ground, touched Hendon’s bleeding shoulders lightly with it, and whispered, “Edward of England dubs thee Earl!”"
"亨登十分感动。他眼睛里涌满了泪水，但此情此景让人害怕，又让人觉得幽默，完全瓦解了他的严肃，他只能努力不让内心的欢乐表露出来。光着膀子，浑身血迹的他突然被从一般的足枷提升到阿尔卑斯山高地和伯爵的荣耀，这在他看来是最荒诞不经的事情了。他心想：“现在我被镀了金银，真的！梦幻和影子王国里的幽灵骑士变成了幽灵伯爵，这是稚嫩翅膀的一次眩晕的飞翔！再这么下去，我不久将像五月柱一样，带着极大的荣耀和虚幻的荣誉被绞死。尽管那都是些华而不实的东西，但是我将珍惜它们，因为它们代表着爱。我这些可怜的虚拟的荣誉，不是乞求来的，是由干净的手和正直的心灵所赐予的，比那些卑躬屈膝地从不情不愿、怀有私心的权势那里买来的真正的荣誉更好。","Hendon was touched.The water welled to his eyes, yet at the same time the grisly humour of the situation and circumstances so undermined his gravity that it was all he could do to keep some sign of his inward mirth from showing outside.To be suddenly hoisted, naked and gory, from the common stocks to the Alpine altitude and splendour of an Earldom, seemed to him the last possibility in the line of the grotesque.He said to himself, “Now am I finely tinselled, indeed!The spectre-knight of the Kingdom of Dreams and Shadows is become a spectre-earl—a dizzy flight for a callow wing!An’ this go on, I shall presently be hung like a very maypole with fantastic gauds and make-believe honours.But I shall value them, all valueless as they are, for the love that doth bestow them.Better these poor mock dignities of mine, that come unasked, from a clean hand and a right spirit, than real ones bought by servility from grudging and interested power.”"
"令人畏惧的休先生调转马头。他扬鞭起步的时候，人墙默默地分成两路，让他通过，又同样默默地合拢在一起。人们就保持着这样。没有人敢替囚犯说句好话，或说句表示敬意的话。不过没关系，停止辱骂本身就是足够的敬意了。一个刚来的人不了解现在的情形，对“冒名顶替者”发出了嘲笑声，然后还猛烈地攻击，人们二话不说立即将他打倒，把他踢了出去，接着人群又恢复了寂静。","The dreaded Sir Hugh wheeled his horse about, and as he spurred away, the living wall divided silently to let him pass, and as silently closed together again.And so remained; nobody went so far as to venture a remark in favour of the prisoner, or in compliment to him; but no matter—the absence of abuse was a sufficient homage in itself.A late comer who was not posted as to the present circumstances, and who delivered a sneer at the ‘impostor,’ and was in the act of following it with a dead cat, was promptly knocked down and kicked out, without any words, and then the deep quiet resumed sway once more."
"第二十九章 前往伦敦","Chapter XXIX  To London"
"亨登的足枷刑结束后，他被释放了，并被下令离开这个地方，不得再回来。他的剑，还有他的骡子和毛驴都还给了他。他骑上走了，身后跟着国王。人群带着默默的敬意，让开路给他们通过，他们走后，人群就散了。","When Hendon’s term of service in the stocks was finished, he was released and ordered to quit the region and come back no more.His sword was restored to him, and also his mule and his donkey.He mounted and rode off, followed by the King, the crowd opening with quiet respectfulness to let them pass, and then dispersing when they were gone."
"亨登很快陷入了沉思。有一些重要的事情需要回答。他应该怎么办？他应该到哪里去？他必须从某处找到强有力的帮助，否则他必须得放弃他的遗产，还得背着冒名顶替者的罪名。哪里才有希望找到这种强有力的帮助呢？哪里呢，真是的！这真是个棘手的问题。渐渐地，他想到了一种可能性。当然，这是渺茫得不能再渺茫的可能性，可是还是值得考虑，因为除此之外没有其他任何可行的办法。他记起来，老安德鲁斯曾说过有关年轻的国王的仁慈，还有他对被冤枉的人和不幸之人宽容的保护。为什么不试着和他谈谈、祈求正义呢？啊，是的，但是这么一个爱幻想的贫儿能获准面见威严的君主吗？没关系，就顺其自然吧，船到桥头自然直。他是个老军人，习惯了设计手段和应急办法，他肯定能够找到路子。是的，他要朝着首都出发。也许父亲的老朋友汉弗莱·马洛先生可以帮助他。这位好心的老汉弗莱先生是已去世的国王的厨房、或者马棚、或者什么的长官——迈尔斯记不清到底是什么或是哪一个了。既然他有了消耗精力的事情，有了清晰的亟待达成的目标，原先笼罩着他的精神的羞辱和抑郁的雾升起散去了，于是他抬起头，看了看周围。他很惊讶地发现自己已经走了这么远，村子已被他远远地抛在了身后。国王低着头，慢悠悠地跟在他后面，因为他也在思索着计划对策。一片悲伤疑虑的云团遮盖了刚才的兴奋：在这个男孩短短的生命里，城市给他的只有虐待和贫困，那么他还愿意再去那里吗？但是必须问一下他，这是不可避免的。于是，亨登勒住缰绳停下来，大声说：","Hendon was soon absorbed in thought.There were questions of high import to be answered.What should he do?Whither should he go?Powerful help must be found somewhere, or he must relinquish his inheritance and remain under the imputation of being an impostor besides.Where could he hope to find this powerful help?Where, indeed!It was a knotty question.By-and-by a thought occurred to him which pointed to a possibility—the slenderest of slender possibilities, certainly, but still worth considering, for lack of any other that promised anything at all.He remembered what old Andrews had said about the young King’s goodness and his generous championship of the wronged and unfortunate.Why not go and try to get speech of him and beg for justice?Ah, yes, but could so fantastic a pauper get admission to the august presence of a monarch?Never mind—let that matter take care of itself; it was a bridge that would not need to be crossed till he should come to it.He was an old campaigner, and used to inventing shifts and expedients: no doubt he would be able to find a way.Yes, he would strike for the capital.Maybe his father’s old friend Sir Humphrey Marlow would help him—’good old Sir Humphrey, Head Lieutenant of the late King’s kitchen, or stables, or something’—Miles could not remember just what or which.Now that he had something to turn his energies to, a distinctly defined object to accomplish, the fog of humiliation and depression which had settled down upon his spirits lifted and blew away, and he raised his head and looked about him.He was surprised to see how far he had come; the village was away behind him.The King was jogging along in his wake, with his head bowed; for he, too, was deep in plans and thinkings.A sorrowful misgiving clouded Hendon’s new-born cheerfulness: would the boy be willing to go again to a city where, during all his brief life, he had never known anything but ill-usage and pinching want?But the question must be asked; it could not be avoided; so Hendon reined up, and called out—"
"“我忘了问，我们去哪里。听从您的命令，我的君主！”","“I had forgotten to inquire whither we are bound.Thy commands, my liege!”"
"“去往伦敦！”","“To London!”"
"亨登又接着往前走——他对这个回答非常满意，却也很是惊讶。","Hendon moved on again, mightily contented with the answer—but astounded at it too."
"整个旅途中没有发生什么惊险的大事。但最后却发生了一件事。二月十九日晚上十点左右，他们踏上了伦敦桥，陷入了翻滚挣扎的拥挤人群中。人们大叫着、欢呼着，人们的脸因喝了啤酒而变得兴高采烈，映着许多火炬的光，显得格外引人注目。就在这时，某个前公爵或者贵族的腐朽的头像摔落在人群中，打在了亨登的肘上，然后在混乱而匆忙的脚步中跳跃着消失了。人们在这个世界上的劳动成果是如此地容易消散和消逝！上任国王不过才去世三周，入葬才三天，他那辛辛苦苦地从知名人士那里为他高贵的桥挑选的装饰品就已经开始摔落了。一个市民被那颗头绊倒了，然后自己的头又撞到了前面的人的背上，于是这人转身打倒了身边紧挨着的一个人，然后自己又立刻被那个人的朋友给打倒了。此刻，混战的时机成熟了，因为明天的欢庆——加冕典礼——已经拉开了帷幕。每个人都酩酊大醉，且充满了爱国思想。五分钟后，这场混战占据了很大的场地；十或十二分钟后，它扩展到了差不多一英亩地，演变成了骚乱。这个时候，亨登和国王彻底走散了，迷失在了呼喊的人们的涌动和骚乱中。我们暂且不说他们。","The whole journey was made without an adventure of importance.But it ended with one.About ten o’clock on the night of the 19th of February they stepped upon London Bridge, in the midst of a writhing, struggling jam of howling and hurrahing people, whose beer-jolly faces stood out strongly in the glare from manifold torches—and at that instant the decaying head of some former duke or other grandee tumbled down between them, striking Hendon on the elbow and then bounding off among the hurrying confusion of feet.So evanescent and unstable are men’s works in this world! —the late good King is but three weeks dead and three days in his grave, and already the adornments which he took such pains to select from prominent people for his noble bridge are falling.A citizen stumbled over that head, and drove his own head into the back of somebody in front of him, who turned and knocked down the first person that came handy, and was promptly laid out himself by that person’s friend.It was the right ripe time for a free fight, for the festivities of the morrow—Coronation Day—were already beginning; everybody was full of strong drink and patriotism; within five minutes the free fight was occupying a good deal of ground; within ten or twelve it covered an acre of so, and was become a riot.By this time Hendon and the King were hopelessly separated from each other and lost in the rush and turmoil of the roaring masses of humanity.And so we leave them."
"第三十章 汤姆的进步","Chapter XXX  Tom’s Progress"
"当真正的国王在国土上到处游荡，破衣烂衫，粗茶淡饭，一会儿戴着手铐被流浪汉嘲笑，一会儿又与小偷和杀人犯关在一起，所有人无一例外地都叫他傻瓜和冒名者时，假国王汤姆·坎蒂却在享受着一种十分不同的经历。","Whilst the true King wandered about the land poorly clad, poorly fed, cuffed and derided by tramps one while, herding with thieves and murderers in a jail another, and called idiot and impostor by all impartially, the mock King Tom Canty enjoyed quite a different experience."
"我们上次说到他的时候，皇室地位在他看来才刚刚有了光明的一面。这光明的一面一日日越发地光鲜亮丽，在很短的时间里，它变得几乎全是阳光和愉悦。他不再害怕。他的担忧褪去，消逝，尴尬也不见了，他变得风度翩翩，从容自信。他也越来越懂得利用鞭童了。","When we saw him last, royalty was just beginning to have a bright side for him.This bright side went on brightening more and more every day: in a very little while it was become almost all sunshine and delightfulness.He lost his fears; his misgivings faded out and died; his embarrassments departed, and gave place to an easy and confident bearing.He worked the whipping-boy mine to ever-increasing profit."
"他想玩或是想说话时，就召来他的伊丽莎白公主和简·格雷郡主，结束后就让她们退去，他的样子就像是一个熟悉了这些事情的人。他也不再为这些高贵的人们在离开时亲吻他的手而烦恼。","He ordered my Lady Elizabeth and my Lady Jane Grey into his presence when he wanted to play or talk, and dismissed them when he was done with them, with the air of one familiarly accustomed to such performances.It no longer confused him to have these lofty personages kiss his hand at parting."
"他开始喜欢晚上被正式地带去睡觉，喜欢早上复杂而庄严的穿衣仪式。在他看来，出席有许多光鲜亮丽的国家官员和武士参加的晚宴开始成了令他自豪的乐事。实际上，他还将侍卫的数量翻了一番，增加到了一百人。他喜欢听军号在长廊中响起，还有随后远远传来的声音：“为国王让路！”","He came to enjoy being conducted to bed in state at night, and dressed with intricate and solemn ceremony in the morning.It came to be a proud pleasure to march to dinner attended by a glittering procession of officers of state and gentlemen-at-arms; insomuch, indeed, that he doubled his guard of gentlemen-at-arms, and made them a hundred.He liked to hear the bugles sounding down the long corridors, and the distant voices responding, “Way for the King!”"
"他甚至学会享受坐在国会的王位上，看起来似乎不仅仅是摄政大臣的传声筒。他喜欢接见重要的大使，看到他们华丽的长袍，听他们从称他为兄弟的杰出君王那里带来的亲切问候。啊，高兴的汤姆·坎蒂，他前不久还在垃圾大院里！","He even learned to enjoy sitting in throned state in council, and seeming to be something more than the Lord Protector’s mouthpiece.He liked to receive great ambassadors and their gorgeous trains, and listen to the affectionate messages they brought from illustrious monarchs who called him brother.O happy Tom Canty, late of Offal Court!"
"他喜爱他华丽的衣服，并定制了更多。他觉得四百名仆人对于他这样高贵的人来说太少了，便把他们增加为原来的三倍。问安的朝臣们的奉承成了他悦耳的音乐。他依旧善良温和，是所有受压迫的人们坚决拥护的人。他孜孜不倦地向不公正的法律挑战，不过有时被触怒的时候，他会迁怒于一个伯爵，甚至是是一个公爵，然后给他以眼色，让他战栗。　有一次，严肃可怕的皇姐玛丽公主与他理论，认为他赦免那么多本该坐牢、绞死，或是烧死的人不是明智的行为，并提醒他，在他们过世的威严的父亲的监狱里，最多曾同时囚禁六万名罪犯，而且在他令人敬佩的统治下，他将七万两千名小偷和强盗送到刽子手那里接受死刑。这时，男孩义愤填膺，命令她回到自己的闺阁去，并请求上帝将她胸中的石头取走，给她一颗人类的心。","He enjoyed his splendid clothes, and ordered more: he found his four hundred servants too few for his proper grandeur, and trebled them.The adulation of salaaming courtiers came to be sweet music to his ears.He remained kind and gentle, and a sturdy and determined champion of all that were oppressed, and he made tireless war upon unjust laws: yet upon occasion, being offended, he could turn upon an earl, or even a duke, and give him a look that would make him tremble.Once, when his royal ‘sister,’ the grimly holy Lady Mary, set herself to reason with him against the wisdom of his course in pardoning so many people who would otherwise be jailed, or hanged, or burned, and reminded him that their august late father’s prisons had sometimes contained as high as sixty thousand convicts at one time, and that during his admirable reign he had delivered seventy-two thousand thieves and robbers over to death by the executioner, the boy was filled with generous indignation, and commanded her to go to her closet, and beseech God to take away the stone that was in her breast, and give her a human heart."
"对于可怜的真正的小王子，那个善良地对待他，热心地飞奔出去找皇宫门口那个傲慢的哨兵为他报仇的王子，汤姆·坎蒂就从来没有感到过不安吗？他有过。刚开始在皇宫的那些日夜里，王子走失的痛苦思虑纠缠着他，他热切盼望王子归来，盼望他高高兴兴地恢复与生俱来的权力和显赫的地位。但是，随着时间流逝，王子没有回来，汤姆的脑子越来越被新鲜和迷人的经历所占据。渐渐地，走失的君王几乎淡出了他的思虑。最后，当他偶尔真的闯入汤姆的思绪中时，他成了不受欢迎的小鬼，因为他使汤姆感到内疚和惭愧。","Did Tom Canty never feel troubled about the poor little rightful prince who had treated him so kindly, and flown out with such hot zeal to avenge him upon the insolent sentinel at the palace-gate?Yes; his first royal days and nights were pretty well sprinkled with painful thoughts about the lost prince, and with sincere longings for his return, and happy restoration to his native rights and splendours.But as time wore on, and the prince did not come, Tom’s mind became more and more occupied with his new and enchanting experiences, and by little and little the vanished monarch faded almost out of his thoughts; and finally, when he did intrude upon them at intervals, he was become an unwelcome spectre, for he made Tom feel guilty and ashamed."
"汤姆可怜的母亲和姐姐们也同样淡出了他的思绪。刚开始，他还想念她们，并为之感到悲伤，渴望见到她们。但是后来，想到哪天她们会穿着又脏又破的衣服来找他，亲吻他，泄露他的身份，还会把他从高贵的皇宫领走，带他回到贫民窟，过贫困、下等的生活，他便感到不寒而栗。终于，她们几乎彻底不再纠缠在他的脑海中了。他很满意，甚至高兴，因为，每当他们悲伤和责备的脸出现在他面前时，他感到自己比爬行的虫子更可鄙。","Tom’s poor mother and sisters travelled the same road out of his mind.At first he pined for them, sorrowed for them, longed to see them, but later, the thought of their coming some day in their rags and dirt, and betraying him with their kisses, and pulling him down from his lofty place, and dragging him back to penury and degradation and the slums, made him shudder.At last they ceased to trouble his thoughts almost wholly.And he was content, even glad: for, whenever their mournful and accusing faces did rise before him now, they made him feel more despicable than the worms that crawl."
"二月十九日半夜，汤姆·坎蒂正躺在皇宫中华丽的床上沉沉入睡。有皇家的守卫看守着，皇室的壮丽包围着，男孩很高兴，因为明天是他被庄严地加冕为英国国王的日子。而这个时刻，真正的爱德华国王又饿又渴，身上又是土又是泥，走得疲乏，穿的破衣烂衫也被撕碎了——这是骚乱给他带来的后果。他挤进一群人中，那些人正在兴致勃勃地看一组工人匆匆进出威斯敏斯特教堂，像蚂蚁一样忙碌着——他们在为王室加冕典礼做最后的准备。","At midnight of the 19th of February, Tom Canty was sinking to sleep in his rich bed in the palace, guarded by his loyal vassals, and surrounded by the pomps of royalty, a happy boy; for tomorrow was the day appointed for his solemn crowning as King of England.At that same hour, Edward, the true king, hungry and thirsty, soiled and draggled, worn with travel, and clothed in rags and shreds—his share of the results of the riot—was wedged in among a crowd of people who were watching with deep interest certain hurrying gangs of workmen who streamed in and out of Westminster Abbey, busy as ants: they were making the last preparation for the royal coronation."
"第三十一章 致意游行","Chapter XXXI  The Recognition Procession"
"第二天早晨汤姆·坎蒂醒来时，空气里浓重地弥漫着隆隆的低语：它充斥了整个空间。这对他来说就是音乐；因为这意味着英格兰国土开始全力忠诚地迎接这伟大的一天。","When Tom Canty awoke the next morning, the air was heavy with a thunderous murmur: all the distances were charged with it.It was music to him; for it meant that the English world was out in its strength to give loyal welcome to the great day."
"不一会儿，汤姆发现自己又成了泰晤士河上盛大游船游行队伍的中心人物，因为根据古老的传统，穿过伦敦的“致意游行”必须从伦敦塔出发，而他正是要去往那里。","Presently Tom found himself once more the chief figure in a wonderful floating pageant on the Thames; for by ancient custom the ‘recognition procession’ through London must start from the Tower, and he was bound thither."
"他到达那里时，庄严的堡垒似乎突然断裂成了上千个断口，每个断口都跳跃着红色的火舌，涌动着白色的烟尘。紧接着，一声震耳欲聋的爆炸声将人群的喊声淹没。喷射的火焰、烟尘和爆炸声连续不断地重复着，其速度令人叫绝，不一会儿，老伦敦塔就消失在自己的烟尘形成大片浓雾中，唯独露出高大白塔的塔尖，同旗子一起从浓重的水汽中凸显出来，像是云层里冒出来的山顶。","When he arrived there, the sides of the venerable fortress seemed suddenly rent in a thousand places, and from every rent leaped a red tongue of flame and a white gush of smoke; a deafening explosion followed, which drowned the shoutings of the multitude, and made the ground tremble; the flame-jets, the smoke, and the explosions, were repeated over and over again with marvellous celerity, so that in a few moments the old Tower disappeared in the vast fog of its own smoke, all but the very top of the tall pile called the White Tower; this, with its banners, stood out above the dense bank of vapour as a mountain-peak projects above a cloud-rack."
"穿着光鲜的汤姆·坎蒂跨上昂首阔步的战马，华丽的马饰几乎拖到了地面。他的“舅舅”摄政大臣萨默塞特公爵同样跨上马，紧随其后。国王的守卫在两边各成一队，穿戴着锃亮的盔甲。摄政大臣的后面是似乎一眼望不到头的华丽的贵族队伍，他们的仆人紧随其后。他们身后是穿着深红色天鹅绒袍子、胸前挂着金链子的市长大人和市政人员。随后是伦敦各行会的官员和成员们，他们穿着鲜艳，举着几个行会招展的旗子。在这个游行队伍中，还有一队在城市里穿行的仪仗队，那就是古老而令人尊敬的礼炮团——那时，这个组织已经存在了三百多年，是英国唯一一支享有不受国会管制的特权的军队（现在仍然享有）。这是一幅壮观的场面，游行队伍庄严地穿过拥挤的人群时，人们一直欢呼向其致敬。史官写道：“当国王进城时，人们向他祈祷、欢迎、高呼，说着温柔的话，用所有能够表现臣民对君主的热切喜爱的手势来欢迎他。对那些站得远的人，国王昂头露出高兴的表情，对离陛下近的人，他说着最温柔的语言。人们感激地给予他祝福，他以同样的感激接受人们的祝福。对所有祝福他的人，他都表示感谢。对于‘上帝保佑陛下’的话，他回以‘上帝保佑你们所有人’并加一句‘全心全意感谢他们’。国王深情的回答和举止让人们激动不已。”","Tom Canty, splendidly arrayed, mounted a prancing war-steed, whose rich trappings almost reached to the ground; his ‘uncle,’ the Lord Protector Somerset, similarly mounted, took place in his rear; the King’s Guard formed in single ranks on either side, clad in burnished armour; after the Protector followed a seemingly interminable procession of resplendent nobles attended by their vassals; after these came the lord mayor and the aldermanic body, in crimson velvet robes, and with their gold chains across their breasts; and after these the officers and members of all the guilds of London, in rich raiment, and bearing the showy banners of the several corporations.Also in the procession, as a special guard of honour through the city, was the Ancient and Honourable Artillery Company—an organisation already three hundred years old at that time, and the only military body in England possessing the privilege (which it still possesses in our day) of holding itself independent of the commands of Parliament.It was a brilliant spectacle, and was hailed with acclamations all along the line, as it took its stately way through the packed multitudes of citizens.The chronicler says, ‘The King, as he entered the city, was received by the people with prayers, welcomings, cries, and tender words, and all signs which argue an earnest love of subjects toward their sovereign; and the King, by holding up his glad countenance to such as stood afar off, and most tender language to those that stood nigh his Grace, showed himself no less thankful to receive the people’s goodwill than they to offer it.To all that wished him well, he gave thanks.To such as bade “God save his Grace,” he said in return, “God save you all!” and added that “he thanked them with all his heart.”Wonderfully transported were the people with the loving answers and gestures of their King.’"
"在芬澈奇街，一个穿着昂贵衣服的漂亮小孩站在台上欢迎陛下来到城里。他的欢迎词的最后一节是这样的：","In Fenchurch Street a ‘fair child, in costly apparel,’ stood on a stage to welcome his Majesty to the city.The last verse of his greeting was in these words—"
"“欢迎，啊，国王！尽心所能够想到的；再一次欢迎，尽语言所能够表达的。欢迎愉快的语言和无所畏惧的内心：上帝保佑您，我们祈祷，愿您永远安康。”","‘Welcome, O King! as much as hearts can think;Welcome, again, as much as tongue can tell,—Welcome to joyous tongues, and hearts that will not shrink: God thee preserve, we pray, and wish thee ever well.’"
"人们高兴地喊着向前冲，异口同声地重复着那个小孩的话。汤姆·坎蒂朝人群扫视一番，人们热切的脸如浪潮一般，让他内心大悦。他觉得世界上唯一值得渴望的事就是做国王，做一个国家的偶像。一会儿，他发现远处有两个垃圾大院的伙伴，他们衣衫褴褛。其中一个在他原来的假宫廷里任海军大臣，另一个在他值得夸耀的幻境里是第一寝官。接着，他的自豪感空前膨胀。噢，假如他们现在真的认出他来就好了！如果他们认出他，发现原来生活在贫民窟和穷街陋巷、受到嘲笑的假国王变成了真国王，杰出的公爵和诸侯是他谦卑的仆人，整个英国都拜倒在他脚下，那该是怎样无法表达的荣耀啊！但是他不得不否定自己，压制自己的欲望，因为如果在这种情况下坦白，可能会产生更严重的后果。所以他转过头，任由两个脏兮兮的小伙子继续他们的呼喊和愉快的奉承，而他们自己对奉承的对象却毫不怀疑。","The people burst forth in a glad shout, repeating with one voice what the child had said.Tom Canty gazed abroad over the surging sea of eager faces, and his heart swelled with exultation; and he felt that the one thing worth living for in this world was to be a king, and a nation’s idol.Presently he caught sight, at a distance, of a couple of his ragged Offal Court comrades—one of them the lord high admiral in his late mimic court, the other the first lord of the bedchamber in the same pretentious fiction; and his pride swelled higher than ever.Oh, if they could only recognise him now!What unspeakable glory it would be, if they could recognise him, and realise that the derided mock king of the slums and back alleys was become a real King, with illustrious dukes and princes for his humble menials, and the English world at his feet!But he had to deny himself, and choke down his desire, for such a recognition might cost more than it would come to: so he turned away his head, and left the two soiled lads to go on with their shoutings and glad adulations, unsuspicious of whom it was they were lavishing them upon."
"时不时有人喊道：“赏赐！赏赐！”于是汤姆就往外抛洒一把锃亮、崭新的硬币，让人群争抢。","Every now and then rose the cry, “A largess! a largess!” and Tom responded by scattering a handful of bright new coins abroad for the multitude to scramble for."
"史官写道：“城中格蕾丝澈奇街北端的鹰标饰前矗立起一座宏伟的拱门，拱门下面是一个舞台，从街道的一边延伸到另一边。这是有关历史的露天表演，呈现着国王较近的祖先的故事。在那儿，约克伊丽莎白坐在很多白色玫瑰中间，花瓣在她周围形成了美丽的裙裾。她旁边是亨利七世，以同样的姿势坐在许多红色玫瑰中。这一对来自皇室的夫妇十指相扣，结婚戒指露在外面，似在炫耀。一根花茎从红色和白色的玫瑰中向上延伸到第二舞台上，这个台子上是亨利八世。他身处红色和白色的玫瑰里，他旁边是新国王的母亲简·西摩的雕像。一跟枝条从这一对夫妇之间伸展出来，爬上了第三舞台，上面是爱德华六世本人的肖像，正在加冕登基。整个露天表演都用红白两色的玫瑰镶上了花边。","The chronicler says, ‘At the upper end of Gracechurch Street, before the sign of the Eagle, the city had erected a gorgeous arch, beneath which was a stage, which stretched from one side of the street to the other.This was an historical pageant, representing the King’s immediate progenitors.There sat Elizabeth of York in the midst of an immense white rose, whose petals formed elaborate furbelows around her; by her side was Henry VII., issuing out of a vast red rose, disposed in the same manner: the hands of the royal pair were locked together, and the wedding-ring ostentatiously displayed.From the red and white roses proceeded a stem, which reached up to a second stage, occupied by Henry VIII., issuing from a red and white rose, with the effigy of the new King’s mother, Jane Seymour, represented by his side.One branch sprang from this pair, which mounted to a third stage, where sat the effigy of Edward VI. himself, enthroned in royal majesty; and the whole pageant was framed with wreaths of roses, red and white.’"
"这样精巧而华美的场景让兴奋的人群如此激动，以至于他们的欢呼声完全盖过了这个孩子细小的声音——这个孩子的任务就是用赞美诗介绍这个场景。但是汤姆·坎蒂不觉得可惜，因为对他来说，无论如何，忠诚的喧闹都是比诗歌更悦耳的音乐。无论到哪里，汤姆都是笑脸盈盈，人们看到他的肖像与他本人十分像，他是肖像有血有肉的版本。于是，人群中突然又爆发出一阵旋风般的掌声。","This quaint and gaudy spectacle so wrought upon the rejoicing people, that their acclamations utterly smothered the small voice of the child whose business it was to explain the thing in eulogistic rhymes.But Tom Canty was not sorry; for this loyal uproar was sweeter music to him than any poetry, no matter what its quality might be.Whithersoever Tom turned his happy young face, the people recognised the exactness of his effigy’s likeness to himself, the flesh and blood counterpart; and new whirlwinds of applause burst forth."
"盛大的游行队伍继续行进着，穿过一道道凯旋门，经过一连串令人眼花缭乱的壮观的、有象征意义的舞台造型，每个舞台都代表和颂扬小国王的某种品德、天赋，或优点。","The great pageant moved on, and still on, under one triumphal arch after another, and past a bewildering succession of spectacular and symbolical tableaux, each of which typified and exalted some virtue, or talent, or merit, of the little King’s."
"“整个齐普赛街，每个阁楼和窗户上都挂着旗子和彩带，街上挂着最华美的地毯、布料、金色的织物，这些都是商店里丰富的货物的样品。另一条街道如这条大道一样华丽，甚至更甚于此。”","‘Throughout the whole of Cheapside, from every penthouse and window, hung banners and streamers; and the richest carpets, stuffs, and cloth-of-gold tapestried the streets—specimens of the great wealth of the stores within; and the splendour of this thoroughfare was equalled in the other streets, and in some even surpassed.’"
"“所有这些奇观和惊喜都是为了欢迎我——我！”汤姆·坎蒂咕哝道。","“And all these wonders and these marvels are to welcome me—me!” murmured Tom Canty."
"假国王的脸颊因兴奋而发红，眼睛闪着光芒，他的感觉沉浸在近乎疯癫的欢乐中。此刻，正当他又举起手抛洒丰厚的赏赐时，他忽然发现一张苍白、惊骇的脸正从第二圈人群中往前挤出来，那炙热的眼睛死死地盯着他。一阵令他眩晕的惊愕袭击了全身，他认出了他的母亲！他飞快地用手遮在眼睛上，手掌朝外——这个无意识的习惯手势因为一件已经记不得的插曲而产生，又由于习惯而永远保留了下来。她立刻从拥挤的人群中挤了出来，越过了守卫，到了他的身边。她抱住他的腿，在上面吻了又吻，哭喊道：“噢，我的孩子，我亲爱的人！”她抬起一张因为高兴和慈爱而变美了的脸，望着他。国王的守卫官立刻骂着将她推走，使她摇摇晃晃地退回到了她用强壮的胳膊使劲推才挤出来的地方。在这件可怜的事情发生时，从汤姆·坎蒂的嘴里吐出了“我不认识你，妇人！”这样的几个字。但是，看到她受到这样的对待，自己心里像被抽打一样。当她回头看了他最后一眼，人群将她淹没，挡住了她视线时，她看起来是如此伤心、如此心碎。一种羞愧感笼罩了他，将他的骄傲烧成了灰烬，让他偷来的王权凋萎。他的那些伟大被打击得一文不值，它们就像腐朽的碎屑一样从他身上剥落下来。","The mock King’s cheeks were flushed with excitement, his eyes were flashing, his senses swam in a delirium of pleasure.At this point, just as he was raising his hand to fling another rich largess, he caught sight of a pale, astounded face, which was strained forward out of the second rank of the crowd, its intense eyes riveted upon him.A sickening consternation struck through him; he recognised his mother! and up flew his hand, palm outward, before his eyes—that old involuntary gesture, born of a forgotten episode, and perpetuated by habit.In an instant more she had torn her way out of the press, and past the guards, and was at his side.She embraced his leg, she covered it with kisses, she cried, “O my child, my darling!” lifting toward him a face that was transfigured with joy and love.The same instant an officer of the King’s Guard snatched her away with a curse, and sent her reeling back whence she came with a vigorous impulse from his strong arm.The words “I do not know you, woman!” were falling from Tom Canty’s lips when this piteous thing occurred; but it smote him to the heart to see her treated so; and as she turned for a last glimpse of him, whilst the crowd was swallowing her from his sight, she seemed so wounded, so broken-hearted, that a shame fell upon him which consumed his pride to ashes, and withered his stolen royalty.His grandeurs were stricken valueless: they seemed to fall away from him like rotten rags."
