"第一章 波尼族印第安人的狩猎场","CHAPTER I. THE PAWNEE HUNTING-GROUNDS."
"在这整场搜寻过程中，混血儿们在追踪足迹上显示了敏锐的眼力，而印第安人也因此而闻名于世。尤其是贝蒂，他像一只老练的猎狗那样锲而不舍。有时，他会策马轻快地小跑一阵，眼睛紧盯着他坐骑前方的地面，并清晰地辨别出草皮上的踏痕。而这痕迹对我来说除非是凑近细看，否则便什么也看不到。有时，他会缓辔徐行，聚精会神地盯着对我来说一无所有的地面。然后，他会下马，抓着马笼头一步步小心翼翼地前进，头低着查看四周的地面，寻找着指示他前进的蛛丝马迹。在有些地方，土壤很硬并且草皮凋零，他会完全找不到足迹。这时，他会前后左右地反复徘徊，寻找线索；有时会回到他失去线索的地方，换一个方向重新前进。如果这也不行，那他就会去检查附近河流的河岸，或是峡谷底部的沙地，希望可以找到伯爵路过的痕迹。当他再次找到足迹后，他便会重新上马，继续前行。最终，穿过一条被侵蚀的河岸上留着深深的马蹄印的小溪之后，我们来到了一片干燥的高草原。在这儿，我们的混血儿们被彻底难倒了。尽管他们搜索了每一个方向，但却看不到任何一个脚印。最终，贝蒂停了下来，沮丧地直摇头。","In all this quest our half-breeds displayed that quickness of eye, in following up a track, for which Indians are so noted.Beatte, especially, was as staunch as a veteran hound.Sometimes he would keep forward on an easy trot; his eyes fixed on the ground a little ahead of his horse, clearly distinguishing prints in the herbage which to me were invisible, excepting on the closest inspection.Sometimes he would pull up and walk his horse slowly, regarding the ground intensely, where to my eye nothing was apparent.Then he would dismount, lead his horse by the bridle, and advance cautiously step by step, with his face bent towards the earth, just catching, here and there, a casual indication of the vaguest kind to guide him onward.In some places where the soil was hard and the grass withered, he would lose the track entirely, and wander backward and forward, and right and left, in search of it; returning occasionally to the place where he had lost sight of it, to take a new departure.If this failed he would examine the banks of the neighboring streams, or the sandy bottoms of the ravines, in hopes of finding tracks where the Count had crossed.When he again came upon the track, he would remount his horse, and resume his onward course.At length, after crossing a stream, in the crumbling banks of which the hoofs of the horse were deeply dented, we came upon a high dry prairie, where our half-breeds were completely baffled.Not a foot-print was to be discerned, though they searched in every direction; and Beatte, at length coming to a pause, shook his head despondingly."
"这时，一小群鹿从附近的一个山谷中跑了出来，跳跃着从我们面前经过。贝蒂从他的马背上挺身而起，举起步枪射击，并轻微地打伤了其中的一头，但却没有把它打倒。枪声还没有落下，我们便听到远处传来一声长长的呼喊。我们环顾四周，却什么也没看到。接着，我们又听到一声长长的呼喊，最终看到从森林的边缘冒出一个骑手。一眼看去我们便知道了那是年轻的伯爵，大家都不约而同地高呼雀跃起来，并飞奔过去迎接他。这对双方来说都是一次愉快的会面，因为我们一直因他年轻又没有经验而焦虑不安；而对他来说，满足了冒险欲望的他，能再一次回到朋友当中是非常值得欣喜的。","Just then a small herd of deer, roused from a neighboring ravine, came bounding by us.Beatte sprang from his horse, levelled his rifle, and wounded one slightly, but without bringing it to the ground.The report of the rifle was almost immediately followed by a long halloo from a distance.We looked around, but could see nothing.Another long halloo was heard, and at length a horseman was descried, emerging out of a skirt of forest.A single glance showed him to be the young Count; there was a universal shout and scamper, every one setting off full gallop to greet him.It was a joyful meeting to both parties; for, much anxiety had been felt by us all on account of his youth and inexperience, and for his part, with all his love of adventure, he seemed right glad to be once more among his friends."
"就像我们所猜测的那样，在前一天晚上，他完全搞错了方向，而且一直游荡到天黑才想到了露宿。晚上很冷，但他却不敢生火，以防那些潜伏中的印第安人部落因此而发现他。他用小毛巾把马腿缚住，留它在草原的空阔处吃草。而他自己则爬到一棵树上，把马鞍固定在一个树杈上，让自己安全地背靠树干坐下，准备度过一个偶尔被狼的嚎叫声所打断的沉闷且不安的夜晚。他非常高兴自己失望了。白天的劳累让他很快便熟睡过去；他高兴地梦到了他那在瑞士的家，直到天光大亮时，他才醒来。","As we supposed, he had completely mistaken his course on the preceding evening, and had wandered about until dark, when he thought of bivouacking.The night was cold, yet he feared to make a fire, lest it might betray him to some lurking party of Indians.Hobbling his horse with his pocket handkerchief, and leaving him to graze on the margin of the prairie, he clambered into a tree, fixed his saddle in the fork of the branches, and placing himself securely with his back against the trunk, prepared to pass a dreary and anxious night, regaled occasionally with the howlings of the wolves.He was agreeably disappointed.The fatigue of the day soon brought on a sound sleep; he had delightful dreams about his home in Switzerland, nor did he wake until it was broad daylight."
"然后，他从歇息的树上爬了下来，骑上马，来到了一个山丘光秃秃的顶部。从那里，他看到自己周围是一片杳无人迹的荒原，但不远处逶迤的加拿大人大河穿越在林地边界之间。见到这条河给了他安慰，他想，如果自己找不到回营地的路，或者自己的同伴找不到他，那他可以沿着这条河走，这河一定可以把他带到某个边防站或是印第安人村落的。所以我们这次偶然的捕猎野牛事件就这样结束了。","He then descended from his roosting-place, mounted his horse, and rode to the naked summit of a hill, whence he beheld a trackless wilderness around him, but, at no great distance, the Grand Canadian winding its way between borders of forest land.The sight of this river consoled him with the idea that, should he fail in finding his way back to the camp, or in being found by some party of his comrades, he might follow the course of the stream, which could not fail to conduct him to some frontier post, or Indian hamlet.So closed the events of our hap-hazard buffalo hunt."
"第三十二章 草原犬鼠的王国","CHAPTER XXXII. REPUBLIC OF PRAIRIE DOGS."
"当我们从寻找年轻伯爵的征途归来时，我得知猎手们在距离营地大约一英里的山丘的平顶上发现了一洞或是被称为一村的草原犬鼠。之前我听说过一些关于这些小动物的习性和特征，于是我决定去看看这个团体。实际上，草原犬鼠是远西区地区的珍奇动物之一。旅行者们喜欢讲述关于它们的精彩故事，并不时赋予它们一种理性生物所拥有的精明特征及社交习性，还说它们拥有自己的民主政府和内部系统，几乎类似于人们通常给予海狸的评价那样。","On returning from our expedition in quest of the young Count, I learned that a burrow, or village, as it is termed, of prairie dogs had been discovered on the level summit of a hill, about a mile from the camp.Having heard much of the habits and peculiarities of these little animals, I determined to pay a visit to the community.The prairie dog is, in fact, one of the curiosities of the Far West, about which travellers delight to tell marvellous tales, endowing him at times with something of the politic and social habits of a rational being, and giving him systems of civil government and domestic economy, almost equal to what they used to bestow upon the beaver."
"草原犬鼠是一种鼠兔类动物，体积和兔子差不多大。它们生性活泼好动，反应机智，行动迅速，敏感且有点儿任性。草原犬鼠是群居动物，非常喜欢与别的犬鼠一起住在一个大的群体中，有时会绵延好几英亩的地方。在那儿，无数的小土堆标识着这些居民地下洞穴的入口。那些被踩踏出来的、像街道和小巷一样的小径，则显示出它们的好动和不安分。根据别人对它们的描述，它们总是在不停地运动、做事，以及处理公共事务。它们东奔西跑，似乎是在相互串门互道家长里短，或是在凉爽的夜晚聚集在一起开会，又或是一场阵雨之后，在旷野中互相打闹嬉戏。有时，尤其是在月光明亮的时候，它们会狂欢到半夜，像小狗那样用一种短促微弱的声调叫喊着。然而，就算是它们正处在嬉闹狂欢的高潮，只要有一点儿的警报，它们也会立马消失在自己的洞穴中，整个村落变得空荡荡的，一片死寂。如果被追捕者死死按住，没有任何逃脱的希望，它们便会显示出一副好斗的姿态，露出想要愤怒反抗而又无能为力的古怪神情。","The prairie dog is an animal of the coney kind, and about the size of a rabbit.He is of a sprightly mercurial nature; quick, sensitive, and somewhat petulant.He is very gregarious, living in large communities, sometimes of several acres in extent, where innumerable little heaps of earth show the entrances to the subterranean cells of the inhabitants, and the well beaten tracks, like lanes and streets, show their mobility and restlessness.According to the accounts given of them, they would seem to be continually full of sport, business, and public affairs; whisking about hither and thither, as if on gossiping visits to each other’s houses, or congregating in the cool of the evening, or after a shower, and gambolling together in the open air.Sometimes, especially when the moon shines, they pass half the night in revelry, barking or yelping with short, quick, yet weak tones, like those of very young puppies.While in the height of their playfulness and clamor, however, should there be the least alarm, they all vanish into their cells in an instant, and the village remains blank and silent.In case they are hard pressed by their pursuers, without any hope of escape, they will assume a pugnacious air, and a most whimsical look of impotent wrath and defiance."
"草原犬鼠无法在自己的家中过一种独立而又不被打扰的生活。听说猫头鹰和响尾蛇会和它们同住，不过它们是作为受邀的贵客还是不受欢迎的侵入者，则是一个有争议的问题。这些猫头鹰是一个奇特的种类，似乎具有鹰的特征。但它们要比普通的猫头鹰个头更高，站得更直，看上去更加警觉，也飞得更高。它们不仅会在夜间远足，在大白天也会出发远行。","The prairie dogs are not permitted to remain sole and undisturbed inhabitants of their own homes.Owls and rattlesnakes are said to take up their abodes with them; but whether as invited guests or unwelcome intruders, is a matter of controversy.The owls are of a peculiar kind, and would seem to partake of the character of the hawk; for they are taller and more erect on their legs, more alert in their looks and rapid in their flight than ordinary owls, and do not confine their excursions to the night, but sally forth in broad day."
"有些人说猫头鹰只住在草原犬鼠因某个亲属死去而丢弃的、将要毁坏的洞穴中，因为他们认为这种小动物非常敏感，它们不愿继续住在亲眼看到一个亲友死去的地方。其他一些有想象力的推测者则认为猫头鹰有些像是草原犬鼠的管家；还有一种类似的说法是，在某种程度上，它们是指导老师，教小犬鼠们如何叫喊。","Some say that they only inhabit cells which the prairie dogs have deserted, and suffered to go to ruin, in consequence of the death in them of some relative; for they would make out this little animal to be endowed with keen sensibilities, that will not permit it to remain in the dwelling where it has witnessed the death of a friend.Other fanciful speculators represent the owl as a kind of housekeeper to the prairie dog; and, from having a note very similar, insinuate that it acts, in a manner, as family preceptor, and teaches the young litter to bark."
"至于响尾蛇，尽管人们认为它比马屁精或骗子好不了多少，并以此取巧获得了这些诚实、轻信的小犬鼠的关心，让它们怀着万分沉重的心情接待了它，但在这个非常有趣的家庭里它到底扮演什么角色，到目前为止还没有得到任何令人满意的结论。确定的是，如果它扮演的是马屁精的角色，那它有时会用超出正常应得报酬的东西来安慰自己，因为在它的胃里，不时会发现这个家庭的年幼成员。","As to the rattlesnake, nothing satisfactory has been ascertained of the part he plays in this most interesting household; though he is considered as little better than a sycophant and sharper, that winds himself into the concerns of the honest, credulous little dog, and takes him in most sadly.Certain it is, if he acts as toad-eater, he occasionally solaces himself with more than the usual perquisites of his order; as he is now and then detected with one of the younger members of the family in his maw."
"这些就是我所能够搜集到的关于这种大草原上的小居民的一些内部系统特征。它们和它们的小人国似乎在远西区地区的猎手们中间引起了一些离奇古怪的猜测和滑稽可笑的评论。","Such are a few of the particulars that I could gather about the domestic economy of this little inhabitant of the prairies, who, with his pigmy republic, appears to be a subject of much whimsical speculation and burlesque remarks among the hunters of the Far West."
"接近傍晚时，我和一个伙伴才出发去拜访这个新奇的穴群。不幸的是，在白天的行程中有些巡逻骑兵已经侵袭了这个穴群。他们射杀了两三个居民，使整个敏感的集体陷入一片混乱。当我们靠近时，可以看到许许多多的居民坐在各自的洞口处，而哨兵则似乎是站在外面保持警戒。一看到我们，哨兵们马上跑进洞里去发警报；于是，所有居民都发出一声短促的叫喊，并潜入洞中，脚后跟在空中轻快地舞动着，好像是在翻筋斗。","It was toward evening that I set out with a companion, to visit the village in question.Unluckily, it had been invaded in the course of the day by some of the rangers, who had shot two or three of its inhabitants, and thrown the whole sensitive community in confusion.As we approached, we could perceive numbers of the inhabitants seated at the entrances of their cells, while sentinels seemed to have been posted on the outskirts, to keep a look-out.At sight of us, the picket guards scampered in and gave the alarm; whereupon every inhabitant gave a short yelp, or bark, and dived into his hole, his heels twinkling in the air as if he had thrown a somersault."
"我们穿过了这覆盖了大约三十英亩土地的整个穴群或王国，但却连一个居民的痕迹也看不到。我们尽力把步枪的通条伸进洞穴来探测它们，但却触不到任何犬鼠、猫头鹰或是响尾蛇。悄悄地移动了一小段距离之后，我们一动不动地趴在地上，静静地观察了好久。不久之后，一个小心谨慎的老年犬鼠慢慢地探出了鼻子，但立刻又缩回去了。更远处，另一只犬鼠完全探出了身子。但一瞥到我们，它便翻了个筋斗，重新跳进洞中。最终，一些住在穴群另一端的犬鼠见到一直没有什么动静，便鼓起勇气偷偷溜了出来，匆忙跑到远处的一个洞穴里，那里可能是与它家亲戚或是平日闲聊的朋友的住处。它们为亲戚朋友的安全担心，也希望可以与之就刚刚发生的事件交换意见。","We traversed the whole village, or republic, which covered an area of about thirty acres; but not a whisker of an inhabitant was to be seen.We probed their cells as far as the ram-rods of our rifles would reach, but could unearth neither dog, nor owl, nor rattlesnake.Moving quietly to a little distance, we lay down upon the ground, and watched for a long time, silent and motionless.By and by, a cautious old burgher would slowly put forth the end of his nose, but instantly draw it in again.Another, at a greater distance, would emerge entirely; but, catching a glance of us, would throw a somersault, and plunge back again into his hole.At length, some who resided on the opposite side of the village, taking courage from the continued stillness, would steal forth, and hurry off to a distant hole, the residence possibly of some family connection, or gossiping friend, about whose safety they were solicitous, or with whom they wished to compare notes about the late occurrences."
"还有一些更加大胆的犬鼠三五成群地聚集在街道和公共场所，似乎是要讨论刚刚发生在全体国民身上的暴行，以及对它们同伴的残忍谋杀。","Others, still more bold, assembled in little knots, in the streets and public places, as if to discuss the recent outrages offered to the commonwealth, and the atrocious murders of their fellow-burghers."
"我们从地上站起来向前走去，想要更清楚地观察它们的公共活动。这时，犬鼠群中响起一声接一声的尖叫，会议立刻解散，犬鼠的脚在空中朝各个方向飞快地舞动，刹那间它们全部消失在地下了。","We rose from the ground and moved forward, to take a nearer view of these public proceedings, when yelp! yelp! yelp!—there was a shrill alarm passed from mouth to mouth; the meetings suddenly dispersed; feet twinkled in the air in every direction; and in an instant all had vanished into the earth."
"黄昏迫使我们结束了观察，但我所听到的关于这些精明小动物的道德品质，却在我的脑海中产生了一连串的奇特比较。回到营地后，这种比较还在进行。深夜，当所有人都入睡后，我依旧醒着，躺在那儿好静静听着外面的声响，依稀可以听到远处穴群传来的喧闹尖锐的叫声。我情不自禁地想象着这些居民闹哄哄地聚在一起，夸夸其谈地争辩着，制定着公共安全计划，并为王国的权利和尊严遭到侵犯和损坏而进行辩护。","The dusk of the evening put an end to our observations, but the train of whimsical comparisons produced in my brain by the moral attributes which I had heard given to these little politic animals, still continued after my return to camp; and late in the night, as I lay awake after all the camp was asleep, and heard in the stillness of the hour, a faint clamor of shrill voices from the distant village, I could not help picturing to myself the inhabitants gathered together in noisy assemblage and windy debate, to devise plans for the public safety, and to vindicate the invaded rights and insulted dignity of the republic."
"第三十三章 营地里的会议　","CHAPTER XXXIII. A COUNCIL IN THE CAMP."
"——归家的理由——丢失马——分队离开回家——沼泽——野马——营地的夜景——猫头鹰，黎明的先兆","—REASONS FOR FACING HOMEWARD.—HORSES LOST.—DEPARTURE WITH A DETACHMENT ON THE HOMEWARD ROUTE.—SWAMP.—WILD HORSE.—CAMP SCENES BY NIGHT.—THE OWL, HARBINGER OF DAWN."
"准备早饭期间，我们举行了一场关于接下来的动向的会议。在过去的一两天里，巡逻骑兵中已经流露出了不满的征兆。他们大多不习惯大草原上的生活，对它的贫瘠及军营的种种限制感到不安。面包严重短缺，并且他们对不断的旅行也感到疲倦了。实际上，远足的新鲜感和兴奋劲儿已经荡然无存了。他们已经捕猎过鹿、熊、麋鹿、野牛和野马，也再已没有能引起他们兴趣的猎物了。因此，人们普遍开始想调头回家。","While breakfast was preparing, a council was held as to our future movements.Symptoms of discontent had appeared for a day or two past among the rangers, most of whom, unaccustomed to the life of the prairies, had become impatient of its privations, as well as the restraints of the camp.The want of bread had been felt severely, and they were wearied with constant travel.In fact, the novelty and excitement of the expedition were at an end.They had hunted the deer, the bear, the elk, the buffalo, and the wild horse, and had no further object of leading interest to look forward to.A general inclination prevailed, therefore, to turn homeward."
"还有一些重要的原因使得队长和指挥官们采纳了这个建议。我们的马匹大多都因长时间旅行和狩猎而累坏了。由于缺乏优质牧草，并且晚上为防止它们被印第安人劫掠，我们还总是把它们拴起来，所以它们也日渐消瘦了。上一场雨也似乎把稀疏的草皮上所残留的那一点点儿营养给冲刷掉了。自从在暴风雨中扎营后，我们的马匹就很快没有精神头儿，没有力气了。受到精心照料的马匹，早已经习惯了饲料，以及马厩和农场里有规律且充足的营养供给。所以它们已丧失在大草原上旅行的勇气和精神了。在我们所进行的所有这种远足中，我们最偏爱的是强壮耐劳的印第安马。它们一般是一种北美野马或其的杂交品种。它们可以承受所有艰辛劳顿，也不怕牧草匮乏，依靠大草原上的野草即可茁壮成长。","Grave reasons disposed the Captain and his officers to adopt this resolution.Our horses were generally much jaded by the fatigues of travelling and hunting, and had fallen away sadly for want of good pasturage, and from being tethered at night, to protect them from Indian depredations.The late rains, too, seemed to have washed away the nourishment from the scanty herbage that remained; and since our encampment during the storm, our horses had lost flesh and strength rapidly.With every possible care, horses, accustomed to grain, and to the regular and plentiful nourishment of the stable and the farm, lose heart and condition in travelling on the prairies.In all expeditions of the kind we were engaged in, the hardy Indian horses, which are generally mustangs, or a cross of the wild breed, are to be preferred.They can stand all fatigues, hardships, and privations, and thrive on the grasses and the wild herbage of the plains."
"而我们人呢，在行动中表现也得缺乏深谋远虑。在旅途中，无论我们何时碰到猎物，都会抓住一切机会飞奔着去追赶猎物。他们没有注意保持马的体力和精力，马匹都耗尽了力气，疲惫不堪。在这样的旅程中，要尽最大可能地让马可以安静地行走，每天平均的行程不应超过十英里。","Our men, too, had acted with little forethought; galloping off whenever they had a chance, after the game that we encountered while on the march.In this way they had strained and wearied their horses, instead of husbanding their strength and spirits.On a tour of the kind, horses should as seldom as possible be put off of a quiet walk; and the average day’s journey should not exceed ten miles."
"我们希望可以尽快前进到达雷德河边上的低洼地，那儿有大量的幼藤——每年的这个季节对牲畜最有营养的草料。现在，我们还需要几天时间才能回去，但在这期间，许多马匹可能会精疲力竭。这也正是印第安人狩猎部族放火烧大草原的时候。这片土地上所有的牧草都已经干枯了，很容易点燃。我们和要塞之间的大草原很可能被某个返程的奥塞奇部族点燃，这种危险与日俱增，我们可能就只能在一片焦土上穿行了。总之，我们在这个季节出发得太晚，或是在旅程的开始阶段闲荡得太多了，所以就没法按照原定的计划结束旅程了。况且，如果我们继续前进，就会面临另一个危险：我们将损失大部分的马匹，除了要遭受其他各种不便外，还不得不步行回去。于是，我们决定放弃继续前行，转而向东南方向前进，以便尽快回到吉布森要塞。","We had hoped, by pushing forward, to reach the bottoms of the Red River, which abound with young cane, a most nourishing forage for cattle at this season of the year.It would now take us several days to arrive there, and in the meantime many of our horses would probably give out.It was the time, too, when the hunting parties of Indians set fire to the prairies; the herbage, throughout this part of the country, was in that parched state, favorable to combustion, and there was daily more and more risk that the prairies between us and the fort would be set on fire by some of the return parties of Osages, and a scorched desert left for us to traverse.In a word, we had started too late in the season, or loitered too much in the early part of our march, to accomplish our originally intended tour; and there was imminent hazard, if we continued on, that we should lose the greater part of our horses; and, besides suffering various other inconveniences, be obliged to return on foot.It was determined, therefore, to give up all further progress, and, turning our faces to the southeast, to make the best of our way back to Fort Gibson."
"决议一经采纳，大家立刻就迫不及待地行动起来。但是，有几匹马失踪了，其中包括队长和外科医生的马。有人去寻找它们了，可直到早上还是没有任何消息。同时，我们的队伍已经整装待发了。专员决定带着他原先那由一个中尉和十四个巡逻骑兵组成的护卫队先走，留下队长和大部队在方便的时候出发。于是，十点钟时，我们在贝蒂的指引下启程了。他曾在这片土地上打过猎，知道返回要塞的直行路线。","This resolution being taken, there was an immediate eagerness to put it into operation.Several horses, however, were missing, and among others those of the Captain and the Surgeon.Persons had gone in search of them, but the morning advanced without any tidings of them.Our party, in the meantime, being all ready for a march, the Commissioner determined to set off in the advance, with his original escort of a lieutenant and fourteen rangers, leaving the Captain to come on at his convenience, with the main body.At ten o’clock we accordingly started, under the guidance of Beatte, who had hunted over this part of the country, and knew the direct route to the garrison."
"我们沿着大草原的边缘，朝东南方向前进了一段距离。一路上，我们看到了各种各样的野生动物：鹿、白狼、黑狼，还有野牛和野马。对于野马，我们的混血儿们和托尼什都徒劳地追赶过，但也只能让他们本来就劳累不堪的坐骑更加疲惫罢了。实际上，在这种艰难的追逐中，被捕获的野马也仅仅是马群中体质较弱、最没有脚力的马匹。而猎人的马则常常会因此跑得精疲力尽。实际上，猎人是在冒着牺牲一匹好马的危险去捕捉一匹劣马。在这种情况下，马背上的托尼什是一个十足的小魔鬼。他以累垮自己骑过的所有坐骑而出名。他成功地将我在旅程之初让他骑的那匹强壮的灰色马累得跛了脚，几乎残废。","For some distance we skirted the prairie, keeping a southeast direction; and in the course of our ride we saw a variety of wild animals, deer, white and black wolves, buffaloes, and wild horses.To the latter, our half-breeds and Tonish gave ineffectual chase, only serving to add to the weariness of their already jaded steeds.Indeed it is rarely that any but the weaker and least fleet of the wild horses are taken in these hard racings; while the horse of the huntsman is prone to be knocked up.The latter, in fact, risks a good horse to catch a bad one.On this occasion, Tonish, who was a perfect imp on horseback, and noted for ruining every animal he bestrode, succeeded in laming and almost disabling the powerful gray on which we had mounted him at the outset of our tour."
"前进了几英里之后，我们离开了大草原，并折向东行，走上了贝蒂所说的一条奥塞奇人之前的战道。这条路引导我们穿过了一条崎岖的乡间小道，这儿满是低矮的树林和藤蔓缠绞的灌木丛，有的地方还被各种很深的沟壑、溪流所隔断。溪流中欢快地奔流着利特尔河源头的水。走了大约十四英里之后，三点钟左右时，我们在一个小山谷的几片水塘边扎了营。我们从上一个营地带来了一些食物，于是便津津有味地吃起了炖牛肉、烤鹿肉、带馅煎饼、熊油炸的带馅面团，以及一种黄花泡成的茶——我们发现整个旅程中它成了像咖啡一样受欢迎的饮料。实际上，根据西方人的习俗，自从咖啡出现以来，它就成了每餐必备、没必要夸耀的饮品了。先将咖啡豆放在一个煎锅里随便烘烤一下，然后倒入一个皮袋，用一块圆石碾碎，之后放在我们主要的、也几乎是唯一的厨具野营水壶里，加上河水或溪水煮。在大草原上这些水因为泥土的关系颜色比较深，因此使水里有很多颗粒物悬浮在其中。实际上，在旅行过程中，我们尝过了每一种土壤的味道。我们汲取的水的味道不同，颜色也是五花八门，可以和药剂师店铺里的各种药水的颜色相媲美。至少在每年的这个季节，纯净清澈的水在大草原上是罕见的奢侈品。晚饭结束后，我们派出哨兵在我们简陋狭小的营地周围巡逻，并把兽皮和毯子铺在现在几乎没有任何树叶的树底下，然后酣然入睡，直到天亮。","After proceeding a few miles, we left the prairie, and struck to the east, taking what Beatte pronounced an old Osage war track.This led us through a rugged tract of country, overgrown with scrubbed forests and entangled thickets, and intersected by deep ravines, and brisk-running streams, the sources of Little River.About three o’clock, we encamped by some pools of water in a small valley, having come about fourteen miles.We had brought on a supply of provisions from our last camp, and supped heartily upon stewed buffalo meat, roasted venison, beignets, or fritters of flour fried in bear’s lard, and tea, made of a species of the golden-rod, which we had found, throughout our whole route, almost as grateful a beverage as coffee.Indeed our coffee, which, as long as it held out, had been served up with every meal, according to the custom of the West, was by no means a beverage to boast of.It was roasted in a frying-pan. without much care, pounded in a leathern bag, with a round stone, and boiled in our prime and almost only kitchen utensil, the camp kettle, in “branch” or brook water; which, on the prairies, is deeply colored by the soil, of which it always holds abundant particles in a state of solution and suspension.In fact, in the course of our tour, we had tasted the quality of every variety of soil, and the draughts of water we had taken might vie in diversity of color, if not of flavor, with the tinctures of an apothecary’s shop.Pure, limpid water is a rare luxury on the prairies, at least at this season of the year.Supper over, we placed sentinels about our scanty and diminished camp, spread our skins and blankets under the trees, now nearly destitute of foliage, and slept soundly until morning."
"黎明时天气非常好。营地里再次充满欢声笑语，一想到很快便可以抵达要塞，开怀大嚼面包和蔬菜，每个人都高兴不已。甚至是我们那位沉默稳重的贝蒂，也受到了这种场景的鼓舞。当他策马上路时，我听到他用鼻子哼唱着一首几乎已经失传的印第安人小调。然而，所有这些短暂的快乐很快便随着旅程的劳累而渐渐消失了，因为我们又开始穿越和昨天一样崎岖、多山且布满灌木的乡间了。在上午的行程中，我们到达了利特尔河河谷，这是一片宽阔的冲击河谷。当下，河水已经溢出了河岸，并淹没了河谷的一大片区域。棘手的问题是，我们要把河流本身和它所淹没的宽阔水域区分开来，并找到可以涉水而过的地方；但河水到处都很深，十分泥泞，被侵蚀的河岸也很陡峭。因此，我们在贝蒂的带领下，在这条弯曲的小河流的几个转弯处徘徊了好久，感觉自己陷入了一个由沼泽、灌木丛和死水塘组成的、没路可走的迷宫。有时候，我们疲倦的马匹得费九牛二虎之力拖着四肢往前走很长一段距离，水花不时溅到马镫上，马蹄则不时磕磕绊绊地陷入草根和倒伏的植物中。有时候，我们不得不艰难地穿越长着刺藤和葡萄藤的密集灌木丛。这些藤蔓植物几乎快把我们从马鞍上拽下去。在一个地方，一匹驮马陷入了泥潭，倒向了一边，我们只得费力地解救它。无论走到哪儿，只要是泥土裸露在外或是有沙洲的地方，我们便会看到无数的熊、狼、野马、火鸡和水禽的足迹。这说明这个河谷可以给猎人提供丰富的猎物。然而，由于大家都已经厌倦了打猎，又加上过于疲劳，所以大家不再对这些足迹感到兴奋了。但在旅行刚开始时，这可是会引发他们狂热的期盼的。现在，他们唯一的愿望便是坚持走到要塞。","We had a beautiful daybreak.The camp again resounded with cheerful voices; every one was animated with the thoughts of soon being at the fort, and revelling on bread and vegetables.Even our saturnine man, Beatte, seemed inspired on this occasion; and as he drove up the horses for the march, I heard him singing, in nasal tones, a most forlorn Indian ditty.All this transient gayety, however, soon died away amidst the fatigues of our march, which lay through the same kind of rough, hilly, thicketed country as that of yesterday.In the course of the morning we arrived at the valley of the Little River, where it wound through a broad bottom of alluvial soil.At present it had overflowed its banks, and inundated a great part of the valley.The difficulty was to distinguish the stream from the broad sheets of water it had formed, and to find a place where it might be forded; for it was in general deep and miry, with abrupt crumbling banks.Under the pilotage of Beatte, therefore, we wandered for some time among the links made by this winding stream, in what appeared to us a trackless labyrinth of swamps, thickets, and standing pools.Sometimes our jaded horses dragged their limbs forward with the utmost difficulty, having to toil for a great distance, with the water up to the stirrups, and beset at the bottom with roots and creeping plants.Sometimes we had to force our way through dense thickets of brambles and grapevines, which almost pulled us out of our saddles.In one place, one of the pack-horses sunk in the mire and fell on his side, so as to be extricated with great difficulty.Wherever the soil was bare, or there was a sand-bank, we beheld innumerable tracks of bears, wolves, wild horses, turkeys, and water-fowl; showing the abundant sport this valley might afford to the huntsman.Our men, however, were sated with hunting, and too weary to be excited by these signs, which in the outset of our tour would have put them in a fever of anticipation.Their only desire, at present, was to push on doggedly for the fortress."
"最终，我们成功找到了一个可以涉水过河的地方，从那儿渡过了利特尔河，渡河时水和泥都漫到了马肚带上。然后我们停留了一个半小时，以检查一下湿漉漉的包裹，也让马匹休息一下。","At length we succeeded in finding a fording place, where we all crossed Little River, with the water and mire to the saddle-girths, and then halted for an hour and a half, to overhaul the wet baggage, and give the horses time to rest."
