"第一章 木屋","Chapter I The Chalet"
"安古维尔山的山顶上只有一条街，而且（正如所有这种情况下那样），面朝塞纳河的房屋同马路另一边那些视线受阻的房屋相比，有着相当的优势。从这一边踮起脚尖，就能看见对面房屋的屋顶。然而，这里也像其他地方一样，存在着一些地役权的限制。一些建在山顶的房屋有着更好的地理位置，或者说拥有合法的俯瞰风景的权利，这迫使它们对面的邻居只能将房屋保持在某一规定的高度以内。此外，嶙峋的山石被开凿成山路，山路沿着斜坡走势而建，以使这里更适宜居住，一些房屋也能通过山石的缺口俯瞰城市、河流或者大海的远景。这座小山没有一个真正的顶峰，而是形成了一座唐突而陡峭的悬崖。沿着山顶走到街道的尽头，便能看到峡谷，那里坐落着几个村落（其中一个叫圣阿德雷斯，还有另外两三个也叫“圣”什么的），还有几条随着海潮静静流淌的小溪。安古维尔山这一侧荒芜的峭壁，同另一侧盖满了能够眺望塞纳河山谷的别墅的丘陵，形成了强烈的对比。是这面的风太大，草木不能生长？还是开发这里需要巨额投资，所以商人们都退缩了呢？不论什么原因，那些乘坐轮船来到勒阿弗尔的游客，都会对安古维尔西侧贫瘠的海岸和错综复杂的峡谷感到惊讶。打个比方，就像是看到一个衣衫褴褛的乞丐站在一个满身香气、衣冠楚楚的阔佬旁边一样。","At the crest of the hill Ingouville has but one street, and (as in all such situations) the houses which overlook the river have an immense advantage over those on the other side of the road, whose view they obstruct, and which present the effect of standing on tip-toe to look over the opposing roofs.However, there exist here, as elsewhere, certain servitudes.Some houses standing at the summit have a finer position or possess legal rights of view which compel their opposite neighbors to keep their buildings down to a required height.Moreover, the openings cut in the capricious rock by roads which follow its declensions and make the amphitheatre habitable, give vistas through which some estates can see the city, or the river, or the sea.Instead of rising to an actual peak, the hill ends abruptly in a cliff.At the end of the street which follows the line of the summit, ravines appear in which a few villages are clustered (Sainte–Adresse and two or three other Saint-somethings) together with several creeks which murmur and flow with the tides of the sea.These half-deserted slopes of Ingouville form a striking contrast to the terraces of fine villas which overlook the valley of the Seine.Is the wind on this side too strong for vegetation?Do the merchants shrink from the cost of terracing it?However this may be, the traveller approaching Havre on a steamer is surprised to find a barren coast and tangled gorges to the west of Ingouville, like a beggar in rags beside a perfumed and sumptuously apparelled rich man."
"一八二九年，最后一批靠海的房子建起来了，其中有一座——今天它很可能已经是安古维尔的中心了——被称作“木屋”。现在，说不定人们还是这样叫它。起初，那只是一间看门人住的小屋，前面是一座修剪整齐的小花园。木屋后面的别墅是一座带有庭院、花园、鸟房、温室以及草坪的宅邸。别墅主人想让这栋小木屋与自己的豪宅风格更加一致，便按照农舍式小别墅的样子对其进行了重建。他用一道矮墙将这座小农舍同别墅的草坪分开，又沿墙种上树篱将墙遮住。农舍边围绕着花床，算是别墅的露台区。这座农舍式小别墅（尽管主人费劲心思，人们还是叫它“木屋”）的后面便是果园和菜园。木屋不养奶牛，也不产乳制品。它与道路之间隔着一道木栅栏，栅栏的木桩被茂盛的树篱盖住了。道路另一边与之相对的房屋也遵从地役权的规定，建造了相似高度的栅栏和围篱，这样从木屋别墅便能将勒阿弗尔的景色一览无遗。","In 1829 one of the last houses looking toward the sea, and which in all probability stands about the centre of the Ingouville today, was called, and perhaps is still called, “the Chalet.”Originally it was a porter’s lodge with a trim little garden in front of it.The owner of the villa to which it belonged,—a mansion with park, gardens, aviaries, hot-houses, and lawns—took a fancy to put the little dwelling more in keeping with the splendor of his own abode, and he reconstructed it on the model of an ornamental cottage.He divided this cottage from his own lawn, which was bordered and set with flower-beds and formed the terrace of his villa, by a low wall along which he planted a concealing hedge.Behind the cottage (called, in spite of all his efforts to prevent it, the Chalet) were the orchards and kitchen gardens of the villa.The Chalet, without cows or dairy, is separated from the roadway by a wooden fence whose palings are hidden under a luxuriant hedge.On the other side of the road the opposite house, subject to a legal privilege, has a similar hedge and paling, so as to leave an unobstructed view of Havre to the Chalet."
"这所小木屋令别墅的现任主人维尔坎先生头疼不已，原因说来话长。这座别墅里每个奢华的角落仿佛都高喊着：“看我们的万贯家财！”别墅的最初建造者把庭院延伸到远处的原野，用他的话说，就是为了不让园丁们在他眼皮底下工作。因此，木屋建成以后，也只有别墅主人的朋友才能来住。别墅的第二位主人米尼翁先生非常喜欢他的账房总管迪迈先生，而接下来的故事也将证明这种喜欢是相互的。于是，他让迪迈先生住到这间小木屋来。迪迈是一个严格按法律程序办事的人，他坚持要和东家签一个为期十二年、每年租金三百法郎的租约，米尼翁先生很乐意地签了，并说道：","This little dwelling was the torment of the present proprietor of the villa, Monsieur Vilquin; and here is the why and the wherefore.The original creator of the villa, whose sumptuous details cry aloud, “Behold our millions!” extended his park far into the country for the purpose, as he averred, of getting his gardeners out of his pockets; and so, when the Chalet was finished, none but a friend could be allowed to inhabit it.Monsieur Mignon, the next owner of the property, was very much attached to his cashier, Dumay, and the following history will prove that the attachment was mutual; to him therefore he offered the little dwelling.Dumay, a stickler for legal methods, insisted on signing a lease for three hundred francs for twelve years, and Monsieur Mignon willingly agreed, remarking,—"
"“亲爱的迪迈，记住，从现在开始，你要同我在这里住上十二年。”","“My dear Dumay, remember, you have now bound yourself to live with me for twelve years.”"
"后来，由于发生了一些变故——我们不久就会讲到这些变故——这位曾是勒阿弗尔首富的米尼翁先生将房产卖给了他在生意场上的一个对手，维尔坎。能够得到远近闻名的米尼翁别墅，维尔坎自然是高兴得不得了，兴头之下，忘记了和迪迈解除租约。迪迈没有急于阻止这笔交易，维尔坎让他签什么合约他就签什么合约，可买卖成交之后，他却死守着那份租约不放。而且，他一直留在维尔坎眼皮底下，深入维尔坎家庭生活的内部，观察维尔坎，刺激维尔坎，总之，对维尔坎一家来说，他就像是一只牛虻。每天早晨，维尔坎从窗前向外眺望，都会看到外面那座耗资六万法郎、在阳光下像块红宝石般闪闪发光的小木屋——整座别墅的精华所在。每当这时，一股怒火便会从他心头升起。将木屋比作红宝石真是太贴切了。建筑师建造这座农舍式小别墅时，用的是最鲜亮耀眼的红砖，砖缝则填涂了白色的水泥。窗框漆成鲜绿色，木家具则刷成接近于黄色的浅棕色。屋檐向外伸出几英尺远。底楼上方有一条漂亮的回廊，栏杆是透雕细工的，在房子正面的中间形成一个镶着玻璃的凉台。一楼有一间漂亮的客厅和一间餐厅，两厅由一个木制的楼梯平台隔开，楼梯的设计和装饰朴素而典雅。餐厅后面是厨房，客厅后面原来是间书房，现在改成了迪迈先生和迪迈夫人的卧室。建筑师在二楼建了两间大卧室，每间都配有梳妆室，凉台可以当作客厅。三层的房顶像是两张抵在一起的扑克牌，这一层有两间仆人卧室，每一间的屋顶都是复折式的，开着圆形的天窗，倒也敞亮。","In consequence of certain events which will presently be related, the estates of Monsieur Mignon, formerly the richest merchant in Havre, were sold to Vilquin, one of his business competitors.In his joy at getting possession of the celebrated villa Mignon, the latter forgot to demand the cancelling of the lease.Dumay, anxious not to hinder the sale, would have signed anything Vilquin required, but the sale once made, he held to his lease like a vengeance.And there he remained, in Vilquin’s pocket as it were; at the heart of Vilquin’s family life, observing Vilquin, irritating Vilquin,—in short, the gadfly of all the Vilquins.Every morning, when he looked out of his window, Vilquin felt a violent shock of annoyance as his eye lighted on the little gem of a building, the Chalet, which had cost sixty thousand francs and sparkled like a ruby in the sun.That comparison is very nearly exact.The architect has constructed the cottage of brilliant red brick pointed with white.The window-frames are painted of a lively green, the woodwork is brown verging on yellow.The roof overhangs by several feet.A pretty gallery, with open-worked balustrade, surmounts the lower floor and projects at the centre of the facade into a veranda with glass sides.The ground-floor has a charming salon and a dining-room, separated from each other by the landing of a staircase built of wood, designed and decorated with elegant simplicity.The kitchen is behind the dining-room, and the corresponding room back of the salon, formerly a study, is now the bedroom of Monsieur and Madame Dumay.On the upper floor the architect has managed to get two large bedrooms, each with a dressing-room, to which the veranda serves as a salon; and above this floor, under the eaves, which are tipped together like a couple of cards, are two servants’ rooms with mansard roofs, each lighted by a circular window and tolerably spacious."
"维尔坎十分小气，他在果园和菜园的一侧修起了一堵高墙，而这一恶意行为的结果就是，租约中归木屋所属的那一小块地看上去就像一个巴黎花园了。木屋外围建筑的油漆与木屋保持一致，背靠着邻家的墙。","Vilquin has been petty enough to build a high wall on the side toward the orchard and kitchen garden; and in consequence of this piece of spite, the few square feet which the lease secured to the Chalet resembled a Parisian garden.The out-buildings, painted in keeping with the cottage, stood with their backs to the wall of the adjoining property."
"这间漂亮的小屋，其内部风格也与其外观十分协调。客厅的整个地板都是实木的，油漆的风格让人联想到精美的中国漆器。黑底金边的木板上镶着的颜色各异的鸟儿、鲜绿异常的叶子和奇特的东方图样，绚丽夺目、闪闪发光。整个餐厅都铺着北方木材，用的是透雕细工的工艺，像是漂亮的俄罗斯小木屋。楼梯与楼梯平台之间形成的小小前厅被漆成了古橡木色，呈现出哥特式的装饰风格。卧室里挂着印花纱帐，风格简单，却价格不菲，散发着独特的魅力。账房总管和他夫人现在住的书房，墙和天花板上上下下都镶着装饰木板，就像一艘轮船的船舱。别墅前任主人留下的奢华装饰让维尔坎感到十分恼火。他本想让他的女儿女婿住到这座农舍式别墅来。迪迈对他的这种想法心知肚明，可他有着布列塔尼人典型的固执脾气，就是不肯搬走。","The interior of this charming dwelling harmonized with its exterior.The salon, floored entirely with iron-wood, was painted in a style that suggested the beauties of Chinese lacquer.On black panels edged with gold, birds of every color, foliage of impossible greens, and fantastic oriental designs glowed and shimmered.The dining-room was entirely sheathed in Northern woods carved and cut in open-work like the beautiful Russian chalets.The little antechamber formed by the landing and the well of the staircase was painted in old oak to represent Gothic ornament.The bedrooms, hung with chintz, were charming in their costly simplicity.The study, where the cashier and his wife now slept, was panelled from top to bottom, on the walls and ceiling, like the cabin of a steamboat.These luxuries of his predecessor excited Vilquin’s wrath.He would fain have lodged his daughter and her husband in the cottage.This desire, well known to Dumay, will presently serve to illustrate the Breton obstinacy of the latter."
"木屋的进门处是一扇小小的格子状铁门，铁栏上的金属刺要比栅栏和树篱高出几英寸。小花园几乎和那片迷人的草坪一样开阔，里面正开着各种各样的花，如玫瑰花、精选品种的大丽花，以及其他许多稀有的温室品种，因为（这也是让维尔坎痛苦不已的一个原因）那座小而华贵的温室，创意奇特的温室，代表着高贵和气派的温室，正是属木屋管辖的。温室在木屋和维尔坎的别墅之间，把二者分隔开来，或者你也可以说是把二者连在一起。迪迈精心照料着这座温室，以此缓解做生意的疲劳，那温室里的异国珍宝也是莫黛斯特的一大乐趣。维尔坎别墅的弹子房像一条长廊，曾经通过一座巨大的鸟舍与这间温室相连。但是，维尔坎修起高墙后，自己便看不到果园了，自那之后，迪迈便将这扇门用砖堵死了。“以墙还墙！”他说。","The entrance to the Chalet is by a little trellised iron door, the uprights of which, ending in lance-heads, show for a few inches above the fence and its hedge.The little garden, about as wide as the more pretentious lawn, was just now filled with flowers, roses, and dahlias of the choicest kind, and many rare products of the hot-houses, for (another Vilquinard grievance) the elegant little hot-house, a very whim of a hot-house, a hot-house representing dignity and style, belonged to the Chalet, and separated, or if you prefer, united it to the villa Vilquin.Dumay consoled himself for the toils of business in taking care of this hot-house, whose exotic treasures were one of Modeste’s joys.The billiard-room of the villa Vilquin, a species of gallery, formerly communicated through an immense aviary with this hot-house.But after the building of the wall which deprived him of a view into the orchards, Dumay bricked up the door of communication.“Wall for wall!” he said."
"一八二七年，维尔坎提出如果迪迈愿意放弃租约，他将给迪迈每年六千法郎的薪水，外加一万法郎作为赔偿。尽管当时这位账房总管只能从他原东家的文员哥本海姆那里得到三千法郎，但他还是拒绝了维尔坎的提议。迪迈本是一位布列塔尼人，由于命运的安排，移居到了诺曼底。因此，大家可以想象一下，对于身价达到三百万的诺曼人维尔坎而言，木屋的房客令他何等痛恨！让这样一个富有的人感到金钱的无能，这位账房总管可真是犯了亵渎万贯金钱罪啊！在这件事上，维尔坎表现得孤注一掷，这已成了勒阿弗尔人的笑柄。最近他又提出把自己的一栋漂亮房子给迪迈，但又被拒绝了。勒阿弗尔人开始为这位先生的固执感到不安，许多人用这样一句话来解释：“迪迈是布列塔尼人。”对于这位账房总管来说，他认为米尼翁夫人和小姐住到其他地方去肯定会觉得不适。他所崇拜的两位偶像现在正住在与她们相称的神庙里，这座奢华的小农舍式别墅能给她们一个家，让这些被罢黜的贵族保持外在的尊严，而许多曾经风光的人是得不到这种尊严的。","In 1827 Vilquin offered Dumay a salary of six thousand francs, and ten thousand more as indemnity, if he would give up the lease.The cashier refused; though he had but three thousand francs from Gobenheim, a former clerk of his master.Dumay was a Breton transplanted by fate into Normandy.Imagine therefore the hatred conceived for the tenants of the Chalet by the Norman Vilquin, a man worth three millions!What criminal leze-million on the part of a cashier, to hold up to the eyes of such a man the impotence of his wealth!Vilquin, whose desperation in the matter made him the talk of Havre, had just proposed to give Dumay a pretty house of his own, and had again been refused.Havre itself began to grow uneasy at the man’s obstinacy, and a good many persons explained it by the phrase, “Dumay is a Breton.”As for the cashier, he thought Madame and Mademoiselle Mignon would be ill-lodged elsewhere.His two idols now inhabited a temple worthy of them; the sumptuous little cottage gave them a home, where these dethroned royalties could keep the semblance of majesty about them,—a species of dignity usually denied to those who have seen better days."
"在继续这个故事之前，先了解一下莫黛斯特·米尼翁住在哪里，平常都和哪些人来往，读者们应该不会感到后悔的。因为在莫黛斯特·米尼翁这个年龄段，周围的人和事物对她未来人生的影响毫不亚于她个人性格造成的影响。事实上，周围的环境往往会给一个人的性格带来不可磨灭的烙印。","Perhaps as the story goes on, the reader will not regret having learned in advance a few particulars as to the home and the habitual companions of Modeste Mignon, for, at her age, people and things have as much influence upon the future life as a person’s own character,—indeed, character often receives ineffaceable impressions from its surroundings."
"第二章 一幅生活图","Chapter II A Portrait from Life "
"从拉图奈尔一家人走进木屋的样子，一个陌生人很容易就可以猜到他们每晚都会去那里。","From the manner with which the Latournelles entered the Chalet a stranger would readily have guessed that they came there every evening."
"“啊，你已经到了。”公证人看到那位年轻的银行家哥本海姆时这样说道。哥本海姆是巴黎大银行董事长哥本海姆-凯勒的亲戚。","“Ah, you are here already,” said the notary, perceiving the young banker Gobenheim, a connection of Gobenheim-Keller, the head of the great banking house in Paris."
"这个年轻人脸色灰白，金发黑眼，坚定的目光中带有一种说不出的魅力，言行举止都很冷静。他一身黑衣，瘦得像个肺病患者，但看体格还算有活力。他时常去拜访前东家一家和账房总管，但与其说是出于感情，还不如说是打着自己的小算盘。他们在这里玩惠斯特纸牌，两苏一个筹码。这种场合不需要穿礼服，除了几杯糖水，他也不吃其他茶点，因此也不用拘泥任何礼节。这种对米尼翁一家表面上的忠心让人们觉得哥本海姆很有良心，同时，他也就不必到勒阿弗尔去进行社交，花那些冤枉钱，影响他的生活支出平衡。这位金钱的信徒每天十点半睡觉，五点钟起床。此外，他深信拉图奈尔和比查会守口如瓶，这样他就可以跟他们讨论棘手的生意问题，得到公证人的免费建议，并一窥街头巷尾那些传言的真相。这个冷漠无情的恋金癖（比查语），本性就像化学中被称为“吸附剂”的那类物质。凯勒银行起初是派他到米尼翁家去学习海上贸易的经验。自从米尼翁家破产后，木屋里任何人都没让他做过一点点小事情，任何事情都没有，因为大家都知道他的回答会是什么。这个年轻小伙子仔细端详莫黛斯特时，就像是在看一幅廉价的平版印刷品。","This young man with a livid face—a blonde of the type with black eyes, whose immovable glance has an indescribable fascination, sober in speech as in conduct, dressed in black, lean as a consumptive, but nevertheless vigorously framed—visited the family of his former master and the house of his cashier less from affection than from self-interest.Here they played whist at two sous a point; a dress-coat was not required; he accepted no refreshment except “eau sucree,” and consequently had no civilities to return.This apparent devotion to the Mignon family allowed it to be supposed that Gobenheim had a heart; it also released him from the necessity of going into the society of Havre and incurring useless expenses, thus upsetting the orderly economy of his domestic life.This disciple of the golden calf went to bed at half-past ten o’clock and got up at five in the morning.Moreover, being perfectly sure of Latournelle’s and Butscha’s discretion, he could talk over difficult business matters, obtain the advice of the notary gratis, and get an inkling of the real truth of the gossip of the street.This stolid gold-glutton (the epithet is Butscha’s) belonged by nature to the class of substances which chemistry terms absorbents.Ever since the catastrophe of the house of Mignon, where the Kellers had placed him to learn the principles of maritime commerce, no one at the Chalet had ever asked him to do the smallest thing, no matter what; his reply was too well known.The young fellow looked at Modeste precisely as he would have looked at a cheap lithograph."
"“他就像‘贸易’这部庞大机器中的一个活塞。”可怜的比查这样说道。比查有时候会胆怯地冒出几句这样的话，让人觉得他还挺聪明。","“He’s one of the pistons of the big engine called ‘Commerce,’” said poor Butscha, whose clever mind made itself felt occasionally by such little sayings timidly jerked out."
"拉图奈尔一家四口以最恭敬的方式向一位身穿黑丝绒长裙的老妇人鞠躬致敬。老妇人坐在扶手椅里，并未起身，因为她患有白内障，双眼已经被黄色的薄膜遮住了。她便是米尼翁夫人，可以用一句话来形容她。作为一名家庭主妇，她那令人敬畏的面容会立刻引起你的注意，她一生无可指摘，勇于反抗命运的打击，然而，她却偏偏成了无数尼俄柏人当中的一员，被命运选作放矢之的。她头上的金色假发有着细致的小卷，戴得熨熨贴贴，衬着她冰冷、白皙的脸庞，就像画家哈尔斯或米尔威特笔下的德国市长夫人。她的穿着极其整洁，丝绒靴、蕾丝衣领、平整的披肩，这一切都证明了莫黛斯特对她母亲无微不至的关爱。","The four Latournelles bowed with the most respectful deference to an old lady dressed in black velvet, who did not rise from the armchair in which she was seated, for the reason that both eyes were covered with the yellow film produced by cataract.Madame Mignon may be sketched in one sentence.Her august countenance of the mother of a family attracted instant notice as that of one whose irreproachable life defies the assaults of destiny, which nevertheless makes her the target of its arrows and a member of the unnumbered tribe of Niobes.Her blonde wig, carefully curled and well arranged upon her head, became the cold white face which resembled that of some burgomaster’s wife painted by Hals or Mirevelt.The extreme neatness of her dress, the velvet boots, the lace collar, the shawl evenly folded and put on, all bore testimony to the solicitous care which Modeste bestowed upon her mother."
"正如公证人所料，华丽的客厅安静了下来，莫黛斯特坐在她母亲旁边，为她绣一块方巾。这位少女立即成为了众人关注的中心。来访的客人用俗套的寒暄来掩饰他们的好奇，就算是一个毫不相干的人，看到这场景也能发觉这一家人正在为莫黛斯特设计某个陷阱。但哥本海姆还不如一个毫不相干的人，他什么都没有察觉到，只是点亮了牌桌的蜡烛。迪迈的行为让比查、拉图奈尔一家，尤其是迪迈夫人，感到形势严峻，迪迈夫人知道，她的丈夫会像一只疯狗那样不顾一切地朝莫黛斯特的情人开枪。","When silence was, as the notary had predicted, restored in the pretty salon, Modeste, sitting beside her mother, for whom she was embroidering a kerchief, became for an instant the centre of observation.This curiosity, barely veiled by the commonplace salutations and inquiries of the visitors, would have revealed even to an indifferent person the existence of the domestic plot to which Modeste was expected to fall a victim; but Gobenheim, more than indifferent, noticed nothing, and proceeded to light the candles on the card-table.The behavior of Dumay made the whole scene terrifying to Butscha, to the Latournelles, and above all to Madame Dumay, who knew her husband to be capable of firing a pistol at Modeste’s lover as coolly as though he were a mad dog."
