"第一章","Chapter 1"
"我已经没法回到乔那里去了，也没法回到比迪那里去了，无论如何也回不去了，我想原因很简单，因为我对他们的所作所为让我感到羞耻，即使有回去的理由，也会被这种羞耻感打消的。他们的淳朴和忠诚带给我的慰藉，世上没有哪个圣明的贤人能给得了，可我的所作所为却是永远、永远都无法挽回的了。","I would not have gone back to Joe now, I would not have gone back to Biddy now, for any consideration: simply, I suppose, because my sense of my own worthless conduct to them was greater than every consideration.No wisdom on earth could have given me the comfort that I should have derived from their simplicity and fidelity; but I could never, never, undo what I had done."
"外面每一阵狂风暴雨，都让我觉得好像听到了追捕者的声音。我发誓，我有两次听到了门外有人敲门的声音，还有小声说话的声音。心头压着这样的恐惧，我开始想象或者说回忆起来了，在这个人到来之前，我已经见到了种种神秘的预兆。几个星期前，我在街上看到的很多人的面孔，感觉都很像他。他漂洋过海，离我越近，和他长得像的人就越多。他们是他邪恶的灵魂派来的使者，在这样一个风雨交加的夜晚，他终于信守诺言，到我这里来了。","In every rage of wind and rush of rain, I heard pursuers.Twice, I could have sworn there was a knocking and whispering at the outer door.With these fears upon me, I began either to imagine or recall that I had had mysterious warnings of this man’s approach.That, for weeks gone by, I had passed faces in the streets which I had thought like his.That, these likenesses had grown more numerous, as he, coming over the sea, had drawn nearer.That, his wicked spirit had somehow sent these messengers to mine, and that now on this stormy night he was as good as his word, and with me."
"这些想法一股脑地涌过来，我想起了孩提时代亲眼看见的那个孤注一掷的人，我听到另外一个逃犯一再地说他要谋杀自己，我看见他在水沟里像野兽一样和那个人扭打在一起。这样想着想着，我看到火炉里隐隐约约+B390地浮现出一个可怕的影子，在这样一个寂静的深夜里，和他共处一室可能不大安全。那个可怕的影子越来越大，渐渐充满了整个房间，我不得已拿起一只蜡烛，进屋去看看那个让我害怕的包袱。","Crowding up with these reflections came the reflection that I had seen him with my childish eyes to be a desperately violent man; that I had heard that other convict reiterate that he had tried to murder him; that I had seen him down in the ditch tearing and fighting like a wild beast.Out of such remembrances I brought into the light of the fire, a half-formed terror that it might not be safe to be shut up there with him in the dead of the wild solitary night.This dilated until it filled the room, and impelled me to take a candle and go in and look at my dreadful burden."
"他卷起了一块手帕围在头上，面孔显得僵硬而阴沉。但他睡着了，睡得很沉，枕边放着一把手枪。我放心了，轻轻把房门上的钥匙取下，插在门外，把门反锁了，才又回到炉边坐下了。我睡着了，从椅子上慢慢滑了下来，躺在地板上。我一觉醒来，梦里都还想到自己的悲惨处境，无法摆脱，只听东边教堂的钟敲了五下，蜡烛烧完了，炉火熄灭了，狂风暴雨也把天色染得更黑了。","He had rolled a handkerchief round his head, and his face was set and lowering in his sleep.But he was asleep, and quietly too, though he had a pistol lying on the pillow.Assured of this, I softly removed the key to the outside of his door, and turned it on him before I again sat down by the fire.Gradually I slipped from the chair and lay on the floor.When I awoke, without having parted in my sleep with the perception of my wretchedness, the clocks of the Eastward churches were striking five, the candles were wasted out, the fire was dead, and the wind and rain intensified the thick black darkness."
"皮普远大前程的第二阶段告一段落。","THIS IS THE END OF THE SECOND STAGE OF PIP’S EXPECTATIONS."
"第四十章","Chapter 40"
"我一觉醒来，就想到要尽可能地采取预防措施,保证我这位可怕的不速之客的安全，也幸而这样，我才得以把其他杂乱的想法一股脑地全部抛开。","It was fortunate for me that I had to take precautions to ensure (so far as I could) the safety of my dreaded visitor; for, this thought pressing on me when I awoke, held other thoughts in a confused concourse at a distance."
"把他藏在家里显然是不可能的。不但不可能，就连这种尝试也不可避免地要让人起疑心。确实，我已经解雇了那个复仇鬼，但我现在又找了个颇有煽动性的老妈子，她还带了个挺机灵的邋遢姑娘做帮手，说是她侄女。想要锁住一间房瞒着她们，这只会激起她们的好奇心，让她们给添油加醋地传出去。她们两个眼睛都不好使，我一直把这归因于她们长年累月凑着钥匙孔偷窥的结果，她们总是在你不需要她们的时候出现。的确，除了小偷小摸之外，这一点是她们唯一可以确定的品质。为了不激起这两人的好奇心，我决定早上跟她们宣布，我伯父突然从乡下来看我了。","The impossibility of keeping him concealed in the chambers was self-evident.It could not be done, and the attempt to do it would inevitably engender suspicion.True, I had no Avenger in my service now, but I was looked after by an inflammatory old female, assisted by an animated rag-bag whom she called her niece, and to keep a room secret from them would be to invite curiosity and exaggeration.They both had weak eyes, which I had long attributed to their chronically looking in at keyholes, and they were always at hand when not wanted; indeed that was their only reliable quality besides larceny.Not to get up a mystery with these people, I resolved to announce in the morning that my uncle had unexpectedly come from the country."
"我就这么决定了，在黑暗中东摸西找了一阵，想找个火把灯点起来。最后摸来摸去没找着，我只得到毗邻的门房那里去，找看门人拿灯笼来照一下。我摸索着下楼，在黑漆漆的楼梯间被什么东西绊了一下，原来是个人蜷缩在角落里。","This course I decided on while I was yet groping about in the darkness for the means of getting a light.Not stumbling on the means after all, I was fain to go out to the adjacent Lodge and get the watchman there to come with his lantern.Now, in groping my way down the black staircase I fell over something, and that something was a man crouching in a corner."
"我问那个人在那里干什么，他没有回答我，只是默默地走开了。我跑到门房，催看门人赶快过去看看，回来的路上把我刚才所见之事跟他说了。风还是那么猛烈，我们没有重新点燃楼梯间的灯，生怕把灯笼里的火弄灭了。不过我们上上下下地把楼梯检查了一遍，却一个人也没找到。我突然想到，那个人可能溜到我屋子里去了。所以，我就用看门人的灯笼把蜡烛点着了，让他呆在门口。我仔细检查了一下每个房间，连我那可怕的不速之客睡觉的房间也检查到了。屋里一片寂静，可以肯定的是，屋子里没有别人。","As the man made no answer when I asked him what he did there, but eluded my touch in silence, I ran to the Lodge and urged the watchman to come quickly: telling him of the incident on the way back.The wind being as fierce as ever, we did not care to endanger the light in the lantern by rekindling the extinguished lamps on the staircase, but we examined the staircase from the bottom to the top and found no one there.It then occurred to me as possible that the man might have slipped into my rooms; so, lighting my candle at the watchman’s, and leaving him standing at the door, I examined them carefully, including the room in which my dreaded guest lay asleep.All was quiet, and assuredly no other man was in those chambers."
"一年三百六十五个晚上，偏偏在这个晚上楼梯间里潜伏了一个人，想到这一点我感到很不安。我在门边递给看门人一杯酒，抱着打探一丝线索的希望，问他有没有让什么外出吃饭晚归的人进来。他说有，晚上先后进来过三个人。一个住在喷泉坊，另外两个住在巷子里，他亲眼看见他们都回家去了。和我同住一栋房子的只有一位房客，他的房间在另一边，那个人到乡下去了好几个星期了，他晚上肯定没回来，因为我们上楼的时候看见他门上自己贴的封条还在。","It troubled me that there should have been a lurker on the stairs, on that night of all nights in the year, and I asked the watchman, on the chance of eliciting some hopeful explanation as I handed him a dram at the door, whether he had admitted at his gate any gentleman who had perceptibly been dining out?Yes, he said; at different times of the night, three.One lived in Fountain Court, and the other two lived in the Lane, and he had seen them all go home.Again, the only other man who dwelt in the house of which my chambers formed a part, had been in the country for some weeks; and he certainly had not returned in the night, because we had seen his door with his seal on it as we came up-stairs."
"“先生，今天晚上天气这么坏。”看门人把空杯递给我，说道，“从我大门里进来的人少得可怜。除了我刚才说的那三个人，我记不起还有别的人了，不过十一点钟的样子，有个陌生人打听您。”","“The night being so bad, sir,” said the watchman, as he gave me back my glass, “uncommon few have come in at my gate.Besides them three gentlemen that I have named, I don’t call to mind another since about eleven o’clock, when a stranger asked for you.”"
"“那是我伯父。”我喃喃低语道。“哦。”","“My uncle,” I muttered.“Yes.”"
"“您见到他了吗，先生？”","“You saw him, sir?”"
"“是的。见到了。”","“Yes.Oh yes.”"
"“还有和他一起来的那个人吧？”","“Likewise the person with him?”"
"“和他一起来的那个人！”我重复了一遍。","“Person with him!” I repeated."
"“我以为那个人是和他一起的。”看门人回答说，“您+B48伯父停下来向我打听你的时候，他也停了下来，你伯父往这边走，他也往这边走。”","“I judged the person to be with him,” returned the watchman.“The person stopped, when he stopped to make inquiry of me, and the person took this way when he took this way.”"
"“那个人什么样子？”","“What sort of person?”"
"看门人说他没怎么注意，只能说模样像个工人，他最多只能想起，那人穿着一件灰褐色的衣服，外面套了一件深色的外套。看门人没把这事看得很严重，不像我那样，这很自然，我把这事看得很严重是有我的理由的。","The watchman had not particularly noticed; he should say a working person; to the best of his belief, he had a dust-colored kind of clothes on, under a dark coat.The watchman made more light of the matter than I did, and naturally; not having my reason for attaching weight to it."
"我觉得最好不要再问下去了，就把他打发走了。这时，两方面的情况混在一起，让我的大脑一团混乱。本来这两种情况是互不相干，很容易解释清楚的——比如说，有人在外面或自己家里酒足饭饱之后，没从门房那里经过，而是不小心走到我这里的楼梯口了，在那里倒下就睡着了——还有，我这位不知姓名的不速之客可能找这个人给他带路，就把这个人带来了——可是，这两种情况凑到一起，对我这样一个几个小时前刚经历过巨大变故的人来说，自然显得疑点重重，让人惴惴不安。","When I had got rid of him, which I thought it well to do without prolonging explanations, my mind was much troubled by these two circumstances taken together.Whereas they were easy of innocent solution apart—as, for instance, some diner-out or diner-at-home, who had not gone near this watchman’s gate, might have strayed to my staircase and dropped asleep there—and my nameless visitor might have brought some one with him to show him the way—still, joined, they had an ugly look to one as prone to distrust and fear as the changes of a few hours had made me."
"我生起了炉火，炉火在晨曦中发出苍白而暗淡的光，我在炉火旁打起盹来。钟敲六下的时候，我醒了过来，感觉整整一晚上都在打盹。离天亮还足足有一个半小时，我于是又打起盹来。一会儿心神不安地醒来，好像有人在我耳边絮絮叨叨地说些无关紧要的话，一会儿又好像壁炉管道里的风在嚎叫。最后，我沉沉地睡着了，直到天光大亮方才惊醒过来。","I lighted my fire, which burnt with a raw pale flare at that time of the morning, and fell into a doze before it.I seemed to have been dozing a whole night when the clocks struck six.As there was full an hour and a half between me and daylight, I dozed again; now, waking up uneasily, with prolix conversations about nothing, in my ears; now, making thunder of the wind in the chimney; at length, falling off into a profound sleep from which the daylight woke me with a start."
"整个这一段时间，我还没来得及好好想想我的处境，现在也还不能。我没法把心思集中到这上面来。我沮丧万分、苦恼不已，而且，这种沮丧和苦恼是一阵一阵向我袭来的。至于说我以后有什么打算，我毫无头绪。我打开百叶窗向外望去，只见外面的清晨一片荒凉、潮湿，都成了铅灰色。我从这个房间踱到那个房间，然后又在火炉前坐下了，浑身瑟瑟发抖，等着我那洗衣妇上门。我想到自己是多么悲惨，却不知道为什么会这样，也不知道我处于这样的境地有多久了，更不知道我这种想法是从星期几开始的，甚至不知道有这种想法的“我”到底是谁。","All this time I had never been able to consider my own situation, nor could I do so yet.I had not the power to attend to it.I was greatly dejected and distressed, but in an incoherent wholesale sort of way.As to forming any plan for the future, I could as soon have formed an elephant.When I opened the shutters and looked out at the wet wild morning, all of a leaden hue; when I walked from room to room; when I sat down again shivering, before the fire, waiting for my laundress to appear; I thought how miserable I was, but hardly knew why, or how long I had been so, or on what day of the week I made the reflection, or even who I was that made it."
"老妈子和她侄女终于来了——她侄女的头发和她手上脏兮兮的扫帚简直难以区分开来——她看见我在壁炉旁，显然大吃了一惊。我对她们说，我伯父夜里过来了，现在正在睡觉，然后告诉她们早餐该进行哪些相应的改变。说完我就去盥洗更衣，这时她们就乒乒乓乓地收拾家具，扬起一阵灰尘。我精神恍惚，梦游般地又回到壁炉前坐下了，等着他出来吃早餐。","At last, the old woman and the niece came in—the latter with a head not easily distinguishable from her dusty broom—and testified surprise at sight of me and the fire.To whom I imparted how my uncle had come in the night and was then asleep, and how the breakfast preparations were to be modified accordingly.Then, I washed and dressed while they knocked the furniture about and made a dust; and so, in a sort of dream or sleep-waking, I found myself sitting by the fire again, waiting for—Him—to come to breakfast."
"终于，他的门开了，他从里面出来了。我简直不能容忍他这副样子，他在白天看起来比晚上还要难看。","By-and-by, his door opened and he came out.I could not bring myself to bear the sight of him, and I thought he had a worse look by daylight."
"“我甚至还不知道，”他在桌边坐下后，我低声跟他说，“该怎么称呼你。我跟她们说过你是我伯父。”","“I do not even know,” said I, speaking low as he took his seat at the table, “by what name to call you.I have given out that you are my uncle.”"
"“就这么叫吧，好孩子！就叫我伯父。”","“That’s it, dear boy!Call me uncle.”"
"“我想，你一路坐船过来，总有个名字吧？”","“You assumed some name, I suppose, on board ship?”"
"“有的，好孩子。我用的名字是普罗维斯。”","“Yes, dear boy.I took the name of Provis.”"
"“这个名字你打算一直用下去吗？”","“Do you mean to keep that name?”"
"“嗯，是啊，好孩子，用哪个名字都一样——除非你想要换一个。”","“Why, yes, dear boy, it’s as good as another—unless you’d like another.”"
"“你的真名是什么？”我低声问他。","“What is your real name?” I asked him in a whisper."
"“马格维奇，”他也低声回答，“教名是埃布尔。”","“Magwitch,” he answered, in the same tone; “chrisen’d Abel.”"
"“你原来是做什么的？”","“What were you brought up to be?”"
"“我不过是只小毛虫，好孩子。”","“A warmint, dear boy.”"
"他非常认真地回答我，说得好像小毛虫也是一种行当一样。","He answered quite seriously, and used the word as if it denoted some profession."
"“你昨晚来坦普尔的时候——”我说着停了下来，想了一下是不是昨晚，我感觉那仿佛是很久以前的事了。","“When you came into the Temple last night—” said I, pausing to wonder whether that could really have been last night, which seemed so long ago."
"“怎么了，好孩子？”","“Yes, dear boy?”"
"“你从大门进来，向看门人问路的时候，有没有人跟你在一起？”","“When you came in at the gate and asked the watchman the way here, had you any one with you?”"
"“跟我在一起？没有，好孩子。”","“With me?No, dear boy.”"
"“大门口没有别人吗？”","“But there was some one there?”"
"“这我倒没有很注意。”他含含糊糊地回答，“我对这一带不熟悉。不过我觉得是有个人跟着我过来了。”","“I didn’t take particular notice,” he said, dubiously, “not knowing the ways of the place.But I think there was a person, too, come in alonger me.”"
"“伦敦有人认识你吗？”","“Are you known in London?”"
"“但愿没有！”他一边说，一边用食指在脖子上使劲一抹，这动作让我既恼火又恶心。","“I hope not!” said he, giving his neck a jerk with his forefinger that made me turn hot and sick."
"“以前在伦敦有人认识你吗？”","“Were you known in London, once?”"
"“没有，好孩子。我基本上都呆在乡下。”","“Not over and above, dear boy.I was in the provinces mostly.”"
"“你是——在伦敦——受审的吗？”","“Were you—tried—in London?”"
"“哪一次？”他机警地看了我一眼。","“Which time?” said he, with a sharp look."
"“最近的那次。”","“The last time.”"
"他点了点头。“我就是那次认识贾格尔斯先生的。是他给我辩护的。”","He nodded.“First knowed Mr. Jaggers that way.Jaggers was for me.”"
"我正想问他犯了什么罪，只见他拿出一把小刀，在空中挥了挥，说：“我从前做的事都已经得到了惩罚！”说完又继续吃他的早餐。","It was on my lips to ask him what he was tried for, but he took up a knife, gave it a flourish, and with the words, “And what I done is worked out and paid for!” fell to at his breakfast."
"他狼吞虎咽地吃着，吃相十分不雅，一举一动都那么粗俗，吃的时候嘴里啧啧作响，跟很久没吃过东西一样。自从我上次在沼泽地里见他吃东西以来，他已经掉了几颗牙，嘴里不停地嚼着，时不时把头转向一边，用最坚固的犬牙去撕咬，他这副样子活像一只饥饿的老狗。如果说我一开始还有点胃口的话，看他这个样子，我一点胃口都没有了，只能坐在那里——我对他那种难以抑制的厌恶之情让我不由地排斥他，郁闷无比地盯着桌布。","He ate in a ravenous way that was very disagreeable, and all his actions were uncouth, noisy, and greedy.Some of his teeth had failed him since I saw him eat on the marshes, and as he turned his food in his mouth, and turned his head sideways to bring his strongest fangs to bear upon it, he looked terribly like a hungry old dog.If I had begun with any appetite, he would have taken it away, and I should have sat much as I did—repelled from him by an insurmountable aversion, and gloomily looking at the cloth."
"“我胃口可大了，好孩子，”他吃完了早餐，很客气地跟我道了个歉，“我一直都是这个样子。要不是我天生吃得多，我可能就不会惹上那么大的麻烦了。我抽起烟来也是这样。我在世界的另一头第一次被人雇去放羊的时候，要不是有烟抽的话，我估计自己早就闷得发了疯，自己也变成一只羊了。”","“I’m a heavy grubber, dear boy,” he said, as a polite kind of apology when he made an end of his meal, “but I always was.If it had been in my constitution to be a lighter grubber, I might ha’ got into lighter trouble.Similarly, I must have my smoke.When I was first hired out as shepherd t’other side the world, it’s my belief I should ha’ turned into a molloncolly-mad sheep myself, if I hadn’t a had my smoke.”"
"说着，他起了身，伸手从粗呢上衣口袋里掏出一根短短的黑色烟管，再掏出松松散散的一把烟草，他管这种烟草叫“黑人头”。填满烟管以后，他又把多出来的烟草放回去了，简直把他的口袋当成了抽屉。接着他从壁炉里钳出一块燃烧着的碳，用它把烟管点着了，然后在壁炉前的地毯上转过身，背对着炉火，又做出他最喜欢的姿势——伸出双手来要和我握手。","As he said so, he got up from the table, and putting his hand into the breast of the pea-coat he wore, brought out a short black pipe, and a handful of loose tobacco of the kind that is called Negro-head.Having filled his pipe, he put the surplus tobacco back again, as if his pocket were a drawer.Then, he took a live coal from the fire with the tongs, and lighted his pipe at it, and then turned round on the hearth-rug with his back to the fire, and went through his favorite action of holding out both his hands for mine."
"“这，”他双手夹着我的手，一上一下地摇着，嘴里吐着烟雾，说：“这就是我培养出来的绅士！一个真正的、地地道道的绅士！我只要能看看你就好，皮普。我渴望的就只是站在你旁边看一看你，好孩子！”","“And this,” said he, dandling my hands up and down in his, as he puffed at his pipe; “and this is the gentleman what I made!The real genuine One!It does me good fur to look at you, Pip.All I stip’late, is, to stand by and look at you, dear boy!”"
"我一有机会就把手挣脱了出来，觉得自己开始慢慢静下心来，可以想一想自己的处境了。每当我听见他沙哑的嗓音，坐在那里抬头看见他起伏不平的秃头，还有两旁铁灰色的头发，我就清楚地意识到，我身上套上了怎样的一条铁链，这条铁链又是多么沉重啊。","I released my hands as soon as I could, and found that I was beginning slowly to settle down to the contemplation of my condition.What I was chained to, and how heavily, became intelligible to me, as I heard his hoarse voice, and sat looking up at his furrowed bald head with its iron grey hair at the sides."
"“我决不愿意看见我的绅士在泥泞的街上走，决不能让他的靴子沾上泥。我的绅士得有自己的马，皮普！不光他自己要有马骑、有马坐，他的仆人也要有马骑、有马坐。那些殖民者有自己的马（还是纯种的，老天！），我的伦敦绅士就不能有？不行，不行。我们要让他们看看，才不是那么回事呢，是不是，皮普？”","“I mustn’t see my gentleman a footing it in the mire of the streets; there mustn’t be no mud on his boots.My gentleman must have horses, Pip!Horses to ride, and horses to drive, and horses for his servant to ride and drive as well.Shall colonists have their horses (and blood ’uns, if you please, good Lord!) and not my London gentleman?No, no.We’ll show ’em another pair of shoes than that, Pip; won’t us?”"
"他从口袋里掏出一个又大又厚的钱包——被纸钞塞得满满的——把它扔在桌上。","He took out of his pocket a great thick pocket-book, bursting with papers, and tossed it on the table."
"“这里面的钱够花好一阵子呢，好孩子。这是你的了。我的东西都不是我的，而是你的。别担心会花完。我还有很多呢。我回到故国来就是要看看我的绅士花起钱来那种气派的样子。这样我就高兴。我就高兴看他花钱。你们全都滚蛋！”他说完了，环顾了一下四周，打了一个很响的响指：“你们一个个都滚蛋，管你是戴假发的法官，还是把尘土扬得满天飞的殖民者，我要拿我的绅士给你们瞧瞧，你们全部加起来都比不上他一个！”","“There’s something worth spending in that there book, dear boy.It’s yours.All I’ve got ain’t mine; it’s yourn.Don’t you be afeerd on it.There’s more where that come from.I’ve come to the old country fur to see my gentleman spend his money like a gentleman.That’ll be my pleasure.My pleasure ’ull be fur to see him do it.And blast you all!” he wound up, looking round the room and snapping his fingers once with a loud snap, “blast you every one, from the judge in his wig, to the colonist a stirring up the dust, I’ll show a better gentleman than the whole kit on you put together!”"
"“别说了！”我对他几乎是既害怕又厌恶，“我要和你谈一谈。我想知道接下来怎么办。我想知道怎么让你避开危险，你打算在这里呆多久，你有什么计划。”","“Stop!” said I, almost in a frenzy of fear and dislike, “I want to speak to you.I want to know what is to be done.I want to know how you are to be kept out of danger, how long you are going to stay, what projects you have.”"
"“听我说，皮普，”他一只手搭在我的肩上，突然换了一种缓和的语气对我说，“先听我说。我刚才激动得忘乎所以了。我说的话都太粗俗，是这样的，粗俗。听我说，皮普。你别放在心上。我不会再说那种粗俗的话了。”","“Look’ee here, Pip,” said he, laying his hand on my arm in a suddenly altered and subdued manner; “first of all, look’ee here.I forgot myself half a minute ago.What I said was low; that’s what it was; low.Look’ee here, Pip.Look over it.I ain’t a-going to be low.”"
"“首先，”我继续说道，几乎是在呻吟，“我们要采取什么防范措施，以防你被人认出抓起来呢？”","“First,” I resumed, half-groaning, “what precautions can be taken against your being recognized and seized?”"
"“不，好孩子，”他还是用刚才那种语调说，“这不是最要紧的。最要紧的是我的粗俗。我花了这么多年来培养一个绅士，不会不知道该对绅士有礼貌。听我说，皮普。我很粗俗，我的确是这样的，粗俗。别放在心上，好孩子。”","“No, dear boy,” he said, in the same tone as before, “that don’t go first.Lowness goes first.I ain’t took so many years to make a gentleman, not without knowing what’s due to him.Look’ee here, Pip.I was low; that’s what I was; low.Look over it, dear boy.”"
"这个人荒唐得可笑，我不禁苦笑了一下，说，“我没放在心上。天啊，别再提这个了！”","Some sense of the grimly-ludicrous moved me to a fretful laugh, as I replied, “I have looked over it.In Heaven’s name, don’t harp upon it!”"
"“好，可是你听我说，”他坚持要说下去，“好孩子，我大老远过来，不是为了给你看我有多粗俗的。好了，你接着说吧，好孩子。你刚才说——”","“Yes, but look’ee here,” he persisted.“Dear boy, I ain’t come so fur, not fur to be low.Now, go on, dear boy.You was a-saying—”"
"“既然你已经处于危险的境地了，你打算怎么躲？”","“How are you to be guarded from the danger you have incurred?”"
"“嗯，好孩子，不是什么了不得的危险。只要没人告发我，这就不是什么了不得的危险。这件事只有贾格尔斯、温米克，还有你知道。还有谁会去告发我呢？”","“Well, dear boy, the danger ain’t so great.Without I was informed agen, the danger ain’t so much to signify.There’s Jaggers, and there’s Wemmick, and there’s you.Who else is there to inform?”"
"“有没有可能你在街上碰巧被人认出来？”我说。","“Is there no chance person who might identify you in the street?” said I."
"“嗯，”他说，“不会的。我也不会去登报宣传，说我马某从植物学湾回来了。都这么多年过去了，谁能从这件事里头捞到好处呢？听我说，皮普。就算危险是现在的五十倍，我也会来看你，来照顾你，也会做出同样的选择。","“Well,” he returned, “there ain’t many.Nor yet I don’t intend to advertise myself in the newspapers by the name of A. M. come back from Botany Bay; and years have rolled away, and who’s to gain by it?Still, look’ee here, Pip.If the danger had been fifty times as great, I should ha’ come to see you, mind you, just the same.”"
"“那你打算住多长时间呢？”","“And how long do you remain?”"
"“多长时间？”他从嘴里抽出那支黑色的烟管，下巴都快要掉下来了，惊讶地看着我。“我不打算回去了。我来了就不走了。”","“How long?” said he, taking his black pipe from his mouth, and dropping his jaw as he stared at me.“I’m not a-going back.I’ve come for good.”"
"“你打算住在哪里？”我问，“该怎么安排你呢？你呆在哪里才安全呢？”","“Where are you to live?” said I.“What is to be done with you?Where will you be safe?”"
"“好孩子，”他说，“只要有钱，就可以买假发，买头发香粉、眼镜、黑衣服——还有短裤，什么都可以买到。有人这样做了一点事都没有，人家都这么做了，其他人也还可以这么做。至于住在哪里、怎么过，好孩子，让我听听你的想法吧。”","“Dear boy,” he returned, “there’s disguising wigs can be bought for money, and there’s hair powder, and spectacles, and black clothes—shorts and what not.Others has done it safe afore, and what others has done afore, others can do agen.As to the where and how of living, dear boy, give me your own opinions on it.”"
"“你现在说起来倒是轻松，”我说，“可你昨晚还说得那么严重，十分肯定地说一旦被发现就是死路一条。”","“You take it smoothly now,” said I, “but you were very serious last night, when you swore it was Death.”"
"“我现在还是十分肯定地说，一旦被发现就是死路一条。”他把烟管又放回嘴里，说，“而且是绞刑，就在大街上，离这里不远，我是说真的，你应该充分认识到这一点。可那又怎样，既然已经到这一步了？我已经到这里来了。现在回去不会比留下来好——甚至还要糟。而且，皮普，我到这里来，是为了你来的，我盼了多少年啊。至于说冒险，我已经是一只老鸟了，自从羽毛长丰满以来，我什么罗网都躲过来了，现在不过是在稻草人身上停一停，有什么好怕的呢。就算死神躲在稻草人里面，就算是这样，那也让他出来吧，我要跟他面对面，这样我才会相信他，不过这个到时候再说吧。现在再让我瞧一瞧我的绅士吧。”","“And so I swear it is Death,” said he, putting his pipe back in his mouth, “and Death by the rope, in the open street not fur from this, and it’s serious that you should fully understand it to be so.What then, when that’s once done?Here I am.To go back now, ’ud be as bad as to stand ground—worse.Besides, Pip, I’m here, because I’ve meant it by you, years and years.As to what I dare, I’m a old bird now, as has dared all manner of traps since first he was fledged, and I’m not afeerd to perch upon a scarecrow.If there’s Death hid inside of it, there is, and let him come out, and I’ll face him, and then I’ll believe in him and not afore.And now let me have a look at my gentleman agen.”"
"他又一次抓起我的两只手，打量着我，那神情好像是在欣赏自己的财产，还一直带着极大满足感地抽着烟。","Once more, he took me by both hands and surveyed me with an air of admiring proprietorship: smoking with great complacency all the while."
"在我看来，除了在附近给他找一个僻静的住所外，我不知道有什么更好的做法了，我估计赫伯特两三天之内就会回来，等赫伯特一回来，就可以让他搬过去住。把这个秘密透露给赫伯特是不可避免的，而且很有必要，即使对我来说，跟他分享这个秘密，可以让我的心理负担减轻不少，这是毫无疑问的。但是对普罗维斯（我决定叫他这个名字）来说，这绝没有那么简单，他坚决不同意让赫伯特参与到这件事当中来，除非他亲眼见到赫伯特，对他的相貌觉得中意。“即使是这样，好孩子，”他从口袋里掏出一本扣着扣子的、黑色封皮的袖珍版《圣经》+B244说，“我们还得让他对着这个发誓。”","It appeared to me that I could do no better than secure him some quiet lodging hard by, of which he might take possession when Herbert returned: whom I expected in two or three days.That the secret must be confided to Herbert as a matter of unavoidable necessity, even if I could have put the immense relief I should derive from sharing it with him out of the question, was plain to me.But it was by no means so plain to Mr. Provis (I resolved to call him by that name), who reserved his consent to Herbert’s participation until he should have seen him and formed a favorable judgment of his physiognomy.“And even then, dear boy,” said he, pulling a greasy little clasped black Testament out of his pocket, “we’ll have him on his oath.”"
"我要是说，我这位可怕的恩主揣着这本袖珍黑皮书走遍世界，只是为了在紧要关头叫人发誓，我就有信口开河之嫌——但我敢说这样的话，因为我从没见他这本书派上过别的用场。这本书看起来像是从某个法庭上偷来的，可能他知道跟这本书有关的故事，而且他以前也这么做过，屡试不爽，这让他相信这本书具有某种法律的魔力或者魅力。一看见他拿出这本书，我就想起多年前他逼我在墓地里老老实实发誓的那一幕，还有他昨晚的描述，说他在异国他乡常常发誓，非实现自己的心愿不可。","To state that my terrible patron carried this little black book about the world solely to swear people on in cases of emergency, would be to state what I never quite established—but this I can say, that I never knew him put it to any other use.The book itself had the appearance of having been stolen from some court of justice, and perhaps his knowledge of its antecedents, combined with his own experience in that wise, gave him a reliance on its powers as a sort of legal spell or charm.On this first occasion of his producing it, I recalled how he had made me swear fidelity in the churchyard long ago, and how he had described himself last night as always swearing to his resolutions in his solitude."
"他现在穿的是一套海上穿的衣服，看起来像是有一批鹦鹉和雪茄急着要脱手似的，我下一步跟他商量他该穿什么衣服的问题。他极力坚持穿“短裤”作为伪装，举出种种好处，在脑海里给自己设计了一套衣服，照这样打扮，他看起来就该是一副介于牧师和牙医之间的样子。我费了九牛二虎之力才说服他，让他扮成一个富裕的农场主，我们还商定，让他把头发剪短，再敷上些粉。最后想到，既然那个洗衣妇和她侄女还没有见过他，干脆等他乔装打扮之后再在她们面前露面。","As he was at present dressed in a seafaring slop suit, in which he looked as if he had some parrots and cigars to dispose of, I next discussed with him what dress he should wear.He cherished an extraordinary belief in the virtues of “shorts” as a disguise, and had in his own mind sketched a dress for himself that would have made him something between a dean and a dentist.It was with considerable difficulty that I won him over to the assumption of a dress more like a prosperous farmer’s; and we arranged that he should cut his hair close, and wear a little powder.Lastly, as he had not yet been seen by the laundress or her niece, he was to keep himself out of their view until his change of dress was made."
"想好这些预防措施本来是很简单的事情，但我当时的状态即使说不上心烦意乱，也是头昏眼花，我们商量了大半天，结果我直到下午两三点钟才出门置办这些东西。我交代他，在我走的这段时间里他就呆在屋子里，哪里也别去，而且绝对不能开门。","It would seem a simple matter to decide on these precautions; but in my dazed, not to say distracted, state, it took so long, that I did not get out to further them, until two or three in the afternoon.He was to remain shut up in the chambers while I was gone, and was on no account to open the door."
