"第一章 矛盾的信件","CHAPTER I CONTRADICTORY LETTERS"
"他们继续上路了，詹姆斯·斯塔尔走在内尔前面，哈里走在她旁边，而杰克·瑞安则像一条小狗一样来回走动，对它主人们的慢步伐有点不耐烦。路上没有人。内尔一直在看那些大树，它们的树枝在风中摇曳着，在她看来它们就像是巨人们在用力打手势。微风拂过树梢时的声音、无风时的一片沉寂、路穿过开阔的平地时依稀可见的远处地平线——所有这些事物带给她新的感受，并在她的脑海里留下永恒的印象。","They pursued their way, James Starr leading the maiden, Harry walking by her side, while Jack Ryan roamed about like a young dog, impatient of the slow pace of his masters.The road was lonely.Nell kept looking at the great trees, whose branches, waving in the wind, made them seem to her like giants gesticulating wildly.The sound of the breeze in the tree-tops, the deep silence during a lull, the distant line of the horizon, which could be discerned when the road passed over open levels—all these things filled her with new sensations, and left lasting impressions on her mind."
"不久之后内尔停止了提问，她的同伴们尊重她的沉默，他们不愿任何言语影响到这位少女极为敏锐的想象力，而是更希望这些概念在她的心灵里自发地生成。","After some time she ceased to ask questions, and her companions respected her silence, not wishing to influence by any words of theirs the girl’s highly sensitive imagination, but preferring to allow ideas to arise spontaneously in her soul."
"大约十一点半，他们到达了福斯河岸。在那里，有一艘詹姆斯·斯塔尔租的船等候着他们。几小时后，这艘船就可以将他们送到格兰顿了。每当反射星光的波浪与河岸轻轻撞击时，内尔便会看到清澈的河水涌至她脚底。“这是一个湖吗？”内尔说。","At about half past eleven o’clock, they gained the banks of the river Forth.There a boat, chartered by James Starr, awaited them.In a few hours it would convey them all to Granton.Nell looked at the clear water which flowed up to her feet, as the waves broke gently on the beach, reflecting the starlight.“Is this a lake?” said she."
"“不，”哈里回答道，“这是一条流向大海的大河，很快它就会变得很宽，就像一个海湾。用手捧点水尝尝，内尔，你会发现它没有马尔科姆湖的水甜。”","“No,” replied Harry, “it is a great river flowing towards the sea, and soon opening so widely as to resemble a gulf.Taste a little of the water in the hollow of your hand, Nell, and you will perceive that it is not sweet like the waters of Lake Malcolm.”"
"这个少女俯向河流，捧了一点水放到唇边，“很咸。”她说道。","The maiden bent towards the stream, and, raising a little water to her lips, “This is quite salt,” said she."
"“是的，因为是涨潮期，海水回流到了河水这里。”哈里回答道。","“Yes, the tide is full; the sea water flows up the river as far as this,” answered Harry."
"“啊，哈里！哈里！”这位少女激动地大声叫道，“地平线上那团红光是什么？是森林着火了吗？”","“Oh, Harry!Harry!” exclaimed the maiden, “what can that red glow on the horizon be?Is it a forest on fire?”"
"“不，内尔，那是正在升起的月亮。”","“No, it is the rising moon, Nell.”"
"“是的，那是月亮，”杰克·瑞安大声说道，“一面精致硕大的银盘，天上的精灵们操纵着它在空中到处行走，像收钱一样将星星收入囊中。”","“To be sure, that’s the moon,” cried Jack Ryan, “a fine big silver plate, which the spirits of air hand round and round the sky to collect the stars in, like money.”"
"“嗨，杰克，”工程师笑着说道，“想不到你竟能想出这么大胆的比喻！”","“Why, Jack,” said the engineer, laughing, “I had no idea you could strike out such bold comparisons!”"
"“嗯，斯塔尔先生，但它只是一个比喻而已。难道您没有看见月亮所到之处星星就消失了吗？所以我猜星星全掉到月亮里去了。”","“Well, but, Mr. Starr, it is a just comparison.Don't you see the stars disappear as the moon passes on? so I suppose they drop into it.”"
"“你想说的，杰克，就是月亮凭借它六等星亮度的光亮遮盖了星星的光亮，所以月亮一靠近星星，它们就全消失了。”","“What you mean to say, Jack, is that the superior brilliancy of the moon eclipses that of stars of the sixth magnitude, therefore they vanish as she approaches.”"
"“这一切好美啊！”内尔一遍一遍地重复道，从她的眼里可以看出她内心的全部想法。“我原以为月亮是圆的呢？”","“How beautiful all this is!” repeated Nell again and again, with her whole soul in her eyes.“But I thought the moon was round?”"
"“当它是‘满月’时，它是圆的，”詹姆斯·斯塔尔说道，“就是当月亮和太阳正对着时。但是今晚月亮被遮住了一部分，只剩最后的四分之一，杰克朋友的大银盘看起来更像是一个理发师的盆子。”","“So she is, when ‘full,’” said James Starr; “that means when she is just opposite to the sun.But to-night the moon is in the last quarter, shorn of her just proportions, and friend Jack’s grand silver plate looks more like a barber’s basin.”"
"“噢，斯塔尔先生，您的比喻太不恰当了！”他叫道，“我正要给月亮作一首十四行诗，但是您那理发师的盆子破坏了我所有的灵感。”","“Oh, Mr. Starr, what a base comparison!” he exclaimed, “I was just going to begin a sonnet to the moon, but your barber’s basin has destroyed all chance of an inspiration.”"
"慢慢地，月亮升到空中了。在月光下，浮游的云朵消失了，而西边未受其光芒影响的星星仍闪烁着。内尔静静地盯着这壮丽的景色。柔和的银光让内尔的眼睛感觉很舒适，她那被哈里握着的手微微颤抖着，表明她已被这景色深深地震撼。","Gradually the moon ascended the heavens.Before her light the lingering clouds fled away, while stars still sparkled in the west, beyond the influence of her radiance.Nell gazed in silence on the glorious spectacle.The soft silvery light was pleasant to her eyes, and her little trembling hand expressed to Harry, who clasped it, how deeply she was affected by the scene."
"“我们上船吧，”詹姆斯·斯塔尔说道，“我们必须在日出之前到达阿瑟王宝座山的顶端。”","“Let us embark now,” said James Starr.“We have to get to the top of Arthur’s Seat before sunrise.”"
"岸边的一个桩上系着一条船。一个船夫等候着他们。内尔和她的朋友们坐下来，帆拉开了，很快它就被微微的西北风吹鼓起来，他们一路上加速前进。","The boat was moored to a post on the bank.A boatman awaited them.Nell and her friends took their seats; the sail was spread; it quickly filled before the northwesterly breeze, and they sped on their way."
"对这个少女来说，这是多么全新的感受啊！她以前在马尔科姆湖上划过船，现在被哈里轻轻摇动的浆那时在划桨者手里却总是使不动。现在，内尔第一次感到她被一种滑行运动牵引着，就像气球在空中滑行一样。这里的水和湖水一样平静，内尔斜躺在船尾，享受着轻柔的晃荡。偶尔，月光照在水面上，船就像行驶在一片银光闪闪的水域上。微波沿着河岸泛开涟漪。这太迷人了。","What a new sensation was this for the maiden!She had been rowed on the waters of Lake Malcolm; but the oar, handled ever so lightly by Harry, always betrayed effort on the part of the oarsman.Now, for the first time, Nell felt herself borne along with a gliding movement, like that of a balloon through the air.The water was smooth as a lake, and Nell reclined in the stern of the boat, enjoying its gentle rocking.Occasionally the effect of the moonlight on the waters was as though the boat sailed across a glittering silver field.Little wavelets rippled along the banks.It was enchanting."
"最后内尔深感睡意，她的眼皮垂下来，头枕在哈里的肩上——她睡了。哈里本想叫醒她，觉得她若错过这壮观夜色的任何美景都会很遗憾。","At length Nell was overcome with drowsiness, her eyelids drooped, her head sank on Harry’s shoulder—she slept.Harry, sorry that she should miss any of the beauties of this magnificent night, would have aroused her."
"“让她睡吧！”工程师说道，“休息几小时后，她能更好地欣赏白天的新鲜事物。”","“Let her sleep!” said the engineer.“She will better enjoy the novelties of the day after a couple of hours’ rest.”"
"凌晨两点，船抵达格兰顿码头。内尔醒了。“我刚睡着了？”她问道。","At two o’clock in the morning the boat reached Granton pier.Nell awoke.“Have I been asleep?” inquired she."
"“没有，孩子，”詹姆斯·斯塔尔说道，“你只是想象着你睡了，仅此而已。”","“No, my child,” said James Starr.“You have been dreaming that you slept, that’s all.”"
"夜色依然明亮。半空中的月亮将光芒洒向四面八方。格兰顿小港停泊着两三只渔船，它们在峡湾水域上轻轻地摇晃着。即将破晓时风停了。空气中已没有了雾气，预示着八月份的美好时光即将来临。在海岸边，八月的时光是如此令人愉快。","The night continued clear.The moon, riding in mid-heaven, diffused her rays on all sides.In the little port of Granton lay two or three fishing boats; they rocked gently on the waters of the Firth.The wind fell as the dawn approached.The atmosphere, clear of mists, promised one of those fine autumn days so delicious on the sea coast."
"地平线上有一股薄薄的透明水汽，第一缕阳光会将它驱散。对这个少女来说，这里呈现的海景似乎与天空融合在一起了。现在她的视野开阔了，没有认为海洋是无边无际的。","A soft, transparent film of vapor lay along the horizon; the first sunbeam would dissipate it; to the maiden it exhibited that aspect of the sea which seems to blend it with the sky.Her view was now enlarged, without producing the impression of the boundless infinity of ocean."
"哈里握着内尔的手，他们一行人跟着詹姆斯·斯塔尔和杰克·瑞安穿过无人的街道。对内尔来说，这个首府的郊区似乎不过是一片黑压压的房子，就像煤城一样，只不过这儿的房顶更高些，闪烁着点点光亮。","Harry taking Nell’s hand, they followed James Starr and Jack Ryan as they traversed the deserted streets.To Nell, this suburb of the capital appeared only a collection of gloomy dark houses, just like Coal Town, only that the roof was higher, and gleamed with small lights."
"她轻盈地向前走着，毫不费力地和哈里保持着相同的速度。“你不累吗，内尔？”走了半小时后，他问道。","She stepped lightly forward, and easily kept pace with Harry.“Are you not tired, Nell?” asked he, after half an hour’s walking."
"“不累！我的脚似乎都没碰到地面，”她回答道，“我们上方的天空看上去真高，我感觉好像我长着翅膀可以飞翔了！”","“No! my feet seem scarcely to touch the earth,” returned she.“This sky above us seems so high up, I feel as if I could take wing and fly!”"
"“喂！抓紧她！”杰克·瑞安叫道，“我们的小内尔太好了，不能弄丢的。当我很久没出矿井时，我的感觉和你刚刚描述的一样。”","“I say! keep hold of her!” cried Jack Ryan.“Our little Nell is too good to lose.I feel just as you describe though, myself, when I have not left the pit for a long time.”"
"“当我们不再有煤城拱形的岩石屋顶给我们带来的压抑感时，”詹姆斯·斯塔尔说道，“宽阔的天空对我们来说就像一个巨大的深渊，可以说，我们会有一种想冲进去的欲望。你的感觉是这样的吗，内尔？”","“It is when we no longer experience the oppressive effect of the vaulted rocky roof above Coal Town,” said James Starr, “that the spacious firmament appears to us like a profound abyss into which we have, as it were, a desire to plunge.Is that what you feel, Nell?”"
"“是这样的，斯塔尔先生，一模一样，”内尔说道，“它让我感到晕眩。”","“Yes, Mr. Starr, it is exactly like that,” said Nell.“It makes me feel giddy.”"
"“噢！你很快就会适应的，内尔。”哈里说道，“你会习惯外面的世界，而且很可能你会完全忘记那个黑暗的矿井。”","“Ah! You will soon get over that, Nell,” said Harry.“You will get used to the outer world, and most likely forget all about our dark coal pit.”"
"“不，哈里，永远不会的！”内尔说道，这时她手捂双眼，就像在回忆她最近忘记的所有事物。","“No, Harry, never!” said Nell, and she put her hand over her eyes, as though she would recall the remembrance of everything she had lately quitted."
"在城市宁静的房屋间，这一行人穿过了利斯步行街，绕过了卡尔顿山；在黎明时昏暗的光线下，天文台和纳尔逊纪念碑矗立在那里。他们经过了里真特桥和北桥，最后到达了坎农格特的南部。城镇仍在沉睡中。","Between the silent dwellings of the city, the party passed along Leith Walk, and went round the Calton Hill, where stood, in the light of the gray dawn, the buildings of the Observatory and Nelson’s Monument.By Regent’s Bridge and the North Bridge they at last reached the lower extremity of the Canongate.The town still lay wrapt in slumber."
"内尔指着露天空旷处中间的一座大建筑物问道：“那一大块模糊的是什么啊？”","Nell pointed to a large building in the center of an open space, asking,“What great confused mass is that?”"
"“那模糊的一块，内尔，是古代苏格兰国王的宫殿，即霍利鲁德宫，在那里曾发生过很多悲惨的事情！在这里，历史学家可以想起许多王室成员的影子，从早期的苏格兰国王到不幸的玛丽·斯图亚特和法国国王查理十世。可是，内尔，天亮后宫殿看起来就不会这么暗淡了。霍利鲁德宫和它那四个防御塔楼，就像是某个漂亮的村屋。那我们继续前进吧。霍利鲁德宫的古老修道院上方是非常壮观的悬崖，叫做索尔兹伯里峭壁。阿瑟王宝座山位于它们上方，那就是我们要去的地方。从阿瑟王宝座山顶端往下看，内尔，你将看到太阳从海平面上升起来。”","“That confused mass, Nell, is the palace of the ancient kings of Scotland; that is Holyrood, where many a sad scene has been enacted!The historian can here invoke many a royal shade; from those of the early Scottish kings to that of the unhappy Mary Stuart, and the French king, Charles X.When day breaks, however, Nell, this palace will not look so very gloomy.Holyrood, with its four embattled towers, is not unlike some handsome country house.But let us pursue our way.There, just above the ancient Abbey of Holyrood, are the superb cliffs called Salisbury Crags.Arthur’s Seat rises above them, and that is where we are going.From the summit of Arthur’s Seat, Nell, your eyes shall behold the sun appear above the horizon seaward.”"
"他们进入了皇家公园，接着，慢慢地向上走，穿过皇后大道，这是一条盘山行车通道，沃尔特·斯科特爵士曾在他的浪漫史诗中描写过它。","They entered the King’s Park, then, gradually ascending they passed across the Queen’s Drive, a splendid carriageway encircling the hill, which we owe to a few lines in one of Sir Walter Scott’s romances."
"阿瑟王宝座山实际上只是一个七百五十英尺高的山丘，独自耸立在四周的高地中。不到半小时，詹姆斯·斯塔尔他们一行人通过一条曲曲折折的捷径到达了蹲付的狮子的头部。从西面望去，阿瑟王宝座山很像一头蹲伏的狮子。他们四个人在那里坐了下来，詹姆斯·斯塔尔甚至已经准备好了伟大的苏格兰小说家的语录，但他却简单地说道：“让我们听听沃尔特·斯科特在《中洛锡安郡的心脏》第八章中所说的：‘如果我要选择一个看日出日落的最佳地点，那就是这里。’看，内尔！太阳很快就要出来了，你将第一次体会它的壮丽。”","Arthur’s Seat is in truth only a hill, seven hundred and fifty feet high, which stands alone amid surrounding heights.In less than half an hour, by an easy winding path, James Starr and his party reached the crest of the crouching lion, which, seen from the west, Arthur’s Seat so much resembles.There, all four seated themselves; and James Starr, ever ready with quotations from the great Scottish novelist, simply said, “Listen to what is written by Sir Walter Scott in the eighth chapter of the Heart of Mid-Lothian.‘If I were to choose a spot from which the rising or setting sun could be seen to the greatest possible advantage, it would be from this neighborhood.’Now watch, Nell! the sun will soon appear, and for the first time you will contemplate its splendor.”"
"这位少女将视线转向东方。哈里紧紧地跟在内尔旁边，担忧地注视着她。白天的第一束光亮会让她受不了吗？所有的人都保持着安静，包括杰克·瑞安。一道淡淡的浅玫瑰色给地平线上薄薄的蒸汽着了一层色。这第一缕光线赶走了夜晚。寂静的城市躺在山丘下，在破晓的光辉中错落不齐地聚成一片。老城的各处房子里都闪烁着光亮。西边有好几座山顶，很快就被几缕火光照亮了。","The maiden turned her eyes eastward.Harry, keeping close beside her, observed her with anxious interest.Would the first beams of day overpower her feelings?All remained quiet, even Jack Ryan.A faint streak of pale rose tinted the light vapors of the horizon.It was the first ray of light attacking the laggards of the night.Beneath the hill lay the silent city, massed confusedly in the twilight of dawn.Here and there lights twinkled among the houses of the old town.Westward rose many hill-tops, soon to be illuminated by tips of fire."
"现在，远处的海平面变得更清晰可见了。色阶可以按照太阳光谱的顺序划分。颜色的密度很快地加深，玫瑰红变成大红，大红变成火红，这时日光出现了。此刻，内尔打量着轮廓变得更加清晰的城市。巍峨的纪念碑，尖尖的教堂尖塔从黑暗中显现出来，一丝模糊的光亮扩散开。最后，一缕光线闯入了内尔的眼睛。那是在早上或晚上当地平线清晰可见时从海面上反射过来的一缕绿色光线。","Now the distant horizon of the sea became more plainly visible.The scale of colors fell into the order of the solar.Every instant they increased in intensity, rose color became red, red became fiery, daylight dawned.Nell now glanced towards the city, of which the outlines became more distinct.Lofty monuments, slender steeples emerged from the gloom; a kind of ashy light was spread abroad.At length one solitary ray struck on the maiden’s sight.It was that ray of green which, morning or evening, is reflected upwards from the sea when the horizon is clear."
"一会儿之后，内尔转过身，指向新城区那个明亮的突出点，“火！”她大声说道。","An instant afterwards, Nell turned, and pointing towards a bright prominent point in the New Town, “Fire!” cried she."
"“不，内尔，那不是火，”哈里说道，“太阳的金色光线已经照到了沃尔特·斯科特爵士纪念碑的顶端。”——的确，这个纪念碑的顶端闪闪发光，就像一个发光的灯塔。","“No, Nell, that is no fire,” said Harry.“The sun has touched with gold the top of Sir Walter Scott’s monument”—and, indeed, the extreme point of the monument blazed like the light of a pharos."
"天亮了——太阳升起来了——圆圆的太阳闪耀着，好像真的是从海水里出来的一般。刚开始由于折射的效果太阳显得非常大，接着太阳一边上升一边变小，呈现为标准的圆形。很快，人们的眼睛便忍受不了那灼目的光芒。它好像在天空中打开了一个熔炉口。","It was day—the sun arose—his disc seemed to glitter as though he indeed emerged from the waters of the sea.Appearing at first very large from the effects of refraction, he contracted as he rose and assumed the perfectly circular form.Soon no eye could endure the dazzling splendor; it was as though the mouth of a furnace was opened through the sky. "
"内尔闭上眼睛，但她的眼皮阻挡不了这强光，她便用手指遮住了眼睛。哈里建议她背过身去。“噢，不，”内尔说道，“我的眼睛必须习惯看到你们的眼睛所能看见的一切！”","Nell closed her eyes, but her eyelids could not exclude the glare, and she pressed her fingers over them.Harry advised her to turn in the opposite direction.“Oh, no,” said she, “my eyes must get used to look at what yours can bear to see!”"
"即使用手挡住了眼睛，内尔也能觉察到一缕玫瑰色的光线，当太阳升到地平线以上后这缕光线变得越来越白。当她的视力慢慢地习惯后，她的眼皮抬了起来，最后她的眼睛沉醉在白天的光亮中。","Even through her hands Nell perceived a rosy light, which became more white as the sun rose above the horizon.As her sight became accustomed to it, her eyelids were raised, and at length her eyes drank in the light of day."
"这善良的孩子跪了下来，惊叹道：“哦，我的上帝！您的杰作真美啊！”随后她站起来向四周张望着。呈现在她脚下的是爱丁堡的全景——新城里清晰明了的街道格局、杂乱的住宅区和那令人费解的街道网构成了奥尔德里基——人们这样恰当地称呼这个地方。两块高地撑起了这个城市；大块玄武岩顶部的爱丁堡城堡，圆顶的卡尔顿山，还有一些纪念碑，其中包括为纪念雅典帕提侬神庙所建的遗址。","The good child knelt down, exclaiming, “Oh Lord God! how beautiful is Thy creation!”Then she rose and looked around.At her feet extended the panorama of Edinburgh—the clear, distinct lines of streets in the New Town, and the irregular mass of houses, with their confused network of streets and lanes, which constitutes Auld Reekie, properly so called.Two heights commanded the entire city; Edinburgh Castle, crowning its huge basaltic rock, and the Calton Hill, bearing on its rounded summit, among other monuments, ruins built to represent those of the Parthenon at Athens."
"从首府出去的大路四通八达。在北方，壮丽的福斯河海岸线因一个深海湾而缩了进去，在那里可以看见海港小镇利斯。在利斯和这个北方的现代雅典之间有一条街道，笔直地通向比雷埃夫斯。","Fine roadways led in all directions from the capital.To the north, the coast of the noble Firth of Forth was indented by a deep bay, in which could be seen the seaport town of Leith, between which and this Modern Athens of the north ran a street, straight as that leading to the Piraeus."
"越过那宽阔的海湾能看见法夫郡模糊的轮廓，在这些景观下面延伸着波托贝洛和纽黑文的黄色沙滩。","Beyond the wide Firth could be seen the soft outlines of the county of Fife, while beneath the spectator stretched the yellow sands of Portobello and Newhaven."
"内尔说不出话来。她嘴里含糊地咕哝着一两个词；她颤抖着，开始发晕，接着没有了力气；她被纯净的空气和壮丽的景色震撼了，昏倒在哈里的怀中。哈里一直在紧紧地注视着她，随时准备扶住她。","Nell could not speak.Her lips murmured a word or two indistinctly; she trembled, became giddy, her strength failed her; overcome by the purity of the air and the sublimity of the scene, she sank fainting into Harry’s arms, who, watching her closely, was ready to support her."
"这个年轻的少女在此之前都被隐藏在地底幽暗的深处，现在对宇宙——上帝和人类的杰作——有了一个概念。她看过了城镇和乡村之后，又看见了广阔的大海和无垠的天空。","The youthful maiden, hitherto entombed in the massive depths of the earth, had now obtained an idea of the universe—of the works both of God and of man.She had looked upon town and country, and beyond these, into the immensity of the sea, the infinity of the heavens."
"第十五章　洛蒙德湖和卡特琳湖","CHAPTER XV LOCH LOMOND AND LOCH KATRINE"
"哈里扶着内尔，沿着阿瑟王宝座山的斜坡小心翼翼地往下走，在詹姆斯·斯塔尔和杰克·瑞安的陪伴下，他们到达了兰伯特酒店。在那里，他们吃了一顿丰盛的早餐，恢复了体力，开始为去高地湖的短途旅行作进一步的安排。","Harry bore Nell carefully down the steeps of Arthur’s Seat, and, accompanied by James Starr and Jack Ryan, they reached Lambert’s Hotel.There a good breakfast restored their strength, and they began to make further plans for an excursion to the Highland lakes."
"现在，内尔恢复了精神，能够大胆地直视阳光，她的肺则轻松地呼吸着自由而健康的空气。当她的眼睛看到绿树、蓝天以及所有美丽花卉的万千色彩时，她很高兴地学习着这些和谐而各异的颜色。","Nell was now refreshed, and able to look boldly forth into the sunshine, while her lungs with ease inhaled the free and healthful air.Her eyes learned gladly to know the harmonious varieties of color as they rested on the green trees, the azure skies, and all the endless shades of lovely flowers and plants."
"他们在韦弗利站上了火车，火车将把内尔和她的朋友们送到格拉斯哥。在那里，在横跨克莱德的新桥那里，他们注视着像海水般奇妙流动的河水。在科姆里皇家酒店休息了一晚后，他们坐上从爱丁堡到格拉斯哥的火车，直达其终点站。在那里，火车将很快将他们送到洛蒙德湖的最南端，途中经过邓巴顿和巴勒赫。","The railway train, which they entered at the Waverley Station, conveyed Nell and her friends to Glasgow.There, from the new bridge across the Clyde, they watched the curious sea-like movement of the river.After a night’s rest at Comrie’s Royal Hotel, they betook themselves to the terminus of the Edinburgh and Glasgow Railway, from whence a train would rapidly carry them, by way of Dumbarton and Balloch, to the southern extremity of Loch Lomond."
"“现在要去罗布·罗伊和弗格斯·麦基弗的故乡了！——它的景色因沃尔特·斯科特的诗歌描写而名垂千古。”詹姆斯·斯塔尔叫道，“你不知道这个地方吗，杰克？”","“Now for the land of Rob Roy and Fergus MacIvor!—the scenery immortalized by the poetical descriptions of Walter Scott,” exclaimed James Starr.“You don’t know this country, Jack?”"
"“我只听过关于它的歌，斯塔尔先生，”杰克回答道，“从那些歌中判断，这个地方一定很壮丽。”","“Only by its songs, Mr. Starr,” replied Jack; “and judging by those, it must be grand.”"
"“是这样的，是这样的！”工程师叫道，“我们亲爱的内尔将会看到它最好的一面。”","“So it is, so it is!” cried the engineer, “and our dear Nell shall see it to the best advantage.”"
"一艘名为“辛克莱”的汽船等候着即将去湖边旅行的游客。内尔和她的同伴们上了船。这天一开始便阳光明媚，没有经常笼罩着不列颠天空的雾气。","A steamboat, the Sinclair by name, awaited tourists about to make the excursion to the lakes.Nell and her companions went on board.The day had begun in brilliant sunshine, free from the British fogs which so often veil the skies."
"乘客们决定要饱览这三十英里航程中出现的任何一处自然美景。内尔坐在詹姆斯·斯塔尔和哈里的中间，尽情地欣赏着苏格兰风景的浓厚诗意。很快，许多小岛出现了，它们就像是被密集地播撒在湖中似的。“辛克莱”号汽船在这些小岛之间穿行，人们可以在小岛间看见静谧的山谷，或是陆地上险峻多岩的峡谷。","The passengers were determined to lose none of the beauties of nature to be displayed during the thirty miles’ voyage.Nell, seated between James Starr and Harry, drank in with every faculty the magnificent poetry with which lovely Scottish scenery is fraught.Numerous small isles and islets soon appeared, as though thickly sown on the bosom of the lake.The Sincair steamed her way among them, while between them glimpses could be had of quiet valleys, or wild rocky gorges on the mainland."
"“内尔，”詹姆斯·斯塔尔说道，“这儿的每一个岛屿以及那些遮蔽着湖泊的山脉都有自己的传说或是歌曲。可以毫不夸张地说，这个国家的历史就是由山脉和岛屿这些巨大的文字书写的。”","“Nell,” said James Starr, “every island here has its legend, perhaps its song, as well as the mountains which overshadow the lake.One may, without much exaggeration, say that the history of this country is written in gigantic characters of mountains and islands.”"
"内尔留心听着，但这些战争故事让她难过。为什么在她看来似乎很广阔的平原上会有流血事件发生？在那儿每个人都肯定会有空间啊。","Nell listened, but these fighting stories made her sad.Why all that bloodshed on plains which to her seemed enormous, and where surely there must have been room for everybody?"
"拉斯湖的岸边形成了一个小港湾。很快内尔就可以看见这座古堡的旧塔。接着，“辛克莱”号向北转了，游客们盯着几乎高出湖面3000英尺的本洛蒙德山。","The shores of the lake form a little harbor at Luss.Nell could for a moment catch sight of the old tower of its ancient castle.Then, the Sinclair turning northward, the tourists gazed upon Ben Lomond, towering nearly 3,000 feet above the level of the lake."
"“啊，多么宏伟的一座山啊！”内尔大叫道，“从山顶上看该是多么壮观啊！”","“Oh, what a noble mountain!” cried Nell, “what a view there must be from the top!”"
"“是的，内尔，”詹姆斯·斯塔尔回答道,“看它的顶峰从覆盖山脉低处的橡树、桦树和欧石南中高傲地耸起！从那里人们可以看见古喀里多尼亚三分之二的地方。湖的东边是麦克格雷戈家族的世宅。不远处，英国詹姆斯二世的追随者和英国汉诺威王室的成员及其追随者之间曾战争不断，鲜血染红了这些孤寂的峡谷。苍白的月亮照耀在这些景物上方，在古民谣里它被称为“麦克法兰的灯笼”。","“Yes, Nell,” answered James Starr; “see how haughtily its peak rises from amidst the thicket of oaks, birches, and heather, which clothe the lower portion of the mountain!From thence one may see two-thirds of old Caledonia.This eastern side of the lake was the special abode of the clan McGregor.At no great distance, the struggles of the Jacobites and Hanoverians repeatedly dyed with blood these lonely glens.Over these scenes shines the pale moon, called in old ballads ‘Macfarlane’s lantern.’"
"罗布·罗伊和麦克格雷戈·坎贝尔这两个不朽的名字仍在这些岩石中回荡着。","Among these rocks still echo the immortal names of Rob Roy and McGregor Campbell."
"“辛克莱”号沿着山脚前行，乡村特色也愈发明显。树木零散地矗立在四周，其中有些是柳树，从前那细长的柳枝是被用来绞死下等人的。","As the Sinclair advanced along the base of the mountain, the country became more and more abrupt in character.Trees were only scattered here and there; among them were the willows, slender wands of which were formerly used for hanging persons of low degree."
"“那是为了节约大麻。”詹姆斯·斯塔尔解释道。","“To economize hemp,” remarked James Starr."
"当湖泊向北延伸时，就变得非常狭窄了。","The lake narrowed very much as it stretched northwards."
"汽船又穿过了几个岛屿，在殷夫鲁格拉斯和艾莱德湖还留有麦克法兰家族大本营的废墟。终于到了湖的顶端，“辛克莱”号停在了英凡斯奈德。","The steamer passed a few more islets, Inveruglas, Eilad-whow, where stand some ruins of a stronghold of the clan MacFarlane.At length the head of the loch was reached, and the Sinclair stopped at Inversnaid."
"离开左边的阿克立特湖，一个陡坡通向位于卡特琳湖岸边的斯特罗纳赫拉赫酒店。","Leaving Loch Arklet on the left, a steep ascent led to the Inn of Stronachlacar, on the banks of Loch Katrine."
"那儿，在一个小桥墩末端，漂浮着一艘小蒸汽船，船名自然是“罗布·罗伊”。游客们很快就上了船；船即将出发。卡特琳湖长只有十英里，宽不超过两英里。离湖最近的山充满了一种独特的气质。","There, at the end of a light pier, floated a small steamboat, named, as a matter of course, the Rob Roy.The travelers immediately went on board; it was about to start.Loch Katrine is only ten miles in length; its width never exceeds two miles.The hills nearest it are full of a character peculiar to themselves."
"“现在我们就在这个著名的湖上了。”詹姆斯·斯塔尔说道，“由于它的长度特点和曲折的形状，人们将其比作一条鳗鱼，这比喻很合适。据说这湖从不结冰。我对此也不清楚，但我们应该想到的是，这里是“湖夫人”的历险场地。我相信，如果朋友杰克仔细地看看四周，他可能会看见美丽的埃伦·道格拉斯那苗条的身影仍滑行在湖面上。”","“Here we are on this famous lake,” said James Starr.“It has been compared to an eel on account of its length and windings: and justly so.They say that it never freezes.I know nothing about that, but what we want to think of is, that here are the scenes of the adventures in the Lady of the Lake.I believe, if friend Jack looked about him carefully, he might see, still gliding over the surface of the water, the shade of the slender form of sweet Ellen Douglas.”"
"“那是肯定的，斯塔尔先生，”杰克说道，“为什么不呢？我也许还能看见卡特琳湖面上漂亮的女孩，还有煤矿井里马尔科姆湖上的那些丑陋幽灵。”","“To be sure, Mr. Starr,” replied Jack; “why should I not?I may just as well see that pretty girl on the waters of Loch Katrine, as those ugly ghosts on Loch Malcolm in the coal pit.”"
"现在是下午三点钟了。卡特琳湖山丘较少的湖岸向西延伸，就像一幅镶嵌在本·安和本·凡纽之间的图画。还有半英里就可到达狭窄海湾的入口了，游客们将在那里着陆，并打算从卡伦德返回斯特林郡。","It was by this time three o’clock in the afternoon.The less hilly shores of Loch Katrine westward extended like a picture framed between Ben An and Ben Venue.At the distance of half a mile was the entrance to the narrow bay, where was the landing-place for our tourists, who meant to return to Stirling by Callander."
"内尔看上去被这一整天持续不断的兴奋给累垮了。当看见惊奇或美丽的新事物时，她只能发出一丝微弱的叫声来表示赞美。她需要休息几个小时，只是为了将她所看见的一切牢牢地印在脑海里。","Nell appeared completely worn out by the continued excitement of the day.A faint ejaculation was all she was able to utter in token of admiration as new objects of wonder or beauty met her gaze.She required some hours of rest, were it but to impress lastingly the recollection of all she had seen."
"哈里握着内尔的手，真诚地看着她说道：“内尔，亲爱的内尔，我们很快就要回到煤矿黑暗处的家了。难道你不渴望得到在这阳光充足的几小时里所看到的这些吗？”","Her hand rested in Harry’s, and, looking earnestly at her, he said, “Nell, dear Nell, we shall soon be home again in the gloomy region of the coal mine.Shall you not pine for what you have seen during these few hours spent in the glorious light of day?”"
