"北方的奥德赛","An Odyssey of the North"
"“要达到那个地方——地图上标得很好——在群山中间，我们得在一个冰封的分水岭的峭壁上凿出一些台阶。我们期望分水岭后面有一个山谷，但是没有山谷；取而代之的是皑皑白雪，像丰收的大平原一样伸展开来，我们的周围都是傲然耸立的山峰，它们纷纷把白色的峰尖挤进群星之中。在那片原本应当是山谷的奇怪的大平原中间，地面和积雪都往下沉，似乎一直沉到了地球的心脏里。假如我们没有当过水手的话，见到这样的情景，我们肯定会头晕目眩；但是，我们依然站在这让人眩晕的山边，想找一条到下边去的路。而且其中有一侧，并且只有这一侧的峭壁是像刮起暴风时的甲板一样渐渐倾斜的。我不知道为什么会是那样，但是它就是那样。他说：‘这是地狱的入口，我们到下面去吧。’然后我们便下去了。","“To reach that place,—and the map spoke true,—in the heart of the great mountains, we cut ice steps against the wall of a divide.One looked for a valley beyond, but there was no valley; the snow spread away, level as the great harvest plains, and here and there about us mighty mountains shoved their white heads among the stars.And midway on that strange plain which should have been a valley, the earth and the snow fell away, straight down toward the heart of the world.Had we not been sailormen our heads would have swung round with the sight; but we stood on the dizzy edge that we might see a way to get down.And on one side, and one side only, the wall had fallen away till it was like the slope of the decks in a topsail breeze.I do not know why this thing should be so, but it was so.‘It is the mouth of hell,’ he said; ‘let us go down.’And we went down."
"“山谷底部有一个小木屋，可能是过去有人从上面把木头丢下去，然后建造的。那是一栋非常老的木屋；因为不同时期到那里的人都孤孤单单地死在那个屋子里了，我们从地上的一些桦树皮上看见了他们临死前留下的文字和诅咒。有一个是得坏血病死的；还有一个是因为他的同伴抢走了他仅剩的一点儿食物和火药以后逃走了；第三个是被一只脸上有白斑的灰熊给弄死的；第四个想捕猎来充饥，但还是饿死了——还有其他的，情况都差不多。他们都不愿意离开那些金子，最终只能死在金子旁边了，只是各有各的死法。他们挖来的那些没用的金子铺在木屋的地板上，到处金光闪闪的，让人感觉就像在梦中一样。","“And on the bottom there was a cabin, built by some man, of logs which he had cast down from above.It was a very old cabin; for men had died there alone at different times, and on pieces of birch bark which were there we read their last words and their curses.One had died of scurvy; another’s partner had robbed him of his last grub and powder and stolen away; a third had been mauled by a bald-face grizzly; a fourth had hunted for game and starved,—and so it went, and they had been loath to leave the gold, and had died by the side of it in one way or another.And the worthless gold they had gathered yellowed the floor of the cabin like in a dream."
"“但是，被我带到这么远的那个人，他内心很平静，脑子也很清醒。他说：‘我们没有吃的了，我们只能看看这里的金子，搞清楚它从什么地方来的，究竟有多少。之后我们就必须赶紧离开，以免它跳进我们的眼睛，偷走了我们的控制力。这样的话，最终我们还能回来，多带点吃的，那么所有的金子就都属于我们了。’于是，我们观察了一下那个大矿脉，它就像人的静脉一样贯穿着矿壁；我们量了一下，又从上往下勾勒出它的轮廓，然后打下一个个木桩子，并且在树上刻下了字，作为归我们所有的标志。那个时候，因为没有食物，我们的膝盖都在打颤，肚子里非常难受，心脏也扑通扑通地就快跳到嗓子眼了，所以，我们最终还是爬上了那个陡峭的岩壁上，开始往回走了。","“But his soul was steady, and his head clear, this man I had led thus far.‘We have nothing to eat,’ he said, ‘and we will only look upon this gold, and see whence it comes and how much there be.Then we will go away quick, before it gets into our eyes and steals away our judgment.And in this way we may return in the end, with more grub, and possess it all.’ So we looked upon the great vein, which cut the wall of the pit as a true vein should; and we measured it, and traced it from above and below, and drove the stakes of the claims and blazed the trees in token of our rights.Then, our knees shaking with lack of food, and a sickness in our bellies, and our hearts chugging close to our mouths, we climbed the mighty wall for the last time and turned our faces to the back trip."
"“在最后一段路上，我们两个人搀着昂加走，我们总是摔倒，不过最终我们还是到了那个藏食物的棚子。看，根本没有食物。这事做得天衣无缝，他以为是被黑獾偷去了，他不断地咒骂那些黑獾跟他的神。但是昂加什么都不怕，她笑着把手放在他手里，而我不得不背过身子，努力控制自己的情绪。她说：‘我们就在火跟前歇息到早上吧，我们可以先把鹿皮鞋吃了，好增加点儿力气。’于是，我们就把鹿皮鞋的鞋筒割成一条一条的，煮了半夜，这样我们才能嚼烂了吞进肚子里。早上我们谈了谈我们的处境。到下一个棚子还有五天的行程；我们是走不到那里的。我们必须得找到野兽才行。","“The last stretch we dragged Unga between us, and we fell often, but in the end we made the cache.And lo, there was no grub.It was well done, for he thought it the wolverines, and damned them and his gods in the one breath.But Unga was brave, and smiled, and put her hand in his, till I turned away that I might hold myself.‘We will rest by the fire,’ she said, ‘till morning, and we will gather strength from our moccasins.’So we cut the tops of our moccasins in strips, and boiled them half of the night, that we might chew them and swallow them.And in the morning we talked of our chance.The next cache was five days’ journey; we could not make it.We must find game."
"‘我们去捕猎吧。’他说。","‘We will go forth and hunt,’ he said."
"我说：‘好，我们捕猎去。’","‘Yes,’ said I, ‘we will go forth and hunt.’"
"“他命令昂加留在火堆旁，保存力气。然后我们就动身了，他去找驼鹿，我去找我转移了的食物棚。但是我只吃了一点儿，这样他们就看不出我的体力不弱。晚上，在返回露营地的路上，他摔倒了好多回。我也假装很虚弱，总是被雪鞋绊倒，好像每走一步都是最后一步似的。后来我们把鹿皮鞋吃了才有了点儿力气。","“And he ruled that Unga stay by the fire and save her strength.And we went forth, he in quest of the moose, and I to the cache I had changed.But I ate little, so they might not see in me much strength.And in the night he fell many times as he drew into camp.And I too made to suffer great weakness, stumbling over my snowshoes as though each step might be my last.And we gathered strength from our moccasins."
"“他是个很棒的人。他的精神一直支撑着他的身体到最后的时刻；除了为昂加之外，他始终没有放声哭过。第二天，我跟着他去捕猎，怕最后见不着他了。他经常躺下歇息。那天晚上，他快不行了；但是到了早上，他无力地咒骂了几句，又接着往前走。他好像一个喝多了酒的人，有很多回我都感觉他要不行了；但是他很坚强，有巨人一样的灵魂支撑着他的身体熬过那疲惫不堪的一天。他猎到了两只松鸡，但是他不愿意吃。他根本用不着火；它们能挽救他的性命；但是他想着昂加，所以他转身往我们的露营地去了。他走不动了，但是他用手和膝盖撑在雪里往前爬。我走到他面前，在他眼睛里看到了死亡的气息。尽管到了那个时候，只要吃了松鸡，还来得及。他扔掉了来复枪，像狗一样，用嘴叼着那两只松鸡。我在他身旁走着，身体挺得直直的。然后他歇息的时候看了看我，奇怪我为什么这么强壮。我能看出来，尽管他已经说不出话了；他嘴唇动了动，但没有发出声音。我说过，他是个很棒的人，我的心也有点儿软了；但是回想起过去的事情，我记起了自己在俄罗斯海边漫无边际的树林里经受了怎样的饥寒交迫。何况，昂加本来是我的，我为她付了皮子、船和珠子的高昂的价格。","“He was a great man.His soul lifted his body to the last; nor did he cry aloud, save for the sake of Unga.On the second day followed him, that I might not miss the end.And he lay down to rest often.That night he was near gone; but in the morning he swore weakly and went forth again.He was like a drunken man, and I looked many times for him to give up; but his was the strength of the strong, and his soul the soul of a giant, for he lifted his body through all the weary day.And he shot two ptarmigan, but would not eat them.He needed no fire; they meant life; but his thought was for Unga, and he turned toward camp.He no longer walked, but crawled on hand and knee through the snow.I came to him, and read death in his eyes.Even then it was not too late to eat of the ptarmigan.He cast away his rifle, and carried the birds in his mouth like a dog.I walked by his side, upright.And he looked at me during the moments he rested, and wondered that I was so strong.I could see it, though he no longer spoke; and when his lips moved, they moved without sound.As I say, he was a great man, and my heart spoke for softness; but I read back in my life, and remembered the cold and hunger of the endless forest by the Russian Seas.Besides, Unga was mine, and I had paid for her an untold price of skin and boat and bead."
"“就这样，我们穿过了白雪皑皑的树林，周围一片寂静，好像海上潮湿的雾一样重重地压在我们身上。过去的幻影弥漫在空中，笼罩在我们周围；我看到了阿卡屯黄色的沙滩，捕完鱼冲回家的皮舟，还有树林边上的房子。还有那两个自封为酋长的人，这两个立下各种规矩的人，一个是我的祖先，一个是嫁给我的昂加的祖先。不错，雅希－奴希也走在我旁边，他的头发上粘着潮湿的沙子，还有那根他摔倒时被折断的长矛依然在他手里。我知道是时候了，我看见了昂加眼里默然相许的目光。","“And in this manner we came through the white forest, with the silence heavy upon us like a damp sea mist.And the ghosts of the past were in the air and all about us; and I saw the yellow beach of Akatan, and the kayaks racing home from the fishing, and the houses on the rim of the forest.And the men who had made themselves chiefs were there, the lawgivers whose blood I bore, and whose blood I had wedded in Unga.Ay, and Yash-Noosh walked with me, the wet sand in his hair, and his war spear, broken as he fell upon it, still in his hand.And I knew the time was met, and saw in the eyes of Unga the promise."
"“我说过，我们就这样穿过树林，直到营火的烟味钻进我们的鼻子。于是我弯下腰，从他嘴里抢过了那两只松鸡。他侧过身子，休息了一会儿，他的眼中露出惊讶的神色，他身下的那只手慢慢往他屁股上的那把刀摸过去。但是我把他的刀拿走了，在他眼前笑了起来。直到那个时候，他还是不知道。于是，我就做出从黑瓶子里喝酒的样子，假装在雪地上摞起一堆高高的货物，把那天晚上我结婚时的情景重演了一遍。我什么都没说，但是他懂了。然而他并不害怕。他的嘴角露出一丝讥笑，透露着冷冷的愤怒，知道了这些，他好像又有了些力气。路并不远，但是雪很厚，他慢慢地拖着自己的身子。有一回，他躺了很长时间，我把他翻过来，看着他的眼睛。他有时候往前面看，有时候目光呆滞。等我松开他以后，他又挣扎着往前爬。就这样，我们到了火堆旁边。昂加马上走到他身边。他的嘴唇动了几下，没有声音；接着他指了指我，希望昂加能明白。然后他便躺在雪里，静静地躺了很长时间。如今他仍然在那里躺着。","“As I say, we came thus through the forest, till the smell of the camp smoke was in our nostrils.And I bent above him, and tore the ptarmigan from his teeth.He turned on his side and rested, the wonder mounting in his eyes, and the hand which was under slipping slow toward the knife at his hip.But I took it from him, smiling close in his face.Even then he did not understand.So I made to drink from black bottles, and to build high upon the snow a pile of goods, and to live again the things which happened on the night of my marriage.I spoke no word, but he understood.Yet was he unafraid.There was a sneer to his lips, and cold anger, and he gathered new strength with the knowledge.It was not far, but the snow was deep, and he dragged himself very slow.Once, he lay so long, I turned him over and gazed into his eyes.And sometimes he looked forth, and sometimes death.And when I loosed him he struggled on again.In this way we came to the fire.Unga was at his side on the instant.His lips moved, without sound; then he pointed at me, that Unga might understand.And after that he lay in the snow, very still, for a long while.Even now is he there in the snow."
"“我一直在做松鸡，没有说话。然后我跟她说话，说的是她很多年没有听过的家乡话。她直起身，就这样，由于惊讶，眼睛睁得很大，她问我是什么人，从什么地方学来的这种话。","“I said no word till I had cooked the ptarmigan.Then I spoke to her, in her own tongue, which she had not heard in many years.She straightened herself, so, and her eyes were wonder-wide, and she asked who I was, and where I had learned that speech."
"“我说：‘我是纳斯。’","“‘I am Naass,’ I said."
"‘你？’她说，‘是你？’她爬到我面前好看个清楚。","‘You?’ she said.‘You?’ And she crept close that she might look upon me."
"‘是的，’我回答，‘我是纳斯，阿卡屯的酋长，我们整个家族最后一条血脉，就像你一样，你也是你们家族最后一条血脉。’","‘Yes,’ I answered; ‘I am Naass, head man of Akatan, the last of the blood, as you are the last of the blood.’"
"“她笑了。我用我见过的和做过的一切发誓，我再也不要听到那样的笑声。它让我心寒，在那万籁俱寂的雪野里，只有我一个人和死神，还有那个大笑的女人坐在那里。","“And she laughed.By all the things I have seen and the deeds I have done, may I never hear such a laugh again.It put the chill to my soul, sitting there in the White Silence, alone with death and this woman who laughed."
"‘过来！’我说，因为我觉得她已经疯了，‘吃点儿东西，我们就走吧。从这里到阿卡屯还有很远的路呢。’","‘Come!’ I said, for I thought she wandered.‘Eat of the food and let us be gone.It is a far fetch from here to Akatan.’"
"“但是她把脸藏进他的黄头发里，一直笑，直笑到仿佛我们耳边的天就要掉下来了似的。我原本以为她见到我会欣喜若狂，会马上记起过去的事情；但是她用这样的方式，让我感觉很诧异。‘过来！’我使劲抓住她的手，大声喊道，‘路又远又黑。我们快点儿吧！”","“But she shoved her face in his yellow mane, and laughed till it seemed the heavens must fall about our ears.I had thought she would be overjoyed at the sight of me, and eager to go back to the memory of old times; but this seemed a strange form to take.‘Come!’ I cried, taking her strong by the hand.‘The way is long and dark.Let us hurry!’"
"‘去什么地方？’她不再奇怪地笑了，坐起来问我。","‘Where?’ she asked, sitting up, and ceasing from her strange mirth."
"‘去阿卡屯。’我答道，盼望着她一听见我的话，脸上会露出快乐的神情。但是她跟他一样，嘴角露出一丝讥笑，流露出冷冷的愤怒。","‘To Akatan,’ I answered, intent on the light to grow on her face at the thought.But it became like his, with a sneer to the lips, and cold anger."
"‘好啊，’她说，‘我们走吧，手牵着手，我和你，一起到阿卡屯去。我们去住那肮脏的茅屋，吃鱼和油，再生个孩子——让我们一辈子都为之骄傲的孩子。我们会忘记这个世界，会幸福，非常幸福。真是太棒了，棒极了。来吧！我们赶紧走。我们一起回阿卡屯去。’","‘Yes,’ she said; ‘we will go, hand in hand, to Akatan, you and I.And we will live in the dirty huts, and eat of the fish and oil, and bring forth a spawn,—a spawn to be proud of all the days of our life.We will forget the world and be happy, very happy.It is good, most good.Come!Let us hurry.Let us go back to Akatan.’"
"“她一边用手抚弄着他的黄头发，一边不怀好意地笑着。她的眼里没有默然相许的意思。","“And she ran her hand through his yellow hair, and smiled in a way which was not good.And there was no promise in her eyes."
"“我坐在那里一声不吭，弄不明白这个女人为什么这么奇怪。我记起了那天晚上他把她从我那里拽走的时候，她尖叫着撕扯着他的头发——如今，她却抚弄着它，不舍得放下。后来我还记起了我付出的代价和常年的等待；我牢牢抓住她，像他过去那样把她拽走。她也像那天晚上一样，倒退着，像一只母猫被人从小猫身边拽走那样挣扎着。等到我们到了火堆的另一面，和那个男人分开以后，我才松开了她，她坐下来听我说话。我给她讲了我所经历过的一切，我讲了我在陌生的海上和陌生的土地上所经历的事情；我讲了我怎样找得疲惫不堪，好多年忍饥挨饿，还有最初我的承诺。哎，我全跟她讲了，甚至包括那天我和那个男人所经历的一切，还有前些天的事情。我说话的时候，看到她眼中渐渐流露出蓦然相许的神色，像破晓时分的天空，又饱满，又丰富。我看见了她眼里流露出的同情、女性的柔情、爱意，和昂加的心和灵魂。于是，我又成了一个小伙子，因为这种神情就是当初昂加跑上沙滩，一边笑，一边跑进她母亲房子里去时露出的那种神情。严厉和不安不见了，饥饿和疲倦的等待也结束了。是时候了。我感觉到了她内心的呼唤，似乎是让我把头枕在她胸口，忘记所有的事情。她向我张开双臂，我朝她奔了过去。然后，突然之间，她的眼里迸发出了仇恨的火焰，她的手已经在我的腰部了。一刀、两刀，她捅了我两刀。","“I sat silent, and marveled at the strangeness of woman. I went back to the night when he dragged her from me, and she screamed and tore at his hair,—at his hair which now she played with and would not leave.Then I remembered the price and the long years of waiting; and gripped her close, and dragged her away as he had done.And she held back, even as on that night, and fought like a she-cat for its whelp.And when the fire was between us and the man, I loosed her, and she sat and listened.And I told her of all that lay between, of all that had happened me on strange seas, of all that I had done in strange lands; of my weary quest, and the hungry years, and the promise which had been mine from the first.Ay, I told all, even to what had passed that day between the man and me, and in the days yet young.And as spoke I saw the promise grow in her eyes, full and large like the break of dawn.And I read pity there, the tenderness of woman, the love, the heart and the soul of Unga.And I was a stripling again, for the look was the look of Unga as she ran up the beach, laughing, to the home of her mother.The stern unrest was gone, and the hunger, and the weary waiting.The time was met.I felt the call of her breast, and it seemed there I must pillow my head and forget.She opened her arms to me, and I came against her.Then, sudden, the hate flamed in her eye, her hand was at my hip.And once, twice, she passed the knife."
"‘狗！’她冷笑着把我推到雪里。‘猪！’然后她便大笑起来，直到笑声打破了寂静的夜，她又回到她的死人身边。","‘Dog!’ she sneered, as she flung me into the snow.‘Swine!’ And then she laughed till the silence cracked, and went back to her dead."
"我说过，她捅了我一刀，然后捅了第两刀；但是她饿得没了力气，根本杀不了我。然而，我还想呆在那里，合上眼睛，和那两个人一起长眠。他们的生活和我的生活交织在一起，把我引上了很多未知的路。但是我身上还有一笔债，让我无法安息。","As I say, once she passed the knife, and twice; but she was weak with hunger, and it was not meant that I should die.Yet was minded to stay in that place, and to close my eyes in the last long sleep with those whose lives had crossed with mine and led my feet on unknown trails.But there lay a debt upon me which would not let me rest."
"“路很长，天冷得刺骨，只有一点儿食物。佩利人没找到驼鹿，抢光了我的棚子。那三个白人也一样；但是经过他们的木屋时，我看见他们骨瘦如柴，已经饿死在那里了。后来的事我就不记得了，直到我来到这里，发现了食物和火——很多火。”","“And the way was long, the cold bitter, and there was little grub.The Pellys had found no moose, and had robbed my cache.And so had the three white men; but they lay thin and dead in their cabin as passed.After that I do not remember, till I came here, and found food and fire,—much fire.”"
"他讲完以后，羡慕不已地将身子靠近火炉。有很长一段时间，好像油灯的影子也在墙上演着一幕幕悲剧。","As he finished, he crouched closely, even jealously, over the stove.For a long while the slush-lamp shadows played tragedies upon the wall."
"“但是昂加！”普林斯叫道，那一幕情景还深深印在他脑子里。","“But Unga!” cried Prince, the vision still strong upon him."
"“昂加？她不愿意吃松鸡。她躺在那里，双手搂着他的脖子，脸深深埋在他的黄头发里。我把火挪近了一点儿，好让她不受冻；但是她爬到了另一边。我又在那一边生了火；但是也没什么用，因为她怎么都不愿意吃东西。就这样，他们仍然躺在雪里。”","“Unga?She would not eat of the ptarmigan.She lay with her arms about his neck, her face deep in his yellow hair.I drew the fire close, that she might not feel the frost; but she crept to the other side.And I built a fire there; yet it was little good, for she would not eat.And in this manner they still lie up there in the snow.”"
"“那你有什么打算呢？”马尔穆特·基德问。","“And you?” asked Malemute Kid."
"“我不知道；阿卡屯很小，我不想回去，生活在世界的边缘。但是活着有什么意义呢？我可以去找康士坦丁队长，他会给我戴上手铐和脚镣，有一天，他们会给我套上一根绳子，这样，我就可以安安稳稳地睡了。但是——这也不行；反正我也不知道。”","“I do not know; but Akatan is small, and I have little wish to go back and live on the edge of the world.Yet is there small use in life.I can go to Constantine, and he will put irons upon me, and one day they will tie a piece of rope, so, and I will sleep good.Yet—no; I do not know.”"
"“但是，基德，”普林斯抗议道，“这可是谋杀呀！”","“But, Kid,” protested Prince, “this is murder!”"
"“嘘！”马尔穆特·基德命令道，“有些事凭我们的智慧和公道标准是无法判断的。是对是错，我们也说不清楚，也不能由我们来判断。”","“Hush!” commanded Malemute Kid.“There be things greater than our wisdom, beyond our justice.The right and the wrong of this we cannot say, and it is not for us to judge.”"
"纳斯向火炉靠得越来越近了。四处一片寂静，每个人的眼睛里都涌现出一幅又一幅的画面。","Naass drew yet closer to the fire.There was a great silence, and in each man’s eyes many pictures came and went."
