"英格兰，我的英格兰","England, My England"
"埃格伯特只是拒绝思考世界上的事。他甚至拒绝在德国军国主义和英国工业主义之间做选择。他两者都不选。至于暴行，他看不起那些犯下暴行的人，把他们归于低等罪犯之类。犯罪不具有民族性。","Egbert just refused to reckon with the world.He just refused even to decide between German militarism and British industrialism.He chose neither.As for atrocities, he despised the people who committed them as inferior criminal types.There was nothing national about crime."
"然而，战争！战争！只是战争！不论正义与否，而只是战争本身。他应该入伍吗？他应该把自己交付给战争吗？这个问题在他脑海里逗留了好几个星期。这不是因为他认为英国是正确的而德国是错误的。也许德国是错误的，但他拒绝做出选择。不是因为他受到了鼓舞。不是。而只是——战争。","And yet, war!War!Just war!Not right or wrong, but just war itself.Should he join?Should he give himself over to war?The question was in his mind for some weeks.Not because he thought England was right and Germany wrong.Probably Germany was wrong, but he refused to make a choice.Not because he felt inspired.No.But just—war."
"他怕入伍会自己置身于他人的权力之下，和一个民主军队的暴民精神的权力之下。他应该把自己交出去吗？他应该把自己的生命和躯体交由某个他明知在精神上比自己更低等的东西控制吗？他应该献身于一种低等控制权吗？他应该这样吗？他应该背叛自我吗？","The deterrent was, the giving himself over into the power of other men, and into the power of the mob-spirit of a democratic army.Should he give himself over?Should he make over his own life and body to the control of something which he knew was inferior, in spirit, to his own self?Should he commit himself into the power of an inferior control?Should he?Should he betray himself?"
"他将置身于比自己更低等的人的权力之下，他明白这一点。他将使自己屈服。他将被那些卑微的士兵们——乃至军官们呼来唤去。他生来自由，成长也是自由的。他应该这样做吗？","He was going to put himself into the power of his inferiors, and he knew it.He was going to subjugate himself.He was going to be ordered about by petty canaille of non-commissioned officers—and even commissioned officers.He who was born and bred free.Should he do it?"
"他找到妻子，跟她谈话。","He went to his wife, to speak to her."
"“我应该去参军吗，威妮弗雷德？”","‘Shall I join up, Winifred?’"
"她沉默着。她本性对此也是完全反对的。然而一种强烈的愤恨之感促使她回答：","She was silent.Her instinct also was dead against it.And yet a certain profound resentment made her answer:"
"“你的三个孩子指望着你。我不知道你是否想过这个问题。”","‘You have three children dependent on you.I don’t know whether you have thought of that.’"
"战争刚爆发三个月不到，旧的战前观点仍然存在。","It was still only the third month of the war, and the old pre-war ideas were still alive."
"“当然。但这对他们的影响不会太大。至少我可以一天挣到一先令。”","‘Of course.But it won’t make much difference to them.I shall be earning a shilling a day, at least.’"
"“我想，你最好跟父亲说说。”她心情沉重地缓缓答道。","‘You’d better speak to father, I think,’ she replied heavily."
"埃格伯特找到他岳父。老人的心里满是愤恨。","Egbert went to his father-in-law.The elderly man’s heart was full of resentment."
"“我应当说，”他很不和气地说，“这是你能做的最好的事情。”","‘I should say,’ he said rather sourly, ‘it is the best thing you could do.’"
"埃格伯特立即就去参军了，当了一名列兵。他被派到了轻型火炮部队。","Egbert went and joined up immediately, as a private soldier.He was drafted into the light artillery."
"威妮弗雷德现在对他有了一个新的责任：对一个在对世界履行责任的丈夫履行妻子的责任。她仍然爱他。她会永远爱他，只要尘世的爱情依然存在。但她现在活着是基于责任。当作为一个士兵的他穿着卡其布军装回来时，作为一个妻子，她顺从他。这是她的责任。然而她再也无法做到完全顺从他的激情。某种东西永远地阻止了她：这也可能是她内心最深处的选择。","Winifred now had a new duty towards him: the duty of a wife towards a husband who is himself performing his duty towards the world.She loved him still.She would always love him, as far as earthly love went.But it was duty she now lived by.When he came back to her in khaki, a soldier, she submitted to him as a wife.It was her duty.But to his passion she could never again fully submit.Something prevented her, for ever: even her own deepest choice."
"他又回到军营。他不适合当一名现代士兵。穿着笨重、粗糙、丑陋的卡其军装，他美好的体格都看不到了，就像他已经死了一般。在军营里可怕的亲密关系中，他那天生就十分优良的敏感性已经降低了。但既然已经选择了，他就得接受。一种令人生厌的微妙表情出现在他脸上，是那种自甘堕落的男人的表情。","He went back again to camp.It did not suit him to be a modern soldier.In the thick, gritty, hideous khaki his subtle physique was extinguished as if he had been killed.In the ugly intimacy of the camp his thoroughbred sensibilities were just degraded.But he had chosen, so he accepted.An ugly little look came on to his face, of a man who has accepted his own degradation."
"早春时候，威妮弗雷德去了克罗坎。那时，那里的报春花正在开放，榛树丛上也缀满了花朵。她有点想跟埃格伯特重归于好了，现在他大多数日子都是被禁锢在军营里。经过在伦敦八九个月的痛苦不堪的生活后，再次看到花园和公地，乔伊斯高兴得不得了。她仍然瘸着腿。她腿上仍有铁支架。虽然敏捷性因为跛腿而下降，她还是疯狂地到处蹒跚而行。","In the early spring Winifred went down to Crockham to be there when primroses were out, and the tassels hanging on the hazel-bushes.She felt something like a reconciliation towards Egbert, now he was a prisoner in camp most of his days.Joyce was wild with delight at seeing the garden and the common again, after the eight or nine months of London and misery.She was still lame.She still had the irons up her leg.But she lurched about with a wild, crippled agility."
"周末时，埃格伯特回来了，穿着他那粗糙、笨重、砂纸似的卡其布军装，打着绑腿，戴着特别难看的军帽。而且，他看起来很糟糕。他脸色有些肮脏，嘴唇有点溃疡，似乎他吃得太多或喝得太多，或是他的血变得不怎么干净了。过着军营生活的他很健康，但却相当难看。那儿不适合他。","Egbert came for a week-end, in his gritty, thick, sand-paper khaki and puttees and the hideous cap.Nay, he looked terrible.And on his face a slightly impure look, a little sore on his lip, as if he had eaten too much or drunk too much or let his blood become a little unclean.He was almost uglily healthy, with the camp life.It did not suit him."
"威妮弗雷德等着他，带着些许责任感和牺牲的激情，愿意为这个士兵服务，如果不是为了这个男人的话。这只会让他内心感到有点更加生厌。周末对他来说是种折磨：对军营的记忆、他在那儿生活的印象、甚至自己腿上穿着那令人憎恶的卡其布的情景都是折磨。他似乎感到那丑得出奇的衣服进入了他的血液，使它变得浑浊、肮脏。还有威妮弗雷德拒绝接受这个男人的同时，却时刻准备着为这个士兵服务。这让他的牙关咬得更紧了。孩子们正在到处跑着、玩耍着、呼喊着，他们很是矫揉造作，颇像来自那些有保姆和女家庭教师的书香门第的孩子们。还有，乔伊斯这么瘸！过上军营生活以后，他感到一切都已经变得不真实了。他的灵魂也正因如此而局促不安。星期一早上天刚亮，他就走了。他很高兴再次回到那真实而粗鄙的军营里去。","Winifred waited for him in a little passion of duty and sacrifice, willing to serve the soldier, if not the man.It only made him feel a little more ugly inside.The week-end was torment to him: the memory of the camp, the knowledge of the life he led there; even the sight of his own legs in that abhorrent khaki.He felt as if the hideous cloth went into his blood and made it gritty and dirty.Then Winifred so ready to serve the soldier, when she repudiated the man.And this made the grit worse between his teeth.And the children running around playing and calling in the rather mincing fashion of children who have nurses and governesses and literature in the family.And Joyce so lame!It had all become unreal to him, after the camp.It only set his soul on edge.He left at dawn on the Monday morning, glad to get back to the realness and vulgarity of the camp."
"威妮弗雷德再也没有在小屋见到他——只是在伦敦见过，那里才是他们的世界。但有时，也许是有朋友在那里的时候，他会独自去克罗坎。那样的话，他会在花园里劳作片刻。这个夏天，这地方仍然盛开着蓝色的牛舌草和大红的罂粟花，毛蕊花在空中摇曳着柔软的、毛绒绒的花枝——他很喜欢毛蕊花；当猫头鹰咕咕叫时，金银花会散发出阵阵香气，如记忆中的一般。然后，他跟朋友们，还有威妮弗雷德的姐妹们坐在火旁一起唱民歌。他穿上薄薄的平民服装，他的魅力、他的帅气，还有他身体柔软的优势，便又焕发出光芒。但威妮弗雷德不在那里。","Winifred would never meet him again at the cottage—only in London, where the world was with them.But sometimes he came alone to Crockham perhaps when friends were staying there.And then he would work awhile in his garden.This summer still it would flame with blue anchusas and big red poppies, the mulleins would sway their soft, downy erections in the air: he loved mulleins: and the honeysuckle would stream out scent like memory, when the owl was whooing.Then he sat by the fire with the friends and with Winifred’s sisters, and they sang the folk-songs.He put on thin civilian clothes and his charm and his beauty and the supple dominancy of his body glowed out again.But Winifred was not there."
"夏天结束的时候，他去佛兰德参加战斗。他似乎已经超脱了生活，超越了生活的羁绊。他几乎记不起他曾经的生活，就像一个正要从高处往下跳的人，只顾盯着他必须着地的地方。","At the end of the summer he went to Flanders, into action.He seemed already to have gone out of life, beyond the pale of life.He hardly remembered his life any more, being like a man who is going to take a jump from a height, and is only looking to where he must land."
"两个月里，他受了两次轻伤。但这不足以让他离开火线超过一天或两天。他们又一次主动撤退，同时阻挡敌人。他是在后卫部队——有三挺机关枪。乡村一切都好，战争还没有践踏它。只是空气似乎被打碎了，大地正等待着死亡。他参加的这次行动规模很小，并不重要。","He was twice slightly wounded, in two months.But not enough to put him off duty for more than a day or two.They were retiring again, holding the enemy back.He was in the rear—three machine-guns.The country was all pleasant, war had not yet trampled it.Only the air seemed shattered, and the land awaiting death.It was a small, unimportant action in which he was engaged."
"机枪就架在村子外面一个长满灌木的小丘上。但偶尔，很难说会从哪个方向传来步枪开火的刺耳爆裂声，以及更远处大炮的隆隆声。这个下午冷得像冬天一样。","The guns were stationed on a little bushy hillock just outside a village.But occasionally, it was difficult to say from which direction, came the sharp crackle of rifle-fire, and beyond, the far-off thud of cannon.The afternoon was wintry and cold."
"一名中尉站在梯子顶端的一个铁制小平台上，一边观测，一边紧张、机械地高声喊出目标的位置。空中传来关于射击方向的厉声喊叫，然后是预警性的倒数，再后来是“开火！”。子弹打了出去，机枪的活塞弹了回来，一声爆炸的巨响传来，空气中留下了一层薄薄的烟雾。接着其他两挺枪也开火了。然后是一段间歇。这位军官没弄清楚敌人的位置。小丘下面浓密的七叶树林里毫无动静。只是在远处，猛烈的交火声在继续，声音很远，让人感觉到安宁。","A lieutenant stood on a little iron platform at the top of the ladders, taking the sights and giving the aim, calling in a high, tense, mechanical voice.Out of the sky came the sharp cry of the directions, then the warning numbers, then ‘Fire!’The shot went, the piston of the gun sprang back, there was a sharp explosion, and a very faint film of smoke in the air.Then the other two guns fired, and there was a lull.The officer was uncertain of the enemy’s position.The thick clump of horse-chestnut trees below was without change.Only in the far distance the sound of heavy firing continued, so far off as to give a sense of peace."
"两旁的荆豆丛都是深色的，只有一些稀稀拉拉的花朵是黄色的。他在间歇时等着，几乎是不知不觉地就注意到了它们。他穿着他的衬衫，空气冰冷地拂过他的手臂。他的衬衫在肩膀处裂开了，皮肉露了出来。他蓬头垢面。但他脸色平静。在我们快要失去意识之前，好多事情会出现在意识里。","The gorse bushes on either hand were dark, but a few sparks of flowers showed yellow.He noticed them almost unconsciously as he waited, in the lull.He was in his shirt-sleeves, and the air came chill on his arms.Again his shirt was slit on the shoulders, and the flesh showed through.He was dirty and unkempt.But his face was quiet.So many things go out of consciousness before we come to the end of consciousness."
"在他的前方，下面是穿行在高高的草丛和荆豆丛之间的大道。他看见了泥泞的路上泛白的足迹和深深的车痕，部队就是从那里撤退的。现在，万籁俱寂。即使有声音传来，也是来自外界。他所处的地方仍然寂静、寒冷而安详。远方树林中的白色教堂看起来仿佛只是存在于想象中。","Before him, below, was the highroad, running between high banks of grass and gorse.He saw the whitish muddy tracks and deep scores in the road, where the part of the regiment had retired.Now all was still.Sounds that came, came from the outside.The place where he stood was still silent, chill, serene: the white church among the trees beyond seemed like a thought only."
"头顶上的军官发出尖声的喊叫，他闪电般迅速地做出了机械式反应。机械动作，纯粹是服从命令而做出的机械性枪击动作。纯粹是机械性枪击动作。它让灵魂没了负担，在黑暗中赤裸裸地沉思。最终，在根本不存在的涌流之上，灵魂独自沉思着，就像一只飞翔在昏暗的海面上的小鸟。","He moved into a lightning-like mechanical response at the sharp cry from the officer overhead.Mechanism, the pure mechanical action of obedience at the guns.Pure mechanical action at the guns.It left the soul unburdened, brooding in dark nakedness.In the end, the soul is alone, brooding on the face of the uncreated flux, as a bird on a dark sea."
"除了那条路、一只被打歪了的十字架和黑黝黝的秋天原野和树林，什么都看不见。在一块耕过的小高地上，出现了三个骑兵，看起来很小的样子。他们是我们这边的人。至于敌人，一个都没有。","Nothing could be seen but the road, and a crucifix knocked slanting and the dark, autumnal fields and woods.There appeared three horsemen on a little eminence, very small, on the crest of a ploughed field.They were our own men.Of the enemy, nothing."
"间歇在继续。然后，突然传来了厉声的命令，机枪指向了一个新的方向，随后是一阵紧张、激烈的开火。然而在最深处，灵魂还是那么孤单、阴郁而冷漠。","The lull continued.Then suddenly came sharp orders, and a new direction of the guns, and an intense, exciting activity.Yet at the centre the soul remained dark and aloof, alone."
"即便如此，灵魂还是听到了新声：那是一杆枪发出的新的、低沉的“啪啪”声，这枪声仿佛正好击打着他的心灵。他不停地快速扣动机关枪，大汗淋漓。但在他灵魂回响着一个新的、深沉的声音，比生命还深沉。他的感觉得到了证实，炮弹那可怕而轻微的声音传来。几乎突然之间，那声音变成一声刺耳、撕裂般的尖叫，要撕开生命的膜皮。","But even so, it was the soul that heard the new sound: the new, deep ‘papp!’ of a gun that seemed to touch right upon the soul.He kept up the rapid activity at the machine-gun, sweating.But in his soul was the echo of the new, deep sound, deeper than life.And in confirmation came the awful faint whistling of a shell, advancing almost suddenly into a piercing, tearing shriek that would tear through the membrane of life."
"他的耳朵听见了那声音，而他的灵魂也在紧张中听见了。当那东西呼啸而过，击落在很远的地方时，大家都松了口气。他听见了炮弹刺耳的爆炸声，还有士兵呼唤战马的声音。但他没有回过头去看。他只注意到一根结着红色浆果的冬青树枝，像一份礼品一样，落在下方的路上。","He heard it in his ears, but he heard it also in his soul, in tension.There was relief when the thing had swung by and struck, away beyond.He heard the hoarseness of its explosion, and the voice of the soldier calling to the horses.But he did not turn round to look.He only noticed a twig of holly with red berries fall like a gift on to the road below."
"不是现在，不是现在。你往哪里去，我也往哪里去（注：本句出自《旧约·路德记》1:16）。他在跟炮弹说话，还是在跟谁说话？你往哪里去，我也往哪里去。接着，又一颗炮弹轻微地呼啸着过来了。他的血流变缓、静止了，等着挨这一炮。它更近了，像某种可怕的风暴；他的血液失去了意识。然而，就在意识暂停的一瞬间，他看见沉重的炮弹猛扑向土地，砸进了右边乱石成堆的灌木丛中，泥土和石头被抛向了天空。似乎他没听到什么声音。泥土、石头还有灌木碎片再次落到地上，然后一切又归于不变的宁静。德国人找到了攻击目标。","Not this time, not this time.Whither thou goest I will go.Did he say it to the shell, or to whom?Whither thou goest I will go.Then, the faint whistling of another shell dawned, and his blood became small and still to receive it.It drew nearer, like some horrible blast of wind; his blood lost consciousness.But in the second of suspension he saw the heavy shell swoop to earth, into the rocky bushes on the right, and earth and stones poured up into the sky.It was as if he heard no sound.The earth and stones and fragments of bush fell to earth again, and there was the same unchanging peace.The Germans had got the aim."
"他们现在要转移吗？他们要撤退吗？是的。撤退前，军官正闪电般疾速地发出最后一道向敌人开火的命令。在快速的行动中，一颗炮弹在不知不觉中袭了过来。接着，在沉默中，在灵魂沉思的一瞬间，一个声音，连同一片黑暗，连同瞬间的剧痛和恐惧，终于炸开了。啊，他看见黑鸟正朝他飞来，这次是朝家里飞。只在一瞬间，生命和永恒就烧毁在极度痛苦的火海之中，然后便是沉甸甸的黑暗。","Would they move now?Would they retire?Yes.The officer was giving the last lightning-rapid orders to fire before withdrawing.A shell passed unnoticed in the rapidity of action.And then, into the silence, into the suspense where the soul brooded, finally crashed a noise and a darkness and a moment’s flaming agony and horror.Ah, he had seen the dark bird flying towards him, flying home this time.In one instant life and eternity went up in a conflagration of agony, then there was a weight of darkness."
"当某种东西开始在黑暗中微弱地挣扎时，他恢复了知觉，感到了巨大的重压和铿锵的声响。知道自己已死到临头！而在死之前，还要被迫回顾一遍。我命如此，连死亡也不例外。","When faintly something began to struggle in the darkness, a consciousness of himself, he was aware of a great load and a clanging sound.To have known the moment of death!And to be forced, before dying, to review it.So, fate, even in death."
"疼痛反复袭来。这似乎是从他的意识之外袭来的：像一只洪钟紧挨在身边铿锵作响。然而他知道那就是他自己。他必须把自己跟它联系起来。经过一次昏厥和一次新的挣扎，他确认痛苦来自头上，那里有片巨大的痛处在铿锵作响、反复发作。到那时为止，他还有自我意识。接着，就昏厥了。","There was a resounding of pain.It seemed to sound from the outside of his consciousness: like a loud bell clanging very near.Yet he knew it was himself.He must associate himself with it.After a lapse and a new effort, he identified a pain in his head, a large pain that clanged and resounded.So far he could identify himself with himself.Then there was a lapse."
"经过一段时间，他似乎又一次醒过来，逐渐醒过来，知道他在前线，而且被杀死了。他没有睁开眼睛。光不再属于他。他头上痛处的铿锵声送走了他仅剩的意识。于是，他从清醒状态中昏厥过去，无可奈何地、极不情愿地放弃了生命。","After a time he seemed to wake up again, and waking, to know that he was at the front, and that he was killed.He did not open his eyes.Light was not yet his.The clanging pain in his head rang out the rest of his consciousness.So he lapsed away from consciousness, in unutterable sick abandon of life."
"像死亡一样的意识渐渐恢复了过来。他被打中了头。开始，这只是一种模糊的推测。然而，随着疼痛的钟摆的左右摇晃，越摇越近，把他撞进意识的痛苦和痛苦的意识之间。他慢慢地有了意识——他一定是被打在了头上——打在左眉上；如果这样，会有血——眉上会有血吗？——他能感觉到左眼上的血吗？然后，那铿锵声似乎要爆开他的脑膜，像死亡一样疯狂。","Bit by bit, like a doom came the necessity to know.He was hit in the head.It was only a vague surmise at first.But in the swinging of the pendulum of pain, swinging ever nearer and nearer, to touch him into an agony of consciousness and a consciousness of agony, gradually the knowledge emerged—he must be hit in the head—hit on the left brow; if so, there would be blood—was there blood?—could he feel blood in his left eye?Then the clanging seemed to burst the membrane of his brain, like death-madness."
"他脸上有血吗？在流着热血吗？或者那是顺着他的面颊凝结的血？他光问这个问题就用了好几个小时：在黑暗中，时间不过是无法计量的痛苦。","Was there blood on his face?Was hot blood flowing?Or was it dry blood congealing down his cheek?It took him hours even to ask the question: time being no more than an agony in darkness, without measurement."
"睁开眼睛以后很长时间，他才知道他看见了什么——什么呢，什么呢，但要回想起是什么，却太费劲了。不，不，别去回想了！","A long time after he had opened his eyes he realized he was seeing something—something, something, but the effort to recall what was too great.No, no; no recall!"
"它们是不是在黑暗的天空中的星星？那可能是在黑暗的天空中的星星吗？星星？世界？啊，不，他不会知道了！对他来说，星星和世界都已经远去了。他闭上了双眼。没有星星，没有天空，没有世界。没有，没有！只有血一般浓稠的黑暗。这应该是一次大的昏厥了，他痛苦地陷入了血一般浓稠的黑暗中。","Were they the stars in the dark sky?Was it possible it was stars in the dark sky?Stars?The world?Ah, no, he could not know it!Stars and the world were gone for him, he closed his eyes.No stars, no sky, no world.No, No!The thick darkness of blood alone.It should be one great lapse into the thick darkness of blood in agony."
"死亡，啊，死亡！满世界都是血，血全都与死亡纠缠在一起。灵魂就像漆黑的血海上的最微弱的光。光在无风的风暴中摇曳着、拍打着、跳动着。希望它会熄灭，然而却做不到。","Death, oh, death!The world all blood, and the blood all writhing with death.The soul like the tiniest little light out on a dark sea, the sea of blood.And the light guttering, beating, pulsing in a windless storm, wishing it could go out, yet unable."
"曾经有过生活。曾经有过威妮弗雷德和他的孩子们。然而，在临死的痛苦之中努力捕捉记忆的点滴、过去生活的点滴，引起了他极大的反感。不，不！没有威妮弗雷德，没有孩子们。没有世界，没有人。宁愿痛苦地面对即将到来的灰飞烟灭，也不要这努力回忆过去引起的反感。宁愿把这可怕的工作继续下去，消亡在这死亡的黑色海洋中，粉身碎骨，也不要去触及过去的生活！忘掉吧！忘掉吧！彻底地，彻底地忘掉，在死亡中全然忘却。打破生命的核心和单元，在伟大的黑暗中消逝。只能如此。打断思绪，与这片黑暗融为一体，没有将来，也没有过去。让死亡的黑色海洋自己去解决将来的问题吧。让人类的意志破灭、停止吧。","There had been life.There had been Winifred and his children.But the frail death-agony effort to catch at straws of memory, straws of life from the past, brought on too great a nausea.No, No!No Winifred, no children.No world, no people.Better the agony of dissolution ahead than the nausea of the effort backwards.Better the terrible work should go forward, the dissolving into the black sea of death, in the extremity of dissolution, than that there should be any reaching back towards life.To forget!To forget!Utterly, utterly to forget, in the great forgetting of death.To break the core and the unit of life, and to lapse out on the great darkness.Only that.To break the clue, and mingle and commingle with the one darkness, without afterwards or forwards.Let the black sea of death itself solve the problem of futurity.Let the will of man break and give up."
"那是什么？亮光！可怕的亮光！那是人的影子吗？那是一条马腿吗？如此庞大——庞大，在他上面：巨大，巨大？","What was that?A light!A terrible light!Was it figures?Was it legs of a horse colossal—colossal above him: huge, huge?"
"德国人听到一声轻微的响动，吃了一惊。接着，在闪光弹的照耀下，在炮弹炸出来的土堆旁，他们看到了这张死去的脸。","The Germans heard a slight noise, and started.Then, in the glare of a light-bomb, by the side of the heap of earth thrown up by the shell, they saw the dead face."
