"千块皮","Allerleirauh"
"六只天鹅","The Six Swans"
"很久很久以前，有位国王在一个大森林里打猎，他那么急切地追赶着一只野兽，随从们都被抛在了后面。夜幕降临，他停下来四处张望，这时他才意识到自己迷路了。他试图寻找一条出去的路，可怎样也找不到。这时，他看到一位老妇人朝他走来，老妇人不断地点头，她其实是个女巫。国王对她说：“老太太，你能告诉我怎么走出森林吗？”她答道：“噢，好的，国王陛下，我肯定能做到，但我有个条件，要是你不答应的话，你就永远走不出森林，直到饿死在这里。”国王问道：“什么条件？”女巫说：“我有个女儿，长得很漂亮，肯定配得上你，你要是能让她当皇后的话，我就告诉你怎么走出森林。”尽管国王心里很痛苦，但他还是同意了。女巫将国王带到她的小屋里，她的女儿正坐在火旁取暖。她起身欢迎国王的到来，好像等待了很久一样。国王觉得她的确很美，可还是不称他的心意，一看到她就有种恐惧感。国王把女孩抱到马上后，女巫才指给他出去的路。国王再次回到王宫后就和女孩结婚了。国王曾经结过一次婚，前妻给他生了七个孩子，六个男孩一个女孩，他爱自己的孩子胜过世界上的一切。他担心继母对孩子们不好，甚至会伤害他们，便把他们送到森林深处一座宫殿里居住。宫殿的位置非常隐蔽，通往宫殿的路也很难找，若不是一个女星相家送给他一个神奇的线团，连国王自己也找不到。每当国王把线团扔在面前时，线团就会自动散开，给国王指引方向。国王如此频繁地去看望孩子们，王后发现国王经常不在宫中。她很好奇，想弄清楚国王到底一个人到森林里去做什么。她重金贿赂国王的随从，随从们便把秘密告诉了她，包括那个能指路的神秘线团。王后再也安不下心来，直到她找到了国王藏起来的那个线团。后来，她用丝绸做了几件白衬衫，把从母亲那里学到的巫术也缝到了里面。有一天，国王外出打猎，她便拿出小衬衫，让线团领路，走进了森林。孩子们远远地看到有人来了，都以为是他们亲爱的父亲来看他们了，满心欢喜地跑去迎接他。这时，王后朝每个孩子扔了一件衬衫，孩子们一碰到衬衫，就纷纷化作天鹅，从森林里飞走了。王后很高兴地回家了，心想她终于摆脱了这些孩子，但女孩并没有和她的哥哥们一起跑出来迎接，王后对此一无所知。国王第二天又来看他的孩子们，可他只见到了女儿。国王问她：“你的哥哥们呢？”她答道：“哎呀，亲爱的父王，他们都飞走了，就剩下我一个人！”女孩告诉国王，她从小窗户里看到哥哥们变成天鹅飞过森林，她把他们掉在院子里的羽毛捡了起来，拿给父亲看。国王很痛心，可他完全没想到这是王后做的。他害怕会失去女儿，便想把女儿带在身边。但女孩害怕她的继母，便恳求父亲让他再在森林的宫殿里呆最后一晚。可怜的女孩心想：“我不能再住在这里了。我要去寻找我的哥哥们。”天黑以后，她便向森林里跑去。她走了一整夜，第二天也一直不停地走，直到累得再也走不动了。这时，她看到一个猎人的小屋，就走了进去。她看到屋里摆着六张小床，可她又不敢到床上去，于是钻到了一张床底下，躺在硬硬的地上，打算就这样过一夜。太阳要下山时，她听到一阵沙沙声，接着就看到六只天鹅从窗外飞了进来。它们落地后互相吹气，把所有的羽毛都吹掉了，天鹅皮就像衬衫一样脱落了。女孩看着它们，认出是哥哥们，女孩很高兴，从床底下爬了出来。哥哥们看到妹妹后也同样高兴，可只过了一小会儿，他们的兴奋劲儿就消失了。他们对她说：“你不能呆在这里。”“这是强盗的地方，要是他们回来发现了你，会杀了你的。”妹妹问道：“你们难道不能保护我吗？”他们回答说：“不，我们每晚只有十五分钟的时间脱去羽毛，恢复人形。之后，我们就又变回天鹅了。”妹妹哭泣着说：“难道你们不能摆脱魔法吗？”他们答道：“唉，不行，条件太苛刻了！你要在六年间既不说也不笑，同时还要用紫菀给我们缝制六件衬衫。一旦你开口，所有的努力就都白费了。”哥哥们说完这些话，十五分钟的期限也到了，他们又变成天鹅，向窗外飞去。然而，女孩下定决心要救她的哥哥们，哪怕是付出生命。她离开小屋，走到森林里，坐在树上过了一夜。第二天早上，她去采摘紫菀，开始缝制衬衣。她不能和任何人说话，而且她也不想笑。她坐在那里，除了手中的工作，什么也不看。过了很长时间，当地的国王去森林里狩猎，猎人们来到了女孩坐着的树前。他们朝女孩喊道：“你是谁？”女孩默不作声。他们又说：“你下来吧。”“我们绝不会伤害你的。”她只是摇了摇头。他们又继续问问题，女孩便把她的金项链扔给他们，心想这下他们该满足了。然而，他们还是不罢休，她便把腰带扔了下去，可这仍不管用，女孩又把袜带扔了下去，渐渐地，女孩扔掉了身上所有能扔的东西，最后只剩下衬衣了。但是，猎人们不肯就此离去，他们爬到树上抱下女孩，把她带到国王面前。国王问道：“你是谁？你在树上做什么呢？”她还是不回答。他用自己懂得的所有语言又把这个问题问了一遍，女孩依旧默不作声。女孩很美丽，国王动心了，对她产生了浓浓爱意。国王为她披上自己的斗篷，又把她抱到马上，让她坐在自己身前，带着女孩去了王宫。然后，他命人给女孩换上华丽的衣服。女孩就如同明亮的阳光一般光彩照人，但她还是一言不发。国王把她拉到桌旁，坐在自己身边，女孩优雅得体的举止让国王很是称心，他说：“她就是那个我要娶的人，我不会再爱别的女人了。”几天后，他们便结婚了。然而，国王有位心肠邪恶的母亲，她对这桩婚姻很不满意，到处说王后的坏话。她说：“谁知道这个不会说话的女人是哪儿来的呢？她配不上国王！”一年后，王后生下了第一个孩子。老太婆偷偷带走孩子，还趁王后熟睡时往她的嘴唇上抹了些鲜血。然后，她到国王那去诬陷王后，说王后是个食人的妖怪。国王并不相信，也不允许任何人伤害王后。然而，王后还是继续缝制衬衣，对其他事情全然不管不问。后来，王后又生了一个漂亮的男孩，可恶的老太婆又故技重施，可国王仍旧不相信她的话。他说：“她那么纯洁善良，不会做那种事情的。她是个哑巴，不能为自己辩护，否则，她就能证明自己的清白。”王后生下了第三个孩子，老太婆又偷走了婴儿，然后诬陷王后。王后没有为自己辩护，国王也只好把她送去审判。王后被判火刑。行刑那天正好是她六年中不能说不能笑的最后一天。她亲爱的哥哥们已经摆脱了巫术，重获自由。除了第六套的左袖子还没做好，六套衬衫基本都做好了。当她被押上邢台时，她手里还拿着那六套衬衫。她站到高处，大火正要被点燃。她四处张望了一下，看到空中有六只天鹅朝她飞来。她知道自己就要获救了，心兴奋得怦怦直跳。天鹅纷纷落在她身边，以便她能把衬衫扔过去。天鹅一碰到衬衫，就立即就脱去羽毛，恢复了先前的模样，个个都既精神又英俊。只有最小的哥哥左臂还是天鹅的翅膀。他们彼此拥抱亲吻，国王也深受感动。王后走过去，对王国说：“亲爱的夫君，现在我终于可以说话了。我要告诉你，我是无辜的，是被冤枉的。”于是，王后向国王讲述了婆婆的伎俩，告诉他是婆婆偷走了三个孩子，并把他们藏了起来。三个孩子都找到了，国王很高兴。那个邪恶的老太婆也受到了惩罚，被押上火刑架，烧成了灰。从此，国王和王后以及她的六个哥哥，一起快乐平静地生活了很多年。","Once upon a time, a certain King was hunting in a great forest, and he chased a wild beast so eagerly that none of his attendants could follow him.When evening drew near he stopped and looked around him, and then he saw that he had lost his way.He sought a way out, but could find none.Then he perceived an aged woman with a head which nodded perpetually, who came towards him, but she was a witch.“Good woman,” said he to her, “Can you not show me the way through the forest?”“Oh, yes, Lord King,” she answered, “that I certainly can, but on one condition, and if you do not fulfil that, you will never get out of the forest, and will die of hunger in it.”“What kind of condition is it?” asked the King.“I have a daughter,” said the old woman, “who is as beautiful as any one in the world, and well deserves to be your consort, and if you will make her your Queen, I will show you the way out of the forest.”In the anguish of his heart the King consented, and the old woman led him to her little hut, where her daughter was sitting by the fire.She received the King as if she had been expecting him, and he saw that she was very beautiful, but still she did not please him, and he could not look at her without secret horror.After he had taken the maiden up on his horse, the old woman showed him the way, and the King reached his royal palace again, where the wedding was celebrated.The King had already been married once, and had by his first wife, seven children, six boys and a girl, whom he loved better than anything else in the world.As he now feared that the stepmother might not treat them well, and even do them some injury, he took them to a lonely castle which stood in the midst of a forest.It lay so concealed, and the way was so difficult to find that he himself would not have found it, if a wise woman had not given him a ball of yarn with wonderful properties.When he threw it down before him, it unrolled itself and showed him his path.The King, however, went so frequently away to his dear children that the Queen observed his absence; she was curious and wanted to know what he did when he was quite alone in the forest.She gave a great deal of money to his servants, and they betrayed the secret to her, and told her likewise of the ball which alone could point out the way.And now she knew no rest until she had learnt where the King kept the ball of yarn, and then she made little shirts of white silk, and as she had learnt the art of witchcraft from her mother, she sewed a charm inside them.And once when the King had ridden forth to hunt, she took the little shirts and went into the forest, and the ball showed her the way.The children, who saw from a distance that some one was approaching, thought that their dear father was coming to them, and full of joy, ran to meet him.Then she threw one of the little shirts over each of them, and no sooner had the shirts touched their bodies than they were changed into swans, and flew away over the forest.The Queen went home quite delighted, and thought she had got rid of her step-children, but the girl had not run out with her brothers, and the Queen knew nothing about her.Next day the King went to visit his children, but he found no one but the little girl.“Where are thy brothers?’ asked the King.“Alas, dear father,” she answered, “they have gone away and left me alone!” and she told him that she had seen from her little window how her brothers had flown away over the forest in the shape of swans, and she showed him the feathers, which they had let fall in the courtyard, and which she had picked up.The King mourned, but he did not think that the Queen had done this wicked deed, and as he feared that the girl would also be stolen away from him, he wanted to take her away with him.But she was afraid of her stepmother, and entreated the King to let her stay just this one night more in the forest castle.The poor girl thought, “I can no longer stay here.I will go and seek my brothers.”And when night came, she ran away, and went straight into the forest.She walked the whole night long, and next day also without stopping, until she could go no farther for weariness.Then she saw a forest-hut, and went into it, and found a room with six little beds, but she did not venture to get into one of them, but crept under one, and lay down on the hard ground, intending to pass the night there.Just before sunset, however, she heard a rustling, and saw six swans come flying in at the window.They alighted on the ground and blew at each other, and blew all the feathers off, and their swan’s skins stripped off like a shirt.Then the maiden looked at them and recognized her brothers, was glad and crept forth from beneath the bed.The brothers were not less delighted to see their little sister, but their joy was of short duration.“Here canst thou not abide,” they said to her.“This is a shelter for robbers, if they come home and find thee, they will kill thee.”“But can you not protect me?” asked the little sister.“No,” they replied, “only for one quarter of an hour each evening can we lay aside our swan’s skins and have during that time our human form; after that, we are once more turned into swans.”The little sister wept and said, “Can you not be set free?”“Alas, no,” they answered, “the conditions are too hard!For six years thou mayst neither speak nor laugh, and in that time thou must sew together six little shirts of starwort for us.And if one single word falls from thy lips, all thy work will be lost.”And when the brothers had said this, the quarter of an hour was over, and they flew out of the window again as swans.The maiden, however, firmly resolved to deliver her brothers, even if it should cost her life.She left the hut, went into the midst of the forest, seated herself on a tree, and there passed the night.Next morning she went out and gathered starwort and began to sew.She could not speak to any one, and she had no inclination to laugh; she sat there and looked at nothing but her work.When she had already spent a long time there it came to pass that the King of the country was hunting in the forest, and his huntsmen came to the tree on which the maiden was sitting.They called to her and said, “Who art thou?”But she made no answer.“Come down to us,” said they.“We will not do thee any harm.”She only shook her head.As they pressed her further with questions she threw her golden necklace down to them, and thought to content them thus.They, however, did not cease, and then she threw her girdle down to them, and as this also was to no purpose, her garters, and by degrees everything that she had on that she could do without until she had nothing left but her shift.The huntsmen, however, did not let themselves be turned aside by that, but climbed the tree and fetched the maiden down and led her before the King.The King asked, “Who art thou?What art thou doing on the tree?”But she did not answer.He put the question in every language that he knew, but she remained as mute as a fish.As she was so beautiful, the King’s heart was touched, and he was smitten with a great love for her.He put his mantle on her, took her before him on his horse, and carried her to his castle.Then he caused her to be dressed in rich garments, and she shone in her beauty like bright daylight, but no word could be drawn from her.He placed her by his side at table, and her modest bearing and courtesy pleased him so much that he said, “She is the one whom I wish to marry, and no other woman in the world.”And after some days he united himself to her.The King, however, had a wicked mother who was dissatisfied with this marriage and spoke ill of the young Queen.“Who knows,” said she, “from whence the creature who can’t speak, comes?She is not worthy of a king!”After a year had passed, when the Queen brought her first child into the world, the old woman took it away from her, and smeared her mouth with blood as she slept.Then she went to the King and accused the Queen of being a man-eater.The King would not believe it, and would not suffer any one to do her any injury.She, however, sat continually sewing at the shirts, and cared for nothing else.The next time, when she again bore a beautiful boy, the false step-mother used the same treachery, but the King could not bring himself to give credit to her words.He said, “She is too pious and good to do anything of that kind; if she were not dumb, and could defend herself, her innocence would come to light.”But when the old woman stole away the newly-born child for the third time, and accused the Queen, who did not utter one word of defence, the King could do no otherwise than deliver her over to justice, and she was sentenced to suffer death by fire.When the day came for the sentence to be executed, it was the last day of the six years during which she was not to speak or laugh, and she had delivered her dear brothers from the power of the enchantment.The six shirts were ready, only the left sleeve of the sixth was wanting.When, therefore, she was led to the stake, she laid the shirts on her arm, and when she stood on high and the fire was just going to be lighted, she looked around and six swans came flying through the air towards her.Then she saw that her deliverance was near, and her heart leapt with joy.The swans swept towards her and sank down so that she could throw the shirts over them, and as they were touched by them, their swan’s skins fell off, and her brothers stood in their own bodily form before her, and were vigorous and handsome.The youngest only lacked his left arm, and had in the place of it a swan’s wing on his shoulder.They embraced and kissed each other, and the Queen went to the King, who was greatly moved, and she began to speak and said, “Dearest husband, now I may speak and declare to thee that I am innocent, and falsely accused.”And she told him of the treachery of the old woman who had taken away her three children and hidden them.Then to the great joy of the King they were brought thither, and as a punishment, the wicked stepmother was bound to the stake, and burnt to ashes.But the King and the Queen with their six brothers lived many years in happiness and peace."
"三个军医","The Three Army-Surgeons"
"有三个自以为很懂医术的军医环游世界，他们来到了一家小旅馆，打算在那里过夜。那个店主问他们从哪里来，要到哪里去？“我们在环游世界，行医济世。”“那就给我展现一下你们的技艺吧。”店主说。第一个军医说他可以砍掉自己的手，然后在第二天早晨接上；第二个军医说，他可以把自己的心挖出来，第二天早上再放回去；第三个军医说他可以挖掉自己的眼睛，再在第二天早晨治愈。“如果你们可以做到那些，”店主说，“你们的医术就十分精湛了。”原来，他们有一种药膏，把药膏涂在受伤的地方，就能把受伤的部分连起来。他们把药膏装在一个小瓶子里，随身携带。然后，他们像之前所说的那样砍掉手、挖出心，掏出眼睛，然后将它们都放在一个盘子里，给了旅店老板。旅店老板把盘子给了一个女仆，女仆将把它放在橱柜里并负责好好保存它们。然而，这个女孩有一个秘密的恋人，是个士兵。当旅店老板和三个军医以及房间里其他人都睡着时，那个士兵来了，想吃点东西。女孩打开橱柜，拿了些食物给他，她沉浸在爱恋中，竟忘了关橱柜的门。她和恋人坐在桌子旁边，聊起了天。女孩惬意地坐在那里，根本没想到会有厄运到来。猫悄悄潜入，发现橱柜的门是开的，就叼着三个军医的手、心脏和眼睛跑了。士兵吃完之后，女孩收拾好东西、准备关上橱柜的门时，发现旅店老板让她保存的盘子空了。她惊恐地告诉她的恋人：“啊，我太命苦了，我该怎么办呢？手、心脏和眼睛都不见了，明早我怎么交差呢？”“别担心，”她的恋人说，“我会帮你摆脱困境的。有个小偷在绞刑架上吊着呢，我去把他的手砍下来。哪只手呢？”“右手。”女孩给了他一把锋利的刀。他去砍掉了那个可怜的犯人的右手，交给了女孩。之后，他又抓住一只猫，挖出了它的眼睛，现在就只差心脏了。“你们不是刚杀了几头猪放在地下室了吗？”他问到。“嗯，是啊！”女孩回答到。“那太好了。”士兵说，他去了地窖，取了一头猪的心脏回来。女孩把所有的东西放在盘子里，又把盘子放进了橱柜里。做完这一切之后，她的恋人就离开了，她静静地上床睡觉去了。","Three army-surgeons who thought they knew their art perfectly, were travelling about the world, and they came to an inn where they wanted to pass the night.The host asked whence they came, and whither they were going?“We are roaming about the world and practising our art.”“Just show me for once in a way what you can do,” said the host.Then the first said he would cut off his hand, and put it on again early next morning; the second said he would tear out his heart, and replace it next morning; the third said he would cut out his eyes and heal them again next morning.“If you can do that,” said the innkeeper, “you have learnt everything.”They, however, had a salve, with which they rubbed themselves, which joined parts together, and they carried the little bottle in which it was, constantly with them.Then they cut the hand, heart and eyes from their bodies as they had said they would, and laid them all together on a plate, and gave it to the innkeeper.The innkeeper gave it to a servant who was to set it in the cupboard, and take good care of it.The girl, however, had a lover in secret, who was a soldier.When therefore the innkeeper, the three army-surgeons, and everyone else in the house were asleep, the soldier came and wanted something to eat.The girl opened the cupboard and brought him some food, and in her love forgot to shut the cupboard-door again; She seated herself at the table by her lover, and they chattered away together.While she sat so contentedly there, thinking of no ill luck, the cat came creeping in, found the cupboard open, took the hand and heart and eyes of the three army-surgeons, and ran off with them.When the soldier had done eating, and the girl was taking away the things and going to shut the cupboard she saw that the plate which the innkeeper had given her to take care of, was empty.Then she said in a fright to her lover, “Ah, miserable girl, what shall I do?The hand is gone, the heart and the eyes are gone too, what will become of me in the morning?”“Be easy,” said he, “I will help thee out of thy trouble there is a thief hanging outside on the gallows, I will cut off his hand.Which hand was it?”“The right one.”Then the girl gave him a sharp knife, and he went and cut the poor sinner’s right hand off, and brought it to her.After this he caught the cat and cut its eyes out, and now nothing but the heart was wanting.“Have you not been killing, and are not the dead pigs in the cellar?” said he.“Yes,” said the girl.“That’s well,” said the soldier, and he went down and fetched a pig’s heart.The girl placed all together on the plate, and put it in the cupboard, and when after this her lover took leave of her, she went quietly to bed."
"清晨，三个军医起床后，让女孩把盛有手、心脏和眼睛的盘子拿出来。女孩把盘子从橱柜里取了出来。第一个军医把药膏涂在小偷的手上，再把手放在自己的手臂上，手立即长在了手臂上。第二个军医把猫的眼睛放在了自己的脸上。第三个军医把猪的心脏固定在自己的胸膛里。旅店老板站在旁边很是钦佩他们的技艺，并说他从来没有见过这样的事。他逢人便夸赞他们的技艺。之后，三个军医付了账，又继续前行。","In the morning when the three army-surgeons got up, they told the girl she was to bring them the plate on which the hand, heart, and eyes were lying.Then she brought it out of the cupboard, and the first fixed the thief’s hand on and smeared it with his salve, and it grew to his arm directly.The second took the cat’s eyes and put them in his own head.The third fixed the pig’s heart firm in the place where his own had been, and the innkeeper stood by, admired their skill, and said he had never yet seen such a thing as that done, and would sing their praises and recommend them to everyone.Then they paid their bill, and travelled farther."
"前行的途中，装有猪的心脏的军医并不和另外两个军医一起，而是哪里有角落他就跑向哪里，像猪一样用鼻子探寻角落。另外两个人不管怎么拉他的衣服，也不顶用。他总是挣开，跑到那最脏的地方去。第二个军医的行为也很奇怪，他总是揉着眼睛，对其他的人说：“朋友们，我这是怎么了？我什么都看不到呢。你们能不能拉着我，别让我跌倒了。”就这样，他们三个人非常困难地往前走，直到傍晚，才到了另一家旅馆。刚一进大厅，就看到有一个有钱人正坐在角落的饭桌边数钱呢。安有小偷手的军医在富人旁边转悠，两次用手臂突然动了一下，最后在那有钱人转身的时候，他把手伸到钱堆里去，抓了一大笔钱。有一个军医看见了，问他：“老兄，你在干嘛呢？你不能偷东西，这多么可耻啊！”“嗯，”他说，“可是我控制不住自己啊？我的手抖个不停，虽然我的心不想偷，可我的手不听从指挥。”","As they were on their way, the one with the pig’s heart did not stay with them at all, but wherever there was a corner he ran to it, and rooted about in it with his nose as pigs do.The others wanted to hold him back by the tail of his coat, but that did no good; he tore himself loose, and ran wherever the dirt was thickest.The second also behaved very strangely; he rubbed his eyes, and said to the others, “Comrades, what is the matter?I don’t see at all.Will one of you lead me, so that I do not fall.”Then with difficulty they travelled on till evening, when they reached another inn.They went into the bar together, and there at a table in the corner sat a rich man counting money.The one with the thief’s hand walked round about him, made a sudden movement twice with his arm, and at last when the stranger turned away, he snatched at the pile of money, and took a handful from it.One of them saw this, and said, “Comrade, what art thou about?Thou must not steal shame on thee!”“Eh,” said he, “but how can I stop myself?My hand twitches, and I am forced to snatch things whether I will or not.”"
"后来他们去睡觉了。那时候天已经漆黑了，伸手不见五指。突然，有猫眼睛的军医醒了，他叫醒其他的人，说：“伙计们，快看啊！有好多老鼠在那里乱跑呢，看见了吗？”两个军医坐起来，却什么也没看见。有猫眼睛的军医说：“不对，我们没有拿回自己的东西。我们必须回去找那个旅店老板，他欺骗了我们。”于是，他们第二天一早就赶回那个旅馆，告诉老板，他们没有拿到自己的手、眼睛和心脏：第一个军医拿到的是小偷的手，第二个军医拿到的是猫的眼睛，第三个军医拿到的是猪的心脏。老板说，这一定是女佣的错。于是，他想把她叫过来。但是女佣人一看到他们三人回来，就从后门逃跑了，再也没有回来。于是，那三个军医说除非旅店老板给他们很多钱，否则他们就放火烧了他的房子。旅店老板交出了他所有的钱，三个军医带着这些钱离开了。尽管这些钱已经足够他们下半生的生活，但是他们宁愿要回属于自己的器官。","After this, they lay down to sleep, and while they were lying there it was so dark that no one could see his own hand.All at once the one with the cat’s eyes awoke, aroused the others, and said.“Brothers, just look up, do you see the white mice running about there?”The two sat up, but could see nothing.Then said he, “Things are not right with us, we have not got back again what is ours.We must return to the innkeeper, he has deceived us.”They went back therefore, the next morning, and told the host they had not got what was their own again; that the first had a thief’s hand, the second cat’s eyes, and the third a pig’s heart.The innkeeper said that the girl must be to blame for that, and was going to call her, but when she had seen the three coming, she had run out by the backdoor, and not come back.Then the three said he must give them a great deal of money, or they would set his house on fire.He gave them what he had, and whatever he could get together, and the three went away with it.It was enough for the rest of their lives, but they would rather have had their own proper organs."
"十二王子","The Twelve Brothers"
"很久很久以前，有一对生活幸福的国王和王后，他们膝下有十二个孩子，可都是男孩。于是，国王对王后说：“如果你生下的第十三个孩子是个女孩的话，我就把十二个儿子都杀掉，那样我们的财产就都是女儿的了，日后也由她来继承王位。”他命人做了十二副一样的棺材，在里面装满了锯末，还各放上一个供死人用的枕头，然后把它们锁进了密室里。国王把密室钥匙交给王后，告诫她不要跟任何人提及此事。可是，王后自那以后便每日唉声叹气。她参照《圣经》给自己的小儿子取名叫本杰明，一天，这个总是陪伴着她的小儿子问道：“亲爱的妈妈，你为什么总是这么难过呢？”王后答道：“我最爱的孩子啊，我不能告诉你。”可是，小王子一直缠着王后不放，王后便打开了密室的门，指给他看那十二副装满锯末的棺材。王后说道：“我最爱的本杰明啊，你父王命人为你和你的十一个哥哥做了这十二副棺材。因为，如果我生下一个女孩的话，他就要处死你们，把你们放到这些棺材里。”王后边哭边说，小王子安慰她道：“不要哭了，亲爱的妈妈，我们会有办法逃走保住性命的。”可王后却说：“和你的十一个哥哥逃往森林里去吧，其中一人坐到你们能找到的最高树上看守着，要注视着王宫里的灯塔。要是我生下的是个男孩，就会挂起一面白旗，那样你们就再回来；可我要是生下了女孩，就在塔上挂起一面红旗，那样的话你们能逃多快就逃多快，愿上帝保佑你们。我每个晚上都会起来为你们祈祷——冬天时，愿你们有火堆取暖；夏天时，愿你们不会中暑。”","There were once on a time a king and a queen who lived happily together and had twelve children, but they were all boys.Then said the King to his wife, “If the thirteenth child which thou art about to bring into the world, is a girl, the twelve boys shall die, in order that her possessions may be great, and that the kingdom may fall to her alone.”He caused likewise twelve coffins to be made, which were already filled with shavings, and in each lay the little pillow for the dead, and he had them taken into a locked up room, and then he gave the Queen the key of it, and bade her not to speak of this to any one.The mother, however, now sat and lamented all day long, until the youngest son, who was always with her, and whom she had named Benjamin, from the Bible, said to her, “Dear mother, why art thou so sad?”“Dearest child,” she answered, “I may not tell thee.”But he let her have no rest until she went and unlocked the room, and showed him the twelve coffins ready filled with shavings.Then she said,  “my dearest Benjamin, thy father has had these coffins made for thee and for thy eleven brothers, for if I bring a little girl into the world, you are all to be killed and buried in them.”And as she wept while she was saying this, the son comforted her and said, “Weep not, dear mother, we will save ourselves, and go hence.”But she said, “Go forth into the forest with thy eleven brothers, and let one sit constantly on the highest tree which can be found, and keep watch, looking towards the tower here in the castle.If I give birth to a little son, I will put up a white flag, and then you may venture to come back, but if I bear a daughter, I will hoist a red flag, and then fly hence as quickly as you are able, and may the good God protect you.And every night I will rise up and pray for you—in winter that you may be able to warm yourself at a fire, and in summer that you may not faint away in the heat.”"
"王后为儿子们祈祷后，十二王子便逃进森林里了。他们轮流坐在一棵最高的橡树上观察着王宫的灯塔。十一天过去后，轮到本杰明看守了，他看到灯塔上面挂起了一面旗。可是，那不是白旗，而是宣告他们要被处死的红旗。哥哥们知道后，非常气愤，说道：“我们难道真要因为一个女婴而遭受死亡的厄运吗？我们发誓要给自己报仇！以后不管在哪儿，遇到一个女孩，我们就要杀了她。”","After she had blessed her sons therefore, they went forth into the forest.They each kept watch in turn, and sat on the highest oak and looked towards the tower.When eleven days had passed and the turn came to Benjamin, he saw that a flag was being raised.It was, however, not the white, but the blood-red flag which announced that they were all to die.When the brothers heard that, they were very angry and said, “Are we all to suffer death for the sake of a girl?We swear that we will avenge ourselves!—wheresoever we find a girl, her red blood shall flow.”"
"于是，十二王子逃到森林深处去了，在森林里最幽暗的地方，他们看到一个被施了魔法的小空房子。他们说道：“我们就住在这里吧，本杰明，你是年龄最小的，身体也最虚弱，你就负责呆在家里看门吧，我们出去找点吃的。”于是，哥哥们去了森林里，他们猎杀野兔、野鹿、鸟儿、鸽子，还有其他可以吃的东西。他们把猎物交给本杰明，本杰明只得煮好，让大家得以果腹。十二王子在小房子里一住就是十年，倒也不觉得时间太难熬。","Thereupon they went deeper into the forest, and in the midst of it, where it was the darkest, they found a little bewitched hut, which was standing empty.Then said they, “Here we will dwell, and thou Benjamin, who art the youngest and weakest, thou shalt stay at home and keep house, we others will go out and get food.”Then they went into the forest and shot hares, wild deer, birds and pigeons, and whatsoever there was to eat; this they took to Benjamin, who had to dress it for them in order that they might appease their hunger.They lived together ten years in the little hut, and the time did not appear long to them."
"王后生下的女孩现在也已长大了，她既善良又漂亮，额头前还长着一颗金色的星星。一次，小公主在一大堆洗过的衣服中间看到了十二件男式衬衫，她便问王后：“这十二件衬衫是谁的呢？父王可穿不上这么小的衣服呀。”于是，王后难过地答道：“亲爱的孩子啊，这些衬衫是你的十二个哥哥的。”小公主问：“我的十二个哥哥在哪儿呢？我从来没听说过他们呀。”王后回答说：“只有上帝才知道他们现在在哪里呀，他们在世界上到处流浪呢。”王后打开密室，指给小公主看那十二副装着锯末和枕头的棺材。她说：“这些棺材是为你的哥哥们准备的，不过他们在你出生之前悄悄逃走了。”王后向小公主讲述了一切。小公主听后，说道：“亲爱的妈妈，不要哭，我要去找我的哥哥们。”","The little daughter which their mother the Queen had given birth to, was now grown up; she was good of heart, and fair of face, and had a golden star on her forehead.Once, when it was the great washing, she saw twelve men’s shirts among the things, and asked her mother, “To whom do these twelve shirts belong, for they are far too small for father?”Then the Queen answered with a heavy heart, “Dear child, these belong to thy twelve brothers.”Said the maiden, “Where are my twelve brothers, I have never yet heard of them?”She replied, “God knows where they are, they are wandering about the world.”Then she took the maiden and opened the chamber for her, and showed her the twelve coffins with the shavings, and pillows for the head.“These coffins,” said she, “were destined for thy brothers, but they went away secretly before thou wert born,” and she related to her how everything had happened; then said the maiden, “Dear mother, weep not, I will go and seek my brothers.”"
