"Indian Summer of A Forsyte","老福赛特的印第安之夏  "
"On Thursdays he drove to town, and, putting that fat chap and his horses up, met her in Kensington Gardens, picking up the carriage after he had left her, and driving home again in time for dinner.","每个星期四，他坐马车进城，把那个胖家伙和他的马安顿好，到肯辛顿花园和她见面，两人分开后他再乘马车回家，刚好赶上吃晚饭。"
"He threw out the casual formula that he had business in London on those two days.","他随便找了个借口，说那两天在伦敦有事要办。 "
"On Wednesdays and Saturdays she came down to give Holly music lessons.","每个星期三和星期六，她来给霍利上音乐课。"
"The greater the pleasure he took in her society, the more scrupulously fastidious he became, just a matter-of-fact and friendly uncle.","在她的陪伴中获得的乐趣越多，他就越变得小心翼翼、谨小慎微，只作一个本分的、友善的伯父。"
"Not even in feeling, really, was he more—for, after all, there was his age.","即便在感情上，他也没有其他奢求——毕竟他年事已高。"
"And yet, if she were late he fidgeted himself to death.","但是如果她来迟了，他就会坐立不安，心急如焚。"
"If she missed coming, which happened twice, his eyes grew sad as an old dog’s, and he failed to sleep.","如果她没有来——这发生过两次——他的眼神就会变得如垂暮的老狗般悲伤，晚上也睡不着。"
"And so a month went by—a month of summer in the fields, and in his heart, with summer’s heat and the fatigue thereof.","这样过去了一个月——一个月的田野中的夏天，也是他心里的夏天，当然还有夏天的燥热和疲惫。"
"Who could have believed a few weeks back that he would have looked forward to his son’s and his grand-daughter’s return with something like dread!","谁能相信，就在几周前，他还正近乎忧虑地热切期盼着他的儿子和孙女回家！"
"There was such a delicious freedom, such recovery of that independence a man enjoys before he founds a family, about these weeks of lovely weather, and this new companionship with one who demanded nothing, and remained always a little unknown, retaining the fascination of mystery.","他几周来享受着宜人的天气，身边还多了一个毫无所求的人陪伴，她身上总有让人捉摸不到的东西，也越发保持着神秘的魅力。这一切都让他体会到自由的喜悦，重享成家立业前那种自在的感觉。"
"It was like a draught of wine to him who has been drinking water for so long that he has almost forgotten the stir wine brings to his blood, the narcotic to his brain.","这就像一个长期喝白开水的人在几乎忘掉美酒带来的血脉贲张、大脑迷醉的感觉后，又能畅饮美酒时的感受。"
"The flowers were coloured brighter, scents and music and the sunlight had a living value—were no longer mere reminders of past enjoyment.","花朵的颜色更鲜艳了，花香、音乐和阳光都有了活生生的价值——而不再只是让人想起过去的美好时光。"
"There was something now to live for which stirred him continually to anticipation.","现在他活着有了新的目标，这个目标也不断让他有新的期待。"
"He lived in that, not in retrospection; the difference is considerable to any so old as he.","他生活在这种期待里，而不是在回忆中；对于像他这个年纪的人来说，这两者间的差别很大。"
"The pleasures of the table, never of much consequence to one naturally abstemious, had lost all value.","他原本就饮食有度，美酒佳肴对他无关紧要，如今更是对他一点儿吸引力也没有了。"
"He ate little, without knowing what he ate; and every day grew thinner and more worn to look at.","他吃得很少，且食不甘味，因而一天天消瘦下去，看起来也越发憔悴不堪。"
"He was again a ‘threadpaper’; and to this thinned form his massive forehead, with hollows at the temples, gave more dignity than ever.","他又成了“瘦竹竿”，由于身体消瘦，他的额头更显宽大，加上凹陷的太阳穴，较之以往更显出他的威严来。"
"He was very well aware that he ought to see the doctor, but liberty was too sweet.","他非常清楚自己应该看医生，但自由实在是太过美好。"
"He could not afford to pet his frequent shortness of breath and the pain in his side at the expense of liberty.","不过是常常气短、肋下疼痛，他无法忍受为了减轻这些而丧失自由。"
"Return to the vegetable existence he had led among the agricultural journals with the life-size mangold wurzels, before this new attraction came into his life—no!","回到这个新乐趣闯进他生活之前的状态，再去过那种植物般乏味的生活，翻看农业杂志里跟实物一样大小的甜菜相片——不！"
"He exceeded his allowance of cigars.","他抽的雪茄已经超出了限额。"
"Two a day had always been his rule.","他一直都每天只抽两支。"
"Now he smoked three and sometimes four—a man will when he is filled with the creative spirit.","而现在他每天抽三支，有时甚至四支——当一个人创造力旺盛的时候往往如此。"
"But very often he thought: ‘I must give up smoking, and coffee; I must give up rattling up to town.’","但他也经常想：“我必须戒烟，戒咖啡，也不能老往城里去了。”"
"But he did not; there was no one in any sort of authority to notice him, and this was a priceless boon.","但是他没有；没人有权力来监督他，这真是个无价的恩赐。"
"The servants perhaps wondered, but they were, naturally, dumb.","仆人们也许很好奇，但他们天生就会保持缄默。"
"Mam’zelle Beauce was too concerned with her own digestion, and too ‘wellbrrred’ to make personal allusions.","博塞小姐一心想着自己的消化问题，而且太“有教养”，绝不会触及他人的私事。"
"Holly had not as yet an eye for the relative appearance of him who was her plaything and her god.","霍利还小，看不出他外表的变化，只把他当作她的玩偶、她的神。"
"It was left for Irene herself to beg him to eat more, to rest in the hot part of the day, to take a tonic, and so forth.","这样就只有艾琳自己来劝他多吃东西，天热的时候多休息，吃些补药什么的了。"
"But she did not tell him that she was the cause of his thinness—for one cannot see the havoc oneself is working.","但她没有说他这么消瘦就是因为她——人总是看不到自己造成的破坏。"
"A man of eighty-five has no passions, but the Beauty which produces passion works on in the old way, till death closes the eyes which crave the sight of Her.","八十五岁的人本说不上热情，但是美能唤起热情，一向如此，且始终如此，直到死亡将那双渴望见到她的眼睛闭上。"
"On the first day of the second week in July he received a letter from his son in Paris to say that they would all be back on Friday.","七月第二个星期的第一天，他收到了儿子从巴黎寄来的信，说他们星期五就全都回来。"
"This had always been more sure than Fate; but, with the pathetic improvidence given to the old, that they may endure to the end, he had never quite admitted it.","这一直是比命运还要确定的事；但是，由于老年人往往不顾将来，只是可怜地以为他们可以撑到最后，他始终不肯明确承认这件事。"
"Now he did, and something would have to be done.","现在他承认了，他必须做些什么了。"
"He had ceased to be able to imagine life without this new interest, but that which is not imagined sometimes exists, as Forsytes are perpetually finding to their cost.","他已经不能想象失去这种新乐趣的生活，但是想象不到的事情有时是存在的，福赛特家族的人就一直不断为此付出代价。"
"He sat in his old leather chair, doubling up the letter, and mumbling with his lips the end of an unlighted cigar.","他坐在他的旧皮椅上，折起信纸，唇间嚅弄着一根没有点燃的雪茄。"
"After to-morrow his Tuesday expeditions to town would have to be abandoned.","明天之后，他就没法每星期二进城一次了。"
"He could still drive up, perhaps, once a week, on the pretext of seeing his man of business.","他也许还能每星期坐马车进城一次，借口去见他的代理人。"
"But even that would be dependent on his health, for now they would begin to fuss about him.","可即便这样也得看他的健康状况，因为现在他们要开始担忧他的身体了。"
"The lessons!","钢琴课！"
"The lessons must go on!","钢琴课必须得上下去！"
"She must swallow down her scruples, and June must put her feelings in her pocket.","艾琳必须放下她的顾虑，琼也必须收起她的感情。"
"She had done so once, on the day after the news of Bosinney’s death; what she had done then, she could surely do again now.","她以前收起过她的感情，就是知道波辛尼出事的那天；她那次能做到的，这次当然也能做到。"
"Four years since that injury was inflicted on her—not Christian to keep the memory of old sores alive.","那一次伤害的打击已经过去四年了——还对过去的痛苦念念不忘就太不人道了。"
"June’s will was strong, but his was stronger, for his sands were running out.","琼的意志很强，但他的意志更强，因为他剩下的日子不多了。"
"Irene was soft, surely she would do this for him, subdue her natural shrinking, sooner than give him pain!","艾琳很温和，当然会为他这么做，她会克制她天性中的怯懦，而不愿让他痛苦！"
"The lessons must continue; for if they did, he was secure.","钢琴课必须继续下去，因为只有这样，他才安妥。"
"And lighting his cigar at last, he began trying to shape out how to put it to them all, and explain this strange intimacy; how to veil and wrap it away from the naked truth—that he could not bear to be deprived of the sight of beauty.","最后，他点燃了雪茄，开始考虑该怎么跟他们说，怎么解释这奇怪的亲密之情；怎样给它包装，以掩盖赤裸裸的实情——他受不了无法欣赏到美。"
"Ah! Holly! Holly was fond of her, Holly liked her lessons.","啊！霍利！霍利喜欢她，霍利喜欢她的钢琴课。"
"She would save him—his little sweet!","她会救他的——他的小甜心！"
"And with that happy thought he became serene, and wondered what he had been worrying about so fearfully.","这个念头使他愉悦了，也平静了下来，并且奇怪自己刚才为何那样忧心。"
"He must not worry, it left him always curiously weak, and as if but half present in his own body.","他不应该担心，担心总是让他感到莫名的虚弱，好像躯壳中只剩下了半个灵魂似的。"
"That evening after dinner he had a return of the dizziness, though he did not faint.","那天晚饭后，他头晕的毛病又犯了，但他没有晕倒。"
"He would not ring the bell, because he knew it would mean a fuss, and make his going up on the morrow more conspicuous.","他不愿按铃叫人，因为他知道这将引起一阵忙乱，明天进城的事就更显眼了。"
"When one grew old, the whole world was in conspiracy to limit freedom, and for what reason?—just to keep the breath in him a little longer.","当人老了，整个世界都在合谋限制他的自由，为的是什么？——只是为了让他多活几口气。"
"He did not want it at such cost.","他不想只为多活一会儿而付出这样的代价。"
"Only the dog Balthasar saw his lonely recovery from that weakness; anxiously watched his master go to the sideboard and drink some brandy, instead of giving him a biscuit.","只有小狗巴尔萨泽看着他一个人从那阵虚弱中恢复了过来，焦急地望着它的主人走到餐具柜旁边，倒了一些白兰地喝，而没有扔给它一块饼干吃。"
"When at last old Jolyon felt able to tackle the stairs he went up to bed.","最后老乔利恩感觉能够自己上台阶时，他就上楼睡觉去了。"
"And, though still shaky next morning, the thought of the evening sustained and strengthened him.","尽管第二天早上他仍觉得有些发抖，但对晚上的期待支持着他，给了他力气。"
"It was always such a pleasure to give her a good dinner—he suspected her of undereating when she was alone; and, at the opera to watch her eyes glow and brighten, the unconscious smiling of her lips.","请她享用一顿丰盛的晚餐总是令他愉快——他猜测她一个人的时候可能吃得不好；在歌剧院里望着她那明亮又溢满光彩的眼睛以及唇边那不经意间流露的微笑，也真让人开心。"
"She hadn’t much pleasure, and this was the last time he would be able to give her that treat.","她的生活中少有乐趣，而这是他最后一次款待她的机会了。"
"But when he was packing his bag he caught himself wishing that he had not the fatigue of dressing for dinner before him, and the exertion, too, of telling her about June’s return.","但收拾行李的时候，他想到晚餐前得换衣服，真麻烦；还得告诉她琼要回来了，也是件费劲的事，要是没有这些事该有多好。"
"The opera that evening was ‘Carmen,’ and he chose the last entr’acte to break the news, instinctively putting it off till the latest moment.","那晚的剧目是《卡门》，他在最后一次幕间休息时才把那消息告诉她，不自觉地把消息拖到了最后一刻。"
"She took it quietly, queerly; in fact, he did not know how she had taken it before the wayward music lifted up again and silence became necessary.","她平静地接受了这个消息，这有点儿蹊跷；实际上，他还没来得及了解她的想法，那恼人的音乐就再次响了起来，大家就都不能说话了。"
"The mask was down over her face, that mask behind which so much went on that he could not see.","她的脸又像是戴上了面具，面具后面的种种情绪起伏，他都看不到。"
"She wanted time to think it over, no doubt!","无疑她需要时间好好想一想！"
"He would not press her, for she would be coming to give her lesson to-morrow afternoon, and he should see her then when she had got used to the idea.","他也不会催她，因为她明天下午还会来教钢琴课，那时她就应该考虑过这件事了，到时候看吧。"
"In the cab he talked only of the Carmen; he had seen better in the old days, but this one was not bad at all.","在马车里，他只谈论着《卡门》，他从前看过更好的，但这次的也很不错。"
"When he took her hand to say good-night, she bent quickly forward and kissed his forehead.","当他握着她的手道晚安时，她飞快地向前俯身，亲吻了他的前额。"
"“Good-bye, dear Uncle Jolyon, you have been so sweet to me.”","“再见，亲爱的乔利恩伯伯，您待我太好了。”"
"“To-morrow then,” he said.","“好，明天见。”他说，"
"“Good-night.","“晚安。"
"Sleep well.”","睡个好觉。”"
"She echoed softly: “Sleep well” and from the cab window, already moving away, he saw her face screwed round towards him, and her hand put out in a gesture which seemed to linger.","她柔声重复着：“睡个好觉。”马车开始走了，他看见车窗里她扭头望着自己，一只手伸出窗外，像是依依不舍的样子。"
"He sought his room slowly.","他慢慢地走回自己的房间。"
"They never gave him the same, and he could not get used to these ‘spick-and-spandy’ bedrooms with new furniture and grey-green carpets sprinkled all over with pink roses.","他们从来不让他住同一间房，他很不习惯这些一尘不染的房间，家具都是新的，灰绿色的地毯上到处印着粉红色的玫瑰花。"
"He was wakeful and that wretched Habanera kept throbbing in his head.","他睡不着，那支可恶的哈巴涅拉舞曲一直在他脑海中回荡着。"
"His French had never been equal to its words, but its sense he knew, if it had any sense, a gipsy thing—wild and unaccountable.","他一直不太懂法文，不过他知道这个名字的意思，如果它有什么意思的话，那是指一个吉卜赛女郎——狂野而神秘。"
"Well, there was in life something which upset all your care and plans—something which made men and women dance to its pipes.","的确，生命中确实有种东西能打翻你所有的顾虑和打算——让男男女女都随着它的管乐跳起舞来。"
"And he lay staring from deep-sunk eyes into the darkness where the unaccountable held sway.","他躺着，一双深陷的眼睛盯着黑暗，那里被神秘的力量统占着。"
"You thought you had hold of life, but it slipped away behind you, took you by the scruff of the neck, forced you here and forced you there, and then, likely as not, squeezed life out of you!","你以为你掌控了人生，它却溜到你身后，抓住你的颈背，逼你去这里去那里，然后还说不定会要了你的命！"
"It took the very stars like that, he shouldn’t wonder, rubbed their noses together and flung them apart; it had never done playing its pranks.","他想，就连星星它也不会放过，把它们攒在一起，再猛地撒开；它有着变不完的戏法。"
"Five million people in this great blunderbuss of a town, and all of them at the mercy of that Life-Force, like a lot of little dried peas hopping about on a board when you struck your fist on it.","五百万人挤在这个大锅似的城市里，都任凭这一生命力的摆布，就像平板上的无数个小干豆，随着拳头撞击平板而上下跳动。"
"Ah, well! Himself would not hop much longer—a good long sleep would do him good!","唉！他也跳不了多久了——好好睡个长觉也好！"
"How hot it was up here!—how noisy!","这城里也太热了！——太吵了！"
"His forehead burned; she had kissed it just where he always worried; just there—as if she had known the very place and wanted to kiss it all away for him.","他的额头发烫，她刚好吻到了他一直感到不舒服的地方，就是那里——仿佛她知道就是那里，想替他把不适都吻掉。"
"But, instead, her lips left a patch of grievous uneasiness.","然而，她的双唇留下的却是一阵强烈的不安。"
"She had never spoken in quite that voice, had never before made that lingering gesture or looked back at him as she drove away.","她从未用那种语气说过话，从未有过那种恋恋不舍的手势，也从未在乘车离去时回头看他。"
"He got out of bed and pulled the curtains aside; his room faced down over the river.","他从床上起来，拉开窗帘，从他的房间可以俯瞰河水。"
"There was little air, but the sight of that breadth of water flowing by, calm, eternal, soothed him.","空气很沉闷，可看着那一大片河水平静地、无休止地流过，他的心情渐渐平复下来。"
"‘The great thing,’ he thought ‘is not to make myself a nuisance.","“最重要的，”他想，“是别让自己变得讨人嫌。"
"I’ll think of my little sweet, and go to sleep.’","我还是想想我的小甜心，睡觉去吧。”"
"But it was long before the heat and throbbing of the London night died out into the short slumber of the summer morning.","伦敦的夏夜，热气和嘈杂很久不散，直到清晨才消停片刻。"
"And old Jolyon had but forty winks.","老乔利恩只打了一个盹。"
"When he reached home next day he went out to the flower garden, and with the help of Holly, who was very delicate with flowers, gathered a great bunch of carnations.","第二天回家后，他去了花园。霍利很懂得花的好坏，在她的帮助下，他采了一大束康乃馨。"
"They were, he told her, for ‘the lady in grey’—a name still bandied between them; and he put them in a bowl in his study where he meant to tackle Irene the moment she came, on the subject of June and future lessons.","他告诉霍利，这些花是为那位“灰衣服女士”准备的——他们之间还用着这个称呼。他把花放在书房的大瓶里，想着艾琳一来，就在那里和她好好谈谈琼的事，说服她继续给霍利上课。"
"Their fragrance and colour would help.","这些花的香味和颜色会有所帮助。"
"After lunch he lay down, for he felt very tired, and the carriage would not bring her from the station till four o’clock.","午饭后他觉得很累，就躺下了，马车四点才能把她从车站接来。"
"But as the hour approached he grew restless, and sought the schoolroom, which overlooked the drive.","不过，随着四点钟临近，他变得不安起来，于是走进那间可以俯视车道的教室。"
"The sun-blinds were down, and Holly was there with Mademoiselle Beauce, sheltered from the heat of a stifling July day, attending to their silkworms.","教室的百叶帘放了下来，以挡住七月里沉闷的热气，霍利和博斯小姐都在那里，照料着她们的蚕。"
"Old Jolyon had a natural antipathy to these methodical creatures, whose heads and colour reminded him of elephants; who nibbled such quantities of holes in nice green leaves; and smelled, as he thought, horrid.","老乔利恩天生不喜欢这些慢条斯理的家伙，它们的头和颜色让他想起大象；它们在漂亮的绿叶子上咬出无数个洞；而且他觉得它们的气味非常糟糕。"
"He sat down on a chintz-covered windowseat whence he could see the drive, and get what air there was; and the dog Balthasar who appreciated chintz on hot days, jumped up beside him.","他在窗下罩着印花棉布的椅子上坐下，在那丽丽他能看到车道，还能呼吸点儿新鲜空气；小狗巴尔塔萨也跳上来呆在他旁边，因为它喜欢热天时在印花棉布上呆着。"
"Over the cottage piano a violet dust-sheet, faded almost to grey, was spread, and on it the first lavender, whose scent filled the room.","竖式小钢琴上盖着块淡紫色的防尘毯，颜色几乎退成灰色了。毯子上摆着早开的熏衣草，香气弥漫整个房间。"
"In spite of the coolness here, perhaps because of that coolness the beat of life vehemently impressed his ebbed-down senses.","尽管这里比较清凉，可能正是因为这种清凉，生命的悸动强烈地冲击着他已退化的感官。"
"Each sunbeam which came through the chinks had annoying brilliance; that dog smelled very strong; the lavender perfume was overpowering; those silkworms heaving up their grey-green backs seemed horribly alive; and Holly’s dark head bent over them had a wonderfully silky sheen.","通过窗缝透进的每一缕阳光都耀眼得让人恼火；小狗身上的气味很重；熏衣草的香味过于浓烈；那些弓起灰绿色后背的蚕看起来活跃得吓人；霍利低头看着蚕，深色的头发如同丝绸般光亮。"
"A marvellous cruelly strong thing was life when you were old and weak; it seemed to mock you with its multitude of forms and its beating vitality.","你年老体弱时，生命就变成了残酷的东西，美妙并强大，似乎在以其多变的形式和激荡的活力取笑你。"
"He had never, till those last few weeks, had this curious feeling of being with one half of him eagerly borne along in the stream of life, and with the other half left on the bank, watching that helpless progress.","最近几周，他突然有种之前从未有过的奇怪感觉，觉得自己的一半在随着生命之河流走，另一半却在岸上，注视着这个无助的进展。"
"Only when Irene was with him did he lose this double consciousness.","只有艾琳在他身边时，这种双重意识才会消失。"
"Holly turned her head, pointed with her little brown fist to the piano—for to point with a finger was not ‘well-brrred’—and said slyly:","霍利回过头，用她棕色的小拳头指着钢琴——因为用一个手指指东西是没有“教养”的——俏皮地说："
"“Look at the ‘lady in grey,’ Gran; isn’t she pretty to-day?”","“爷爷，快看‘灰衣女士’。她今天漂亮吧？”"
"Old Jolyon’s heart gave a flutter, and for a second the room was clouded; then it cleared, and he said with a twinkle:","老乔利恩心头一震，房间瞬间变得模糊，随后又清楚了，他眨了下眼睛，问道："
"“Who’s been dressing her up?”","“谁给她穿的衣服？”"
"“Mam’zelle.”","“博斯小姐。”"
"“Hollee! Don’t be foolish!”","“霍利！别闹了！”"
"That prim little Frenchwoman!","这个一本正经的法国小女人！"
"She hadn’t yet got over the music lessons being taken away from her.","她还对不让她教音乐课这事耿耿于怀。"
"That wouldn’t help.","这没用。"
"His little sweet was the only friend they had.","他的小甜心是他们唯一的朋友。"
"Well, they were her lessons.","而音乐课应由她来教。"
"And he shouldn’t budge shouldn’t budge for anything.","他不应该让步，不该为任何事让步。"
"He stroked the warm wool on Balthasar’s head, and heard Holly say: “When mother’s home, there won’t be any changes, will there?","他轻抚着巴尔塔萨头上暖呼呼的毛，听到霍利说：“妈妈回家后，就什么也不会变了，是不是？"
"She doesn’t like strangers, you know.”","您知道的，她不喜欢生人。”"
"The child’s words seemed to bring the chilly atmosphere of opposition about old Jolyon, and disclose all the menace to his new-found freedom.","孩子的话似乎让老乔利恩陷入了充满反对的冰冷氛围中，释放了所有威胁他新发现的自由的因素。"
"Ah!","啊！"
"He would have to resign himself to being an old man at the mercy of care and love, or fight to keep this new and prized companionship; and to fight tired him to death.","他要么甘心做一个靠家人关爱过活的老头，要么就得为维护这一新的珍贵友谊而抗争，而后者会把他累死。"
"But his thin, worn face hardened into resolution till it appeared all Jaw.","但是他瘦削年迈的脸上渐渐露出坚定的表情，直到整张脸上都是那种神情。"
"This was his house, and his affair; he should not budge!","这是他的家，他的事，他绝不让步！"
"He looked at his watch, old and thin like himself; he had owned it fifty years.","他看看表，这表像他一样又老又单薄，他已经戴了50年了。"
"Past four already!","已经过了四点了！"
"And kissing the top of Holly’s head in passing, he went down to the hall.","他下楼去了大厅，经过霍利身边时亲了下她的头。"
"He wanted to get hold of her before she went up to give her lesson.","他想在她上楼教课前就见到她。"
"At the first sound of wheels he stepped out into the porch, and saw at once that the victoria was empty.","一听见车轮声他就出去到了门廊，只看到那大马车里没人。"
"“The train’s in, sir; but the lady ’asn’t come.”","“先生，火车到了，可那位太太没来。”"
"Old Jolyon gave him a sharp upward look, his eyes seemed to push away that fat chap’s curiosity, and defy him to see the bitter disappointment he was feeling.","老乔利恩用锐利的目光抬头看了看他，那眼神似乎要推开那胖家伙的好奇心，不让他看出自己此刻深深的失望之情。"
"“Very well,” he said, and turned back into the house.","“好。”他说道，转身进了屋。"
"He went to his study and sat down, quivering like a leaf.","他走进书房坐下，身子像树叶一样颤抖。"
"What did this mean?","这意味着什么？"
"She might have lost her train, but he knew well enough she hadn’t.","她可能没赶上火车，但他很清楚不是这样。"
"‘Good-bye, dear Uncle Jolyon.’","“再见，亲爱的乔利恩伯伯。”"
"Why ‘Good-bye’ and not ‘Good-night’?","为什么是“再见”而不是“晚安”？"
"And that hand of hers lingering in the air.","还有她那只依依不舍伸出的手。"
"And her kiss.","还有她的吻。"
"What did it mean?","这都意味着什么？"
"Vehement alarm and irritation took possession of him.","强烈的惊慌和恼怒席卷了他全身。"
"He got up and began to pace the Turkey carpet, between window and wall.","他起身，踏着土耳其地毯，在窗户和墙之间踱来踱去。"
"She was going to give him up!","她要离他而去了！"
"He felt it for certain—and he defenceless.","他知道这事确凿无疑——却又无能为力。"
"An old man wanting to look on beauty!","一个老人想要欣赏美！"
"It was ridiculous!","这简直是笑话！"
"Age closed his mouth, paralysed his power to fight.","年纪捂住了他的嘴，抽走了他抗争的力气。"
"He had no right to what was warm and living, no right to anything but memories and sorrow.","他已无权拥有温暖而有生气的事物，能拥有的只有回忆和痛苦。"
"He could not plead with her; even an old man has his dignity.","他不能乞求她，即便老人也有自己的尊严。"
"Defenceless!","无能为力！"
"For an hour, lost to bodily fatigue, he paced up and down, past the bowl of carnations he had plucked, which mocked him with its scent.","他忘却了身体的疲劳，一个小时都在来回踱步，不时经过那瓶之前摘的康乃馨，那花香仿佛是在嘲笑他。"
"Of all things hard to bear, the prostration of will-power is hardest, for one who has always had his way.","世上难以承受之事虽多，可对于习惯了随心所欲的人来说，意志被挫败是最难承受的。"
"Nature had got him in its net, and like an unhappy fish he turned and swam at the meshes, here and there, found no hole, no breaking point.","上天把他困在了网里，他像一条忧伤的鱼，在网中来回游动，这里碰碰，那里撞撞，却找不到一个漏洞、一处缺口。"
"They brought him tea at five o’clock, and a letter.","五点钟时他们给他送来了茶，还有一封信。"
"For a moment hope beat up in him.","他的内心顿时涌起一线希望。"
"He cut the envelope with the butter knife, and read:","他用涂黄油的餐刀将信封打开，读了起来："
"“DEAREST UNCLE JOLYON,—I can’t bear to write anything that may disappoint you, but I was too cowardly to tell you last night.","“亲爱的乔利恩伯伯：我其实不忍心写任何让您失望的东西，但我昨晚实在没勇气当面跟您说。"
"I feel I can’t come down and give Holly any more lessons, now that June is coming back.","琼就要回来了，我觉得我以后不能再去给霍利上课了。"
"Some things go too deep to be forgotten.","有些事情对人的伤害太深，不可能忘记。"
"It has been such a joy to see you and Holly.","我很高兴见到您和霍利。"
"Perhaps I shall still see you sometimes when you come up, though I’m sure it’s not good for you; I can see you are tiring yourself too much.","以后您进城的话我们或许可以再见面，但我觉得这对您身体不好，看得出来您最近太劳累了。"
"I believe you ought to rest quite quietly all this hot weather, and now you have your son and June coming back you will be so happy.","天气这么热，我想您应该好好静养。现在您的儿子和琼要回来了，您一定会过得很高兴。"
"Thank you a million times for all your sweetness to me.","非常感谢您一直以来对我的关爱。"
"“Lovingly your IRENE.”","爱您的艾琳。”"
"So, there it was!","看，就是这样！"
"Not good for him to have pleasure and what he chiefly cared about; to try and put off feeling the inevitable end of all things, the approach of death with its stealthy, rustling footsteps.","享受快乐对他不好，拥有自己所真正看重的东西对他不好；试图推迟一切都必将结束的感觉，不愿听到死亡正悄悄向他靠近的沙沙脚步声，也对他不好。"
"Not good for him!","对他不好！"
"Not even she could see how she was his new lease of interest in life, the incarnation of all the beauty he felt slipping from him.","甚至连她都看不出，正是她让他对生活重新有了热情，她是所有正从他身边溜走的美的化身。"
"His tea grew cold, his cigar remained unlit; and up and down he paced, torn between his dignity and his hold on life.","他的茶凉了，雪茄也没点，他来来回回地踱着步，在尊严和对生活的掌控间左右为难。"
"Intolerable to be squeezed out slowly, without a say of your own, to live on when your will was in the hands of others bent on weighing you to the ground with care and love.","实在不能容忍自己被慢慢排挤，却连句话都不能说，别人非得用关爱把你压得喘不过气，连意志都受他们摆布，还要这样活下去。"
"Intolerable!","不能容忍！"
"He would see what telling her the truth would do—the truth that he wanted the sight of her more than just a lingering on.","他想知道告诉她实情会怎样——实情是他想看到她，而不是多活几口气。"
"He sat down at his old bureau and took a pen.","他坐在旧书桌前，拿起笔。"
"But he could not write.","但他无法下笔。"
"There was something revolting in having to plead like this; plead that she should warm his eyes with her beauty.","这样乞求让人厌恶，乞求她用美貌温暖他的双眼。"
"It was tantamount to confessing dotage.","这无异于承认自己是老糊涂。"
"He simply could not.","他简直无法那样写。"
"And instead, he wrote:","于是，他写道："
"“I had hoped that the memory of old sores would not be allowed to stand in the way of what is a pleasure and a profit to me and my little grand-daughter.","“我原本希望旧时伤痛的记忆不会妨碍此事，你来对我和我孙女来说既是快乐也是益处。"
"But old men learn to forego their whims; they are obliged to, even the whim to live must be foregone sooner or later; and perhaps the sooner the better.","但老人得学会放弃一时的突发奇想，他们必须这样，连继续活下去的幻想也早晚都得放弃，或许越早越好。"
"“My love to you,","爱你的,"
"“JOLYON FORSYTE.”","乔利恩·福赛特。”"
"‘Bitter,’ he thought, ‘but I can’t help it.","“怨气太重，”他想，“但也没办法，"
"I’m tired.’ He sealed and dropped it into the box for the evening post, and hearing it fall to the bottom, thought: ‘There goes all I’ve looked forward to!’","我累了。”他把信封好，投进信箱，听到信掉到了箱底，心想：“我所有的希望都寄托在这儿了！”"
"That evening after dinner which he scarcely touched, after his cigar which he left half-smoked for it made him feel faint, he went very slowly upstairs and stole into the night-nursery.","那天的晚饭他几乎没怎么碰，雪茄让他觉得头晕，抽到一半就扔在那里了。他慢慢爬上楼，轻轻地走进孩子的房间。"
"He sat down on the window-seat.","他在靠窗的椅子上坐了下来。"
"A night-light was burning, and he could just see Holly’s face, with one hand underneath the cheek.","夜灯还亮着，他刚好能看清霍利的脸，她把一只手压在脸颊下。"
"An early cockchafer buzzed in the Japanese paper with which they had filled the grate, and one of the horses in the stable stamped restlessly.","先前被塞到壁炉里的日本纸中，一只提前出生的金龟子在嗡嗡叫着，马厩里一匹马不安分地跺着蹄子。"
"To sleep like that child!","要是能像这孩子一样熟睡该多好啊！"
"He pressed apart two rungs of the venetian blind and looked out.","他撑开百叶帘的两条横档，向外看去。"
"The moon was rising, blood-red.","月亮渐渐升起，血一样红。"
"He had never seen so red a moon.","他从没见过这么红的月亮。"
"The woods and fields out there were dropping to sleep too, in the last glimmer of the summer light.","在夏日的最后一缕微光中，远处的树林和田野也渐渐入眠。"
"And beauty, like a spirit, walked.","美犹如精灵般到处游走。"
"‘I’ve had a long life,’ he thought, ‘the best of nearly everything.","“我已经活了这么久，”他想，“几乎什么好的都见过。"
"I’m an ungrateful chap; I’ve seen a lot of beauty in my time.","我真是不知感恩。这辈子我见过的美够多了。"
"Poor young Bosinney said I had a sense of beauty.","可怜的小波辛尼说我懂得什么是美。"
"There’s a man in the moon to-night!’","今晚的月亮里有个人！”"
"A moth went by, another, another.","一只飞蛾飞过，接着又来一只，又一只……"
"‘Ladies in grey!’ He closed his eyes.","“灰衣女士！”他闭上眼。"
"A feeling that he would never open them again beset him; he let it grow, let himself sink; then, with a shiver, dragged the lids up.","一种他将再也不会睁开眼睛的感觉围绕着他；他任其扩大，让自己深陷其中；然后，他打了个寒战，费力地睁开眼。"
"There was something wrong with him, no doubt, deeply wrong; he would have to have the doctor after all.","他肯定是出问题了，很严重的问题，还是得看医生。"
"It didn’t much matter now!","可现在无所谓了！"
"Into that coppice the moon-light would have crept; there would be shadows, and those shadows would be the only things awake.","月光将慢慢爬上那片小灌木林；会有影子，而唯有那些影子会一直醒着。"
