"书名白猿（约翰·高尔斯华绥《现代喜剧》三部曲之一）短简介迈克尔和弗勒，一个是贵族子弟，一个是名门望族的大小姐，他们的婚姻表面上令人称羡，实际却是暗潮汹涌。小说中的那幅中国名画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。长简介约翰·高尔斯华绥的长篇小说《白猿》是《现代喜剧》三部曲的第一部。小说通过对比两对身处不同的社会阶层的夫妻，揭示了在特定社会背景下，上流社会的腐朽虚荣和贫民阶级的痛苦和无奈。迈克尔和弗勒，贵族子弟和名门望族的联姻，表面上丰衣足食、令人称羡，实际却是貌合神离、同床异梦；托尼和维多琳一贫如洗、相濡以沫，却只能牺牲自己换取两人安稳度日的梦想，而那梦想也像蓝色蝴蝶，可望而不可即……小说中的那幅画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。关键字白猿；约翰·高尔斯华绥；外研社编译组；长篇；讽刺；小说；资产阶级作者（英）约翰·高尔斯华绥作者简介约翰·高尔斯华绥（1867-1933），英国小说家、剧作家，生于伦敦，曾在牛津大学读法律，后放弃律师工作从事文学创作。1906年出版长篇小说《有产业的人》，获得广泛好评，他也因此而被公认为英国第一流作家。高尔斯华绥最为人称道的是他的三个三部曲：《福尔赛世家》、《现代喜剧》和《尾声》，其中以《福尔赛世家》最为知名，他也凭此于1932年获得诺贝尔文学奖。书评他的作品语言简练、形象生动、讽刺辛辣。    在一个渐渐走向腐朽的社会，人人都贪婪、虚荣，不顾一切地想把一切都攥在手中。"
"The White Monkey","白猿"
"How can we keep this knowledge from them?”","我们怎么能瞒住这个事实不让大家知道呢？”"
"“But the mischief’s done, Forsyte.","“但是损失已经造成了，福赛特。"
"How will the knowledge help them?”","他们知道了又有什么用呢？”"
"Soames frowned.","索姆斯皱起了眉头。"
"“We’re in a fiduciary position.","“我们处于受信托的地位。"
"I’m not prepared to run the risks of concealment.","我不准备冒隐瞒不报的风险。"
"If we conceal, we’re accessory after the fact.","如果我们隐瞒不报，我们就是这件事的从犯了。"
"The thing might come out at any time.”","这件事随时都有可能被泄露出去。”"
"If that was caution, not honesty, he couldn’t help it.","如果只是出于谨慎，而不是忠诚，那他也没辙了。"
"“I should be glad to spare Elderson’s name.","“我觉得如果能保全埃尔德森的名誉是最好了。"
"We were at—”","我们曾经在——”"
"“I’m aware of that,” said Soames, drily.","“这我知道。”索姆斯冷冷地说。"
"“But what risk is there of its coming out, Forsyte?","“可是这件事有什么泄露出去的危险呢，福赛特？"
"Elderson won’t mention it; nor young Butterfield, if you tell him not to.","埃尔德森不会提的，如果你不提小巴特菲尔德的话，他也不会说的。"
"Those who paid the commission certainly won’t.","那些付佣金的人当然更不会提的。"
"And beyond us three here, no one else knows.","这样，除了我们三人之外，再没人知道了。"
"It’s not as if we profited in any way.”","不管怎样，我们似乎不会从这件事上得到好处吧。”"
"Soames was silent.","索姆斯沉默不语了。"
"The argument was specious.","这个论据有点儿似是而非。"
"Entirely unjust, of course, that he should be penalised for what Elderson had done!","当然，要他为埃尔德森做的事受罚，完全不合情理！"
"“No,” he said, suddenly, “it won’t do.","“不。”他突然说，“这样不行。"
"Depart from the law, and you can’t tell where it’ll end.","违反了法律，那你就不知道将来会落到什么下场了。"
"The shareholders have suffered this loss, and they have the right to all the facts within the directors’ knowledge.","股东们已经蒙受了损失，他们有权知道董事们知道的一切事实。"
"There might be some means of restitution they could avail themselves of.","或许会有能为他们做出赔偿的办法。"
"We can’t judge.","我们无法判断。"
"It may be they’ve a remedy against ourselves.”","说不定他们会提出一个补救的办法。”"
"“If that’s so, Forsyte, I’m with you.”","“如果是那样的话，福赛特，我和你站在一起。”"
"Soames felt disgust.","索姆斯感到很厌烦。"
"Mont had no business to put it with a sort of gallantry that didn’t count the cost; when the cost, if cost there were, would fall, not on Mont, whose land was heavily mortgaged, but on himself, whose property was singularly realisable.","蒙特根本不配摆出一副豪侠的样子，却不去计算一下损失，如果有损失，需要为此负担的话，也不会落在蒙特身上，因为他的土地已经被抵押了，反而债务会落在自己的身上，因为他的财产很容易变成现款。"
"“Well,” he said, coldly, “remember that tomorrow.","“好吧。”他冷冷地说，“明天可要记住这件事。"
"I’m going to bed.”","我准备上床睡觉了。”"
"At his open window upstairs he felt no sense of virtue, but he enjoyed a sort of peace.","在楼上，他站在打开的窗子旁，他并未感到自己做了一件善事，但是他享受着安宁带来的快乐。"
"He had taken his line, and there it was!","他采取了自己的方针，就照这样去办！"

"Chapter IX","第九章"
"Soames Doesn’t Give a Damn","索姆斯毫不在乎"
"During the month following the receipt of Elderson’s letter, Soames aged more than thirty days.","收到埃尔德森那封信后的一个月里，索姆斯老了不少。"
"He had forced his policy of disclosure on a doubting Board, the special meeting had been called, and, just as, twenty-three years ago, pursuing divorce from Irene, he had to face the public eye, so now he suffered day and night in dread of that undiscriminating optic.","他已经迫使充满怀疑的董事会接受了他提出的揭露事实真相的方针，同时还发出了召开特别会议的通知。正如23年前，为了争取与伊琳离婚，他不得不在大庭广众面前颜面扫地一样，这一回他寝食难安，害怕众人是非不分的目光。"
"The French had a proverb: “Les absents ont toujours tort!” but Soames had grave doubts about it.","法国人有一句谚语：“不在场的人总是错的！”但是，索姆斯对这句话持怀疑态度。"
"Elderson would be absent from that meeting of the shareholders, but—unless he was much mistaken—he himself, who would be present, would come in for the blame.","埃尔德森不会出席这次股东大会了，但是——除非是他犯了很大错误——即便是他亲自出席，也会备受责备。"
"The French were not to be relied on.","法国人靠不住。"
"What with his anxiety about Fleur, and his misgiving about the public eye, he was sleeping badly, eating little, and feeling below par.","他为弗勒的担忧，同时为公众的看法感到不安，吃不好，睡不好，感觉很不舒服。"
"Annette had recommended him to see a doctor.","安妮特曾经劝他去看看医生。"
"That was probably why he did not.","大概就是因为这个，他才不去的。"
"Soames had faith in doctors for other people; but they had never—he would say—done anything for HIM, possibly because, so far, there had not been anything to do.","索姆斯对医生给别人看病很有信心，但是医生们从来没有——他说——为他做过任何事，可能因为到目前为止，还没有什么事情可做。"
"Failing in her suggestion, and finding him every day less sociable, Annette had given him a book on Coue.","安妮特由于自己的建议未被接受，同时又发现他越来越难以接近，就给了他一本论述库埃的书。"
"After running it through, he had meant to leave it in the train, but the theory, however extravagant, had somehow clung to him.","他匆匆看过后，本想把这本书丢在火车上，可这个理论，不管它如何不合理，不知为什么总是缠着他。"
"After all, Fleur was doing it; and the thing cost you nothing: there might be something in it!","毕竟，弗勒正在用此疗法，而且这又没花你一分钱，这里面讲的或许有点儿道理！"
"There was.","或许有道理。"
"After telling himself that night twenty-five times that he was getting better and better, he slept so soundly that Annette, in the next room, hardly slept at all.","那天夜里，他默念了25遍自己会越来越好之后，竟然睡得酣畅淋漓，他的鼾声甚至打扰了隔壁房间里的安妮特，让她无法入睡。"
"“Do you know, my friend,” she said at breakfast, “you were snoring last night so that I could not hear the cock crow.”","“你知道吗，我的朋友。”吃早饭时，她说，“昨天夜里你的鼻鼾声很响，我连鸡叫声都没听见。”"
"“Why should you want to?” said Soames.","“你为什么要听见鸡叫声呢？”索姆斯说。"
"“Well, never mind—if you had a good night.","“好了，没关系——只要你晚上睡得好就行。"
"Was it my little Coue who gave you that nice dream?”","是不是我给你的那本小书《库埃》让你睡得那么香呢？”"
"Partly from fear of encouraging Coue, and partly from fear of encouraging her, Soames avoided a reply; but he had a curious sense of power, as if he did not care what people said of him.","索姆斯怕鼓励《库埃》，也怕鼓励她，所以他避而不答。然而好像有种神奇的力量，他好像并不介意别人说什么了。"
"‘I’ll do it again to-night,’ he thought.","“今天晚上接着这么干。”他心想。"
"“You know,” Annette went on, “you are just the temperament for Coue, Soames.","“你知道，”安妮特接着说，“你的性格恰好适合库埃疗法，索姆斯。"
"When you cure yourself of worrying, you will get quite fat.”","等你治好了忧虑的老毛病，你的身体就会胖起来。”"
"“Fat!” said Soames, looking at her curves.","“胖！”索姆斯看了看她的曲线，"
"“I’d as soon grow a beard.”","“我宁可留一把胡子。”"
"Fatness and beards were associated with the French.","肥胖和胡须总是与法国人联系在一起。"
"He would have to keep an eye on himself if he went on with this—er—what was one to call it?","他必须得好好照顾自己，如果他继续练这个——呃——人们会叫它什么呢？"
"Tomfoolery was hardly the word to conciliate the process, even if it did require you to tie twenty-five knots in a bit of string: very French, that, like telling your beads!","无聊的玩意一词实在不足以表达这一过程，甚至书中还要求你在一小段绳子上打25个结，这是地道的法国式做法，就像数念珠祷告似的！"
"He himself had merely counted on his fingers.","他只用手指来计数。"
"The sense of power lasted all the way up to London; he had the conviction that he could sit in a draught if he wanted to, that Fleur would have her boy all right; and as to the P. P. R. S.—ten to one he wouldn’t be mentioned by name in any report of the proceedings.","他深信自己的力量，这种感觉一路维持到伦敦。他深信，只要他愿意，即使他坐在风口浪尖也无所谓，他也深信弗勒一定会母子平安的，至于在天佑再保险公司里——十之八九他的名字不会再出现在大会的任何报告中。"
"After an early lunch and twenty-five more assurances over his coffee, he set out for the city.","早午饭之后，他在喝咖啡时又做了25次祈祷，便动身到城里去了。"
"This Board, held just a week before the special meeting of the shareholders, was in the nature of a dress rehearsal.","这次董事会，刚好在股东特别大会前一周举行，实际上是一场预演。"
"The details of confrontation had to be arranged, and Soames was chiefly concerned with seeing that a certain impersonality should be preserved.","对质的种种细节必须安排好，索姆斯主要关注保护那些与个人无关的方针。"
"He was entirely against disclosure of the fact that young Butterfield’s story and Elderson’s letter had been confided to himself.","他完全反对公开以下事实，即年轻人巴特菲尔德的告发和埃尔德森的那封信都是透露给他本人的。"
"The phrase to be used should be a “member of the Board.”","应该采用措辞“一个董事会成员”。"
"He saw no need for anything further.","他认为没必要进一步声明了。"
"As for explanations, they would fall, of course, to the chairman and the senior director, Lord Fontenoy.","至于解释，当然应该向董事长和资格最老的董事福坦诺勋爵询问了。"
"He found, however, that the Board thought he himself was the right person to bring the matter forward.","然而，他却发现董事会却认为他是提出这件事最适合的人选。"
"No one else—they said—could supply the personal touch, the necessary conviction; the chairman should introduce the matter briefly, then call on Soames to give the evidence within his knowledge.","他们说——除了他之外，没人具有和他们接触的机会以及提供具有说服力的证据；董事长会简要介绍一下此事，然后请索姆斯提供他所知的证据。"
"Lord Fontenoy was emphatic.","福坦诺勋爵强烈要求这样做。"
"“It’s up to you, Mr. Forsyte.","“这事全仰仗您了，福赛特先生。"
"If it hadn’t been for you, Elderson would be sitting there today.","要不是您的话，埃尔德森今天还坐在这里呢。"
"From beginning to end you put the wind up him; and I wish the deuce you hadn’t.","从开始到现在，他一直都害怕您，我希望您没做什么。"
"The whole thing’s a confounded nuisance.","这真是一件麻烦事儿。"
"He was a very clever fellow, and we shall miss him.","他是个聪明人，我们会想他的。"
"Our new man isn’t a patch on him.","我们的新经理可比不上他。"
"If he did take a few thou. under the rose, he took ‘em off the Huns.”","如果他私下里确实捞了几千镑，那也是从德国佬那拿的。”"
"Old guinea-pig!","这只老豚鼠！"
"Soames replied, acidly:","索姆斯尖声说道："
"“And the quarter of a million he’s lost the shareholders, for the sake of those few thou.?","“难道他为了这几千镑可以让股东们失掉25万镑吗？"
"Bagatelle, I suppose?”","请问这是小事吗？”"
"“Well, it might have turned out a winner; for the first year it did.","“嗯，说不定它会变成一笔赚钱的生意呢，第一年就是这样的。"
"We all back losers sometimes.”","我们都会把赌注压在输者的身上。”"
"Soames looked from face to face.","索姆斯一一打量他们的面孔。"
"They did not support this blatant attitude, but in them all, except perhaps ‘Old Mont’s,’ he felt a grudge against himself.","他们并不赞成把此事闹大，而且从他们的表情来看，除了“老蒙特”之外，他感觉到每个人都对他有怨恨之情。"
"Their expressions seemed to say: ‘Nothing of this sort ever happened till you came on the Board.’","他们的表情似乎在说：“你没来董事会之前，从没发生过这类事情。”"
"He had disturbed their comfort, and they disliked him for it.","他扰乱了他们的安逸，所以他们并不喜欢他。"
"They were an unjust lot!","他们是一帮不公道的家伙！"
"He said doggedly:","他固执地说："
"“You leave it to me, do you?","“你们都把这件事踢给我，是不是？"
"Very well!”","很好！”"
"What he meant to convey—or whether he meant to convey anything, he did not know; but even that ‘old guinea-pig’ was more civil afterwards.","他这句话要表达什么意思——或者他是否有什么意思要表达，他自己也不清楚，不过之后，就连那只“老豚鼠”也客气些了。"
"He came away from the Board, however, without any sense of power at all.","然而，从董事会出来以后，他已经感觉不到任何力量了。"
"There he would be on Tuesday next, bang in the public eye.","下周二，他就要在公众面前现眼了。"
"After calling to enquire after Fleur, who was lying down rather poorly, he returned home with a feeling of having been betrayed.","弗勒因为不舒服一直躺在床上，他去看过她之后，就直接回家了，心里有种被出卖的感觉。"
"It seemed that he could not rely, after all, on this fellow with his twenty-five knots.","看来，这种打25个结的心理疗法不适合他。"
"However much better he might become, his daughter, his reputation, and possibly his fortune, were not apparently at the disposition of his subconscious self.","不管他现在的状态变得有多好，他的女儿、他的名誉，可能还有他的财产，显然都不是那个下意识所能控制的。"
"He was silent at dinner, and went up afterwards to his picture gallery, to think things over.","吃晚饭时，他默不作声，吃完就到楼上的画廊去了，仔细考虑一下整件事情。"
"For half an hour he stood at the open window, alone with the summer evening; and the longer he stood there, the more clearly he perceived that the three were really one.","他在打开的窗前，站了半个小时，在这夏日的傍晚，独自一人。在窗前站的时间越长，他就越意识到这三件事其实是一回事、。"
"Except for his daughter’s sake, what did he care for his reputation or his fortune?","如果不是为了女儿，他还计较什么名誉和财产呢？"
"His reputation!","他的名誉！"
"Lot of fools—if they couldn’t see that he was careful and honest so far as had lain within his reach—so much the worse for them!","这帮蠢货——如果他们看不出他在力所能及的范围内表现出来的谨慎和诚实——那他们就无药可救了！"
"His fortune—well, he had better make another settlement on Fleur and her child at once, in case of accidents; another fifty thousand.","他的财产——嗯，他最好还是马上再给弗勒和她的孩子一笔财产，以防意外。再给五万镑。"
"Ah! if she were only through her trouble!","啊！只要她能顺利分娩就好！"
"It was time Annette went up to her for good; and there was a thing they called twilight sleep.","现在是时候让安妮特进城到她那里去了，还有一种人们称作半麻醉无痛分娩的方法。"
"To have her suffering was not to be thought of!","可千万不能让她受苦啊！"
"The evening lingered out; the sun went down behind familiar trees; Soames’ hands, grasping the window-ledge, felt damp with dew; sweetness of grass and river stole up into his nostrils.","夜晚悄悄降临，太阳隐没在熟悉的树林后。索姆斯紧紧握着窗框的双手已被露水打湿了，他闻到了青草伴着河水的香气。"
"The sky had paled, and now began to darken; a scatter of stars came out.","此刻，苍茫的天色逐渐暗淡，天空中繁星点点。"
"He had lived here a long time, through all Fleur’s childhood—best years of his life; still, it wouldn’t break his heart to sell.","他在这里住过很长一段时间，陪弗勒度过整个童年时光——这是他一生中最美好的时光。尽管如此，卖掉这处房产也不会让他伤心。"
"His heart was up in London.","他的心已经飞向伦敦了。"
"Sell?","卖了它？"
"That was to run before the hounds with a vengeance.","这未免太心急了。"
"No—no!—it wouldn’t come to THAT!","不——不！事情还没到那个地步！"
"He left the window and, turning up the lights, began the thousand and first tour of his pictures.","他离开窗户，打开电灯，第一千零一次巡视自己的藏画。"
"He had made some good purchases since Fleur’s marriage, and without wasting his money on fashionable favourites.","弗勒结婚以来，他买进好几件便宜货，而且没把钱浪费在追赶那些时髦的作品上。"
"He had made some good sales, too.","他也做过几笔好买卖。"
"The pictures in this gallery, if he didn’t mistake, were worth from seventy to a hundred thousand pounds; and, with the profits on his sales from time to time, they stood him in at no more than five-and-twenty thousand—not a bad result from a life’s hobby, to say nothing of the pleasure!","在他画廊里的那些画，要是没算错的话，值七万到十万镑。同时，若将时不时地卖出所获的利润算进去，这些画的成本还不到两万五千镑——一生的业余爱好有这样的成果总算不赖，更不用说其中的乐趣了！"
"Of course, he might have taken up something else—butterflies, photography, archaeology, or first editions; some other sport in which you backed your judgment against the field, and collected the results; but he had never regretted choosing pictures.","当然，他本来可能会对其他事物产生兴趣——如蝴蝶、摄影、考古，或者书籍首发本，或者在某项运动中下赌注而后收获结果。但他从未对自己选择收藏画而后悔。"
"Not he!","他才不后悔呢！"
"More to show for your money, more kudos, more profit, and more risk!","自己花的钱，可以给别人看更多东西，自己还能从中取得更大的名声、更多的利润，同时也会冒更大的风险！"
"The thought startled him a little; had he really taken to pictures because of the risk?","这种想法使他有点儿吃惊。他是因为要承担风险才喜欢画吗？"
"A risk had never appealed to him; at least, he hadn’t realised it, so far.","风险对他而言向来是没有吸引力的，至少到目前为止他还没认识到这一点。"
"Had his ‘subconscious’ some part in the matter?","是不是他的“潜意识”在这件事上起过一些作用呢？"
"He suddenly sat down and closed his eyes.","他突然坐下来，闭上眼睛。"
"Try the thing once more; very pleasant feeling, that morning, of not “giving a damn”; he never remembered having it before!","再来一遍那玩意试试看。那天早晨，有过一种“毫不在乎”的愉快感觉，他记得以前从来没有过这种感觉！"
"He had always felt it necessary to worry—kind of insurance against the worst; but worry was wearing, no doubt about it, wearing.","他一直觉得担心是必要的——像是一种对最恶劣情况的保险。但是担心令人疲惫，毫无疑问，令人疲惫。　"
"Turn out the light!","把灯关了！"
"They said in that book, you had to relax.","书里说，必须要放松。"
"In the now dim and shadowy room, with the starlight, through many windows, dusted over its reality, Soames, in his easy chair, sat very still.","此刻，这个房间朦胧而幽暗，星光透过窗口洒落在屋内，索姆斯静静地坐在安乐椅上，一动不动。"
"A faint drone rose on the words: “fatter and fatter” through his moving lips.","只有他嘴唇在颤抖，发出一种轻微深沉的嗡嗡声：“越来越胖。”"
"‘No, no,’ he thought: ‘that’s wrong!’","“不，不。”他想，“念错了！”"
"And he began the drone again.","于是他又发出嗡嗡声。"
"The tips of his fingers ticked it off; on and on—he would give it a good chance.","他的指尖在数着念句的次数；念了又念——他要给这种疗法一个好机会。"
"If only one needn’t worry!","但愿自己不必忧虑担心了！"
"On and on—“better and better!”","念了又念——“越来越好！”"
"If only—!","但愿——！"
"His lips stopped moving; his grey head fell forward into the subconscious.","他的嘴唇停止了颤动；他那灰白的脑袋垂在胸前，陷入了下意识。"
"And the stealing starlight dusted over him, too, a little unreality.","此时，悄然射入的星光洒在他身上，有点儿虚无缥缈。"

"Chapter X","第十章"
"But Takes No Chances","但是不冒险"
"Michael knew nothing of the City; and, in the spirit of the old cartographers: “Where you know nothing, place terrors,” made his way through the purlieus of the Poultry, towards that holy of holies, the offices of Cuthcott, Kingson and Forsyte.","迈克尔根本不了解伦敦城，于是他本着老制图员的精神：“警惕那些你不了解的地方”，穿过家禽街的边缘，走向那个最神圣的地方——卡斯考特、金森和福赛特事务所。"
"His mood was attuned to meditation, for he had been lunching with Sibley Swan at the Cafe C’rillon.","他此刻的状态适合思考问题，因为他刚刚在克里伦咖啡馆和西伯莱·斯旺用过午饭。"
"He had known all the guests—seven chaps even more modern than old Sib—save only a Russian so modern that he knew no French and nobody could talk to him.","他认识所有在那里用餐的客人——有七个人甚至比老西伯还要入时——只有一个俄国人除外，他太新潮了竟然不懂法语，以至于没有人能和他交谈。"
"Michael had watched them demolish everything, and the Russian closing his eyes, like a sick baby, at mention of any living name....","迈克尔看着他们吃光了所有的东西，看到只要有人提起任何一个尚在人世的人时，那个俄国人就会像一个病婴似的闭上眼睛……"
"‘Carry on!’ he thought, several of his favourites having gone down in the melee.","“继续吧！”他想道，有几个他最喜欢的人物已经在混乱的讨论中被否定了，"
"‘Stab and bludge!","“中伤吧！调侃吧！"
"Importance awaits you at the end of the alley.’","等着身后留名吧。”"
"But he had restrained his irreverence till the moment of departure.","但是他一直忍着，直到他要走的时候才把这些无礼的话说出来。"
"“Sib,” he said, rising, “all these chaps here are dead—ought they to be about in this hot weather?”","“西伯，”他站起来说，“这里的这些家伙都是死人——天气这么热他们怎么能出来活动呢？”"
"“What’s that?” ejaculated Sibley Swan, amidst the almost painful silence of the chaps.","“你说的是什么话？”在一帮人基本上都尴尬无语的时候，西伯莱·斯旺突然喊道。"
"“I mean—they’re alive—so they MUST be damned!”","“我是说——他们都还活着——所以他们都该见鬼去！”"
"And avoiding a thrown chocolate which hit the Russian, he sought the door.","他躲过一块扔过来的巧克力，夺门而出，结果那块巧克力打中了那个俄国人。"
"Outside, he mused: ‘Good chaps, really!","出门后，他若有所思地自语道：“这帮家伙，真是好样的！"
"Not half so darned superior as they think they are.","自以为才高八斗，其实连一半都没有。"
"Quite a human touch—getting that Russian on the boko.","扔那一下倒是有人情味——打中那个俄国佬的鼻子了。"
"Phew!","呼！"
"It’s hot!’","真热啊！”"
"On that first day of the Eton and Harrow match all the forfeited heat of a chilly summer had gathered and shimmered over Michael, on the top of his Bank ‘bus; shimmered over straw hats, and pale, perspiring faces, over endless other ‘buses, business men, policemen, shopmen at their doors, sellers of newspapers, laces, jumping toys, endless carts and cabs, letterings and wires, all the confusion of the greatest conglomeration in the world—adjusted almost to a hair’s-breadth, by an unseen instinct.","在伊顿和哈罗比赛的第一天，在堤岸公交车的顶层上，迈克尔觉得整个凉爽夏天消失了的暑热都集中到一起了，闪烁在自己身上、行人的草帽上、因流汗而苍白的脸上、川流不息的其他公交车上；闪烁在那些生意人、警察、店员、卖报纸的、卖花边的、卖跳动玩具的人的身上；闪烁在运货马车和出租车上以及文字和电报上、世界上最大的混合体的所有混乱上——世上种种万物在一种看不见的本能的作用下，都调整到只差分毫了。"
"Michael stared and doubted.","迈克尔瞪着眼看着，也疑惑着。"
"Was it possible that, with everyone pursuing his own business, absorbed in his own job, the thing could work out?","如果人人都忙于自己的事业，全神贯注于自己的工作，事情有可能发展成那样吗？"
"An ant-heap was not busier, or more seemingly confused.","成群的蚂蚁也不会比这里更热闹，或是看上去比这里更混乱。"
"Live wires crossed and crossed and crossed—inextricable entanglement, you’d say; and yet, life, the order needful to life, somehow surviving!","你会说，忙碌的人们有如有生命的电线一般穿来穿去，穿去穿来——难分难解地纠结在一起，然而，生活以及生活所需的秩序却以某种方式幸存了下来！"
"‘No slouch of a miracle!’ he thought, ‘modern town life!’","“忙碌的人们显奇迹！”他想道，“现代都市生活！”"
"And suddenly it seemed to cease, as if demolished by the ruthless dispensation of some super Sibley Swan; for he was staring down a cul-de-sac.","可是，生活貌似突然停止了，仿佛是被西伯莱·斯旺之类的超人以无情的天命为由毁灭了，因为出现在他眼前的是一条死胡同。"
"On both sides, flat houses, recently re-buffed, extraordinarily alike; at the end, a flat buff house, even more alike, and down to it, grey virgin pavement, unstained by horse or petrol; no cars, cats, carts, policemen, hawkers, flies, or bees.","胡同两边都是些单调的房子，新刷的浅黄色，极其相似。路的尽头还是一幢单调的浅黄色的房子，跟其他的没什么两样。通向它的这条灰色的路，没有行人走过的痕迹，也没有马车或是汽油的痕迹，没有汽车、马车、警察、小贩、猫咪、苍蝇或是蜜蜂。"
"No sign of human life, except the names of legal firms to right and left of each open doorway.","没有人类生活的迹象，只是每一扇敞开的门的左右两边都挂着法律事务所的招牌。"
"“‘Cuthcott, Kingson and Forsyte, Commissioners for Oaths: First Floor.’”","“‘卡思考特、金森和福赛特，宣誓公证人：请上二楼。’”"
"‘Rule Britannia!’ thought Michael, ascending wide stone steps.","“大英律例！”迈克尔一边想着，一边踏上了宽阔的石头台阶。"
"Entering the room to which he had been ushered, he saw an old and pug-faced fellow with a round grizzled beard, a black alpaca coat, and a roomy holland waistcoat round his roomy middle, who rose from a swivel chair.","按照引导，他走进了那房间，看到一个老人从转椅里站了起来。那个老人有一张狮子狗似的脸，花白胡须，穿着黑色羊驼毛外套，在宽大的腰身外面还罩着一件宽大的荷兰亚麻马甲。"
"“Aoh!” he said, “Mr. Michael Mont, I think.","“啊！”他说道，“我想您是迈克尔·蒙特先生吧。"
"I’ve been expecting you.","我一直在等您呢。"
"We shan’t be long about it, after Mr. Forsyte comes.","等会儿索姆斯来了以后，用不了太长时间就能办好。"
"He’s just stepped round the corner.","他刚到那边拐角处去了。"
"Mrs. Michael well, I hope?”","迈克尔太太身体还好吧？”"
"“Thanks; as well as—”","“谢谢，还好——”"
"“Ye-es: it makes you anxious.","“是啊，您在担心她。"
"Take a seat.","请坐吧。"
"Perhaps you’d like to read the draft?”","也许您想看看那份草稿吧？”"
"Thus prescribed for, Michael took some foolscap from a pudgy hand, and sat down opposite.","说完，他便用那肥大的手递给坐在他对面的迈克尔几张大页纸。"
"With one eye on the old fellow, and the other on the foolscap, he read steadily.","他一只眼看着老头，另一只眼看着草稿，从容地读着。"
"“It seems to mean something,” he said at last.","“这看起来有点儿意思。”他最后说。"
"He saw a gape, as of a frog at a fly, settle in the beard; and hastened to repair his error.","他看见那胡须下面老人的嘴张大了，就像青蛙看见苍蝇时咧着大嘴一样，于是他赶紧弥补自己的口误。"
"“Calculating what’s going to happen if something else doesn’t, must be rather like being a bookmaker.”","“在没有其他事发生的前提下计算将要发生的事，就像是在登记赛马赌注一样。”"
"He felt at once that he had not succeeded.","他立刻感觉到自己这句话并没有弥补之前的失言。"
"There was a grumpy mutter:","因为他听到对方生气地说："
"“We don’t waste our time, ‘ere.","“我们这儿可不浪费时间。"
"Excuse me, I’m busy.”","原谅我失陪了，我还有事要忙。”"
"Michael sat, compunctious, watching him tick down a long page of entries.","迈克尔懊悔地坐在那里，看着他在长长的一页条目上做标记。"
"He was like one of those old dogs which lie outside front doors, keeping people off the premises, and notifying their fleas.","他就像一只老狗一样，趴在大门外，不让人靠近屋子，警告人们别惹麻烦。"
"After less than five minutes of that perfect silence Soames came in.","就这样过了近五分钟的绝对寂静之后，索姆斯走了进来。"
"“You’re here, then?” he said.","“哦，你来了?”他说。"
"“Yes, sir; I thought it best to come at the time you mentioned.","“是的，先生。我觉得最好按照您说的那个时间来。"
"What a nice cool room!”","多么凉爽舒服的房间啊！”"
"“Have you read this?” asked Soames, pointing to the draft.","“你看过这个了吗？”索姆斯指着那份草稿问道。"
"Michael nodded.","迈克尔点了点头。"
"“Did you understand it?”","“看明白了吗？”"
"“Up to a point, I think.”","“看懂些要点吧，我是这么想的。”"
"“The interest on THIS fifty thousand,” said Soames, “is Fleur’s until her eldest child, if it’s a boy, attains the age of twenty-one, when the capital becomes his absolutely.","“这五万块钱的利息，”索姆斯说，“是给弗勒的，直到她的最大的孩子年满21岁。如果是儿子，那么此后的本金就全归他了。"
"If it’s a girl, Fleur retains half the income for life, the rest of the income becomes payable to the girl when she attains the age of twenty-one or marries, and the capital of that half goes to her child or children lawfully begotten, at majority or marriage, in equal shares.","如果是女儿，那么弗勒终身都享有这份收益的一半，其余的收益等这个孩子年满21岁或是出嫁时，再给她，这一半本金归这个孩子合法生育的孩子或孩子们所有，等他们成年或是成亲时，大家均分。"
"The other half of the capital falls into Fleur’s estate, and is disposable by her will, or follows the laws of intestacy.”","另一半本金则归入弗勒的财产，可以根据她的遗嘱或是根据无遗嘱的法律来处理。”"
"“You make it wonderfully clear,” said Michael","“您订立得很清楚。”迈克尔说。"
"“Wait!” said Soames.","“等一下！”索姆斯说，"
"“If Fleur has no children—”","“如果弗勒没有孩子——”"
"Michael started.","迈克尔吃了一惊。"
"“Anything is possible,” said Soames gravely, “and my experience is that the contingencies not provided for are those which happen.","“什么事都有可能，”索姆斯严肃地说，“而我的经验告诉我，没有防范到的事恰恰是会意外发生的事。"
"In such a case the income of the whole is hers for life, and the capital hers at death to do as she likes with.","在这种情况下，所有收益归她终身所有，本金也归她，等她死的时候按她的意愿处理。"
"Failing that, it goes to the next of kin.","如果未能处理，这笔财产就交给她关系最近的亲属。"
"There are provisions against anticipation and so forth.”","对于预先支取等情况，也有相应条款规定。”"
"“Ought she to make a fresh will?” asked Michael, conscious of sweat on his forehead.","“她是不是应该立一份新的遗嘱呢？”迈克尔问道，觉得自己额头上都出汗了。"
"“Not unless she likes.","“不必，除非她自愿。"
"Her present will covers it.”","她现在的遗嘱会把这个包括进去的。”"
"“Have I to do anything?”","“需要我做什么事情吗？”"
