"In the Days of the Comet","彗星来临"
"There it stands, this incomprehensible faded show, a thing left on one side, and now still and deserted by any interest, its many emptinesses as inexplicable now as the cruelties of medieval Venice, the theology of old Byzantium.","这场无法理解、日渐褪色的表演矗立在此，被遗弃一旁无人问津。它的许多空白如同中世纪威尼斯的酷刑和古老拜占庭的神学一样无法解释。"
"And they ruled and influenced the lives of nearly a quarter of mankind, these politicians, their clownish conflicts swayed the world, made mirth perhaps, made excitement, and permitted—infinite misery.","这些政治家们统治并影响着将近四分之一的人类的生命。他们滑稽的冲突控制这世界，其间或许有欢笑，或许也有激情，但也有无尽的痛苦。"
"I saw these men quickened indeed by the Change, but still wearing the queer clothing of the old time, the manners and conventions of the old time; if they had disengaged themselves from the outlook of the old time they still had to refer back to it constantly as a common starting-point.","我看到这次巨变确实使这些人变得更为活跃，但他们仍旧穿着旧时代的怪异服装，举止言行也和原来一样。如果他们完全从过去时代样子的脱离出来，他们还是不得不时不时地援引过去，作为一个共同的出发点。"
"My refreshed intelligence was equal to that, so that I think I did indeed see them.","我全新的智力能适应这些，因此我认为我确实看到他们了。"
"There was Gorrell-Browning, the Chancellor of the Duchy; I remember him as a big round-faced man, the essential vanity and foolishness of whose expression, whose habit of voluminous platitudinous speech, triumphed absurdly once or twice over the roused spirit within.","公爵领地大臣戈里·布朗宁，我记得他脸庞硕大浑圆，一脸的自负和愚蠢，习惯废话连篇，满口陈词滥调，而这些废话竟然有一两次荒谬地胜过了其内心觉醒的良知。"
"He struggled with it, he burlesqued himself, and laughed.","他挣扎、自嘲而后大笑起来。"
"Suddenly he said simply, intensely—it was a moment for every one of clean, clear pain, “I have been a vain and self-indulgent and presumptuous old man.","突然他动情而简洁地说道——那一刻，所有人心里都隐隐作痛——“一直以来我都是个无能、我行我素、肆无忌惮的老头子。"
"I am of little use here.","我在这儿已经没什么用了。"
"I have given myself to politics and intrigues, and life is gone from me.”","我一辈子都在权力场上钩心斗角，我的生命已经消耗殆尽了。”"
"Then for a long time he sat still.","之后他便默默地坐了很久。"
"There was Carton, the Lord Chancellor, a white-faced man with understanding, he had a heavy, shaven face that might have stood among the busts of the Caesars, a slow, elaborating voice, with self-indulgent, slightly oblique, and triumphant lips, and a momentary, voluntary, humorous twinkle.","卡顿是勋爵。他脸很白净、善解人意。沉郁的、刮过胡须的脸和凯撒大帝的半身塑像相差无几。他说话慢条斯理、清晰详尽，唇线有点儿斜，还时不时不由自主地小幽默一番。"
"“We have to forgive,” he said.","“我们得宽恕，”他说，"
"“We have to forgive—even ourselves.”","“我们得宽恕——甚至我们自己。”"
"These two were at the top corner of the table, so that I saw their faces well.","他们两个人坐在桌子的上角，因此他们的脸我看得很清楚。"
"Madgett, the Home Secretary, a smaller man with wrinkled eyebrows and a frozen smile on his thin wry mouth, came next to Carton; he contributed little to the discussion save intelligent comments, and when the electric lights above glowed out, the shadows deepened queerly in his eye-sockets and gave him the quizzical expression of an ironical goblin.","紧挨着卡顿坐着的是内政部秘书马奇特。他身材矮小，眉头紧锁，歪曲的嘴角对着一丝凝固的笑容。他很少参与讨论，偶尔发表些有见地的评论。当头顶上端的电灯亮起，他眼窝下的阴影变得更深，活像一只讽刺的鬼灵的滑稽表情。"
"Next him was that great peer, the Earl of Richover, whose self-indulgent indolence had accepted the role of a twentieth-century British Roman patrician of culture, who had divided his time almost equally between his jockeys, politics, and the composition of literary studies in the key of his role.","他旁边的是非凡的贵族里乔维尔伯爵。他随心所欲、慵懒散漫，像二十世纪的英罗马贵族。他将时间基本上平分做这么几件事：骑马，参政和研究文学。"
"“We have done nothing worth doing,” he said.","“我们做的事情都不值得做，”他说，"
"“As for me, I have cut a figure!”","“至于我，我已经出尽风头了！”"
"He reflected—no doubt on his ample patrician years, on the fine great houses that had been his setting, the teeming race-courses that had roared his name, the enthusiastic meetings he had fed with fine hopes, the futile Olympian beginnings....","他陷入沉思——无疑是在回忆过去富裕的贵族生活，过去精美豪华的住所，欢呼着他的名号的跑马场，他倾注了美好希望的热情洋溢的会议，无用的庄严的开始……"
"“I have been a fool,” he said compactly.","“我一直就是个傻瓜，”他铮铮地说。"
"They heard him in a sympathetic and respectful silence.","人们静静地听他说，满怀同情和敬重。"
"Gurker, the Chancellor of the Exchequer, was partially occulted, so far as I was concerned, by the back of Lord Adisham.","格克，财政大臣。他被艾迪沙姆勋爵的背部挡住了，我只看得他部分身体。"
"Ever and again Gurker protruded into the discussion, swaying forward, a deep throaty voice, a big nose, a coarse mouth with a drooping everted lower lip, eyes peering amidst folds and wrinkles.","格克向前晃动着，时不时地插入讨论。他的声音低沉嘶哑，鼻头很大，嘴巴粗糙，耷拉着下嘴唇，眼睛在一堆的皱纹中凝视着。"
"He made his confession for his race.","他为他们种族做忏悔。"
"“We Jews,” he said, “have gone through the system of this world, creating nothing, consolidating many things, destroying much.","“我们犹太人，”他说，“历经了这个世界的体制，无所作为，巩固了许多东西，却也毁灭了许多。"
"Our racial self-conceit has been monstrous.","我们种族向来都是极其自满的。"
"We seem to have used our ample coarse intellectuality for no other purpose than to develop and master and maintain the convention of property, to turn life into a sort of mercantile chess and spend our winnings grossly....","我们看来仅仅是将自己丰富而粗糙的智慧用于发展、掌控和保持我们的既得财产，将生活变成某种商业博弈，大肆挥霍胜利品……"
"We have had no sense of service to mankind.","我们从没有服务人类的意识。"
"Beauty which is godhead—we made it a possession.”","美是神性的——我们却将其视为财产。”"
"These men and these sayings particularly remain in my memory.","这些人和他们的言论都深深地留在我记忆中。"
"Perhaps, indeed, I wrote them down at the time, but that I do not now remember.","可能我当时真的记录下来了，但是现在我完全想不起来。"
"How Sir Digby Privet, Revel, Markheimer, and the others sat I do not now recall; they came in as voices, interruptions, imperfectly assigned comments....","我记不得迪格林·普里维特先生、雷维尔先生、马克海默先生和其他人是怎么做的了。残存的只有他们的声音、插的话和不太适宜的评论……"
"One got a queer impression that except perhaps for Gurker or Revel these men had not particularly wanted the power they held; had desired to do nothing very much in the positions they had secured.","大概除了格克和雷维尔，没有人特别想要手中的权力，只想呆在他们的位置上无所事事。这给人们留下很奇怪的印象。"
"They had found themselves in the cabinet, and until this moment of illumination they had not been ashamed; but they had made no ungentlemanly fuss about the matter.","他们发现身在内阁，在这如梦初醒的一刻到来之前，他们从未感到羞愧过；但对此他们也没有有失风度地大惊小怪。"
"Eight of that fifteen came from the same school, had gone through an entirely parallel education; some Greek linguistics, some elementary mathematics, some emasculated “science,” a little history, a little reading in the silent or timidly orthodox English literature of the seventeenth, eighteenth, and nineteenth centuries, all eight had imbibed the same dull gentlemanly tradition of behavior; essentially boyish, unimaginative—with neither keen swords nor art in it, a tradition apt to slobber into sentiment at a crisis and make a great virtue of a simple duty rather clumsily done.","这十五个人里有八个人来自同一所学校，受到的是全然相同的教育；学了一些希腊语，一些初等数学，一些被阉割过的“科学”，还有一点儿历史，一点儿十七、十八、十九世纪的传统英国文学。这八个人都汲取了刻板绅士传统，实质上是幼稚且无趣的——这种传统，既无利刃也无艺术，面对灾难便黯然神伤，粗陋地完成了一点儿小任务便视之为高尚德行。"
"None of these eight had made any real experiments with life, they had lived in blinkers, they had been passed from nurse to governess, from governess to preparatory school, from Eton to Oxford, from Oxford to the politico-social routine.","他们这八个人从未真正体验过生活，他们一直都是盲目地生活。从托儿所到幼儿园，从幼儿园到小学，从伊顿公学到牛津大学，从牛津大学到政治社会，这是他们一成不变的路子。"
"Even their vices and lapses had been according to certain conceptions of good form.","即便是恶习和失误，都遵循特定的良好模式观念。"
"They had all gone to the races surreptitiously from Eton, had all cut up to town from Oxford to see life—music-hall life—had all come to heel again.","他们都曾偷偷从伊顿公学溜出去看赛马，从牛津大学跑出去享受生活——去听音乐会——然后又都循规蹈矩。"
"Now suddenly they discovered their limitations....","此时他们突然发现了自己的局限……"
"“What are we to do?”","“我们去做什么呢？”"
"asked Melmount.","梅尔蒙特问道，"
"“We have awakened; this empire in our hands....”","“我们都苏醒了。这个国家在我们手上……”"
"I know this will seem the most fabulous of all the things I have to tell of the old order, but, indeed, I saw it with my eyes, I heard it with my ears.","我知道这将会是我所讲述的旧秩序下所有事件中最难以置信的；但是，这确实是我亲眼所见亲耳所闻的事情。"
"It is a fact that this group of men who constituted the Government of one-fifth of the habitable land of the earth, who ruled over a million of armed men, who had such navies as mankind had never seen before, whose empire of nations, tongues, peoples still dazzles in these greater days, had no common idea whatever of what they meant to do with the world.","事实是，这群人完全没有共识，不知道要如何去管理他们所面对的这个世界。他们这群人曾组成了管辖地球五分之一可居住地的政府，曾掌控了一百多万大军和人类前所未有的浩大海军，他们的民族、语言和人们在现今的伟大时代依旧令人惊羡。"
"They had been a Government for three long years, and before the Change came to them it had never even occurred to them that it was necessary to have no common idea.","他们的政府维持了三年之久，在巨变来临之前，他们从未想过有达成共识的必要。"
"There was no common idea at all.","也从来没有过共识。"
"That great empire was no more than a thing adrift, an aimless thing that ate and drank and slept and bore arms, and was inordinately proud of itself because it had chanced to happen.","那个大帝国不过是个飘忽不定、漫无目的的东西。它只是吃、喝、睡、扛枪、为偶然的辉煌骄傲不已。"
"It had no plan, no intention; it meant nothing at all.","它没有任何计划或打算，它根本就毫无意义。"
"And the other great empires adrift, perilously adrift like marine mines, were in the self-same case.","而其他游荡着的帝国，像水雷一样危险地游荡着的帝国，也处于相同境况。"
"Absurd as a British cabinet council must seem to you now, it was no whit more absurd than the controlling ganglion, autocratic council, president’s committee, or what not, of each of its blind rivals....","在你看来，现在的大英内阁会议看起来也许十分可笑，但它并不比它敌对的独裁专制机构、总统委员会或其他什么更为荒谬……"
"Section 2","第二节"
"I remember as one thing that struck me very forcibly at the time, the absence of any discussion, any difference of opinion, about the broad principles of our present state.","我记得那时有件事情使我十分震惊，即关于我们目前国家的范适准则没有得到任何讨论或给出任何不同意见。"
"These men had lived hitherto in a system of conventions and acquired motives, loyalty to a party, loyalty to various secret agreements and understandings, loyalty to the Crown; they had all been capable of the keenest attention to precedence, all capable of the most complete suppression of subversive doubts and inquiries, all had their religious emotions under perfect control.","这些人一直以来都生活在传统体制和既定动机之下。他们尽忠于党派、各种秘密协议和理解和皇室，他们有能力对优先权给予最热切的关注，对颠覆性质疑和询问给予最彻底的镇压，并且完美地控制自己的宗教情感。"
"They had seemed protected by invisible but impenetrable barriers from all the heady and destructive speculations, the socialistic, republican, and communistic theories that one may still trace through the literature of the last days of the comet.","他们似乎被无形却无法逾越的壁垒保护着，隔绝所有顽固且毁灭性的理论，诸如社会主义、共和主义已经共产主义理论。这些理论至今仍能在彗星到来那个时代的文学中找到蛛丝马迹。"
"But now it was as if the very moment of the awakening those barriers and defences had vanished, as if the green vapors had washed through their minds and dissolved and swept away a hundred once rigid boundaries and obstacles.","但是现在那些壁垒和防御似乎在苏醒的那一刻全部消失了，似乎绿色气体洗涤了他们的头脑，化解清除了许许多多曾经顽固的界限和障碍。"
"They had admitted and assimilated at once all that was good in the ill-dressed propagandas that had clamored so vehemently and vainly at the doors of their minds in the former days.","他们立刻承认并吸收了所有没有宣传好的好东西。那些宣传曾在他们思想之门前激烈叫嚣过，但没有丝毫动静。"
"It was exactly like the awakening from an absurd and limiting dream.","这正像从一场荒谬短暂的梦中苏醒过来。"
"They had come out together naturally and inevitably upon the broad daylight platform of obvious and reasonable agreement upon which we and all the order of our world now stand.","他们自然而然地、不可避免地形成宽阔明亮的平台，在此达成明了合理的协议，在此基础上我们以及世界的秩序得以树立。"
"Let me try to give the chief things that had vanished from their minds.","且让我简述一下从他们心里消失的主要事物。"
"There was, first, the ancient system of “ownership” that made such an extraordinary tangle of our administration of the land upon which we lived.","首先是“所有制”这一古老的体制。这一体制给我们所居住的土地的管理造成的极度的混乱。"
"In the old time no one believed in that as either just or ideally convenient, but every one accepted it.","在旧时代，没有人会认为“所有制”公正或者便利，但每个人都接受了它。"
"The community which lived upon the land was supposed to have waived its necessary connection with the land, except in certain limited instances of highway and common.","居住于这篇陆地上的社会本已放弃了其与土地的必要联系，除了一些少量的公路和公共用地之外。"
"All the rest of the land was cut up in the maddest way into patches and oblongs and triangles of various sizes between a hundred square miles and a few acres, and placed under the nearly absolute government of a series of administrators called landowners.","剩下的所有土地都以最疯狂的方式被分割成大小不等的方形、长方形和三角形，面积大至上百平方英里小至几公顷。这些土地由一系列管理者近乎绝对地管辖起来，这些人被称为土地所有者。"
"They owned the land almost as a man now owns his hat; they bought it and sold it, and cut it up like cheese or ham; they were free to ruin it, or leave it waste, or erect upon it horrible and devastating eyesores.","他们拥有着土地，就像现在的人拥有一顶帽子一般，他们买卖土地，将其像奶酪和火腿般切割，他们可以任意毁坏、废弃或在上面建造可怕丑陋的建筑。"
"If the community needed a road or a tramway, if it wanted a town or a village in any position, nay, even if it wanted to go to and fro, it had to do so by exorbitant treaties with each of the monarchs whose territory was involved.","如果社区需要一条路和轨道，需要在某个位置建一座镇或村庄，甚至只是想借道来往，都必须与相应土地的领主签订代价高昂的协议。"
"No man could find foothold on the face of the earth until he had paid toll and homage to one of them.","没人能在地球上找到立足之地，除非他像某个土地所有者付税并对其效忠。"
"They had practically no relations and no duties to the nominal, municipal, or national Government amidst whose larger areas their own dominions lay....","这些土地所有者对名义上的地方或国家政府并不联系也无义务，尽管他们的领地在国家更为广大的区域内……"
"This sounds, I know, like a lunatic’s dream, but mankind was that lunatic; and not only in the old countries of Europe and Asia, where this system had arisen out of the rational delegation of local control to territorial magnates, who had in the universal baseness of those times at last altogether evaded and escaped their duties, did it obtain, but the “new countries,” as we called them then—the United States of America, the Cape Colony, Australia, and New Zealand—spent much of the nineteenth century in the frantic giving away of land for ever to any casual person who would take it.","我知道这听起来像痴人说梦，而人类就是这痴人。在欧洲和亚洲的古老国家，这种体制产生于对土地地主进行本土控制权的合理分配，而这些人最后全都卑鄙地逃避了自己的责任和义务；在我们所称为“新兴国家”的美国、好望角殖民地、澳大利亚和新西兰也是一样，他们将十九世纪大部分的时间都用来疯狂地分派土地给任何想要的人。"
"Was there coal, was there petroleum or gold, was there rich soil or harborage, or the site for a fine city, these obsessed and witless Governments cried out for scramblers, and a stream of shabby, tricky, and violent adventurers set out to found a new section of the landed aristocracy of the world.","如果哪里有煤炭、石油或者黄金，哪里土地肥沃或者是个天然港湾，哪里适合建造城市，这些鬼迷心窍、才疏学浅的政府人员便会召人开垦，于是邋遢、刁钻、野蛮的探险家们便会如潮水般涌去，成为这个世界上拥有土地的阶层的一个新部分。"
"After a brief century of hope and pride, the great republic of the United States of America, the hope as it was deemed of mankind, became for the most part a drifting crowd of landless men; landlords and railway lords, food lords (for the land is food) and mineral lords ruled its life, gave it Universities as one gave coins to a mendicant, and spent its resources upon such vain, tawdry, and foolish luxuries as the world had never seen before.","经过了短暂的充满希望和骄傲的一个世纪，伟大的美利坚合众国，被视为人类的希望，很大程度上成就了一群群没有土地的流浪者，土地大王、铁路大王、粮食大王（土地便是粮食）和矿产大王统治了整个国家的生计，他们兴办大学不过像施舍给乞丐铜板一样。他们还将国家资源大肆挥霍在世界上前所未有的毫无用处、花哨庸俗、愚蠢至极的奢侈品上。"
"Here was a thing none of these statesmen before the Change would have regarded as anything but the natural order of the world, which not one of them now regarded as anything but the mad and vanished illusion of a period of dementia.","巨变前，政治家们视此为世界最自然不过的秩序，而现在他们所有人都认为这是一段痴迷时期疯狂的但也已消逝的幻影。"
"And as it was with the question of the land, so was it also with a hundred other systems and institutions and complicated and disingenuous factors in the life of man.","土地所有者存在着上述的种种问题，许许多多其他的体制和机构以及人们生活中复杂虚伪的方方面面也都一样。"
"They spoke of trade, and I realized for the first time there could be buying and selling that was no loss to any man; they spoke of industrial organization, and one saw it under captains who sought no base advantages.","他们谈到交易，我第一次认识到买卖可以不给任何一方造成损失，他们谈到工业组织，人们可以从不追求不义之利的巨头们那里了解一切。"
"The haze of old associations, of personal entanglements and habitual recognitions had been dispelled from every stage and process of the social training of men.","陈旧关系、个人纠葛和习惯性认知的迷雾都从人们的社交培训的各阶段和过程中排除掉了。"
"Things long hidden appeared discovered with an amazing clearness and nakedness.","长久以来隐藏的事物重见天日，清晰赤裸得令人惊异。"
"These men who had awakened, laughed dissolvent laughs, and the old muddle of schools and colleges, books and traditions, the old fumbling, half-figurative, half-formal teaching of the Churches, the complex of weakening and confusing suggestions and hints, amidst which the pride and honor of adolescence doubted and stumbled and fell, became nothing but a curious and pleasantly faded memory.","这些人清醒过来，释然地笑了起来。过去混乱的院校、书本和传统，过去教会笨拙的半修辞半正经的教学，无力又使人困惑的建议与提示，年轻人的骄傲和荣誉曾在质疑、受挫中继而败落，现在，所有这些地方都已成了令人好奇的、愉快地淡忘了的记忆了。"
"“There must be a common training of the young,” said Richover; “a frank initiation.","“年轻人一定得普遍接受培训，”里乔维尔说，“一个坦率的开始。"
"We have not so much educated them as hidden things from them, and set traps.","对他们，我们向来都是隐瞒事情、设置陷阱，却没有好好教育他们。"
"And it might have been so easy—it can all be done so easily.”","这本来是很容易就办得到的事情——很容易就能办得到。”"
"That hangs in my memory as the refrain of that council, “It can all be done so easily,” but when they said it then, it came to my ears with a quality of enormous refreshment and power.","“很容易就能办得到”这句话在会议中被反复提到，以至于一直萦绕在我记忆里。但当时他们说的时候，我听起来还是觉得十分新鲜有力。"
"It can all be done so easily, given frankness, given courage.","很容易就能办得到，只要给予坦诚，只要给予勇气。"
"Time was when these platitudes had the freshness and wonder of a gospel.","当这些陈腔滥调有了一个信条的生气和魔力时，万事都不难办到了。"
"In this enlarged outlook the war with the Germans—that mythical, heroic, armed female, Germany, had vanished from men’s imaginations—was a mere exhausted episode.","从拓宽了的视域中来看，与德国人的战争只是一场已经结束的插曲——那个神话般的、英雄式的、武装起来的女性，德国，已经从人们的想象中消失了。"
"A truce had already been arranged by Melmount, and these ministers, after some marveling reminiscences, set aside the matter of peace as a mere question of particular arrangements....","梅尔蒙特已经安排好了停战，而这些大臣们在一番精彩的缅怀后，将和平之事视作只需特殊安排的问题搁置一旁……"
"The whole scheme of the world’s government had become fluid and provisional in their minds, in small details as in great, the unanalyzable tangle of wards and vestries, districts and municipalities, counties, states, boards, and nations, the interlacing, overlapping, and conflicting authorities, the felt of little interests and claims, in which an innumerable and insatiable multitude of lawyers, agents, managers, bosses, organizers lived like fleas in a dirty old coat, the web of the conflicts, jealousies, heated patchings up and jobbings apart, of the old order—they flung it all on one side.","世界政府的整套计划在他们看来都是不确定的和暂时的。事无巨细，病房与教区会、中央直辖区与自治区、镇、州、疆域与民族间的分析不了的纠葛，各权威间的联系、重叠与冲突，无数贪得无厌的律师、代理商、经理、老板和组织者们粘在蝇头小利的毛毡上如同一件又脏又旧的大衣上的跳蚤，旧秩序下的冲突、嫉妒和分分合合的林林总总——他们将旧世界全部扔到了一边。"
"“What are the new needs?”","“新的需求是什么呢？”"
"said Melmount.","梅尔蒙特说，"
"“This muddle is too rotten to handle.","“这个摊子太烂了，很难处理。"
"We’re beginning again.","我们要重新开始。"
"Well, let us begin afresh.”","好吧，让我们重头来过吧。”"
"Section 3","第三节"
"“Let us begin afresh!”","“让我们从头来过！”"
"This piece of obvious common sense seemed then to me instinct with courage, the noblest of words.","那时这一显而易见的常识对我来说多么需要勇气，这是多么伟大的话语！"
"My heart went out to him as he spoke.","当他说这番话的时候，我对他充满敬佩。"
"It was, indeed, that day as vague as it was valiant; we did not at all see the forms of what we were thus beginning.","事实上那天既模糊又伟大，我们完全不知道我们要开始的事情的形式。"
"All that we saw was the clear inevitableness that the old order should end....","我们看到的只有旧秩序是要不可避免地终结了。"
"And then in a little space of time mankind in halting but effectual brotherhood was moving out to make its world anew.","随后的一段时间里，人们在蹒跚但有力的兄弟情义中开始为创造新世界而行动起来。"
"Those early years, those first and second decades of the new epoch, were in their daily detail a time of rejoicing toil; one saw chiefly one’s own share in that, and little of the whole.","早些年，也就是新纪元的前一二十年，人们每天都快乐地劳作，每个人看到更多的是自己能做的贡献，很少关心全局。"
"It is only now that I look back at it all from these ripe years, from this high tower, that I see the dramatic sequence of its changes, see the cruel old confusions of the ancient time become clarified, simplified, and dissolve and vanish away.","只是如今身在收获的时代，站在这高塔上再回首时，我才看到那些变化带来的戏剧化结果，看到旧时代残忍陈旧的困惑变得清晰、简单，最后融化消失。"
"Where is that old world now?","如今，那个旧世界在那儿呢？"
"Where is London, that somber city of smoke and drifting darkness, full of the deep roar and haunting music of disorder, with its oily, shining, mud-rimmed, barge-crowded river, its black pinnacles and blackened dome, its sad wildernesses of smut-grayed houses, its myriads of draggled prostitutes, its millions of hurrying clerks?","伦敦在哪儿？那个昏暗的城市曾经满是烟雾和游动的黑暗，到处是低沉的吼叫和混乱轰响的音乐。那条浮着油污闪闪发亮、周围挤满淤泥、充塞着船只的河呢？城里黑色的小尖塔和变黑了的圆形屋顶呢？那些衰败荒芜的黑灰色房子呢？那些数不清的浑身湿漉漉妓女们呢？那些好几百万为生活忙碌的职员呢？"
"The very leaves upon its trees were foul with greasy black defilements.","树叶沾着油腻的黑色污秽而显得肮脏不堪。"
"Where is lime-white Paris, with its green and disciplined foliage, its hard unflinching tastefulness, its smartly organized viciousness, and the myriads of workers, noisily shod, streaming over the bridges in the gray cold light of dawn.","石灰白的巴黎在哪里？那绿意盎然的整齐的树叶，那一贯严苛的雅致，那巧妙规划好的邪恶，还有无数步履嘈杂、在灰暗冷清的曙光中涌过大桥的工人，这些都去哪儿了？"
"Where is New York, the high city of clangor and infuriated energy, wind swept and competition swept, its huge buildings jostling one another and straining ever upward for a place in the sky, the fallen pitilessly overshadowed.","纽约在哪里？这座喧嚣热闹、精力旺盛的高城；飓风袭来，竞争袭来，巨型建筑拔地而起，你推我攘地往上争夺天空的一席之地，落后的大楼只能无人怜悯地暗自神伤。"
"Where are its lurking corners of heavy and costly luxury, the shameful bludgeoning bribing vice of its ill ruled underways, and all the gaunt extravagant ugliness of its strenuous life?","城市里暗藏贵重奢侈品的角落、暗地里无耻的令人震撼的贿赂恶行、还有纸醉金迷挥霍无度的丑恶都到哪里去了？"
"And where now is Philadelphia, with its innumerable small and isolated homes, and Chicago with its interminable blood-stained stockyards, its polyglot underworld of furious discontent.","此时有着无数偏僻的小房子的费城在哪里呢？有着冗长的血迹斑斑的牲畜围栏和语言混杂、充斥着愤怒和不满的地下世界的芝加哥呢？"
"All these vast cities have given way and gone, even as my native Potteries and the Black Country have gone, and the lives that were caught, crippled, starved, and maimed amidst their labyrinths, their forgotten and neglected maladjustments, and their vast, inhuman, ill-conceived industrial machinery have escaped—to life.","所有这些大型城市都消失了，甚至连我家乡的陶瓷厂和黑人村庄都没了踪影。那些曾经因为被俘、残疾、挨饿和深受重伤等而陷入绝境的人们，这些城市被人遗忘和忽视的失衡，还有其间巨大的、没有人性的、心怀鬼胎的工业机器都消失了。"
"Those cities of growth and accident are altogether gone, never a chimney smokes about our world to-day, and the sound of the weeping of children who toiled and hungered, the dull despair of overburdened women, the noise of brute quarrels in alleys, all shameful pleasures and all the ugly grossness of wealthy pride have gone with them, with the utter change in our lives.","那些膨胀的、事故频发的城市全都消失了。现今世界，烟囱不再冒烟，疲倦饥饿的孩子们号啕大哭的声音、不堪重负的妇女们麻木的绝望、胡同里粗鲁的争吵声、富人们可耻的趣味和丑恶的庸俗都随着我们生活翻天覆地的变化消失了。"
"As I look back into the past I see a vast exultant dust of house-breaking and removal rise up into the clear air that followed the hour of the green vapors, I live again the Year of Tents, the Year of Scaffolding, and like the triumph of a new theme in a piece of music—the great cities of our new days arise.","回首往昔，我看到一颗巨大欢快的尘埃冲破房屋，进随着绿色气体升向清澈的天空，我如同再次生活在坦兹时代和斯卡福丁时代，我们新时代的伟大城市如同一片乐章中新的主题的胜利一般崛起。"
"Come Caerlyon and Armedon, the twin cities of lower England, with the winding summer city of the Thames between, and I see the gaunt dirt of old Edinburgh die to rise again white and tall beneath the shadow of her ancient hill; and Dublin too, reshaped, returning enriched, fair, spacious, the city of rich laughter and warm hearts, gleaming gaily in a shaft of sunlight through the soft warm rain.","卡尔顿和亚美顿这两座位于英格兰南部的孪生城市，其间是泰晤士河边蜿蜒的夏日城市。我看到爱丁堡老城从荒凉的尘埃上重新崛起成一座古老山脉阴影笼罩下又白又高的新城，都柏林也修葺一新，富饶、美丽、宽广，整个城市充满欢笑和温情，经由柔和温暖的雨水冲刷后在缕缕阳光下欢乐地闪耀着。"
"I see the great cities America has planned and made; the Golden City, with ever-ripening fruit along its broad warm ways, and the bell-glad City of a Thousand Spires.","我看到了美国设计制造的大城市。大城市戈登宽阔温馨的道路两旁硕果累累，千塔市充满了欢乐的钟声。"
"I see again as I have seen, the city of theaters and meeting-places, the City of the Sunlight Bight, and the new city that is still called Utah; and dominated by its observatory dome and the plain and dignified lines of the university facade upon the cliff, Martenabar the great white winter city of the upland snows.","我再次看到了它们，一如我曾见到的一样。剧院和会场之城，阳光港湾之城，还有仍被称为“犹他”的新城；还有高地雪地里的白色冬城马特那巴，四处可见圆顶天文台和悬崖边大学的建筑正面朴实而高贵的线条。"
"And the lesser places, too, the townships, the quiet resting-places, villages half forest with a brawl of streams down their streets, villages laced with avenues of cedar, villages of garden, of roses and wonderful flowers and the perpetual humming of bees.","小一点儿的地方也一样。比如镇区，静谧的度假区，掩映在森林中有叮咚流水穿过街道的村庄，雪松掩道的村庄，满是花园、群花争艳、还有不尽的蜜蜂嗡嗡声的村庄。"
"And through all the world go our children, our sons the old world would have made into servile clerks and shopmen, plough drudges and servants; our daughters who were erst anaemic drudges, prostitutes, sluts, anxiety-racked mothers or sere, repining failures; they go about this world glad and brave, learning, living, doing, happy and rejoicing, brave and free.","我们的儿女们生活在世界各地。在旧时代，男孩儿可能成为奴颜婢膝的职员、店员庄稼汉或仆人，女孩儿可能成为贫血的农妇、妓女、荡妇、心力交瘁的母亲或满腹牢骚的失败者，现在他们欢快勇敢地学习、生活、工作，幸福、愉快、勇敢、自由。"
"I think of them wandering in the clear quiet of the ruins of Rome, among the tombs of Egypt or the temples of Athens, of their coming to Mainington and its strange happiness, to Orba and the wonder of its white and slender tower....","我想起他们徜徉在寂静干净的罗马废墟上，穿梭在埃及的古墓或雅典的神庙间，想起他们来到梅宁顿的惊喜欢乐，来到奥巴看到白色细塔的惊异……"
"But who can tell of the fullness and pleasure of life, who can number all our new cities in the world?—cities made by the loving hands of men for living men, cities men weep to enter, so fair they are, so gracious and so kind....","但谁说得清生活的充实和欢乐呢，谁数得清世界上所有的新城呢？人们用爱的双手为健在的人们建造的城市，人们哭泣着进入的城市，他们是多么地纯朴、高尚和善良呀……"
"Some vision surely of these things must have been vouchsafed me as I sat there behind Melmount’s couch, but now my knowledge of accomplished things has mingled with and effaced my expectations.","我坐在梅尔蒙特的睡椅后，想着这些美好的画面。但我对已成就的事物的认识和我的期望混杂在一起，并且将它抹去了。"
"Something indeed I must have foreseen—or else why was my heart so glad?","我一定是预见了什么事情——否则我为何如此高兴呢？"

"Book the Third ","第三卷"
"The New World","新世界"
"Chapter the First","第一章"
"Love After the Change","巨变后的爱情"
"Section 1","第一节"
"So far I have said nothing of Nettie.","关于妮蒂，到目前为止我还什么都没说。"
"I have departed widely from my individual story.","我的叙述已远远偏离了我的个人经历。"
"I have tried to give you the effect of the change in relation to the general framework of human life, its effect of swift, magnificent dawn, of an overpowering letting in and inundation of light, and the spirit of living.","我试着向你讲述与人类生活总体框架相关的变化所产生的影响，这短暂而壮观的黎明带来的影响，这磅礴壮阔席卷而来的光芒的影响，以及生命的灵魂。　"
"In my memory all my life before the Change has the quality of a dark passage, with the dimmest side gleams of beauty that come and go.","在我的记忆里，巨变前我的生活就如同一条幽暗的通道，旁边的光线蒙眬而美丽，不断闪现。"
"The rest is dull pain and darkness.","余下的就只是枯燥、平淡和黑暗。"
