"第一章 唯一的幸存者","CHAPTER I THERE IS NO ONE LEFT"
"说过之后没多久，他放下铲子站了起来。他沉默了一会儿，大家都看得出，他正构思讲座，和往常一样。当他放下铲子笔直地站起来时，玛丽和迪肯觉得他一定是突然生出了什么强烈的念头，所以才会那样做。他让身体伸展到了最大限度，欣喜地伸开双臂。他脸上光彩照人，那奇特的眼睛因为喜悦而睁大了。那一刻，他完完全全明白了什么。","It was not very long after he had said this that he laid down his trowel and stood up on his feet.He had been silent for several minutes and they had seen that he was thinking out lectures, as he often did.When he dropped his trowel and stood upright it seemed to Mary and Dickon as if a sudden strong thought had made him do it.He stretched himself out to his tallest height and he threw out his arms exultantly.Color glowed in his face and his strange eyes widened with joyfulness.All at once he had realized something to the full."
"“玛丽！迪肯！”他叫道，“看着我！”","“Mary! Dickon!” he cried. “Just look at me!”"
"他们停下了除草的活儿，向科林看去。","They stopped their weeding and looked at him."
"“你记得你第一次把我带到这里的那个早晨么？”他问。","“Do you remember that first morning you brought me in here?” he demanded."
"迪肯正非常认真地看着他。作为一名驯兽师，迪肯能比其他人看出更多的东西，其中有很多是他从不会提起。现在，他已经在这个男孩身上看出一些来了。“啊，我们记得。”他答道。","Dickon was looking at him very hard.Being an animal charmer he could see more things than most people could and many of them were things he never talked about.He saw some of them now in this boy.“Aye, that we do,” he answered."
"玛丽也认真地看着他，但她什么也没说。","Mary looked hard too, but she said nothing."
"“就在刚才，”科林说，“我也突然记起来了——我看着自己那双握着铲子挖土的手——我得站起来看看这是不是真的。果然是真的！我好了——我好了！”","“Just this minute,” said Colin, “all at once I remembered it myself—when I looked at my hand digging with the trowel—and I had to stand up on my feet to see if it was real.And it is real!I’m well—I’m well!”"
"“啊，是啊！”迪肯说。","“Aye, that th’ art!” said Dickon."
"“我好了！我好了！”科林又重复了一遍，他的脸变得通红。","“I’m well! I’m well!” said Colin again, and his face went quite red all over."
"在这之前，他就已经多多少少知道了一些，他期待过，感觉过，思考过，但就在刚才，有什么东西骤然涌遍全身——那是一种令人狂喜的信念和意识，那么强烈，他控制不住要呼喊出声。","He had known it before in a way, he had hoped it and felt it and thought about it, but just at that minute something had rushed all through him—a sort of rapturous belief and realization and it had been so strong that he could not help calling out."
"“我会活到永远永远永远！·”他郑重地叫道，“我会有千千万万个发现。我要了解人、动物还有一切可以生长的东西——像迪肯那样——我永远不会放弃魔法。我好了！我好了！我觉得——我觉得我好想大叫——叫出我的感激和快乐！”","“I shall live forever and ever and ever!” he cried grandly.“I shall find out thousands and thousands of things.I shall find out about people and creatures and everything that grows—like Dickon—and I shall never stop making Magic.I’m well!I’m well!I feel—I feel as if I want to shout out something—something thankful, joyful!”"
"本•韦瑟斯塔夫正在一丛玫瑰附近忙乎，他转过头来瞟着他。","Ben Weatherstaff, who had been working near a rose-bush, glanced round at him."
"“你可以唱赞美诗啊。”他干巴巴地嘟哝着建议道。他并不了解赞美诗，也不是因为有什么特别的崇敬之情才这样建议的。","“Tha’ might sing th’ Doxology,” he suggested in his dryest grunt.He had no opinion of the Doxology and he did not make the suggestion with any particular reverence."
"但是科林就爱问个究竟，他对赞美诗一无所知。","But Colin was of an exploring mind and he knew nothing about the Doxology."
"“那是什么？”他问道。","“What is that?” he inquired."
"“迪肯可以给你唱，我敢保证。”本•韦瑟斯塔夫答道。","“Dickon can sing it for thee, I’ll warrant,” replied Ben Weatherstaff."
"迪肯带着驯兽师的无所不知的微笑回了话。","Dickon answered with his all-perceiving animal charmer’s smile."
"“就是他们在教堂里唱的东西，”他说，“妈妈说，她觉得云雀早晨起来的时候唱的就是这个。”","“They sing it i’ church,” he said.“Mother says she believes th’ skylarks sings it when they gets up i’ th’ mornin’.”"
"“如果她那么说，那一定是好听的歌，”科林回答道，“我还从来没去过教堂呢。我总是病得太厉害。唱唱吧，迪肯。我想听听。”","“If she says that, it must be a nice song,” Colin answered.“I’ve never been in a church myself.I was always too ill.Sing it, Dickon.I want to hear it.”"
"迪肯唱赞美诗时纯朴而自然。他能比科林自己更好地理解他的感受。他靠一种直觉去理解，自然而然，连他自己都不知道，那就是理解。他摘下了帽子，微笑着环顾四周。","Dickon was quite simple and unaffected about it.He understood what Colin felt better than Colin did himself.He understood by a sort of instinct so natural that he did not know it was understanding.He pulled off his cap and looked round still smiling."
"“你得摘下帽子，”他对科林说，“你也是，本——而且必须起立，这你知道的。”","“Tha’ must take off tha’ cap,” he said to Colin, “an’ so mun tha’, Ben—an’ tha’ mun stand up, tha’ knows.”"
"科林取下了帽子，阳光照射，温暖着他浓密的头发，他则是专注地看着迪肯。本•韦瑟斯塔夫手忙脚乱地爬起来，取下帽子，脸上带着一种困惑的、半含不满的表情，好像他不知道为什么要做这么一件非比寻常的事。","Colin took off his cap and the sun shone on and warmed his thick hair as he watched Dickon intently.Ben Weatherstaff scrambled up from his knees and bared his head too with a sort of puzzled half-resentful look on his old face as if he didn’t know exactly why he was doing this remarkable thing."
"迪肯站在树林和玫瑰从中开始唱诗，他的方式纯朴而自然，他那男孩的嗓音好听而有力：","Dickon stood out among the trees and rose-bushes and began to sing in quite a simple matter-of-fact way and in a nice strong boy voice:"
"“赞美上帝，万福之源，万物在下，称颂上帝，称颂他啊，至高真神，赞美父子圣灵。阿门。”","“Praise God from whom all blessings flow,Praise Him all creatures here below,Praise Him above ye Heavenly Host,Praise Father, Son, and Holy Ghost.Amen.”"
"他唱完后，本•韦瑟斯塔夫一动不动地站着，下颌紧闭，眼睛却盯着科林，眼中带着困惑。科林脸上露出若有所思但赞赏的神情。","When he had finished, Ben Weatherstaff was standing quite still with his jaws set obstinately but with a disturbed look in his eyes fixed on Colin.Colin’s face was thoughtful and appreciative."
"“这首歌真好听，”他说，“我很喜欢。也许它道出了我想要呼出的心声，道出了我对魔法的感激。”他停了下来，困惑地思索着。　“也许它们两个是一回事。我们怎么能知道每样东西确切的名字？再唱一遍吧，迪肯。我们也试试，玛丽。我也想唱。这是我的歌。开头怎么唱的？‘赞美上帝，万福之源’？”","“It is a very nice song,” he said.“I like it.Perhaps it means just what I mean when I want to shout out that I am thankful to the Magic.”He stopped and thought in a puzzled way.“Perhaps they are both the same thing.How can we know the exact names of everything?Sing it again, Dickon.Let us try, Mary.I want to sing it, too.It’s my song.How does it begin?‘Praise God from whom all blessings flow’?”"
"他们又唱了一遍，玛丽和科林尽量用悦耳的声音唱着，迪肯唱得很响很好听——他们唱到第二行时，本•韦瑟斯塔夫钝闷地清了清嗓子，唱到第三行时，他也加入了，他的声音太有活力了，都显得有些粗犷了，唱完“阿门”的时候，玛丽发现本的状况就跟他得知科林不是瘸子时一样——他的下巴在抽搐，眼睛瞪着、眨着，粗糙的脸颊湿润了。","And they sang it again, and Mary and Colin lifted their voices as musically as they could and Dickon’s swelled quite loud and beautiful—and at the second line Ben Weatherstaff raspingly cleared his throat and at the third line he joined in with such vigor that it seemed almost savage and when the “Amen” came to an end Mary observed that the very same thing had happened to him which had happened when he found out that Colin was not a cripple—his chin was twitching and he was staring and winking and his leathery old cheeks were wet."
"“以前我从没看出赞美诗有啥意义，”他沙哑地说，“但这回我改变看法了。我应该说，这周你长了五磅，科林少爷——五磅！”","“I never seed no sense in th’ Doxology afore,” he said hoarsely, “but I may change my mind i’ time.I should say tha’d gone up five pound this week Mester Colin—five on ‘em!”"
"科林正望着花园那头，他的注意力被什么东西吸引过去了，他脸上露出惊奇的表情。","Colin was looking across the garden at something attracting his attention and his expression had become a startled one."
"“谁进来了？”他快速地说，“是谁？”","“Who is coming in here?” he said quickly. “Who is it?”"
"常春藤遮盖的墙上，门被轻轻推开，一个女人已进入了园内。她是在他们唱到最后一行的时候进来的，她静静地站着，倾听着，注视着。常春藤在她身后，阳光透过树木照过来，在她的蓝色大衣上投下斑斑点点，她的面孔好看而年轻，带着笑容，透过绿荫看去，她就像科林书里的一幅色彩柔和的插图。她的一双妙目饱含深情，似乎将一切都看在了眼里——一切，甚至包括本•韦瑟斯塔夫、“小家伙们”还有每一朵绽放的鲜花。她的出现出人意料，但没有谁把她认作是入侵者。迪肯的眼睛像灯一样亮起来。","The door in the ivied wall had been pushed gently open and a woman had entered.She had come in with the last line of their song and she had stood still listening and looking at them.With the ivy behind her, the sunlight drifting through the trees and dappling her long blue cloak, and her nice fresh face smiling across the greenery she was rather like a softly colored illustration in one of Colin’s books.She had wonderful affectionate eyes which seemed to take everything in—all of them, even Ben Weatherstaff and the “creatures” and every flower that was in bloom.Unexpectedly as she had appeared, not one of them felt that she was an intruder at all.Dickon’s eyes lighted like lamps."
"“是妈妈——就是妈妈！”他一边叫一边跑着穿过草地。　　科林也向她走去，玛丽也随他一起过去了。他们都觉得自己的脉搏跳动加快了。","“It’s mother—that’s who it is!” he cried and went across the grass at a run.Colin began to move toward her, too, and Mary went with him.They both felt their pulses beat faster."
"“是妈妈！”半路汇合时，迪肯又重复道，“我知道你想见她，我就告诉她门藏在哪里。”","“It’s mother!”Dickon said again when they met halfway.“I knowed tha’ wanted to see her an’ I told her where th’ door was hid.”"
"科林带着一种高贵的羞涩伸出手去，他脸红了，但是眼睛却盯着她的脸。　　“我生病的时候就很想见你了，”他说，“想见你和迪肯，还有秘密花园。在这之前，我从不想见任何人或任何东西。”","Colin held out his hand with a sort of flushed royal shyness but his eyes quite devoured her face.“Even when I was ill I wanted to see you,” he said, “you and Dickon and the secret garden.I’d never wanted to see any one or anything before.”"
"看到科林仰起的脸，她的脸也突然起了变化。她脸红了，嘴角颤动着，一层雾气蒙住了她的眼睛。","The sight of his uplifted face brought about a sudden change in her own.She flushed and the corners of her mouth shook and a mist seemed to sweep over her eyes."
"“啊！好孩子！”她突然叫道。“啊！好孩子！”好像她原本没打算这么说。她没说“科林少爷”，只是非常突然地叫他“好孩子”。要是迪肯脸上有什么东西触动了她，她也会对迪肯这么说。科林很喜欢这一点。","“Eh! dear lad!” she broke out tremulously.“Eh! dear lad!” as if she had not known she were going to say it.She did not say, “Mester Colin,” but just “dear lad” quite suddenly.She might have said it to Dickon in the same way if she had seen something in his face which touched her.Colin liked it."
"“我这么健康，你惊奇么？”科林问。她把手放到科林肩上，微笑着，眼中的雾气散去了。“是啊，我很惊奇！”她说，“但你和你妈妈太像了，这让我的心直跳。”","“Are you surprised because I am so well?” he asked.She put her hand on his shoulder and smiled the mist out of her eyes.“Aye, that I am!” she said; “but tha’rt so like thy mother tha’ made my heart jump.”"
"“你觉不觉得，”科林有些不自在地说，“这会让我爸爸喜欢我？”","“Do you think,” said Colin a little awkwardly, “that will make my father like me?”"
"“啊，那当然，好孩子，”她一边回答一边迅速在科林肩上轻轻一拍，“他一定要回家——他一定要回家。”","“Aye, for sure, dear lad,” she answered and she gave his shoulder a soft quick pat.“He mun come home—he mun come home.”"
"“苏珊•索尔比，”本•韦瑟斯塔夫走到她近旁说，“你看看这孩子的腿好么？两个月前它们还像是装在袜子里的一对鼓槌——我还听人说他又是罗圈腿又是八字脚。现在，瞧瞧啊！”","“Susan Sowerby,” said Ben Weatherstaff, getting close to her.“Look at th’ lad’s legs, wilt tha’?They was like drumsticks i’ stockin’ two month’ ago—an’ I heard folk tell as they was bandy an’ knock-kneed both at th’ same time.Look at ‘em now!”"
"苏珊•索尔比舒心地笑起来。","Susan Sowerby laughed a comfortable laugh."
"“过不了多久它们就会和其他年轻人一样有力了，”她说，“让他接着在花园里玩耍、干活，吃得丰盛些，多喝些上好的甜美的牛奶，他的腿就会长成全约克郡第一，感谢上帝。”","“They’re goin’ to be fine strong lad’s legs in a bit,” she said.“Let him go on playin’ an’ workin’ in the garden an’ eatin’ hearty an’ drinkin’ plenty o’ good sweet milk an’ there’ll not be a finer pair i’ Yorkshire, thank God for it.”"
"她把两只手放到玛丽小姐的肩上，像母亲看孩子那样看着她的小脸。","She put both hands on Mistress Mary’s shoulders and looked her little face over in a motherly fashion."
"“你也是！”她说，“你快要和我们家伊丽莎白•埃伦一样健康了。我保证你也会像你妈妈一样。我们家玛莎告诉我，梅德洛克太太听说她是个漂亮的女人。你长大了会像朵红玫瑰一样，我的姑娘，上帝保佑你。”","“An’ thee, too!” she said.“Tha’rt grown near as hearty as our ‘Lisabeth Ellen.I’ll warrant tha’rt like thy mother too.Our Martha told me as Mrs. Medlock heard she was a pretty woman.Tha’lt be like a blush rose when tha’ grows up, my little lass, bless thee.”"
"但她没有提起，玛莎“休息日”回到家，说玛丽长相平平，脸色灰黄，她说她不相信梅德洛克太太所听说的。“一个漂亮的女人怎么可能有这么个难看的女儿，没道理啊。”她曾坚决地补充。","She did not mention that when Martha came home on her “day out” and described the plain sallow child she had said that she had no confidence whatever in what Mrs. Medlock had heard.“It doesn’t stand to reason that a pretty woman could be th’ mother o’ such a fou’ little lass,” she had added obstinately."
"玛丽没功夫去注意自己的脸起了什么变化。她只知道她看上去“不一样”了，而且好像头发多了很多，长得很快。但是想起过去看到太太有多么快乐，她便很乐意听人说有一天自己会像她。","Mary had not had time to pay much attention to her changing face.She had only known that she looked “different” and seemed to have a great deal more hair and that it was growing very fast.But remembering her pleasure in looking at the Mem Sahib in the past she was glad to hear that she might some day look like her."
"苏珊•索尔比和他们一起绕着花园走了一圈，听了整个故事，也看到了重现生机的每一丛灌木，每一棵树。科林走在他一侧，玛丽在另一侧。每个人都不断仰起头看她那自然的玫瑰色脸庞，暗自对她带来的愉悦之感感到好奇——那是一种温暖的、被支持的感觉。她理解他们，就像迪肯理解他的“小家伙们”一样。她在花前俯下身，把花朵当作孩子谈论着。煤烟跟在她后面，朝她叫了一两声，又飞上了她的肩头，好像她是迪肯一样。他们还告诉了她知更鸟的事，还有小鸟第一次练飞，她发出了母亲般的醇和的笑声。","Susan Sowerby went round their garden with them and was told the whole story of it and shown every bush and tree which had come alive.Colin walked on one side of her and Mary on the other.Each of them kept looking up at her comfortable rosy face, secretly curious about the delightful feeling she gave them—a sort of warm, supported feeling.It seemed as if she understood them as Dickon understood his “creatures.”She stooped over the flowers and talked about them as if they were children.Soot followed her and once or twice cawed at her and flew upon her shoulder as if it were Dickon’s.When they told her about the robin and the first flight of the young ones she laughed a motherly little mellow laugh in her throat."
"“我猜想，教小鸟飞就像教小孩子走路一样，不过，要是我的孩子长的是翅膀而不是腿，我觉得我会担心的。”她说。","“I suppose learnin’ ‘em to fly is like learnin’ children to walk, but I’m feared I should be all in a worrit if mine had wings instead o’ legs,” she said."
"因为她是那样一个好心的女人，旷野农家的行事风格很得人心，所以，最后他们把魔法的事也告诉了她。","It was because she seemed such a wonderful woman in her nice moorland cottage way that at last she was told about the Magic."
"“你相信魔法吗？”解释完印度魔法师，科林说，“希望你相信。”","“Do you believe in Magic?” asked Colin after he had explained about Indian fakirs. “I do hope you do.”"
"“我相信，孩子，”她回答，“我从来不知道它的名字，但名字算什么呢？我保证，它在法国、德国的名字都不一样。但让种子成长，让阳光照耀，让你康复的东西是同一个，那是有益的东西。它和我们这些凡夫俗子不一样，不会觉得叫个名字有多大关系。那至善之物一直都在关心着我们，保佑着我们。它不停地创造出千千万万个世界——像我们这样的世界。你们要永远相信那个至善之物，要知道它已充满了整个世界——怎么称呼它随你的便。我进花园时，你们正对它唱歌呢。”","“That I do, lad,” she answered.“I never knowed it by that name but what does th’ name matter?I warrant they call it a different name i’ France an’ a different one i’ Germany.Th’ same thing as set th’ seeds swellin’ an’ th’ sun shinin’ made thee a well lad an’ it’s th’ Good Thing.It isn’t like us poor fools as think it matters if us is called out of our names.Th’ Big Good Thing doesn’t stop to worrit, bless thee.It goes on makin’ worlds by th’ million—worlds like us.Never thee stop believin’ in th’ Big Good Thing an’ knowin’ th’ world’s full of it—an’ call it what tha’ likes.Tha’ wert singin’ to it when I come into th’ garden.”"
"“我觉得好快乐，”科林对她睁开漂亮奇特的眼睛，　“突然之间，我感觉到自己和从前多么不同——我的手臂和腿都那样有力，你知道——我可以挖土，可以站起来——我还可以蹦跳，我想大声叫出来，谁乐意听我就叫给谁听。”","“I felt so joyful,” said Colin, opening his beautiful strange eyes at her.“Suddenly I felt how different I was—how strong my arms and legs were, you know—and how I could dig and stand—and I jumped up and wanted to shout out something to anything that would listen.”"
"“你们唱赞美诗的时候，魔法听着呢。不管你唱了什么，它都会听。关键是要快乐。啊！孩子，孩子——我们管那制造欢乐的叫什么呢，”她又轻快地拍了拍迪肯的肩膀。","“Th’ Magic listened when tha’ sung th’ Doxology.It would ha’ listened to anything tha’d sung.It was th’ joy that mattered.Eh! lad, lad—what’s names to th’ Joy Maker,” and she gave his shoulders a quick soft pat again."
"今天早晨，她按常规准备了一篮子的食物，孩子们感到饥饿的时候，迪肯就把吃的从它的藏身之处取出到大家狼吞虎咽地吃下食物，她笑起来，为他们的好胃口感到高兴。她是个有趣的人，会用各种趣怪的笑料逗得大家大笑不已。她用浓重的约克郡口音给他们讲故事，还教他们新的词汇。他们告诉她，科林要装成个烦躁不安的病人越来越困难了，她便大笑起来，好像忍都忍不住。","She had packed a basket which held a regular feast this morning, and when the hungry hour came and Dickon brought it out from its hiding place, she sat down with them under their tree and watched them devour their food, laughing and quite gloating over their appetites.She was full of fun and made them laugh at all sorts of odd things.She told them stories in broad Yorkshire and taught them new words.She laughed as if she could not help it when they told her of the increasing difficulty there was in pretending that Colin was still a fretful invalid."
"“你瞧，我们在一起的时候经常忍不住哈哈大笑，”科林解释说，“这听上去一点都不像是生病的样子。我们试着把笑给憋回去，但还是会爆发出来，这就更糟了。”","“You see we can’t help laughing nearly all the time when we are together,” explained Colin.“And it doesn’t sound ill at all.We try to choke it back but it will burst out and that sounds worse than ever.”"
"“我经常会想起一件事，”玛丽说，“每次突然想起它，我就忍不住要笑。我一直在想象着科林的脸长成个圆圆的月亮。现在还不像，但他每天都长胖一点——所以哪天早晨，就真的像月亮了——那时我们该怎么办啊！”","“There’s one thing that comes into my mind so often,” said Mary, “and I can scarcely ever hold in when I think of it suddenly.I keep thinking suppose Colin’s face should get to look like a full moon.It isn’t like one yet but he gets a tiny bit fatter every day—and suppose some morning it should look like one—what should we do!”"
"“保佑所有人，我知道你们还有好多戏要演，”苏珊•索尔比说，“但你们不用演多久了。克雷文老爷快要回家了。”","“Bless us all, I can see tha’ has a good bit o’ play actin’ to do,” said Susan Sowerby.“But tha’ won’t have to keep it up much longer.Mester Craven’ll come home.”"
"“你觉得他会么？”科林文，“为什么呢？”","“Do you think he will?” asked Colin. “Why?”"
"苏珊•索尔比轻声笑起来。","Susan Sowerby chuckled softly."
"“我想，要是在你亲自告诉他之前他就知道了的话，你的心都要碎了。你好几个晚上都在筹划这事，都没睡着呢。”","“I suppose it ‘ud nigh break thy heart if he found out before tha’ told him in tha’ own way,” she said.“Tha’s laid awake nights plannin’ it.”"
"“我受不了由别人去告诉他，”科林说，“我每天都在想着不同的方式，现在，我想要跑着进他的房间。”“对他来说这是个好的开头，”苏珊•索尔比说，“我好想看看他的脸，孩子。我真的很想！他一定要回来——一定。”","“I couldn’t bear any one else to tell him,” said Colin.“I think about different ways every day, I think now I just want to run into his room.”“That’d be a fine start for him,” said Susan Sowerby.“I’d like to see his face, lad.I would that!He mun come back—that he mun.”"
"随后他们讨论的事情之一就是去拜访她的农舍。他们全都计划好了。他们要坐车穿过原野，在户外的石南丛里吃午餐。他们要见见那十二个孩子，还有迪肯的花园，不玩到累就不回来。","One of the things they talked of was the visit they were to make to her cottage.They planned it all.They were to drive over the moor and lunch out of doors among the heather.They would see all the twelve children and Dickon’s garden and would not come back until they were tired."
"最后，苏珊•索尔比站了起来，她要赶回房子里，赶回梅德洛克太太那儿。也到了把科林推回去的时候了。坐进轮椅之前，科林站得离苏珊很近，他双眼盯着她瞧，眼中带着一种说不清的崇拜，突然，他紧紧地抓住了她蓝色的大衣。","Susan Sowerby got up at last to return to the house and Mrs. Medlock.It was time for Colin to be wheeled back also.But before he got into his chair he stood quite close to Susan and fixed his eyes on her with a kind of bewildered adoration and he suddenly caught hold of the fold of her blue cloak and held it fast."
"“你就是——就是我想要的，”他说，“我真希望你是我妈妈——也是迪肯的！”","“You are just what I—what I wanted,” he said.“I wish you were my mother—as well as Dickon’s!”"
"苏珊•索尔比立刻弯下腰去，用温暖的臂膀把他搂到怀里，让他靠着蓝色大衣下的胸口——好像他是迪肯的兄弟。那层雾气很快地蒙上了她的眼睛。","All at once Susan Sowerby bent down and drew him with her warm arms close against the bosom under the blue cloak—as if he had been Dickon’s brother.The quick mist swept over her eyes."
"“啊！好孩子！”她说，“我相信你自己的妈妈就在这个花园里。她离不开这里。你的爸爸一定会回来找你的——他一定会的！”","“Eh! dear lad!” she said.“Thy own mother’s in this ‘ere very garden, I do believe.She couldna’ keep out of it.Thy father mun come back to thee—he mun!”"
"第二十七章 在花园里","CHAPTER XXVII IN THE GARDEN"
"自世界起始，每个世纪都有奇妙的发现。而上个世纪的奇妙发现则比过去的任何世纪都多。在这个世纪，无数更惊人的发现将会诞生。起初，人们不相信一件新奇的事情能够成功，随后，他们又希望可以成功，接着，他们见证了成功——最后，果然成功了，而整个世界便纳闷为什么一个世纪之前这件事情无法办到。上个世纪人们开始发现的事情之一，就是思想——仅仅是思想本身——和电池一样有力——像阳光一样有益于人，却也像毒药一样有害于人。让一个悲伤的或是不良的念头进入你心里，就像是让猩红热病菌进入你体内一样危险。如果它进来之后你就任它留下，那么你这辈子都无法恢复。","In each century since the beginning of the world wonderful things have been discovered.In the last century more amazing things were found out than in any century before.In this new century hundreds of things still more astounding will be brought to light.At first people refuse to believe that a strange new thing can be done, then they begin to hope it can be done, then they see it can be done—then it is done and all the world wonders why it was not done centuries ago.One of the new things people began to find out in the last century was that thoughts—just mere thoughts—are as powerful as electric batteries—as good for one as sunlight is, or as bad for one as poison.To let a sad thought or a bad one get into your mind is as dangerous as letting a scarlet fever germ get into your body.If you let it stay there after it has got in you may never get over it as long as you live."
"玛丽小姐曾经满脑子都是不愉快的念头，包括她不喜欢的人、她对别人的刻薄的看法还有不被任何东西所取悦、所吸引的决心，所以那时她是个脸色发黄，病病歪歪，无聊可怜的孩子。但是，老天待她不薄，尽管她自己还全然不知。她开始受到推动，这对她有好处。渐渐地，她的脑子里出现了知更鸟、旷野上挤满了孩子的农舍、古怪暴躁的老花匠、约克郡的普通小女仆、春日时光、一天天复苏的秘密花园还有旷野上的男孩以及他的“小家伙们”，她脑子里已经装不下那些曾经让她伤肝、消化不良、脸色发黄且倦怠的坏念头了。","So long as Mistress Mary’s mind was full of disagreeable thoughts about her dislikes and sour opinions of people and her determination not to be pleased by or interested in anything, she was a yellow-faced, sickly, bored and wretched child.Circumstances, however, were very kind to her, though she was not at all aware of it.They began to push her about for her own good.When her mind gradually filled itself with robins, and moorland cottages crowded with children, with queer crabbed old gardeners and common little Yorkshire housemaids, with springtime and with secret gardens coming alive day by day, and also with a moor boy and his “creatures,” there was no room left for the disagreeable thoughts which affected her liver and her digestion and made her yellow and tired."
"科林曾经把自己关在房里，一心只想着自己的恐惧、虚弱和对看他的人的厌恶，每隔一段时间就想起驼背和早夭，那时，他就是个歇斯底里、疯疯癫癫的小疑心病患者，对阳光和春天一无所知，也不知道如果自己愿意试试就可以康复，可以站起来。全新的美好的思绪开始将丑陋的就念头推开时，科林又有了生气，血液在他的血管里健康地流淌，力量就像食物一样注入他的体内。他的科学实验很实用，也很简单，根本没什么好奇怪的。如果谁能在不愉快的或者让人扫兴的念头出现时，依靠理智，借助愉快积极的思绪将它拒之门外，那么，这个人身上会有更加惊人的事情发生。这两中念头不能共处一室。　　“孩子，你在哪里种下玫瑰，哪里就长不出蓟草。”","So long as Colin shut himself up in his room and thought only of his fears and weakness and his detestation of people who looked at him and reflected hourly on humps and early death, he was a hysterical half-crazy little hypochondriac who knew nothing of the sunshine and the spring and also did not know that he could get well and could stand upon his feet if he tried to do it.When new beautiful thoughts began to push out the old hideous ones, life began to come back to him, his blood ran healthily through his veins and strength poured into him like a flood.His scientific experiment was quite practical and simple and there was nothing weird about it at all.Much more surprising things can happen to any one who, when a disagreeable or discouraged thought comes into his mind, just has the sense to remember in time and push it out by putting in an agreeable determinedly courageous one.Two things cannot be in one place.“Where, you tend a rose, my lad,A thistle cannot grow.”"
"秘密花园复苏，那两个孩子也跟着复苏之时，有一个人却徜徉在遥远而美丽的地方，在挪威的峡湾，在瑞士的山谷和山间，十年间，黑暗的、让人心碎的想法充斥着他的脑海。他不曾勇敢过；他从没试过要让别的想法取代那些黑暗的念头。在蓝盈盈的湖边散步时，他想着那些念头；躺在山上，深蓝色的龙胆花在他四周绽放，铺成一条地毯，空气里满溢鲜花的芳香时，他还在想那些念头。快乐的时候，一种可怕的悲伤情绪会突然降临，于是他便会让黑暗占据自己的灵魂，且固执地拒绝阳光透入，哪怕只是一丝一缕。他忘记了、抛弃了自己的家和自己的责任。他四处旅行时，黑暗也笼罩着他，别人都不想看到他，好像他的阴郁会让周围的空气都带上毒。大多数陌生人觉得，他要不就是半疯，要不灵魂中隐藏着什么罪行。 他是个高个子的男人，满脸憔悴，肩膀扭曲，他在旅馆登记时所用的名字一直是“阿奇博尔德•克雷文，米瑟斯韦特庄园，约克郡，英格兰。”","While the secret garden was coming alive and two children were coming alive with it, there was a man wandering about certain far-away beautiful places in the Norwegian fiords and the valleys and mountains of Switzerland and he was a man who for ten years had kept his mind filled with dark and heart-broken thinking.He had not been courageous; he had never tried to put any other thoughts in the place of the dark ones.He had wandered by blue lakes and thought them; he had lain on mountain-sides with sheets of deep blue gentians blooming all about him and flower breaths filling all the air and he had thought them.A terrible sorrow had fallen upon him when he had been happy and he had let his soul fill itself with blackness and had refused obstinately to allow any rift of light to pierce through.He had forgotten and deserted his home and his duties.When he traveled about, darkness so brooded over him that the sight of him was a wrong done to other people because it was as if he poisoned the air about him with gloom.Most strangers thought he must be either half mad or a man with some hidden crime on his soul.He, was a tall man with a drawn face and crooked shoulders and the name he always entered on hotel registers was, “Archibald Craven, Misselthwaite Manor, Yorkshire, England.”"
"自从在书房里见到玛丽小姐，并告诉她她可以“要一点泥土”之后，他又到过了很多很遥远的地方。他曾去过欧洲最美的地方，但他在每个地方都呆不了几天。他去过最宁静最偏远的地方。他还登上过高耸入云的峰顶，俯瞰群山，太阳升起，光辉洒下时，整个世界好像刚刚诞生。","He had traveled far and wide since the day he saw Mistress Mary in his study and told her she might have her “bit of earth.”He had been in the most beautiful places in Europe, though he had remained nowhere more than a few days.He had chosen the quietest and remotest spots.He had been on the tops of mountains whose heads were in the clouds and had looked down on other mountains when the sun rose and touched them with such light as made it seem as if the world were just being born."
"但是，阳光好像从没有洒落到他的身上，直到有一天，他十年来第一次意识到这一点时，一件奇怪的事情发生了。那时他正独自漫步在奥地利蒂罗尔州一个美丽的山谷里，这样的美景可以让任何人的灵魂脱离阴影。他已经走了很远，但还是没从阴影中摆脱。最后他累了，便坐在溪流边上如茵的苔藓上休息。那条小溪很清澈，它快乐地流淌在狭窄的河道里，所经之处是一片芳香湿润的绿色。有时，它冒着泡经过石头，就会发出一种声音，很像是轻笑。他看见鸟儿们飞来，将头浸入小溪中喝水，然后又拍打着翅膀飞走了。那条小溪就像是有生命的东西，但是它那微弱的声音让周围越发沉静。山谷非常非常安宁。","But the light had never seemed to touch himself until one day when he realized that for the first time in ten years a strange thing had happened.He was in a wonderful valley in the Austrian Tyrol and he had been walking alone through such beauty as might have lifted, any man’s soul out of shadow.He had walked a long way and it had not lifted his.But at last he had felt tired and had thrown himself down to rest on a carpet of moss by a stream.It was a clear little stream which ran quite merrily along on its narrow way through the luscious damp greenness.Sometimes it made a sound rather like very low laughter as it bubbled over and round stones.He saw birds come and dip their heads to drink in it and then flick their wings and fly away.It seemed like a thing alive and yet its tiny voice made the stillness seem deeper.The valley was very, very still."
