"第一章 两位风情女子的定论","CHAPTER I THE LAST WORD OF TWO GREAT COQUETTES"
"“是德埃斯帕夫人！”达尼埃尔大声嚷道，同时做了一个惊恐的姿势。","“Madame d’Espard!” cried Daniel, with a gesture of horror."
"“噢！我已经原谅她了。并且，我觉得那些话非常俏皮，如果换作我的话，也许也会对那些像我一样单纯可怜的女人说出一些残忍的、带刺的警句来。”","“Oh! I have forgiven her.Besides, it was very witty; and I have myself made just as cruel epigrams on other poor women as innocent as myself.”"
"德阿泰兹再次吻了一下这位圣女的手，她刚刚把自己的母亲剁成碎片，接着又把德卡迪央亲王变成了奥赛罗，现在继续控诉自己的过错，这一切无非是让自己在这个天真伟大的人眼里显得圣洁点，因为不管是最愚蠢的女人还是最精明的女人都会不惜一切代价向情人证明自己的纯洁。","D’Arthez again kissed the hand of that saintly woman who, having hacked her mother in pieces, and turned the Prince de Cadignan into an Othello, now proceeded to accuse herself in order to appear in the eyes of that innocent great man as immaculate as the silliest or the wisest of women desire to seem at all costs to their lovers."
"“我的朋友，你肯定会理解，我重返社交界是为了找回激情，也可以这么说，是为了‘臭名昭著’。我觉得首先我必须独立。于是，我过起了奢侈浪费的生活。为了转移我的视线、为了忘记现实的生活，我纵情于虚假的享乐，我变得放荡，大肆炫耀，举行各种舞会，摆出王妃的架子，结果背了一身债。在家里，我经常在疲劳的酣睡中忘记了自己，第二天醒来仍然在俗世中纵情欢乐；然而，这场为逃避现实生活的闹剧却让我花光了所有的财产。一八三零年革命爆发，正是那个时候，我结束了自己天方夜谭式的生活，遇到了我所梦想经历的最纯洁最神圣的爱情（我说的都是真心话）。当一个女人的心灵经历了各种各样的磨难和事故，到了突然知道自己曾经受骗的年龄段时，当她见到别的女人拥有幸福的爱情时，自身渴望这样的爱情难道不是很自然的事吗？啊！米歇尔·克里斯蒂安为什么会这么毕恭毕敬呢？他为什么不试着来找我呢？这对我来说又是一种嘲弄！但又有什么办法呢？随着自己的堕落，我失去了所有的东西，甚至连幻想都没有了；各种各样的事情我都尝试过，唯独那个果实，但现在我也没有啃它的劲头了。是的，就是在我必须要离开这个社会的那一刻，我发现自己已经对它毫无留恋。这似乎是神的旨意，难道不是吗？就像在我们临死之前那种麻木的状态。”（她做了个虔诚的姿势。）“一切的一切都好像为我安排好了。”她继续说道，“而王朝的覆灭以及它的废墟正好可以用来帮助我埋葬自己。不过我的儿子给了我很多安慰。所有的失意情绪都被母爱所取代了。世人对于我的隐退感到非常惊讶，但对我而言，隐退却给我带来了平静的生活。啊！你要知道，站在你面前的这个可怜的人在这个小地方是多么幸福啊。我把一切都奉献给我的儿子，我忘记了过去那些欢乐，而且我也必须忘记。是的，希望消逝了。今天对于所有的一切我都感到恐惧，想到我曾遇到过的欺骗和苦难，我连最真诚的感情，最纯洁、最名副其实的爱情也会拒绝，也就不足为怪了。所有的一切都很可怕，难道不是吗？然而，我所告诉你的正是许多女人都经历过的。”","“You will readily understand, my friend, that I returned to society for the purpose of excitement and I may say of notoriety.I felt that I must conquer my independence.I led a life of dissipation.To divert my mind, to forget my real life in fictitious enjoyments I was gay, I shone, I gave fetes, I played the princess, and I ran in debt.At home I could forget myself in the sleep of weariness, able to rise the next day gay, and frivolous for the world; but in that sad struggle to escape my real life I wasted my fortune.The revolution of 1830 came; it came at the very moment when I had met, at the end of that Arabian Nights’ life, a pure and sacred love which (I desire to be honest) I had longed to know.Was it not natural in a woman whose heart, repressed by many causes and accidents, was awakening at an age when a woman feels herself cheated if she has never known, like the women she sees about her, a happy love?Ah! why was Michel Chrestien so respectful?Why did he not seek to meet me?There again was another mockery!But what of that?in falling, I have lost everything; I have no illusions left; I had tasted of all things except the one fruit for which I have no longer teeth.Yes, I found myself disenchanted with the world at the very moment when I was forced to leave it.Providential, was it not?like all those strange insensibilities which prepare us for death” (she made a gesture full of pious unction).“All things served me then,” she continued; “the disasters of the monarchy and its ruin helped me to bury myself.My son consoles me for much.Maternal love takes the place of all frustrated feelings.The world is surprised at my retirement, but to me it has brought peace.Ah! if you knew how happy the poor creature before you is in this little place.In sacrificing all to my son I forget to think of joys of which I am and ever must be ignorant.Yes, hope has flown, I now fear everything; no doubt I should repulse the truest sentiment, the purest and most veritable love, in memory of the deceptions and the miseries of my life.It is all horrible, is it not?and yet, what I have told you is the history of many women.”"
"最后几句话是用一种轻松愉快的口吻说的，这样就又唤回了这个女人本来的风姿。德阿泰兹目瞪口呆。在他眼中，与这些上流社会上的男男女女相比，那些因杀人、因严重的盗窃、因对票据作弊而被送进监狱的罪犯可以算是圣人了。这首在谎言武库中铸造的、在巴黎的斯提克斯河中深深浸淫过的恶毒的哀歌，奔腾着流进了他的耳朵里，那种真实的音调是无法模拟的。这位严肃的作家对这位可敬的女人默默地注视了几分钟：她倚靠在沙发上，两手从扶手上自然下垂，像是两滴从美丽的玫瑰花瓣上滴落的露珠。说出自己心中的秘密之后，她显得如此疲惫，好像在她叙述自己经历时又重新感受了一次曾经的痛苦生活——总之，她现在是一位忧郁的天使。　","The last few words were said in a tone of easy pleasantry which recalled the presence of the woman of the world.D’Arthez was dumbfounded.In his eyes convicts sent to the galleys for murder, or aggravated robbery, or for putting a wrong name to checks, were saints compared to the men and women of society.This atrocious elegy, forged in the arsenal of lies, and steeped in the waters of the Parisian Styx, had been poured into his ears with the inimitable accent of truth.The grave author contemplated for a moment that adorable woman lying back in her easy-chair, her two hands pendant from its arms like dewdrops from a rose-leaf, overcome by her own revelation, living over again the sorrows of her life as she told them—in short an angel of melancholy."
"“你来评判吧。”她哭喊着，突然跃起，举起一只手，眼睛里闪着光，是所谓的二十年的贞洁在闪耀，“你来评判一下像米歇尔这种人的爱会给我留下什么样的印象啊。然而，也许是命运的捉弄——或者是上帝的安排吗？——他死了，为了救一个人而死，你猜是为了救谁？是德卡迪央先生。现在你还会好奇我为什么陷入沉思吗？”","“And judge,” she cried, suddenly lifting herself with a spring and raising her hand, while lightning flashed from eyes where twenty chaste years shone—“judge of the impression the love of a man like Michel must have made upon me.But by some irony of fate—or was it the hand of God?—well, he died; died in saving the life of, whom do you suppose?of Monsieur de Cadignan.Are you now surprised to find me thoughtful?”"
"这是最后的一击。可怜的德阿泰兹再也撑不住了。他跪了下来，把头埋在迪亚娜的手中，眼泪缓缓地流了下来，就像天使洒下的泪水——如果天使也会哭泣的话。由于达尼埃尔那种屈膝的姿势，德卡迪央王妃可以毫无顾忌地让嘴角挂上一丝狡猾的胜利微笑，就像是猴子耍了个鬼把戏之后的微笑——如果猴子也会笑的话。","This was the last drop; poor d’Arthez could bear no more.He fell upon his knees, and laid his head on Diane’s hand, weeping soft tears such as the angels shed,—if angels weep.As Daniel was in that bent posture, Madame de Cadignan could safely let a malicious smile of triumph flicker on her lips, a smile such as the monkeys wear after playing a sly trick—if monkeys smile."
"“哈！我终于俘获他了。”她想道。的确，她把他牢牢地抓住了。","“Ah! I have him,” thought she; and, indeed, she had him fast."
"“可是，你是——”他抬起那英俊的头，用充满爱意的眼神看着她说道。","“But you are—” he said, raising his fine head and looking at her with eyes of love."
"“是圣女，也是殉道士。”她微笑着回答，笑这句老话有点庸俗。然而，她那饱含痛苦和快乐的微笑却赋予了它一个新鲜的意义。“如果你看见我在笑，”她继续说道，“那是因为我正在想着那位世人自认为很了解的王妃，那位德摩弗里纽斯公爵夫人。人们把德马尔赛、那位臭名昭著的政治扒手德特拉伊、那个小傻瓜德埃斯格里尼、拉斯蒂涅、吕邦泼雷都说成是她的情人，还有大使们、部长们、俄国将军们，天知道还有谁啊！整个欧洲吧！他们对那本我命人制作的画册说长道短，认定凡是爱慕我的人都是我的朋友。啊！太可怕了！我想知道为什么我要让一个个的男人都拜倒在我的脚下！我应该蔑视他们，这才是我的信仰！","“Virgin and martyr,” she replied, smiling at the commonness of that hackneyed expression, but giving it a freshness of meaning by her smile, so full of painful gayety.“If I laugh,” she continued, “it is that I am thinking of that princess whom the world thinks it knows, that Duchesse de Maufrigneuse to whom it gives as lovers de Marsay, that infamous de Trailles (a political cutthroat), and that little fool of a d’Esgrignon, and Rastignac, Rubempre, ambassadors, ministers, Russian generals, heaven knows who! all Europe!They have gossiped about that album which I ordered made, believing that those who admired me were my friends.Ah! it is frightful!I wonder that I allow a man at my feet!Despise them all, THAT should be my religion.”"
"她站起来，走到窗户边，步态是如此优雅大方。","She rose and went to the window with a gait and bearing magnificent in motifs."
"德阿泰兹仍然坐在他刚才坐的矮靠椅上，不敢跟随王妃。但是他看着她，听到了她擤鼻子的声音。哪有王妃擤鼻子的啊？不过迪亚娜会用尽一切办法来显示她的多愁善感。德阿泰兹相信他的天使哭了，于是快速地跑到她身边，搂住她的腰，把她紧紧地贴在自己的心上。","D’Arthez remained on the low seat to which he had returned not daring to follow the princess; but he looked at her; he heard her blowing her nose.Was there ever a princess who blew her nose?but Diane attempted the impossible to convey an idea of her sensibility.D’Arthez believed his angel was in tears; he rushed to her side, took her round the waist, and pressed her to his heart."
"“不，不，放开我！”她用微弱的声音喃喃地说道，“我的疑心太重了，对别人没什么好处。让我重新开始正常的生活，不是一个男人所能做到的。”","“No, no, leave me!” she murmured in a feeble voice.“I have too many doubts to be good for anything.To reconcile me with life is a task beyond the powers of any man.”"
"“迪亚娜！我将用我的爱来弥补你曾失去的全部生活。”","“Diane!I will love you for your whole lost life.”"
"“不，不要跟我这么说。”她说道，“此时此刻我在发抖，我很惭愧，好像我犯了最不可饶恕的罪似的。”","“No; don’t speak to me thus,” she answered.“At this moment I tremble, I am ashamed as though I had committed the greatest sins.”"
"此时的她像完全回到了小女孩时的天真无邪，然而又显示出一位王妃的威严、伟大和高贵的风度。很难描述出这些花招的效果，她的手段如此巧妙，以至于让像德阿泰兹这么纯洁、这么诚实的人都感觉那是世界上最纯粹的事实。这位伟大的作家此刻仍然一声不吭，心里充满了敬慕，被动地站在窗前，等待着王妃的一句话，而王妃却在等待着一个吻，可是对他来说，王妃实在是太神圣了啊。王妃感到身上有点冷，于是又回到她的沙发上，她的脚都冻僵了。","She was now entirely restored to the innocence of little girls, and yet her bearing was august, grand, noble as that of a queen.It is impossible to describe the effect of these manoeuvres, so clever that they acted like the purest truth on a soul as fresh and honest as that of d’Arthez.The great author remained dumb with admiration, passive beside her in the recess of that window awaiting a word, while the princess awaited a kiss; but she was far too sacred to him for that.Feeling cold, the princess returned to her easy-chair; her feet were frozen."
"“这还得需要很长的时间。”她看着达尼埃尔那高贵的额头和脑袋自言自语道。","“It will take a long time,” she said to herself, looking at Daniel’s noble brow and head."
"“这是一个女人吗？”这个对人类心灵具有深刻洞察力的专家心里想着，“我该怎么对待她呢？”","“Is this a woman?” thought that profound observer of human nature.“How ought I to treat her?”"
"他们就这样互相说着些蠢话一直说到清晨两点钟，不过，像王妃这样的天才女人懂得怎样使这些蠢话变得讨人喜欢。迪亚娜故意说自己太衰弱、太老、太过时了；而德阿泰兹就反驳她，说她的皮肤是最细嫩、摸起来最柔软、看起来最白皙、闻起来最馨香的，她还年轻，正值如花似锦的年龄，她怎么还能那样想呢？（虽然他说的这些王妃心里也深信不疑。）他们就这样讨论着，从这种美谈到那种美，从这个细节谈到那个细节，还时不时地说着：“啊！你是这样想的吗？”——“你疯了吗！”——“这是希望，这是幻想！”——“不久你就会看出我的真面目了。”——“我都快四十岁了。一个男人怎么会爱一个年龄这么大的老女人呢？”","Until two o’clock in the morning they spent their time in saying to each other the silly things that women of genius, like the princess, know how to make adorable.Diane pretended to be too worn, too old, too faded; D’Arthez proved to her (facts of which she was well convinced) that her skin was the most delicate, the softest to the touch, the whitest to the eye, the most fragrant; she was young and in her bloom, how could she think otherwise?Thus they disputed, beauty by beauty, detail by detail with many: “Oh!do you think so?”—“You are beside yourself!”—“It is hope, it is fancy!”—“You will soon see me as I am.”—“I am almost forty years of age.Can a man love so old a woman?”"
"此刻德阿泰兹雄辩滔滔，却又鲁莽得像个中学生，言辞中充满了许多夸张的形容词。当王妃听到这位聪明机智的作家像个多情的少尉似的说一些蠢话时，她做出充满感情、全神贯注倾听的样子。可是心中却在暗笑。","D’Arthez responded with impetuous and school-boy eloquence, larded with exaggerated epithets.When the princess heard this wise and witty writer talking the nonsense of an amorous sub-lieutenant she listened with an absorbed air and much sensibility; but she laughed in her sleeve."
"当德阿泰兹走在大街上时，他自问自己是否太过于恭敬了。他把刚刚那场奇怪的秘密谈话又重新在脑子里回忆了一下。当然，这里的叙述有所删节，因为要想把所有甜蜜的、丰富的内容以及谈话中的姿态全部记录下来，恐怕得需要一本书。尽管这位如此天真、如此深沉的人的记忆很清晰，但还是被故事本身的淳朴、深刻和王妃的语调弄得模糊了。","When d’Arthez was in the street, he asked himself whether he might not have been rather less respectful.He went over in memory those strange confidences—which have, naturally, been much abridged here, for they needed a volume to convey their mellifluous abundance and the graces which accompanied them.The retrospective perspicacity of this man, so natural, so profound, was baffled by the candor of that tale and its poignancy, and by the tones of the princess."
"“是真的。”他无法入睡，心里想，“社会上确实有像那样的悲剧。社会用鲜花般的优雅，粉饰后的流言和机智的谎言来掩盖这类可怕的悲剧。我们作家的创作怎么也比不过现实啊。可怜的迪亚娜！米歇尔曾经看穿了这个谜团，他曾说过坚冰之下便是火山！毕安训和拉斯蒂涅说得对，当一个男人把理想的伟大和激情的乐趣结合起来，爱上一个风度优雅、才智非凡、温柔体贴的女子，那应该是无以言表的幸福。”","“It is true,” he said to himself, being unable to sleep, “there are such dramas as that in society.Society covers great horrors with the flowers of its elegance, the embroidery of its gossip, the wit of its lies.We writers invent no more than the truth.Poor Diane!Michel had penetrated that enigma; he said that beneath her covering of ice there lay volcanoes!Bianchon and Rastignac were right; when a man can join the grandeurs of the ideal and the enjoyments of human passion in loving a woman of perfect manners, of intellect, of delicacy, it must be happiness beyond words.”"
"就这样想着，他测量了一下自己爱情的深度，发现它是无限的。","So thinking, he sounded the love that was in him and found it infinite."
"第五章 信仰的审判","CHAPTER V A TRIAL OF FAITH"
"第二天，大约是下午两点钟，德埃斯巴夫人因为有一个多月没见到王妃并且也没有听到关于她的任何消息，便在极度的好奇心驱使下来看望她。这两条狡猾的水蛇在见面后的最初半个小时的谈话是最有趣不过了。","The next day, about two in the afternoon, Madame d’Espard, who had seen and heard nothing of the princess for more than a month, went to see her under the impulse of extreme curiosity.Nothing was ever more amusing of its kind than the conversation of these two crafty adders during the first half-hour of this visit."
"迪亚娜·德于克塞尔非常谨慎地像避免穿一件黄色的袍子似的避免谈起德阿泰兹。而侯爵夫人却像沙漠里的游牧人围着行商队似的，老在这个话题上兜圈子。迪亚娜觉得有趣，侯爵夫人却感到气愤。迪亚娜在等待，她想像猎人利用猎狗一样利用她的朋友。在这两个当代社会中赫赫有名的女人中，一个要比另一个强得多。王妃要比侯爵夫人略胜一筹，对此，侯爵夫人内心非常清楚。也许，这就是她们亲密无间的秘密所在。较弱的一方蜷缩在忠诚的面具下，等待着时机的到来，弱者们都懂得必须长期地耐心等待，只有等到时机的到来才能扑向强者的喉咙，用力地咬一下，留下痛快的印记。迪亚娜非常明白这一点，而世人却被两位好友表面上的亲密所欺骗了。","Diane d’Uxelles cautiously avoided, as she would the wearing of a yellow gown, all mention of d’Arthez.The marquise circled round and round that topic like a Bedouin round a caravan.Diane amused herself; the marquise fumed.Diane waited; she intended to utilize her friend and use her in the chase.Of these two women, both so celebrated in the social world, one was far stronger than the other.The princess rose by a head above the marquise, and the marquise was inwardly conscious of that superiority.In this, perhaps, lay the secret of their intimacy.The weaker of the two crouched low in her false attachment, watching for the hour, long awaited by feeble beings, of springing at the throat of the stronger and leaving the mark of a joyful bite.Diane saw clear; but the world was the dupe of the wile caresses of the two friends."
"当王妃发现她的朋友嘴边露出的询问神情，立即说道：","The instant that the princess perceived a direct question on the lips of her friend, she said:—"
"“啊！亲爱的，我欠了你一个人情啊，你给了我一个近乎完美的、巨大的、无限的、如在天堂般的幸福啊。”","“Ah! dearest, I owe you a most complete, immense, infinite, celestial happiness.”"
"“你这是什么意思啊？”","“What can you mean?”"
"“难道你忘了三个月前，在这个小花园里，我们坐在长凳上，沐浴着阳光，在茉莉花丛下所反复思考过的问题吗？","“Have you forgotten what we ruminated three months ago in the little garden, sitting on a bench in the sun, under the jasmine?"
"啊！除了天才男人之外，谁都不懂得如何去爱！用阿尔巴公爵对凯瑟琳·德梅迪契所说的话来形容我高尚的达尼埃尔·德阿泰兹，就是‘一条鲑鱼的头胜过所有青蛙的头。’”","Ah! there are none but men of genius who know how to love!I apply to my grand Daniel d’Arthez the Duke of Alba’s saying to Catherine de’ Medici: ‘The head of a single salmon is worth all the frogs in the world.’”"
"“难怪我好久没有见到你们了呢。”德埃斯巴夫人说道。","“I am not surprised that I no longer see you,” said Madame d’Espard."
"“我的天使，请答应我，如果你见到他，不要对他提起关于我的任何事情。”王妃拿起朋友的手说道，“哦！我现在非常幸福！幸福到难以用语言描述。但是你也知道的，在现在这个社会，一句话，甚至仅仅是一个玩笑就能造成很大的影响。一句话都可以杀死人，因为人们在这句简单的句子里注入了一些毒液！啊！你是不知道我是多么希望你也能遇到一种像这样的爱情啊！像我们这把年纪的女人，如果能在我们的青春结束之前，沉睡在一种热情、纯洁、忠诚、完美、专一的爱情之中，尤其是在我们苦苦找寻之后，那真算是一件又甜美又珍贵的胜利啊！”","“Promise me, if you meet him, not to say to him one word about me, my angel,” said the princess, taking her friend’s hand.“I am happy, oh!happy beyond all expression; but you know that in society a word, a mere jest can do much harm.One speech can kill, for they put such venom into a single sentence!Ah! if you knew how I long that you might meet with a love like this!Yes, it is a sweet, a precious triumph for women like ourselves to end our woman’s life in this way; to rest in an ardent, pure, devoted, complete and absolute love; above all, when we have sought it long.”"
"“为什么你会要求我对我最好的朋友忠诚呢？”德埃斯巴夫人问道，“难道你认为我会在你背后搞鬼吗？”","“Why do you ask me to be faithful to my dearest friend?” said Madame d’Espard.“Do you think me capable of playing you some villainous trick?”"
"“当一个女人拥有这么一种财富的时候，她是那么怕失去它，所以就很自然地会产生一种恐惧的思想。我知道，我很荒唐，请宽恕我吧，亲爱的。”","“When a woman possesses such a treasure the fear of losing it is so strong that it naturally inspires a feeling of terror.I am absurd, I know; forgive me, dear.”"
"过了一会儿，侯爵夫人走了。把她送走后，王妃自言自语道：","A few moments later the marquise departed; as she watched her go the princess said to herself:—"
"“她会怎么对付我呢！不过，为了免去她从这儿把达尼埃尔拉走的麻烦，我会亲自把他送上门去。”","“How she will pluck me!But to save her the trouble of trying to get Daniel away from here I’ll send him to her.”"
"下午三点钟刚过，德阿泰兹来了。当他正滔滔不绝地谈论着一些有趣的话题的时候，王妃突然打断了他，把手放到他的胳膊上。","At three o’clock, or a few moments after, d’Arthez arrived.In the midst of some interesting topic on which he was discoursing eloquently, the princess suddenly cut him short by laying her hand on his arm."
"“请原谅，我亲爱的朋友，”她就这样打断了他，“我怕我会忘了这件事，虽然看起来微不足道，可也许非常重要。自从在德埃斯巴夫人那里我与你相遇的那幸福的一天起，你至今还没有拜访过她。你就到她家去一趟吧，不是为了你，也不是出于礼貌，而是为了我。你也许已经使她成了我的敌人，如果哪天她发现自从她的夜宴之后你就很少离开过我家。再说，我的朋友，我也不希望你放弃你的社交圈子，忽略你的事业和著作。否则，我又会遭到一些千奇百怪的诽谤。他们什么话说不出来啊？什么我控制住你啦、你被我给迷住啦、我害怕和别人比啦、因为知道是最后一次的胜利而紧紧抓住我的战胜品不放啦！谁会知道你是我的朋友、我唯一的朋友呢？如果你真地爱我，就像你所说的那样，你就应该让世人知道我们纯粹是兄妹关系——现在你可以继续往下谈了。”","“Pardon me, my dear friend,” she said, interrupting him, “but I fear I may forget a thing which seems a mere trifle but may be of great importance.You have not set foot in Madame d’Espard’s salon since the ever-blessed day when I met you there.Pray go at once; not for your sake, nor by way of politeness, but for me.You may already have made her an enemy of mine, if by chance she has discovered that since her dinner you have scarcely left my house.Besides, my friend, I don’t like to see you dropping your connection with society, and neglecting your occupations and your work.I should again be strangely calumniated.What would the world say?That I held you in leading-strings, absorbed you, feared comparisons, and clung to my conquest knowing it to be my last!Who will know that you are my friend, my only friend?If you love me indeed, as you say you love me, you will make the world believe that we are purely and simply brother and sister—Go on with what you were saying.”"
"德阿泰兹性情温柔，又受到高贵品德的影响，便服从了这一要求，第二天便去拜访德埃斯巴夫人。夫人接见了他，向他施展出她的迷人魅力。侯爵夫人非常谨慎小心，只字不提王妃，不过，她请他改天来她家吃晚饭。","In his armor of tenderness, riveted by the knowledge of so many splendid virtues, d’Arthez obeyed this behest on the following day and went to see Madame d’Espard, who received him with charming coquetry.The marquise took very good care not to say a single word to him about the princess, but she asked him to dinner on a coming day."
"就在这一天，德阿泰兹见到了很多宾客。侯爵夫人邀请了拉斯蒂涅、布隆代、阿瞿达-潘托侯爵、马克西姆·德特拉伊侯爵、德埃斯格里尼侯爵、两兄弟旺德奈斯、杜·蒂耶（巴黎最富有的银行家之一）、德纽沁根男爵、拉乌尔·纳坦、迪德莱夫人（大使馆中最不讲信用的两名随员）以及德埃斯巴骑士（他是这次聚会中最诡计多端的人，她嫂子的信条主要都是拜他所赐）。","On this occasion d’Arthez found a numerous company.The marquise had invited Rastignac, Blondet, the Marquis d’Ajuda-Pinto, Maxime de Trailles, the Marquis d’Esgrignon, the two brothers Vandenesse, du Tillet, one of the richest bankers in Paris, the Baron de Nucingen, Raoul Nathan, Lady Dudley, two very treacherous secretaries of embassies and the Chevalier d’Espard, the wiliest person in this assemblage and the chief instigator of his sister-in-law’s policy."
"晚宴开始的时候，马克西姆·德特拉伊转向德阿泰兹，微笑着说道：","When dinner was well under way, Maxime de Trailles turned to d’Arthez and said smiling:—"
"“你经常见到德卡迪央王妃，是吧？”","“You see a great deal, don’t you, of the Princesse de Cadignan?”"
"德阿泰兹草草点了一下头作为答复。马克西姆·德特拉伊是这个社会的“亡命之徒”，没有信仰、无法无天、什么事情都干得出来，使那些信任他的女人遭遇破产，驱使她们用抵押自己首饰的钱供他花销。然而，这些行为却被一层光彩的外表所掩饰，因为他有优雅的举止和魔鬼般聪明的头脑。所有认识他的人对他既蔑视又害怕，然而没有一个人敢得罪他，在他面前只会显出一副最客气的模样，他自己却一点自知之明都没有，也许他已经接受了这种虚伪的形式并和大家一起虚伪。多亏了德马尔赛伯爵的提拔，他已经爬到了他能力所能及的最高位置。德马尔赛很早就认识马克西姆了，断定他能完成自己交给他的某些秘密任务和外交任务，他果然也完成得非常出色。德阿泰兹参与一些政治活动已经有些日子了，所以对此人非常了解，只有他有足够的胆量和高尚的品格敢于大声说出别人只敢心里想想或是小声嘀咕的话。","To this question d’Arthez responded by curtly nodding his head.Maxime de Trailles was a “bravo” of the social order, without faith or law, capable of everything, ruining the women who trusted him, compelling them to pawn their diamonds to give him money, but covering this conduct with a brilliant varnish; a man of charming manners and satanic mind.He inspired all who knew him with equal contempt and fear; but as no one was bold enough to show him any sentiments but those of the utmost courtesy he saw nothing of this public opinion, or else he accepted and shared the general dissimulation.He owed to the Comte de Marsay the greatest degree of elevation to which he could attain.De Marsay, whose knowledge of Maxime was of long-standing, judged him capable of fulfilling certain secret and diplomatic functions which he confided to him and of which de Trailles acquitted himself admirably.D’Arthez had for some time past mingled sufficiently in political matters to know the man for what he was, and he alone had sufficient strength and height of character to express aloud what others thought or said in a whisper."
"“是不是因为她，你才对议院漠不关心的呢？”德纽沁根男爵用他那德国口音问道。","“Is it for her that you neglect the Chamber?” asked Baron de Nucingen in his German accent."
"“啊！王妃是那些最危险的女人之一，男人们一旦碰到她准会倒霉。我那不幸的婚姻就是她造成的。”德埃斯格里尼侯爵大声叫道。","“Ah! the princess is one of the most dangerous women a man can have anything to do with.I owe to her the miseries of my marriage,” exclaimed the Marquis d’Esgrignon."
"“危险的女人？”德埃斯巴夫人说道，“不要这么说我最好的朋友。我从未看到或是听到过王妃的任何行为不是出自其最高尚的情感。”","“Dangerous?” said Madame d’Espard.“Don’t speak so of my nearest friend.I have never seen or known anything in the princess that did not seem to come from the noblest sentiments.”"
"“让我们听听侯爵怎么说的吧。”拉斯蒂涅嚷道，“当一个人被一匹漂亮的马甩下来的时候，他就觉得它有了缺陷并把它卖掉。”","“Let the marquis say what he thinks,” cried Rastignac.“When a man has been thrown by a fine horse he thinks it has vices and he sells it.”"
"听到这番刺激性的话，德埃斯格里尼侯爵看着德阿泰兹说道：","Piqued by these words, the Marquis d’Esgrignon looked at d’Arthez and said:—"
"“我相信，先生和王妃的关系没有达到影响我们正常谈论她的程度吧？”","“Monsieur is not, I trust, on such terms with the princess that we cannot speak freely of her?”"
"德阿泰兹保持沉默。德埃斯格里尼是个聪明之人，他明白了拉斯蒂涅的意思，于是对王妃进行了辩护性的描述，从而使整个宴席都活跃了起来。因为这一个玩笑的实在意义对德阿泰兹来说太晦涩了，于是他便转向邻座的德蒙科尔内夫人，小声询问这个玩笑到底是什么意思。","D’Arthez kept silence.D’Esgrignon, who was not wanting in cleverness, replied to Rastignac’s speech with an apologetic portrait of the princess, which put the whole table in good humor.As the jest was extremely obscure to d’Arthez he leaned towards his neighbor, Madame de Montcornet, and asked her, in a whisper, what it meant."
"“看来你对王妃的看法很好，从这点就得出你从未受到过王妃的宠爱了，不过，据说所有其他在座的宾客都曾受过她的宠爱。”","“Excepting yourself—judging by the excellent opinion you seem to have of the princess—all the other guests are said to have been in her good graces.”"
"“我敢向你保证，这种说法肯定是不正确的。”达尼埃尔说道。","“I can assure you that such an accusation is absolutely false,” said Daniel."
"“可是，德埃斯格里尼先生就是个很好的例子，他是阿朗松的贵族，十二年前，为了王妃，他倾家荡产了，并且为了她，如果确有此事的话，险些被送上断头台。”","“And yet, here is Monsieur d’Esgrignon of an old family of Alencon, who completely ruined himself for her some twelve years ago, and, if all is true, came very near going to the scaffold.”"
"“我知道那件事的来龙去脉。”德阿泰兹说，“德卡迪央夫人曾去阿朗松把德埃斯格里尼先生从巡回法庭中救了出来，而今天他是怎么样来报答她的！”","“I know the particulars of that affair,” said d’Arthez.“Madame de Cadignan went to Alencon to save Monsieur d’Esgrignon from a trial before the court of assizes; and this is how he rewards her today!”"
"德蒙科尔内夫人又惊讶又好奇地望着德阿泰兹，她都傻了，接着，她转眼望向德埃斯巴夫人，那眼神好像是在说：“他已经着了魔了！”","Madame de Montcornet looked at d’Arthez with a surprise and curiosity that were almost stupid, then she turned her eyes on Madame d’Espard with a look which seemed to say: “He is bewitched!”"
"在这次简短的谈话中，德卡迪央受到了德埃斯巴夫人的保护，而这种保护就像是避雷针的作用，引来了雷电。德阿泰兹再次参与大家的谈话时，马克西姆·德特拉伊正说着：","During this short conversation Madame de Cadignan was protected by Madame d’Espard, whose protection was like that of the lightning-rod which draws the flash.When d’Arthez returned to the general conversation Maxime de Trailles was saying:—"
"“对迪亚娜来说，堕落并不是后果而是根源，也许堕落是因为她那美妙的天性，她从不无中生有，也从不贪图什么，她展现在你面前的只有那最高雅的举止，作为一段最天真自然的爱情的灵感，想不相信她都不可能。”","“With Diane, depravity is not an effect but a cause; perhaps she owes that cause to her exquisite nature; she doesn’t invent, she makes no effort, she offers you the choicest refinements as the inspiration of a spontaneous and naive love; and it is absolutely impossible not to believe her.”"
"这番话似乎是特意为德阿泰兹这种人准备的，控诉得如此精炼，看起来大家都把它当作总结陈词了。谁都不再提王妃了，王妃就这样被消灭了。德阿泰兹用一种讥讽的神态先后看了看德特拉伊和德埃斯格里尼，然后说道：","This speech, which seemed to have been prepared for a man of d’Arthez’s stamp, was so tremendous an arraignment that the company appeared to accept it as a conclusion.No one said more; the princess was crushed.D’Arthez looked straight at de Trailles and then at d’Esgrignon with a sarcastic air, and said:—"
