"第一章","CHAPTER I"
"用过晚餐，他们又前往剧院。","After dinner they set off for the theatre."
"上演的是威尔第的歌剧。坦率地说，这出歌剧相当通俗，但在欧洲各大剧院的巡回演出却十分成功，在俄罗斯也以《茶花女》的名字家喻户晓。威尼斯的演出季已经过去，每个歌剧演员的水平也非常平庸，只是尽其所能地扯着嗓子大喊。饰演维奥莉塔的那个女演员也是名不见经传。从观众对她的冷淡态度可以看出来，她不得人心，但她却不乏天赋。她是一个年轻却不十分漂亮的女孩，眼睛黑黑的，嗓音不平稳，已经快要破了。她的衣服选得很糟糕，看起来幼稚且俗气，头发被包裹在一个红色的发网中。她身穿一件掉了色的蓝色缎子，整个身体被紧紧地包裹起来，一双做工粗糙的瑞典手套一直戴到尖尖的臂肘上。确实，一个贝加莫牧羊人的女儿怎么会知道巴黎的茶花女是如何打扮的呢！而且她在台上都不知道该如何移动，但她的表演中却处处显露着真诚和毫无修饰的东西。当她演唱时，她的嗓音中有一种只有意大利人才有的表现力和韵律。埃琳娜和因萨罗夫坐在舞台边上一个灯光昏暗的包厢内。他们依然保持着在艺术馆产生的愉悦情绪。那位不幸坠入美色陷阱的年轻人的父亲出场了。他身穿黄色礼服，顶着一头乱蓬蓬的灰白假头套。他还没出声就开始怯场，咧着嘴，只发出一声微弱的低颤音。他们禁不住大笑了起来。……但是，维奥莉塔的演出却深深地震撼了他们。","They were giving an opera of Verdi’s, which though, honestly speaking, rather vulgar, has already succeeded in making the round of all the European theatres, an opera, well-known among Russians, La Traviata.The season in Venice was over, and none of the singers rose above the level of mediocrity; every one shouted to the best of their abilities.The part of Violetta was performed by an artist, of no renown, and judging by the cool reception given her by the public, not a favourite, but she was not destitute of talent.She was a young, and not very pretty, black-eyed girl with an unequal and already overstrained voice.Her dress was ill-chosen and naively gaudy; her hair was hidden in a red net, her dress of faded blue satin was too tight for her, and thick Swedish gloves reached up to her sharp elbows.Indeed, how could she, the daughter of some Bergamese shepherd, know how Parisian dames aux camelias dress!And she did not understand how to move on the stage; but there was much truth and artless simplicity in her acting, and she sang with that passion of expression and rhythm which is only vouchsafed to Italians.Elena and Insarov were sitting alone together in a dark box close to the stage; the mirthful mood which had come upon them in the academy delle Belle Arti had not yet passed off.When the father of the unhappy young man who had fallen into the snares of the enchantress came on to the stage in a yellow frock-coat and a dishevelled white wig, opened his mouth awry, and losing his presence of mind before he had begun, only brought out a faint bass tremolo, they almost burst into laughter.… But Violetta’s acting impressed them."
"“他们几乎没为那个可怜的姑娘鼓掌，”埃琳娜说道，“但是我觉得，她的演出要比那些矫揉造作、哗众取宠、自高自大的二流演员好一千倍。这个女孩的演出就像是完全发自内心的。看，她完全不在意观众的反应。”","‘They hardly clap that poor girl at all,’ said Elena, ‘but I like her a thousand times better than some conceited second-rate celebrity who would grimace and attitudinise all the while for effect.This girl seems as though it were all in earnest; look, she pays no attention to the public.’"
"因萨罗夫靠在包厢的墙上，聚精会神地盯着维奥莉塔。","Insarov bent over the edge of the box, and looked attentively at Violetta."
"“没错，”他赞同地说道，“她很用心，她已经感觉到了自己站在死亡的边缘。”","‘Yes,’ he commented, ’she is in earnest; she’s on the brink of the grave herself.’"
"埃琳娜沉默了。","Elena was mute."
"第三幕开场了。幕布拉起——一看到床、拉开的窗帘、药瓶和带罩的灯，埃琳娜身不由己地颤抖了一下。她想起了不久前的过往。“未来会怎么样？现在又怎么样？”这些念头从她的脑海中闪过。仿佛是在回应她，演员在台上发出了一阵假装的咳嗽声，紧接着传来的是因萨罗夫不折不扣的、沙哑、恐怖的咳嗽声。埃琳娜悄悄瞥了他一眼，然后在脸上表现出一种平静、恬淡的表情。因萨罗夫知道她在想什么。他微笑起来，嘴里轻轻地哼着歌。","The third act began.The curtain rose—Elena shuddered at the sight of the bed, the drawn curtains, the glass of medicine, the shaded lamps.She recalled the near past.‘What of the future?What of the present?’ flashed across her mind.As though in response to her thought, the artist’s mimic cough on the stage was answered in the box by the hoarse, terribly real cough of Insarov.Elena stole a glance at him, and at once gave her features a calm and untroubled expression; Insarov understood her, and he began himself to smile, and softly to hum the tune of the song."
"但是他很快又安静了下来。维奥莉塔的表演变得更加稳定、奔放了。她去掉了一切浮饰，找到了真我。这对于艺术家而言是一种罕见而崇高的快乐。她一下子就越过了难以定义的边界，到达了艺术之美的永恒疆域。观众们都被深深地震撼住了。那个相貌平凡、声音断断续续的姑娘开始把握、掌控了观众的心。她的声音已经不像刚开始那样断断续续了，它变得圆润而有力量。阿尔弗雷多登场了。维奥莉塔兴奋的叫喊声几乎在观众中掀起了一阵狂潮，相比起来，我们这些北方观众的掌声简直不值一提。片刻之后——观众又平静了下来。这出戏剧中的经典，二重唱，开始了。在这个部分中，作曲家成功地将挥霍青春、绝望的最后一搏和没有希望的爱这一系列痛苦表现得淋漓尽致。女歌者深深地抓住了观众的心，引导着他们的情绪，眼里含着艺术家喜悦却痛彻心扉的泪水。她将自己置身于内心的激情风浪之中。她的脸已经扭曲。在各种可怕的、预示着死亡即将到来的征兆面前，她爆发出来的台词：“让我活下去吧——我还这么年轻！”如暴风雨般的祷告升上天堂，令整个剧院充斥着观众们的雷鸣般的掌声和欢快的叫喊声。","But he was soon quiet.Violetta’s acting became steadily better, and freer.She had thrown aside everything subsidiary, everything superfluous, and found herself; a rare, a lofty delight for an artist!She had suddenly crossed the limit, which it is impossible to define, beyond which is the abiding place of beauty.The audience was thrilled and astonished.The plain girl with the broken voice began to get a hold on it, to master it.And the singer’s voice even did not sound broken now; it had gained mellowness and strength.Alfredo made his entrance; Violetta’s cry of happiness almost raised that storm in the audience known as fanatisme, beside which all the applause of our northern audiences is nothing.A brief interval passed—and again the audience were in transports.The duet began, the best thing in the opera, in which the composer has succeeded in expressing all the pathos of the senseless waste of youth, the final struggle of despairing, helpless love.Caught up and carried along by the general sympathy, with tears of artistic delight and real suffering in her eyes, the singer let herself be borne along on the wave of passion within her; her face was transfigured, and in the presence of the threatening signs of fast approaching death, the words: ‘Lascia mi vivero—morir si giovane’ (let me live—to die so young!) burst from her in such a tempest of prayer rising to heaven, that the whole theatre shook with frenzied applause and shouts of delight."
"埃琳娜觉得浑身冰冷。她的手轻柔地找寻着因萨罗夫的手，一找到就紧紧地抓住不放。他同样紧紧地握住她的手。但是他们谁都没有看对方一下。这与几个小时之前他们在小船上互相握住双手的感觉很不同。","Elena felt cold all over.Softly her hand sought Insarov’s, found it, and clasped it tightly.He responded to its pressure; but she did not look at him, nor he at her.Very different was the clasp of hands with which they had greeted each other in the gondola a few hours before."
"然后他们再次乘着小船，沿着大运河向旅店驶去。夜幕降临了，那是一个明朗、柔和的夜。曾经见过的宫殿现在看起来似乎有所不同。这些宫殿被浅黄色的月光笼罩着。在这月光之下，宫殿的阳台和窗户上的装饰和线条似乎消失了。而他们在这群被薄雾笼罩的建筑物之中却越加明显。那些点着小红灯的小船从水面掠过，似乎比以前更安静、快速。它们的钢喙闪着神秘的光辉，船桨在银色小鱼激起的波浪上起起落落。到处都能听到船夫简短、柔和的叫喊声（他们现在已经不唱歌了）。几乎再也听不到其他的声音。因萨罗夫和埃琳娜居住的旅店位于斯基亚沃尼河畔。他们在中途就下了小船，一遍又一遍地绕着圣马可广场溜达，在拱桥下来来回回地走。那里的小咖啡馆前聚集了许多游客。在一个陌生的城市，在一群陌生人中，跟自己所爱的人散步会有一种特别的甜蜜。一切看起来都那么美、那么有意义，所有人看起来都那么善良，和蔼。你希望每个人都能被你满心的幸福所包围。但是埃琳娜现在无论如何都没有办法去体味那种无与伦比的幸福了。她的心在经过刚才的震撼之后，再也无法平复下来，而因萨罗夫从总督府旁边经过时，一言不发地指了指从低拱门下探出的几门奥地利大炮的炮口，然后拉了拉帽子，遮住了眼睛。这会儿他感觉到累了。他最后看了一眼圣马可教堂，看了看那在月光照耀下闪着明亮磷光的蓝色铅板圆屋顶。他们慢慢地走回了住处。","Again they glided along the Canal Grande towards their hotel.Night had set in now, a clear, soft night.The same palaces met them, but they seemed different.Those that were lighted up by the moon shone with pale gold, and in this pale light all details of ornaments and lines of windows and balconies seemed lost; they stood out more clearly in the buildings that were wrapped in a light veil of unbroken shadow.The gondolas, with their little red lamps, seemed to flit past more noiselessly and swiftly than ever; their steel beaks flashed mysteriously, mysteriously their oars rose and fell over the ripples stirred by little silvery fish; here and there was heard the brief, subdued call of a gondolier (they never sing now); scarcely another sound was to be heard.The hotel where Insarov and Elena were staying was on the Riva dei Schiavoni; before they reached it they left the gondola, and walked several times round the Square of St. Mark, under the arches, where numbers of holiday makers were gathered before the tiny cafes.There is a special sweetness in wandering alone with one you love, in a strange city among strangers; everything seems beautiful and full of meaning, you feel peace and goodwill to all men, you wish all the same happiness that fills your heart.But Elena could not now give herself up without a care to the sense of her happiness; her heart could not regain its calm after the emotions that had so lately shaken it; and Insarov, as he walked by the palace of the Doges, pointed without speaking to the mouths of the Austrian cannons, peeping out from the lower arches, and pulled his hat down over his eyes.By now he felt tired, and, with a last glance at the church of St. Mark, at its cupola, where on the bluish lead bright patches of phosphorescent light shone in the rays of the moon, they turned slowly homewards."
"从他们那个小房间的窗子向外望去是一个浅湖。它从斯基亚沃尼河堤一直延伸到朱代卡。那高高耸立的圣乔治尖塔几乎正对着他们所居住的小旅馆。右边是海关大楼金灿灿的球顶，直冲云霄，还有教堂中最漂亮的帕拉迪奥救世主教堂，装扮得像新娘一样；左边是一些帆船漆黑的桅杆、索具和一些汽船的烟囱，有一处挂着一张收拢的帆，像翅膀一样，旗子挂在那纹丝不动。因萨罗夫在窗户旁边坐下欣赏夜景，但是埃琳娜不让他看太久。突然他好像有点儿发烧，一阵虚弱向他袭来。她让他在床上躺下，等到他进入梦乡，她走回到窗户旁边。哦，多么宁静，美好的夜晚，深蓝色的天空中弥漫着像鸽子一样的温柔气息。所有的痛苦、所有的悲伤，在如此明朗的天空下，在如此纯洁、神圣的月光下，都会消失无踪。“上帝啊，”埃琳娜思索着，“为什么要有死亡，为什么要有别离、伤病和眼泪？而为什么又要有这良辰美景，有这甜蜜的希望，有这令人慰藉的避难所，这永恒不变的支持和持久的保护？这带着笑意和祝福的天空，这开心的、沉睡着的大地，又有着怎样的含义？难道这只存在于我们之中，而我们身外就只剩下冷漠和死气沉沉？难道我们所能拥有的就只有孤独……孤独……而所有的一切，在这无法触及的深渊中——没有什么同我们一样，所有，所有这一切对于我们来说都是陌生的，都不属于我们？那么，我们为什么还要有欲望，还要祈祷快乐？”（“年纪轻轻就要离开这个世界”在她心里回荡着。）“这真的不可能吗，不可能去劝解，去避免，去保护……哦，上帝啊！真的不能相信奇迹的降临吗？”她用双手紧紧地蒙住自己的脸。“够了。”她轻轻说道，“真的够了！我有过快乐，不仅仅是一瞬间、几个小时或者短短几天，而是好几个星期。但我有什么权利幸福快乐呢？”想到自己的幸福，她就感到一阵恐惧，“如果不是那个样子？”她思考道，“又假如有可能呢？哎，我拥有过天堂般的幸福……我们这些卑微的凡人，可怜的、有罪的凡人……这么年轻就面临死亡。哦，不祥的征兆，滚开吧！他需要好起来，不仅为了我！”","Their little room looked out on to the lagoon, which stretches from the Riva del Schiavoni to the Giudecca.Almost facing their hotel rose the slender tower of S. George; high against the sky on the right shone the golden ball of the Customs House; and, decked like a bride, stood the loveliest of the churches, the Redentore of Palladio; on the left were the black masts and rigging of ships, the funnels of steamers; a half-furled sail hung in one place like a great wing, and the flags scarcely stirred.Insarov sat down at the window, but Elena did not let him admire the view for long; he seemed suddenly feverish, he was overcome by consuming weakness.She put him to bed, and, waiting till he had fallen asleep, she returned to the window.Oh, how still and kindly was the night, what dovelike softness breathed in the deep-blue air!Every suffering, every sorrow surely must be soothed to slumber under that clear sky, under that pure, holy light!‘O God,’ thought Elena, ‘why must there be death, why is there separation, and disease and tears? or else, why this beauty, this sweet feeling of hope, this soothing sense of an abiding refuge, an unchanging support, an everlasting protection?What is the meaning of this smiling, blessing sky; this happy, sleeping earth?Can it be that all that is only in us, and that outside us is eternal cold and silence?Can it be that we are alone… alone… and there, on all sides, in all those unattainable depths and abysses—nothing is akin to us; all, all is strange and apart from us?Why, then, have we this desire for, this delight in prayer?’ (Morir si giovane was echoing in her heart.)…‘Is it impossible, then, to propitiate, to avert, to save…O God!is it impossible to believe in miracle?’She dropped her head on to her clasped hands.‘Enough,’ she whispered.‘Indeed enough!I have been happy not for moments only, not for hours, not for whole days even, but for whole weeks together.And what right had I to happiness?’She felt terror at the thought of her happiness.‘What, if that cannot be?’ she thought.‘What, if it is not granted for nothing?Why, it has been heaven… and we are mortals, poor sinful mortals….Morir si giovane.Oh, dark omen, away!It’s not only for me his life is needed!"
"“但是，如果这是惩罚，”她又想道，“如果现在就必须为我们的罪过付出全部代价？我的良心一直是宁静的，现在也依然安宁，但是这就是没有过错的证据吗？上帝啊！莫非我们真的罪无可恕！创造了这个夜晚、这片天空的上帝啊，您难道因为我们相爱就要惩罚我们吗？“如果是这样的话，如果他有罪，如果我有罪，”她脱口而出，“那么，就请您让他，让我们俩，至少光彩地死去吧——在那里，在他的祖国，而不是在这间阴暗的屋子里。”","‘But what, if it is a punishment,’ she thought again; ‘what, if we must now pay the penalty of our guilt in full?My conscience was silent, it is silent now, but is that a proof of innocence?O God, can we be so guilty!Canst Thou who hast created this night, this sky, wish to punish us for having loved each other?If it be so, if he has sinned, if I have sinned,’ she added with involuntary force, ’grant that he, O God, grant that we both, may die at least a noble, glorious death—there, on the plains of his country, not here in this dark room."
"“我那可怜孤独的母亲的悲伤该怎么办？”她问自己。她心乱如麻，找不到问题的答案。埃琳娜还不明白每个人的幸福都是建立在其他人的不幸之上，就连一个人的成功和惬意都建立在其他人的失败和难过之上，就如同每个雕像都一定会有它的底座一样。","‘And the grief of my poor, lonely mother?’ she asked herself, and was bewildered, and could find no answer to her question.Elena did not know that every man’s happiness is built on the unhappiness of another, that even his advantage, his comfort, like a statue needs a pedestal, the disadvantage, the discomfort of others."
"“伦迪奇！”熟睡中的因萨罗夫嘟囔着。","‘Renditch!’ muttered Insarov in his sleep."
"埃琳娜轻手轻脚地走到他的跟前，弯下腰，擦拭去他脸上的汗水。他在枕头上翻滚了几下就又不动了。","Elena went up to him on tiptoe, bent over him, and wiped the perspiration from his face.He tossed a little on his pillow, and was still again."
"她又走到窗户旁边，然后思绪又开始蔓延。她开始与自己争论，告诉自己没有什么需要担心的。她甚至开始为她的懦弱而羞愧。“会有危险吗？难道他不会好转了？”她嘟囔着说，“为什么，如果我们今天没有去剧院，这一切都不会在我的脑中出现。”","She went back again to the window, and again her thoughts took possession of her.She began to argue with herself, to assure herself that there was no reason to be afraid.She even began to feel ashamed of her weakness.‘Is there any danger?isn’t he better?’ she murmured.‘Why, if we had not been at the theatre to-day, all this would never have entered my head.’"
"在那一瞬间，她看见水面上空有一只海鸥翱翔而过。它看上去像是刚受了渔夫的惊吓，因为它悄无声息地到处乱飞，像在寻找一个可以落脚的地方。“来吧，如果它飞到这里来，”埃琳娜想道，“这将是一个好兆头。”海鸥在天空盘旋了一圈，收起翅膀，仿佛中了枪似的，发出一声凄厉的叫声，在远处一艘黑漆漆的船后一段距离的地方掉了下来。埃琳娜颤抖着，然后又为自己的颤抖而感到羞愧。她穿着衣服躺到了床上，躺在了呼吸急促并沉重的因萨罗夫身旁。","At that instant she saw high above the water a white sea-gull; some fisherman had scared it, it seemed, for it flew noiselessly with uncertain course, as though seeking a spot where it could alight.‘Come, if it flies here,’ thought Elena, ‘it will be a good omen.’ … The sea-gull flew round in a circle, folded its wings, and, as though it had been shot, dropped with a plaintive cry in the distance behind a dark ship.Elena shuddered; then she was ashamed of having shuddered, and, without undressing, she lay down on the bed beside Insarov, who was breathing quickly and heavily."
"第三十四章","CHAPTER XXXIV"
"因萨罗夫很晚才起来。他起床时头很疼，而且他说感觉全身有种讨厌的虚弱感。但是，他还是起来了。","Insarov waked late with a dull pain in his head, and a feeling, as he expressed it, of disgusting weakness all over.He got up however."
"“伦迪奇还没来吗？”他刚一睡醒就问道。","‘Renditch has not come?’ was his first question."
"“还没来。”埃琳娜回答道，然后递给他最新版的《的里雅斯提诺观察报》。报纸上满版都是关于战争、斯拉夫各地区和各公国的消息。因萨罗夫开始看报纸，而埃琳娜则忙着给他煮咖啡。这时，一阵敲门声传来。","‘Not yet,’ answered Elena, and she handed him the latest number of the Osservatore Triestino, in which there was much upon the war, the Slav Provinces, and the Principalities.Insarov began reading it; she busied herself in getting some coffee ready for him.Some one knocked at the door."
"“伦迪奇。”这是他们的第一反应，但是一句俄语传了进来，“我能进来吗？”埃琳娜和因萨罗夫吃惊地望着对方。他们还没来得及回答，一个衣着得体的年轻人就走进了房间。他有张棱角分明的小脸和一双明亮的小眼睛。他满面笑容，就像刚发了一笔横财或者刚听到一个让人欣喜不已的好消息一样。","‘Renditch,’ both thought at once, but a voice said in Russian, ‘May I come in?’Elena and Insarov looked at each other in astonishment; and without waiting for an answer, an elegantly dressed young man entered the room, with a small sharp-featured face, and bright little eyes.He was beaming all over, as though he had just won a fortune or heard a most delightful piece of news."
"因萨罗夫从椅子上站起身来。","Insarov got up from his seat."
"“您不认得我了吗，”这个陌生人开口说道，并且一点儿也不见外地走到他的面前，很有礼貌地向埃琳娜欠了欠身，“卢波亚罗夫，您还记得吗，以前我们在莫斯科叶——家中见过的。”","‘You don’t recognise me,’ began the stranger, going up to him with an easy air, and bowing politely to Elena, ‘Lupoyarov, do you remember, we met at Moscow at the E—’s.’"
"“是的，是在叶——的家。”因萨罗夫回答道。","‘Yes, at the E—’s,’ replied Insarov."
"“确实是，确实是！麻烦您为我引荐您的夫人。夫人，我一向很敬重德米特里·瓦西里耶维奇,”（他改口）——“是尼卡诺尔 ·瓦西里耶维奇，我非常高兴最终有这个荣幸能够与您相识。猜猜，”他转向因萨罗夫说道，“我是昨晚才知道您住在这里。我也住在这家旅店。这座城市真小！威尼斯就是一首诗——那是能描述她的唯一的词汇！只有一件事情非常糟糕：到处都能遇到该死的奥地利人！啊，这些可恨的奥地利人！对了，您听说了吗，一场决定性的战役已经在多瑙河畔打响了：三百名土耳其军官丧生，锡利斯特拉已经被攻下，塞尔维亚终于宣布独立了。您，作为一个爱国者，应该非常高兴吧，不是吗？即便是我身上流淌着的斯拉夫热血也好像燃烧起来了！但是我还是建议您要多加小心，我确信有人正密切关注着您。这里的间谍非常可恶！一个形迹可疑的人昨天走到我面前，问：‘你是俄国人吗？’我告诉他我是丹麦人。您看起来气色不好，亲爱的尼卡诺尔·瓦西里耶维奇。您应该去找个医生看看。夫人，您应该带您的丈夫去看医生。昨天我近乎疯狂地游览了所有的宫殿和教堂。你们一定去过总督府吧？那里的一切都太壮观了！特别是大厅堂和马里诺·法列罗的位置，上面写着‘因罪而杀头’。我也去了那座著名的监狱。您能想到的，那里让我义愤填膺。我总是，您或许记得，我一直都热衷于研究社会问题，并且始终反对贵族专制——我一直想把那些维护贵族统治的人送到那里去——到那些地牢中去。正如拜伦说的那样：‘我伫立在威尼斯的叹息桥上’，虽然他也是个贵族。我总是在追寻进步——年轻的一代都是进步的拥护者。你觉得英国人和法国人如何？我们就看看他们会不会有所作为，布斯特拉巴和帕默斯顿。您知道，帕默斯顿已经做了首相。不，不论您说什么，俄国人的拳头都不是好惹的。那个布斯特拉巴可真是个让人厌恶的家伙！如果您有兴趣，我可以把维克多·雨果的《惩罚集》借给您——写得太棒了——未来，上帝的宪兵——写得相当大胆，但是充满了力量，充满了力量。维亚泽姆斯基公爵也说得不错：‘欧罗巴一遍又一遍地提到，巴什卡德克拉尔眼睛一动不动地盯着锡诺普。’我喜爱诗歌。我还有蒲鲁东的最新著作——这种书我那里应有尽有。我不知道您是什么感觉，但是我很开心爆发了这场战争。只要我的祖国不需要我回去，我就从这里去佛罗伦萨，再去罗马。我不能去法国——所以我想去西班牙——听说那里的女人，太美了！只是太穷了，而且虫子很多。我有过去加利福尼亚的计划——我们俄国人准备好了去做任何事——但是我答应了一个刊物写一些关于地中海贸易问题的报告。您可能认为这类题目没什么意思，专业性太强了吧，但是这类专家正是我们所需要的。我们的哲学理论已经很深厚了，我们现在需要的是实际，实际。但是您看上去非常不好，尼卡诺尔·瓦西里耶维奇，也许是我让您劳神了，但是我还是要再呆一会儿。”","‘To be sure, to be sure!I beg you to present me to your wife.Madam, I have always had the profoundest respect for Dmitri Vassilyevitch’ (he corrected himself)—‘for Nikanor Vassilyevitch, and am very happy to have the pleasure at last of making your acquaintance.Fancy,’ he continued, turning to Insarov, ‘I only heard yesterday evening that you were here.I am staying at this hotel too.What a city!Venice is poetry—that’s the only word for it!But one thing’s really awful: the cursed Austrians meeting one at every turn!ah, these Austrians!By the way, have you heard, there’s been a decisive battle on the Danube: three hundred Turkish officers killed, Silistria taken; Servia has declared its independence.You, as a patriot, ought to be in transports, oughtn’t you?Even my Slavonic blood’s positively on fire!I advise you to be more careful, though; I’m convinced there’s a watch kept on you.The spies here are something awful!A suspicious-looking man came up to me yesterday and asked: “Are you a Russian?”I told him I was a Dane.But you seem unwell, dear Nikanor Vassilyevitch.You ought to see a doctor; madam, you ought to make your husband see a doctor.Yesterday I ran through the palaces and churches, as though I were crazy.I suppose you’ve been in the palace of the Doges?What magnificence everywhere!Especially that great hall and Marino Faliero’s place: there’s an inscription: decapitati pro criminibus.I’ve been in the famous prisons too; that threw me into indignation, you may fancy.I’ve always, you remember perhaps, taken an interest in social questions, and taken sides against aristocracy—well, that’s where I should like to send the champions of aristocracy—to those dungeons.How well Byron said: I stood in Venice on the Bridge of Sighs; though he was an aristocrat too.I was always for progress—the younger generation are all for progress.And what do you say to the Anglo-French business?We shall see whether they can do much, Boustrapa and Palmerston.You know Palmerston has been made Prime Minister.No, say what you like, the Russian fist is not to be despised.He’s awfully deep that Boustrapa!If you like I will lend you Les Chatiments de Victor Hugo—it’s marvellous—L’avenir, le gendarme de Dieu—rather boldly written, but what force in it, what force!That was a fine saying, too, of Prince Vyazemsky’s: “Europe repeats: Bash-Kadik-Lar keeping an eye on Sinope.”I adore poetry.I have Proudhon’s last work, too—I have everything.I don’t know how you feel, but I’m glad of the war; only as I’m not required at home, I’m going from here to Florence, and to Rome.France I can’t go to—so I’m thinking of Spain—the women there, I’m told, are marvellous! only such poverty, and so many insects.I would be off to California—we Russians are ready to do anything—but I promised an editor to study the question of the commerce of the Mediterranean in detail.You will say that’s an uninteresting, special subject, but that’s just what we need, specialists; we have philosophised enough, now we need the practical, the practical.But you are very unwell, Nikanor Vassilyevitch, I am tiring you, perhaps, but still I must stay a little longer.’"
"卢波亚罗夫口若悬河地说了半天，临走的时候说还要来拜访。","And for a long time Lupoyarov still babbled on in the same way, and, as he went away, he promised to come again."
"因萨罗夫被这不速之客弄得筋疲力尽，躺在了沙发上。“这就是，”他看了看埃琳娜，心情沉痛地说，“你们的年轻一代！他们喜欢自吹自擂，狂妄自大，但是实际上，他们只是脑袋空空的话篓子而已。”","Worn out by the unexpected visit, Insarov lay down on the sofa.‘So this,’ he said, mournfully looking at Elena, ‘is your younger generation!There are plenty who show off, and give themselves airs, while at heart they are as empty chatterboxes as that worthy.’"
"埃琳娜没有回答她的丈夫。在那一刻，她更关心的是因萨罗夫那虚弱的身体而不是俄国年轻一代的特点。她在他身边坐下，干着手工活。他闭上眼睛，躺在那一动不动，脸色苍白，身体瘦弱。埃琳娜看了一眼他瘦削的侧影，看着他枯瘦的两只手，心里感到一阵害怕。","Elena made no reply to her husband; at that instant she was far more concerned at Insarov’s weakness than at the character of the whole younger generation in Russia.She sat down near him, and took up some work.He closed his eyes, and lay without moving, white and thin.Elena glanced at his sharp profile, at his emaciated hands, and felt a sudden pang of terror."
"“德米特里。”她说道。","‘Dmitri,’ she began."
"他动了动身体。“嗯？伦迪奇来了吗？”","He started.‘Eh? Has Renditch come?’"
"“还没来——但是你感觉怎么样——你在发烧，你的身体真的很不好，我们是不是该去请个医生？”","‘Not yet—but what do you think—you are in a fever, you are really not quite well, shouldn’t we send for a doctor?’"
"“那个话痨把你吓到了吧。没那个必要。我只要休息一会儿，很快就会好的。吃过晚饭我们再出去——到处转转。","‘That wretched gossip has frightened you.There’s no necessity.I will rest a little, and it will pass off.After dinner we will go out again—somewhere.’"
"两个小时过去了。因萨罗夫还是躺在沙发上，但是他没有睡着，虽然他依然闭着眼睛。埃琳娜一直在他身边坐着，她做的活计都掉到膝盖上了，但她却一动不动。","Two hours passed.Insarov still lay on the sofa, but he could not sleep, though he did not open his eyes.Elena did not leave his side; she had dropped her work upon her knee, and did not stir."
"“你怎么还不睡？”她终于开口问他。","‘Why don’t you go to sleep?’ she asked at last."
"“等一下吧。”他拿起她的手，把它放到头下面。“就这样——不错。等到伦迪奇来了就叫我起来。如果他说船准备好了，那我们就立刻动身。我们要先打包。”","‘Wait a little.’He took her hand, and placed it under his head.‘There—that is nice.Wake me at once directly Renditch comes.If he says the ship is ready, we will start at once.We ought to pack everything.’"
"“打包花不了多长时间。”埃琳娜说。","‘Packing won’t take long,’ answered Elena."
"“刚才那人对战争胡吹了一番，提到了塞尔维亚。”过了一小会儿，因萨罗夫说，“我猜想他那是无中生有。但是我们必须，我们必须要启程了。没有时间可以浪费了。要准备好。”","‘That fellow babbled something about a battle, about Servia,’ said Insarov, after a short interval.‘I suppose he made it all up.But we must, we must start.We can’t lose time.Be ready.’"
"他睡着了，屋里的一切都陷入了宁静。","He fell asleep, and everything was still in the room."
"埃琳娜把头靠在椅背上，双眼久久地凝视着窗外。天气变得阴沉。风也刮起来了。天上风起云涌，在很远的地方，一根又细又长的桅杆在风中摇摆不定，一张有着红色十字的长旗不住地颤动，垂下来，然后又颤动起来。古旧的摆钟单调地摆动着，发出一种悲哀的声音。埃琳娜闭上眼睛。她一整晚都没睡好，渐渐地，她也进入了梦乡。","Elena let her head rest against the back of her chair, and gazed a long while out of the window.The weather had changed for the worse; the wind had risen.Great white clouds were scudding over the sky, a slender mast was swaying in the distance, a long streamer, with a red cross on it, kept fluttering, falling, and fluttering again.The pendulum of the old-fashioned clock ticked drearily, with a kind of melancholy whirr.Elena shut her eyes.She had slept badly all night; gradually she, too, fell asleep."
"她做了一个奇怪的梦。她梦见自己跟很多陌生人搭乘一条小船，在察里津诺湖上漂荡。他们都没有出声，一动不动地坐着，没人划桨，小船自己在走。埃琳娜并不害怕，但却觉得郁闷不已。她想知道这些人是谁，自己为何跟他们在一起。她观察着，湖在不断地变宽，湖岸消失了——现在这已经不是湖了，而是汹涌澎湃的大海：悄无声息的蓝色巨浪猛烈地摇动着小船，有一个令人恐惧的东西怒吼着从海底深处向上翻腾，和她一起坐船的陌生人们一下子跳起来，大声呼喊着，挥舞着双臂……埃琳娜看清了他们的脸。她的父亲正在其中。然而，一股白色的旋风袭来，在浪花上面盘旋——所有的一切都开始转动，混成一团。","She had a strange dream.She thought she was floating in a boat on the Tsaritsino lake with some unknown people.They did not speak, but sat motionless, no one was rowing; the boat was moving by itself.Elena was not afraid, but she felt dreary; she wanted to know who were these people, and why she was with them?She looked and the lake grew broader, the banks vanished—now it was not a lake but a stormy sea: immense blue silent waves rocked the boat majestically; something menacing, roaring was rising from the depths; her unknown companions jumped up, shrieking, wringing their hands…Elena recognised their faces; her father was among them.But a kind of white whirlwind came flying over the waves—everything was turning round, everything was confounded together."
