"海浪","The Waves"
"“在埃尔夫登，”苏珊说，“曾经有一片山毛榉林，一座钟的镀金指针在树丛间闪耀。鸽子拨开树叶。变幻不定的灯火在我头上游荡。它们照不到我。可是内维尔，为了突出我自己，我总是败坏你的名声，你瞧桌子上的我这只手。瞧这儿，我的指节上，还有这儿，我的掌心上，深浅不一的健康肤色。我的身体一直操劳，日复一日，像巧匠手中的一件工具，尽其所用。锋刃光洁、锋利，中心已经磨损了。（我们缠斗在一起，像野兽在野地里争斗，像雄鹿犄角相抵。）透过你苍白、柔弱的身体看来，即使一个个苹果和一串串果实肯定也会蒙上一层膜，仿佛隔着玻璃似的。当你和一个人，虽然只是一个人，但那是一个总在变化的人，躺在一把椅子里时，你只看见一英寸厚的皮肉；里面的神经，纤维，或沉闷或急速的血液流动；但毫不完整。你看不见花园里的房子，田野里的马匹，铺展开的城镇，因为你像一个老妪佝偻着身子，正费尽眼力盯着她缝制的衣物。但是我看到了街区实实在在、庞大的生活；其中有城垛、塔楼、工厂和贮气罐；一处从远古时代继承下来的居所。这些东西方方正正，突兀而起，在我的脑海中经久不去。我既不委婉也不文雅；我坐在你们中间，以我的冷峻磨蚀着你们的柔情，以我清澈的眼睛里射出的绿光淬砺着像颤动的银灰色飞蛾翅膀似的闪烁之辞。","‘There was the beech wood,’ said Susan, ‘Elvedon, and the gilt hands of the clock sparkling among the trees.The pigeons broke the leaves.The changing travelling lights wandered over me.They escaped me.Yet look, Neville, whom I discredit in order to be myself, at my hand on the table.Look at the gradations of healthy colour here on the knuckles, here on the palm.My body has been used daily, rightly, like a tool by a good workman, all over.The blade is clean, sharp, worn in the centre.(We battle together like beasts fighting in a field, like stags making their horns clash.) Seen through your pale and yielding flesh, even apples and bunches of fruit must have a filmed look as if they stood under glass.Lying deep in a chair with one person, one person only, but one person who changes, you see one inch of flesh only; its nerves, fibres, the sullen or quick flow of blood on it; but nothing entire.You do not see a house in a garden; a horse in a field; a town laid out, as you bend like an old woman straining her eyes over her darning.But I have seen life in blocks, substantial, huge; its battlements and towers, factories and gasometers; a dwelling-place made from time immemorial after an hereditary pattern.These things remain square, prominent, undissolved in my mind.I am not sinuous or suave; I sit among you abrading your softness with my hardness, quenching the silver-grey flickering moth-wing quiver of words with the green spurt of my clear eyes."
"“瞧，我们相互顶过犄角了。这是必要的序曲；老友之间的问候。”","‘Now we have clashed our antlers.This is the necessary prelude; the salute of old friends.’"
"“树丛中的金色消褪了，”罗达说，“树后一抹绿色，拉得长长的，像梦中所见的刀锋，也像正在渐渐隐没的无人涉足的岛屿。这时，车辆开始忽闪着灯光，沿着大道开过来了。情人们这会儿可以躲进暗影里了；树的枝干变得肿胀，因情人们而不堪入目。”","‘The gold has faded between the trees,’ said Rhoda, ‘and a slice of green lies behind them, elongated like the blade of a knife seen in dreams, or some tapering island on which nobody sets foot.Now the cars begin to wink and flicker, coming down the avenue.Lovers can draw into the darkness now; the boles of the trees are swollen, are obscene with lovers.’"
"“以往有所不同。”伯纳德说。“以往我们能随自己的选择决流而出。而现在需要多少电话、多少明信片我们才能挤出这个关口，一起来到这里，齐聚在汉普顿宫？从一月到十二月，生活的步伐多么快啊！我们都被如此司空见惯，以至于我们毫不在意的事流裹挟向前；我们不做任何比较；几乎不曾想过我或你；而就在这样的无意识之中最大限度地避免了摩擦，冲开了凹陷的隧道口上的杂草。我们不得不像鱼一样跃起，高高地跃到空中，为了赶上从滑铁卢开来的火车。而不管我们跃到多高，我们总要重新落回到溪流中。如今我再也不会乘船去往南海诸岛了。罗马之旅是我最远的行程。我有儿有女。我迷迷糊糊地被楔进了现在的位置。","‘It was different once,’ said Bernard.‘Once we could break the current as we chose.How many telephone calls, how many post cards, are now needed to cut this hole through which we come together, united, at Hampton Court?How swift life runs from January to December!We are all swept on by the torrent of things grown so familiar that they cast no shade; we make no comparisons; think scarcely ever of I or of you; and in this unconsciousness attain the utmost freedom from friction and part the weeds that grow over the mouths of sunken channels.We have to leap like fish, high in the air, in order to catch the train from Waterloo.And however high we leap we fall back again into the stream.I shall never now take ship for the South Sea Islands.A journey to Rome is the limit of my travelling.I have sons and daughters.I am wedged into my place in the puzzle."
"“但只是我的躯体——眼前你们称其为伯纳德的这个上了年纪的人——被无可更改地固定住了——我愿相信这一点。我比年轻时更能公正地进行思考，那时为了发现自我，我不顾一切地刨根问底，非要像孩子一样在一个麦麸饼里探究不止。‘瞧，这是什么？这个呢？这个能算是一件精美的礼物么？只有那样了么？’如此种种。现在我知道包裹里装有什么；而且不大在意了。我把自己的思绪撒向空中，就像一个农人大把地撒出种子，在紫色的夕阳中散落下来，落在紧绷绷、亮闪闪、赤裸裸的耕地上。","‘But it is only my body—this elderly man here whom you call Bernard—that is fixed irrevocably—so I desire to believe.I think more disinterestedly than I could when I was young and must dig furiously like a child rummaging in a bran-pie to discover my self.“Look, what is this?And this?Is this going to be a fine present?Is that all?”and so on.Now I know what the parcels hold; and do not care much.I throw my mind out in the air as a man throws seeds in great fan-flights, falling through the purple sunset, falling on the pressed and shining ploughland which is bare."
"“一句妙语。一句不完美的妙语。什么是妙语？它们并没有给我带来什么，好让我摆在桌子上，摆在苏珊那只手的旁边；好让我从衣袋里掏出来，与内维尔的那些证书放在一起。我并非法律、医药或金融方面的权威。我被妙语包裹着，像潮湿的稻草；我发着热，闪着磷光。当我说到：‘我在燃烧，我在发光。’时，你们每个人都有感觉。","‘A phrase.An imperfect phrase.And what are phrases?They have left me very little to lay on the table, beside Susan’s hand; to take from my pocket, with Neville’s credentials.I am not an authority on law, or medicine, or finance.I am wrapped round with phrases, like damp straw; I glow, phosphorescent.And each of you feels when I speak, “I am lit up. I am glowing.”"
"当初在操场上的榆树下面，随着妙语汩汩地冒出我的嘴唇，那些小男孩总觉得‘这句不错，那句也不错’。他们也滔滔不绝；他们也和我的妙语一道逃走了。我在孤独中憔悴。孤独是我的死穴。","The little boys used to feel “That’s a good one, that’s a good one”, as the phrases bubbled up from my lips under the elm trees in the playing-fields.They too bubbled up; they also escaped with my phrases.But I pine in solitude.Solitude is my undoing."
"我走过千家万户，就像中世纪那些用念珠和民谣哄骗妇人和女子的天主教会修士们一样。我是一个行者，一个货郎，用一首民谣换取一次投宿；我是一个不加挑剔、容易满足的客人；经常宿在最好的房间里一张四柱大床上；然后却又躺在牲口棚里一堆干草上。我不在乎跳蚤，对绫罗绸缎也毫无芥蒂。我很宽宏大量。我不是一个卫道士。我对人生苦短及种种诱惑有着十分清醒的认识，不想再规划出道道红线。可我不像你们想的那么不分皂白——就像你们从我的口若悬河得出的判断那样。我的袖筒里藏着一把轻蔑而严厉的短剑。但是我容易注意力分散。我编造故事。我随意搓弄出好玩的东西。一个女孩坐在村舍门口；她在等待；等谁呢？她被引诱了，还是没被引诱？校长看见地毯上的洞。他叹了口气。他的太太，手指穿过她那波浪似的依然浓密的头发，陷入了沉思——诸如此类。频频挥舞的手，街角的迟疑，有人把一支香烟丢进排水沟——都是故事。但是哪一个是真实的故事呢？这我就不知道啦。因此我把我的妙语像衣服一样挂在一个壁橱里，等待有人穿上它们。就这样等待着，揣摩着，记下这句，然后下一句，我并不执着于生活。我会像一只蜜蜂，被人从一朵向日葵上赶走。我的哲学，总在不断地累积，分分秒秒都在涌现，一下子像水银一样四处流泻。但是路易斯，目光粗野而冷峻，在他的阁楼里，在他的办公室里，已经对所要知道的事情的真正本质做出了不容更改的结论。”","‘I pass from house to house like the friars in the Middle Ages who cozened the wives and girls with beads and ballads.I am a traveller, a pedlar, paying for my lodging with a ballad; I am an indiscriminate, an easily pleased guest; often putting up in the best room in a four-poster; then lying in a barn on a haystack.I don’t mind the fleas and find no fault with silk either.I am very tolerant.I am not a moralist.I have too great a sense of the shortness of life and its temptations to rule red lines.Yet I am not so indiscriminate as you think, judging me—as you judge me—from my fluency.I have a little dagger of contempt and severity hidden up my sleeve.But I am apt to be deflected.I make stories.I twist up toys out of anything.A girl sits at a cottage door; she is waiting; for whom?Seduced, or not seduced?The headmaster sees the hole in the carpet.He sighs.His wife, drawing her fingers through the waves of her still abundant hair, reflects—et cetera.Waves of hands, hesitations at street corners, someone dropping a cigarette into the gutter—all are stories.But which is the true story?That I do not know.Hence I keep my phrases hung like clothes in a cupboard, waiting for someone to wear them.Thus waiting, thus speculating, making this note and then another, I do not cling to life.I shall be brushed like a bee from a sunflower.My philosophy, always accumulating, welling up moment by moment, runs like quicksilver a dozen ways at once.But Louis, wild-eyed but severe, in his attic, in his office, has formed unalterable conclusions upon the true nature of what is to be known.’"
"“乱了，”路易斯说，“我试图连缀起来的那根线乱了；你的笑声，你的满不在乎，你的美，把它弄乱了。多年前吉尼在花园里吻我的时候就曾弄乱过那根线。上学时那些夸夸其谈的男孩模仿我的澳大利亚口音也曾把它弄乱。‘这就是意义所在。’说着，猛然升起一股虚荣。‘听，’我说，‘在践踏的铁蹄下，在征服与迁徙中，夜莺从未停止歌唱。相信——’然后就被人打断了。我小心翼翼地趟过残砖碎瓦和玻璃碴子。不同的灯光照射下来，使寻常的豹子变得斑驳而怪异。我们团聚的这一和谐时刻，这一黄昏时刻，斛筹交错，树影摇曳，青春一袭洁白法兰绒、背负着气垫浮出水面，对我来说，却因为地牢的阴影和人施于人的臭名昭著的拷打而变得漆黑一片。我的感官如此残缺，即便我们坐在这儿，它们也无法用一道紫色的光芒完全掩去我的理性不断加于我们的严肃指责。出路在何方，我问自己，桥梁在何处？我如何能把这些晃动的、令人眼花缭乱的幻影归结为一条连结一切的线？于是我陷入沉思；而同时你们不怀好意地观察着我撅起的嘴唇、苍白的面颊和一直紧锁的眉头。","‘It breaks,’ said Louis, ‘the thread I try to spin; your laughter breaks it, your indifference, also your beauty.Jinny broke the thread when she kissed me in the garden years ago.The boasting boys mocked me at school for my Australian accent and broke it.“This is the meaning,” I say; and then start with a pang—vanity.“Listen,” I say, “to the nightingale, who sings among the trampling feet; the conquests and migrations.Believe—” and then am twitched asunder.Over broken tiles and splinters of glass I pick my way.Different lights fall, making the ordinary leopard spotted and strange.This moment of reconciliation, when we meet together united, this evening moment, with its wine and shaking leaves, and youth coming up from the river in white flannels, carrying cushions, is to me black with the shadows of dungeons and the tortures and infamies practised by man upon man.So imperfect are my senses that they never blot out with one purple the serious charge that my reason adds and adds against us, even as we sit here.What is the solution, I ask myself, and the bridge?How can I reduce these dazzling, these dancing apparitions to one line capable of linking all in one?So I ponder; and you meanwhile observe maliciously my pursed lips, my sallow cheeks and my invariable frown."
"“但是我请求你们也注意一下我的手杖和我的马甲。在一间挂满地图的屋子里，我继承了一张结实的红木办公桌。我们的轮船凭借它们豪华的客舱而赢得了令人羡慕的声誉。我们配备有游泳池和健身房。目前我总穿着一件白色马甲，赴约之前总要核实一下小巧的记事簿。","‘But I beg you also to notice my cane and my waistcoat.I have inherited a desk of solid mahogany in a room hung with maps.Our steamers have won an enviable reputation for their cabins replete with luxury.We supply swimming-baths and gymnasiums.I wear a white waistcoat now and consult a little book before I make an engagement."
"“这种姿态既傲慢无礼又含着讥讽，我希望以此使你们分心，不至于察觉到我战栗、柔弱、极其幼稚而毫无防护的灵魂。因为我永远是最幼稚的；最容易天真烂漫地表露惊诧；最先领会并同情那些令人不快或荒唐可笑的事情——不管是鼻子上的一块污迹，还是一颗松开的纽扣。我为一切屈辱而难受。但同时我也残忍无情，像大理石一样冰冷。我不明白你怎么能说活在世上是幸运的。水壶烧开的时候，轻风吹起吉尼那沾了污迹的围巾，它像蛛网一样飘浮的时候，你们小小的兴奋，你们孩子气的狂喜，对我来说就像那只冲锋的公牛眼中一闪而过的绸带。我谴责你们。可我又心系你们。我愿与你们一起经历死亡之火。可我最乐于孤身独处。我在锦绣华服中极尽奢华。我却更喜欢越过烟囱管帽极目眺望；猫在爆了皮的烟囱管上蹭着它们长满疥癣的腹部；破碎的窗户；一座砖砌的小教堂的塔尖传来嘶哑的叮叮当当的钟声。”","‘This is the arch and ironical manner in which I hope to distract you from my shivering, my tender, and infinitely young and unprotected soul.For I am always the youngest; the most naively surprised; the one who runs in advance in apprehension and sympathy with discomfort or ridicule—should there be a smut on a nose, or a button undone.I suffer for all humiliations.Yet I am also ruthless, marmoreal.I do not see how you can say that it is fortunate to have lived.Your little excitements, your childish transports, when a kettle boils, when the soft air lifts Jinny’s spotted scarf and it floats web-like, are to me like silk streamers thrown in the eyes of the charging bull.I condemn you.Yet my heart yearns towards you.I would go with you through the fires of death.Yet am happiest alone.I luxuriate in gold and purple vestments.Yet I prefer a view over chimneypots; cats scraping their mangy sides upon blistered chimney-stacks; broken windows; and the hoarse clangour of bells from the steeple of some brick chapel.’"
"“我看见在我眼前的东西。”吉尼说。“这条围巾，这些酒色的污迹。这只酒杯。这个芥末瓶。这朵花。我喜欢触摸到的东西，品尝到的东西。我喜欢的雨化作了雪，变得合乎我的口味。因为我的率直，因为我比你们更有胆量，我从不用粗俗来调和我的美，以免那会把我烤焦。我大口地把它整个吞下。它有血有肉；它实实在在。我的想象力源自我的肉体。它的幻影不像路易斯的幻影那么精细而洁白。我不喜欢你的那些瘦猫和爆了皮的烟囱管帽。你那些屋顶上的贫乏之美令我生厌。男人和女人，身着制服，假发和长袍，圆顶礼帽和优雅的开领网球衫，变化无极限的女式服装（我总是注意各种衣服），都令我赏心悦目。我与他们一起流转，来来回回，来来回回，进入房间，进入厅堂，时而这里，时而那里，他们去哪儿，我就在哪儿。这人抬起一匹马的蹄子。那人反复推拉他装有私家收藏的抽屉。我从不孤单。总有一群伙伴围着我。我的母亲肯定一直追随鼓乐，我的父亲一心向往大海。我像一只小狗，亦步亦趋地沿路跟在军乐队后面，仅仅停下来嗅嗅一株树干，嗅嗅一处褐色的污迹，突然冲过街道跟在一只杂种野狗的后面，然后抬起一只爪子，嗅着肉铺里飘出的一缕诱人的肉香。我的交往把我带进了新奇之地。男人，多少男人，从墙的那边急急地向我走来。我只需举手之劳。他们就像飞镖一样径直来到约会地点——可能是阳台的一把椅子，可能是街角的一家店铺。你们生活中的苦恼和分歧对我来说是一夜一夜解开的，有时仅凭我们坐着吃饭时手指在桌布下面的一触——我的身体变得如此灵动，甚至在手指的一触之下凝成完整的一滴，充实，战栗，忽闪着，忘形地落了下去。","‘I see what is before me,’ said Jinny.‘This scarf, these wine-coloured spots.This glass.This mustard pot.This flower.I like what one touches, what one tastes.I like rain when it has turned to snow and become palatable.And being rash, and much more courageous than you are, I do not temper my beauty with meanness lest it should scorch me.I gulp it down entire.It is made of flesh; it is made of stuff.My imagination is the body’s.Its visions are not fine-spun and white with purity like Louis’.I do not like your lean cats and your blistered chimney-pots.The scrannel beauties of your roof-tops repel me.Men and women, in uniforms, wigs and gowns, bowler hats and tennis shirts beautifully open at the neck, the infinite variety of women’s dresses (I note all clothes always) delight me.I eddy with them, in and out, in and out, into rooms, into halls, here, there, everywhere, wherever they go.This man lifts the hoof of a horse.This man shoves in and out the drawers of his private collection.I am never alone.I am attended by a regiment of my fellows.My mother must have followed the drum, my father the sea.I am like a little dog that trots down the road after the regimental band, but stops to snuff a tree-trunk, to sniff some brown stain, and suddenly careers across the street after some mongrel cur and then holds one paw up while it sniffs an entrancing whiff of meat from the butcher’s shop.My traffics have led me into strange places.Men, how many, have broken from the wall and come to me.I have only to hold my hand up.Straight as a dart they have come to the place of assignation—perhaps a chair on a balcony, perhaps a shop at a street corner.The torments, the divisions of your lives have been solved for me night after night, sometimes only by the touch of a finger under the table-cloth as we sat dining—so fluid has my body become, forming even at the touch of a finger into one full drop, which fills itself, which quivers, which flashes, which falls in ecstasy."
"“你们坐在桌前写写算算的时候，我一直坐在一面镜子前。就这样，在我卧室的神殿中那面镜子前，我审视着我的鼻子和下巴；我的嘴唇咧得太大，露出太多牙龈。我瞧着。我注意观察。我选择黄或白，亮或暗，弯或直，看它们是否搭配。我有时活泼，有时拘谨，有时像银色的冰柱棱角分明，有时像金色的烛焰撩人心魄。我像猛抽出去的鞭子极尽我之所能。那边角落里的人，他的衬衫前胸曾是白的；后来变成了紫红；烟雾和火焰笼罩了我们；经历了突发的一场大火——可是我们几乎没有抬高我们的嗓门，一直坐在炉边的地毯上，悄悄说出我们心中的秘密，好像对着贝壳耳语似的，为的是不让卧室里的人听见，但是有一次我听到厨子走动的声音，还有一次我们以为钟的滴答是谁的脚步——我们化成了灰烬，没有留下一丝残骸，一根未烧尽的骨头，或是一绺头发，保存在纪念盒里，就像你们的亲友身后留下的那些东西。如今我白发苍苍；如今我憔悴不堪；但是我在正午的光天化日之下坐在镜子前望着我的脸庞，分毫不差地观察着我的鼻子，我的下巴，我的嘴唇咧得太大，露出太多的牙龈。但是我并不害怕。”","‘I have sat before a looking-glass as you sit writing, adding up figures at desks.So, before the looking-glass in the temple of my bedroom, I have judged my nose and my chin; my lips that open too wide and show too much gum.I have looked.I have noted.I have chosen what yellow or white, what shine or dullness, what loop or straightness suits.I am volatile for one, rigid for another, angular as an icicle in silver, or voluptuous as a candle flame in gold.I have run violently like a whip flung out to the extreme end of my tether.His shirt front, there in the corner, has been white; then purple; smoke and flame have wrapped us about; after a furious conflagration—yet we scarcely raised our voices, sitting on the hearth-rug, as we murmured all the secrets of our hearts as into shells so that nobody might hear in the sleeping-house, but I heard the cook stir once, and once we thought the ticking of the clock was a footfall—we have sunk to ashes, leaving no relics, no unburnt bones, no wisps of hair to be kept in lockets such as your intimacies leave behind them.Now I turn grey; now I turn gaunt; but I look at my face at midday sitting in front of the looking-glass in broad daylight, and note precisely my nose, my chin, my lips that open too wide and show too much gum.But I am not afraid.’"
"“有些灯杆，”罗达说，“还有些枝叶尚未舒展的树在从车站过来的路上。枝叶本可以把我静静地遮掩起来。但我并没有躲在它们后面。我径直向你们走过去，并没有像以往那样绕着圈子以回避情绪的波动。但这只是我教我的身体使出的一个花招而已。我的内心并未受教；我怕，我恨，我爱，我羡慕你们，也鄙视你们，但我从未快乐地加入你们。从车站一路走来，我拒绝接受那些树和邮筒的遮掩，通过你们的外套和雨伞，即使从远处我也感觉到，你们站在那儿，仿佛被嵌入一种由于连续的时光反复而形成的物质当中；你们身负使命，审时度势，拥有儿女、职权、名望、爱情和社会交往；而我在这些方面一无所有。我毫无脸面。","‘There were lamp-posts,’ said Rhoda, ‘and trees that had not yet shed their leaves on the way from the station.The leaves might have hidden me still.But I did not hide behind them.I walked straight up to you instead of circling round to avoid the shock of sensation as I used.But it is only that I have taught my body to do a certain trick.Inwardly I am not taught; I fear, I hate, I love, I envy and despise you, but I never join you happily.Coming up from the station, refusing to accept the shadow of the trees and the pillar-boxes, I perceived, from your coats and umbrellas, even at a distance, how you stand embedded in a substance made of repeated moments run together; are committed, have an attitude, with children, authority, fame, love, society; where I have nothing.I have no face."
"“在这间餐厅里，你们看见那些鹿角和平底玻璃杯；那些盐罐子；那些桌布上的黄色污迹。‘服务生！’伯纳德说。","‘Here in this dining-room you see the antlers and the tumblers; the salt-cellars; the yellow stains on the tablecloth.“Waiter!” says Bernard."
"‘面包！’苏珊说。","“Bread!” says Susan."
"服务生过来了；他拿来了面包。但是我看见杯壁，像一座大山，只看见部分鹿角，水壶壁上的光亮像黑暗中一道裂缝，奇妙而恐怖。你们的话语听起来像森林中的树木正在嘎吱嘎吱响。你们的脸和上面的凹凸不平也是一样。夜半时分，靠在某个广场的栏杆上，远远地、一动不动地站在这里，多么美啊！你的身后是新月形的洁白的浪花，天边，渔夫们正在收网撒网。一阵风从古树枝头粼粼掠过。（可是我们坐在这儿的汉普顿宫里。）尖叫的鹦鹉冲破了丛林的沉寂。（这儿的电车开动了。）燕子在午夜的池水中蘸湿了它的翅膀。（我们在这儿说着话。）这就是我们坐在一起时我试图把握的周围环境。因此我必须在七点三十分整经历汉普顿宫的这番苦修。","And the waiter comes; he brings bread.But I see the side of a cup like a mountain and only parts of antlers, and the brightness on the side of that jug like a crack in darkness with wonder and terror.Your voices sound like trees creaking in a forest.So with your faces and their prominences and hollows.How beautiful, standing at a distance immobile at midnight against the railings of some square!Behind you is a white crescent of foam, and fishermen on the verge of the world are drawing in nets and casting them.A wind ruffles the topmost leaves of primeval trees.(Yet here we sit at Hampton Court.) Parrots shrieking break the intense stillness of the jungle.(Here the trams start.) The swallow dips her wings in midnight pools.(Here we talk.) That is the circumference that I try to grasp as we sit together.Thus I must undergo the penance of Hampton Court at seven thirty precisely."
"“但是既然这些面包卷和酒瓶子是我需要的，你们凹凸不平的脸是美丽的，这块桌布和它上面的黄色污迹也远远的，不会漫延成越来越大的圆圈，以至于像人的认知一样可能最终（我梦想着晚上当我的床悬在半空，我从大地的边缘坠落下去）包含整个世界，我必须经历个人的种种古怪行为。我必须在你们用你们的孩子、诗歌、冻疮或随意什么所作所为和遭遇来缠着我的时候开始。但是我不会轻信。在所有这些来自四方的召唤，这些纠缠和探询之后，我还是会孤身一人穿透这薄层，坠入火坑。你们是不会帮我的。你们比古时的拷问者更为残忍，任由我坠落，而且在我落下时将我撕成碎片。不过有些时候，理智的围墙愈发单薄，没有什么不被吸收进去，我甚至幻想我们可以吹出一个硕大的泡泡，让太阳在其中升起、落下，我们可以携着正午的天蓝和夜半的黑暗，逃脱出去，逃离此时此地。”","‘But since these rolls of bread and wine bottles are needed by me, and your faces with their hollows and prominences are beautiful, and the table-cloth and its yellow stain, far from being allowed to spread in wider and wider circles of understanding that may at last (so I dream, falling off the edge of the earth at night when my bed floats suspended) embrace the entire world, I must go through the antics of the individual.I must start when you pluck at me with your children, your poems, your chilblains or whatever it is that you do and suffer.But I am not deluded.After all these callings hither and thither, these pluckings and searchings, I shall fall alone through this thin sheet into gulfs of fire.And you will not help me.More cruel than the old torturers, you will let me fall, and will tear me to pieces when I am fallen.Yet there are moments when the walls of the mind grow thin; when nothing is unabsorbed, and I could fancy that we might blow so vast a bubble that the sun might set and rise in it and we might take the blue of midday and the black of midnight and be cast off and escape from here and now.’"
"“一滴接着一滴，”伯纳德说，“寂静降临了。它在思维的屋檐上凝聚，然后落进下面的水池里。永远孤孤单单，孤孤单单，孤孤单单——倾听寂静降临，然后把它掸向天边。饱经沧桑，人到中年，终于志得意满，我，毁于孤独的我，任由寂静降临，一滴接着一滴。","‘Drop upon drop,’ said Bernard, ‘silence falls.It forms on the roof of the mind and falls into pools beneath.For ever alone, alone, alone,—hear silence fall and sweep its rings to the farthest edges.Gorged and replete, solid with middle-aged content, I, whom loneliness destroys, let silence fall, drop by drop."
"“但是此刻，不断降临的寂静弄得我的脸坑坑洼洼，我的鼻子混混沌沌，好像雨中在院子里亮相的一个雪人。随着寂静降临，我被彻底融化了，变得毫无特点，几乎与别人一般无二。这不要紧。什么事要紧呢？我们吃得挺好。鱼啊，小牛排啊，酒啊，已经把自我的尖牙利齿磨钝了。焦虑平息了。我们当中最自负的可能是路易斯吧，也不在乎人家怎么想了。内维尔的苦恼平息了。随别人功成名就去吧——他就是这么想的。苏珊听见她所有安然入睡的孩子们的呼吸声。睡吧，睡吧，她喃喃低语。罗达已经把她的船摇向岸边。它们是否沉没了，它们是否下了锚，她也不再关心了。我们乐于考虑这个世界非常公正地提出的任何建议。此刻我认识到，地球只是从太阳表面偶然甩出的一块卵石，茫茫太空中哪里都毫无生命的存在。”","‘But now silence falling pits my face, wastes my nose like a snowman stood out in a yard in the rain.As silence falls I am dissolved utterly and become featureless and scarcely to be distinguished from another.It does not matter.What matters?We have dined well.The fish, the veal cutlets, the wine have blunted the sharp tooth of egotism.Anxiety is at rest.The vainest of us, Louis perhaps, does not care what people think.Neville’s tortures are at rest.Let others prosper—that is what he thinks.Susan hears the breathing of all her children safe asleep.Sleep, sleep, she murmurs.Rhoda has rocked her ships to shore.Whether they have foundered, whether they have anchored, she cares no longer.We are ready to consider any suggestion that the world may offer quite impartially.I reflect now that the earth is only a pebble flicked off accidentally from the face of the sun and that there is no life anywhere in the abysses of space.’"
"“如此寂静，”苏珊说，“仿佛树叶永远不会落下，鸟儿也不再飞起。”","‘In this silence,’ said Susan, ‘it seems as if no leaf would ever fall, or bird fly.’"
"“仿佛奇迹发生了，”吉尼说，“生命停滞在此时此地。”","‘As if the miracle had happened,’ said Jinny, ‘and life were stayed here and now.’"
"“于是，”罗达说，“我们再无需活下去了。”","‘And,’ said Rhoda, ‘we had no more to live.’"
"“但是听啊，”路易斯说，“这个世界正穿行在浩瀚的太空。它发出轰鸣；被照亮的历史片段以及我们的国王和皇后们，都已成为过去；我们都已消逝；我们的文明；尼罗河；一切的生命。我们独立的一点一滴都溶解了；我们灭绝了，消失在时间的深渊之中，黑暗之中。”","‘But listen,’ said Louis, ‘to the world moving through abysses of infinite space.It roars; the lighted strip of history is past and our Kings and Queens; we are gone; our civilization; the Nile; and all life.Our separate drops are dissolved; we are extinct, lost in the abysses of time, in the darkness.’"
"“寂静降临了；寂静降临了。”伯纳德说。“但是此刻，听啊；嘀嗒，嘀嗒；嘟嘟，嘟嘟；世界已经发出召唤，让我们回去。刚才的一刹那，我听见了呼啸的黑暗之风，因为我们跨越到了生命之外。然后，嘀嗒，嘀嗒（这是时钟）；然后，嘟嘟，嘟嘟（这是车辆）。我们登陆了；我们来到岸上；我们坐在这儿，六个人，围着一张桌子。是鼻子的回忆提醒了我。我站起身；‘战斗，’我大喊，‘战斗啊！’一边回想着我鼻子的模样，一边用手中的勺子狠命地敲打眼前的桌子。”","‘Silence falls; silence falls,’ said Bernard.‘But now listen; tick, tick; hoot, hoot; the world has hailed us back to it.I heard for one moment the howling winds of darkness as we passed beyond life.Then tick, tick (the clock); then hoot, hoot (the cars).We are landed; we are on shore; we are sitting, six of us, at a table.It is the memory of my nose that recalls me.I rise; “Fight,” I cry, “fight!” remembering the shape of my own nose, and strike with this spoon upon this table pugnaciously.’"
"“我们来对抗这无限的混乱吧，”内维尔说，“这无可名状的愚钝。那个士兵正在树后和一个保姆做爱，他比满天的星星更令人称羡。不过有时候一颗闪烁的星星出现在明净的天空中，让我觉得这世界是美丽的，而我们这些蛆虫实际上正在用我们的淫欲扭曲着那些树。”","‘Oppose ourselves to this illimitable chaos,’ said Neville, ‘this formless imbecility.Making love to a nursemaid behind a tree, that soldier is more admirable than all the stars.Yet sometimes one trembling star comes in the clear sky and makes me think the world beautiful and we maggots deforming even the trees with our lust.’"
"（“不过，路易斯，”罗达说，“寂静持续的时间多么短暂啊。他们已经开始抚平他们盘子边上的餐巾了。","(‘Yet, Louis,’ said Rhoda, ‘how short a time silence lasts.Already they are beginning to smooth their napkins by the side of their plates."
"‘谁来了？’吉尼说；内维尔叹了口气，想起珀西瓦尔再也不会来了。吉尼拿出了她的镜子。她一边像艺术家似的审视着自己的脸庞，一边在鼻子上扑了一点粉，然后稍稍考虑了一下，恰到好处地在嘴唇上涂了浓淡相宜的一抹红。一见这番修饰，苏珊的心里既轻蔑又敬畏，她扣紧了大衣最上面的那颗纽扣，又解开了。她要准备做什么呢？要做点事情，但那是与众不同的事情吧。”","“Who comes?” says Jinny; and Neville sighs, remembering that Percival comes no more.Jinny has taken out her looking-glass.Surveying her face like an artist, she draws a powder-puff down her nose, and after one moment of deliberation has given precisely that red to the lips that the lips need.Susan, who feels scorn and fear at the sight of these preparations, fastens the top button of her coat, and unfastens it.What is she making ready for?For something, but something different.’"
"“他们在自言自语，”路易斯说，“‘时候到了。我依然精力充沛。’他们还在说。‘在茫茫太空的黑色背景下，我的脸庞将被刻画出来。’他们的话没有说完。‘时候到了。’他们还在说。‘园子要关门了。’与他们一路同行，罗达已经卷入了他们的流，或许我们应该落在后面一点点。”","‘They are saying to themselves,’ said Louis, ‘“It is time.I am still vigorous,” they are saying.“My face shall be cut against the black of infinite space.”They do not finish their sentences.“It is time,” they keep saying.“The gardens will be shut.”And going with them, Rhoda, swept into their current, we shall perhaps drop a little behind.’"
"“好像有事要密谈的共谋者似的。”罗达说。）","‘Like conspirators who have something to whisper,’ said Rhoda.)"
