"第一章 枪炮俱乐部","CHAPTER I THE GUN CLUB"
"米歇尔·阿当一边听J.T.马斯顿一口气说完这番话，一边急忙穿上衣服。不到两分钟，这两位朋友就快步奔向坦帕城郊外。","While J. T. Maston was speaking, Michel Ardan, without interrupting him, had hastily put on his clothes; and, in less than two minutes, the two friends were making for the suburbs of Tampa Town with rapid strides."
"马斯顿一边走一边把整个事情的来龙去脉都告诉了阿当。他告诉阿当巴比康和尼科尔敌对的真正原因，还有他们的仇恨是多么日久年深，还有，多亏一些朋友暗地里帮忙，这两位宿敌才从未谋面。他又补充说，他们的仇恨其实是从钢板和子弹的小矛盾慢慢地发展到今天的地步的。这次大会上的那一幕，对于尼科尔来说正是一次等待已久的清算宿怨的机会。","It was during this walk that Maston told Ardan the state of the case.He told him the real causes of the hostility between Barbicane and Nicholl; how it was of old date, and why, thanks to unknown friends, the president and the captain had, as yet, never met face to face.He added that it arose simply from a rivalry between iron plates and shot, and, finally, that the scene at the meeting was only the long-wished-for opportunity for Nicholl to pay off an old grudge."
"没有什么比美国的这种私下决斗更可怕了。敌对双方像野兽一样互相攻击。他们在决斗时，一定很期望自己能像草原上的印第安人一样，拥有那些高超的本领——敏锐的反应、天生的智谋，还有对敌人的洞察力。一点疏忽，片刻犹豫，或是走错一小步，就有可能丢了性命。通常，美国人会带着他们的狗，一连几个小时地厮打。","Nothing is more dreadful than private duels in America.The two adversaries attack each other like wild beasts.Then it is that they might well covet those wonderful properties of the Indians of the prairies—their quick intelligence, their ingenious cunning, their scent of the enemy.A single mistake, a moment’s hesitation, a single false step may cause death.On these occasions Yankees are often accompanied by their dogs, and keep up the struggle for hours."
"阿当听他的伙伴绘声绘色地描述了决斗场景后，喊道：“你们简直是魔鬼！”","“What demons you are!” cried Michel Ardan, when his companion had depicted this scene to him with much energy."
"“是啊，您说的是，”J.T.谦虚地说，“不过我们得再快点。”","“Yes, we are,” replied J. T. modestly; “but we had better make haste.”"
"他和米歇尔·阿当穿过了晨露未干的草地，又抄近道穿过小溪和稻田，但还是没能在五点半之前赶到斯科斯诺。","Though Michel Ardan and he had crossed the plains still wet with dew, and had taken the shortest route over creeks and ricefields, they could not reach Skersnaw in under five hours and a half."
"巴比康肯定半小时前就进去了。","Barbicane must have passed the border half an hour ago."
"那里有位老樵夫，正在用斧子把刚刚砍倒的树劈成柴。","There was an old bushman working there, occupied in selling fagots from trees that had been leveled by his axe."
"马斯顿跑向他，问道：“您看到有一个人带着一把步枪往树林里面走了吗？就是巴比康主席，我最好的朋友。”","Maston ran toward him, saying, “Have you seen a man go into the wood, armed with a rifle?Barbicane, the president, my best friend?”"
"这位称职的枪炮俱乐部秘书以为世界上所有人都认识他的主席呢。但是樵夫好像没弄明白他说的是谁。","The worthy secretary of the Gun Club thought that his president must be known by all the world.But the bushman did not seem to understand him."
" “一个猎人？”阿当说。","“A hunter?” said Ardan."
" “猎人？ 我看到了。”樵夫回答。","“A hunter?Yes,” replied the bushman."
" “进去很久了吗？”","“Long ago?”"
" “大约有一个小时了。”","“About an hour.”"
"“太晚了！”马斯顿喊道。","“Too late!” cried Maston."
" “您有没有听见枪声？”阿当问。","“Have you heard any gunshots?” asked Ardan."
"“没有！”","“No!”"
" “一声都没听见吗？”","“Not one?”"
" “没有！那个猎人看上去好像不会打猎！”","“Not one! that hunter did not look as if he knew how to hunt!”"
" “我们现在怎么办呢？”马斯顿说。","“What is to be done?” said Maston."
" “就算是冒着平白无故挨一枪的危险，也要到树林里去。”","“We must go into the wood, at the risk of getting a ball which is not intended for us.”"
"“啊！”马斯顿叫道，他的声调绝不会让人误会他的意思，“我宁愿自己的脑袋挨二十枪，也不想让他中一枪。”","“Ah!” cried Maston, in a tone which could not be mistaken, “I would rather have twenty balls in my own head than one in Barbicane’s.”"
"“那我们就走吧，”阿当握了握他伙伴的手。","“Forward, then,” said Ardan, pressing his companion’s hand."
"一会儿的功夫，这两个朋友就消失在灌木丛中了。树林很密，遍地生长着高大的柏树、梧桐树、郁金香树、橄榄树、罗望子树、橡树和木兰。这些树的树枝旁逸斜出，纠缠交错，挡住了人的视线，看不到前方的路。米歇尔·阿当和马斯顿默默不语，肩并肩地走在高高的杂草中，分开结实的藤蔓，开辟出一条小路。二人边走边用探询的目光环顾着灌木丛，做好随时都可能听到枪声的心理准备。按理说，巴比康要是经过这里，应该会留下痕迹，但是他们什么也没发现。他们只能沿着隐约可见的小路往前走，在这条树阴浓密、暗无天日的小路上，印第安人曾经追踪过他们的敌人。","A few moments later the two friends had disappeared in the copse.It was a dense thicket, in which rose huge cypresses, sycamores, tulip-trees, olives, tamarinds, oaks, and magnolias.These different trees had interwoven their branches into an inextricable maze, through which the eye could not penetrate.Michel Ardan and Maston walked side by side in silence through the tall grass, cutting themselves a path through the strong creepers, casting curious glances on the bushes, and momentarily expecting to hear the sound of rifles.As for the traces which Barbicane ought to have left of his passage through the wood, there was not a vestige of them visible: so they followed the barely perceptible paths along which Indians had tracked some enemy, and which the dense foliage darkly overshadowed."
"一个小时徒劳的寻找让这两个人愈加焦急，他们停了下来。","After an hour spent in vain pursuit the two stopped in intensified anxiety."
"“决斗一定结束了。”马斯顿垂头丧气地说，“巴比康这个人从来不会跟敌人兜圈子，更不会暗算、使阴谋的！他太坦率，太勇敢了。他一定是大步向前，直接走进了危险的圈套。毫无疑问，樵夫离他太远了，风根本不可能把枪声传到那里。”","“It must be all over,” said Maston, discouraged.“A man like Barbicane would not dodge with his enemy, or ensnare him, would not even maneuver!He is too open, too brave.He has gone straight ahead, right into the danger, and doubtless far enough from the bushman for the wind to prevent his hearing the report of the rifles.”"
"“可是，如果有枪声的话，”米歇尔·阿当回答，“我们进了树林之后肯定能听见啊！”","“But surely,” replied Michel Ardan, “since we entered the wood we should have heard!”"
"“要是我们来晚了呢？”马斯顿绝望地叫起来。","“And what if we came too late?” cried Maston in tones of despair."
"阿当无言以对。他们两人又默默地、急匆匆地往前走。每隔一会儿，他们就扯着嗓门大喊巴比康和尼科尔的名字，可是没人回应。只有被叫声惊醒的鸟儿从他们眼前飞过，又消失在茂密的枝叶中，还有几只受惊的小鹿，慌慌张张地从他们面前飞奔而过。","For once Ardan had no reply to make, he and Maston resuming their walk in silence.From time to time, indeed, they raised great shouts, calling alternately Barbicane and Nicholl, neither of whom, however, answered their cries.Only the birds, awakened by the sound, flew past them and disappeared among the branches, while some frightened deer fled precipitately before them."
"两人又搜索了一个小时。大半个树林都被他们搜过来了。可还是没发现这两位斗士的一丝痕迹。况且，樵夫的话也不一定可信。阿当正要提议放弃这毫无意义的寻找，这时，马斯顿突然停了下来。","For another hour their search was continued.The greater part of the wood had been explored.There was nothing to reveal the presence of the combatants.The information of the bushman was after all doubtful, and Ardan was about to propose their abandoning this useless pursuit, when all at once Maston stopped."
"“嘘！”他轻声说，“前面有一个人！”","“Hush!” said he, “there is some one down there!”"
"“有人？”米歇尔·阿当重复了一遍。","“Some one?” repeated Michel Ardan."
"“是的，有人！他好像一动不动。手里并没有步枪。他在干什么呢？”","“Yes; a man!He seems motionless.His rifle is not in his hands.What can he be doing?”"
"“你能看清他是谁吗？”阿当问，在这种情况下，他那双近视眼就派不上什么用场了。","“But can you recognize him?” asked Ardan, whose short sight was of little use to him in such circumstances."
"“是的！是的！他正朝我们这边转头呢。”马斯顿回答。","“Yes! yes! He is turning toward us,” answered Maston."
"“他是？”","“And it is?”"
"“尼科尔上校！”","“Captain Nicholl!”"
"“尼科尔？”米歇尔·阿当喊道，心中一阵剧烈的悲痛。","“Nicholl?” cried Michel Ardan, feeling a terrible pang of grief."
"“尼科尔没有拿枪！这么说，他再也不用畏惧敌人了！”","“Nicholl unarmed!He has, then, no longer any fear of his adversary!”"
"“我们过去看看吧，”米歇尔·阿当说，“去看看是怎么回事。”","“Let us go to him,” said Michel Ardan, “and find out the truth.”"
"但是，他和他的伙伴才走了50步，就又停了下来，仔细地观察着上校。他们本以为会看到一个嗜血的魔鬼，一个以复仇为快乐的恶人。","But he and his companion had barely taken fifty steps, when they paused to examine the captain more attentively.They expected to find a bloodthirsty man, happy in his revenge."
"可是一看见他，两个人就惊呆了。","On seeing him, they remained stupefied."
"他们眼前是一张细密的蜘蛛网，悬在两棵大郁金香树之间，一只可怜的小鸟在这张大网正中挣扎，翅膀缠在网缝里，一边徒劳地扑腾着，一边发出凄惨的叫声。织网捕鸟者不是人类，而是本地特有的毒蜘蛛，它有企鹅蛋那么大，而且长着巨大的钳子。这个可恶的东西正要扑向它的猎物，却突然受到了一个更强大的敌人的威胁。它马上退了回来，逃到郁金香树高高的枝叶里避难去了。","A net, composed of very fine meshes, hung between two enormous tulip-trees, and in the midst of this snare, with its wings entangled, was a poor little bird, uttering pitiful cries, while it vainly struggled to escape.The bird-catcher who had laid this snare was no human being, but a venomous spider, peculiar to that country, as large as a pigeon’s egg, and armed with enormous claws.The hideous creature, instead of rushing on its prey, had beaten a sudden retreat and taken refuge in the upper branches of the tulip-tree, for a formidable enemy menaced its stronghold."
"这位敌人就是尼科尔，他见此情形，立刻把枪扔到地上，忘记了决斗的危险，看看能不能把那个被囚禁的小家伙从蜘蛛网上解救下来。他成功了，小鸟快乐地飞走，消失了。","Here, then, was Nicholl, his gun on the ground, forgetful of danger, trying if possible to save the victim from its cobweb prison.At last it was accomplished, and the little bird flew joyfully away and disappeared."
"尼科尔用怜爱的目光望着它飞走，这时，他突然听到一个充满深情的声音：","Nicholl lovingly watched its flight, when he heard these words pronounced by a voice full of emotion:"
"“您真是位勇士。”","“You are indeed a brave man.”"
"尼科尔转过身。米歇尔阿当正站在他面前，换了个语调说道：","He turned.Michel Ardan was before him, repeating in a different tone:"
"“而且是位善良的勇士！”","“And a kindhearted one!”"
"“米歇尔·阿当！”上校叫道，“你怎么在这？”","“Michel Ardan!” cried the captain.“Why are you here?”"
"“来和您握手，尼科尔，来阻止您和巴比康互相残杀。”","“To press your hand, Nicholl, and to prevent you from either killing Barbicane or being killed by him.”"
"“巴比康！”上校想起来了，“我找了他两个小时，也没见着他。他在哪儿藏着呢？”","“Barbicane!” returned the captain.“I have been looking for him for the last two hours in vain.Where is he hiding?”"
"“尼科尔！”米歇尔·阿当说，“您这样说就是失礼了！我们应该尊敬我们的敌人，放心吧，只要巴比康还活着，我们就一定能找到他的！假如他不是像您一样，正在解救受困的小鸟来给自己解闷，那他一定是正在找您呢。但是，本人要说的是，我们如果找到了他，你们之间的决斗就算了吧。”","“Nicholl!” said Michel Ardan, “this is not courteous! we ought always to treat an adversary with respect; rest assureed if Barbicane is still alive we shall find him all the more easily; because if he has not, like you, been amusing himself with freeing oppressed birds, he must be looking for you.When we have found him, Michel Ardan tells you this, there will be no duel between you.”"
"“我和巴比康主席有不共戴天之仇，”尼科尔严肃地答道，“我们必须决一——”","“Between President Barbicane and myself,” gravely replied Nicholl, “there is a rivalry which the death of one of us——”"
"“算了吧，算了吧！”阿当说，“像你们这样勇敢正直的两个人，不应该决斗！”","“Pooh, pooh!” said Ardan.“Brave fellows like you indeed! you shall not fight!”"
"“我必须同他决斗，先生！”","“I will fight, sir!”"
"“不要！”","“No!”"
"“上校，”J.T.马斯顿激动地说，“我是主席的好朋友，就像是另一个他，如果您真想杀，那就杀我吧！杀我跟杀他是一样的！”","“Captain,” said J. T. Maston, with much feeling, “I am a friend of the president’s, his alter ego, his second self; if you really must kill some one, shoot me! it will do just as well!”"
"“先生，”尼科尔答道，猛地握紧了枪，“您真是开玩笑——”","“Sir,” Nicholl replied, seizing his rifle convulsively, “these jokes——”"
"“我们的朋友马斯顿没有开玩笑，”阿当回答，“我完全能理解他愿意替朋友去死的心情。但是他和巴比康都不会死在您尼科尔上校的枪口下的。我有一个非常诱人的提议，能让您和他这两位对手都欣然接受。”","“Our friend Maston is not joking,” replied Ardan.“I fully understand his idea of being killed himself in order to save his friend.But neither he nor Barbicane will fall before the balls of Captain Nicholl.Indeed I have so attractive a proposal to make to the two rivals, that both will be eager to accept it.”"
"“什么提议？”尼科尔显然不信。","“What is it?” asked Nicholl with manifest incredulity."
"“别急！”阿当答道，“巴比康在场时我才能告诉你。”","“Patience!” exclaimed Ardan.“I can only reveal it in the presence of Barbicane.”"
"“那我们快去找他吧！”上校大声说。","“Let us go in search of him then!” cried the captain."
"三个人立即出发。上校卸下枪里的子弹，把它挂在肩上，静静地跟着他们走。又过了半个小时，搜寻还是没有结果。马斯顿被不祥的预感折磨着。他愤怒地盯着尼科尔，心里估量着，说不定上校的仇已经报了，可怜的巴比康中了弹，躺在血泊里，没准已经断气了呢。阿当似乎也产生了同样的想法，两个人都向上校投来了质疑的目光。这时，马斯顿突然停了下来。","The three men started off at once; the captain having discharged his rifle threw it over his shoulder, and advanced in silence.Another half hour passed, and the pursuit was still fruitless.Maston was oppressed by sinister forebodings.He looked fiercely at Nicholl, asking himself whether the captain’s vengeance had already been satisfied, and the unfortunate Barbicane, shot, was perhaps lying dead on some bloody track.The same thought seemed to occur to Ardan; and both were casting inquiring glances on Nicholl, when suddenly Maston paused."
"离他们20步远的地方，有个人一动不动地倚着一棵高大的梓树，半截身子被茂密的树叶挡住了。","The motionless figure of a man leaning against a gigantic catalpa twenty feet off appeared, half-veiled by the foliage."
"“是他！”马斯顿叫道。","“It is he!” said Maston."
"巴比康还是没动。阿当看看上校，上校并没有退缩。阿当喊着跑向主席：","Barbicane never moved.Ardan looked at the captain, but he did not wince.Ardan went forward crying:"
"“巴比康！巴比康！”","“Barbicane! Barbicane!”"
"他没回答！阿当奔向他的朋友，但是，正当他伸手去抓巴比康的胳膊时，他却突然怔住了，惊奇地叫出声来。","No answer!Ardan rushed toward his friend; but in the act of seizing his arms, he stopped short and uttered a cry of surprise."
"巴比康手里握着铅笔，正在本子上画着几何图形，他那只没装子弹的步枪平放在他身旁的地上。","Barbicane, pencil in hand, was tracing geometrical figures in a memorandum book, while his unloaded rifle lay beside him on the ground."
"他聚精会神地研究着，也和上校一样忘记了决斗，什么都看不见，也听不见。","Absorbed in his studies, Barbicane, in his turn forgetful of the duel, had seen and heard nothing."
"阿当握住他的手，巴比康才抬起头，诧异地打量着对方。","When Ardan took his hand, he looked up and stared at his visitor in astonishment."
"“啊，是你啊！”他终于大喊道，“我找到了，我的朋友，我找到了！”","“Ah, it is you!” he cried at last.“I have found it, my friend, I have found it!”"
"“什么？”","“What?”"
"“我的计划啊！”","“My plan!”"
"“什么计划？”","“What plan?”"
"“抵消炮弹发射时的后坐力的计划啊！”","“The plan for countering the effect of the shock at the departure of the projectile!”"
"“真的吗？”米歇尔·阿当兴奋地说，同时用眼角的余光瞥了瞥上校。","“Indeed?” said Michel Ardan, looking at the captain out of the corner of his eye."
"“嗯！用水！用水就行，把水当弹簧——啊！马斯顿，”巴比康叫道，“你也在这儿啊？”","“Yes! water! simply water, which will act as a spring—ah! Maston,” cried Barbicane, “you here also?”"
"“对，他也在，”阿当回答，“还有，请允许我把尊敬的尼科尔上校介绍给您！”","“Himself,” replied Ardan; “and permit me to introduce to you at the same time the worthy Captain Nicholl!”"
"“尼科尔！”巴比康立刻跳起来，叫道，“很抱歉，上校，我差点忘了——我准备好了！”","“Nicholl!” cried Barbicane, who jumped up at once.“Pardon me, captain, I had quite forgotten—I am ready!”"
"米歇尔·阿当没有给他们任何说话机会，抢着插了几句话。","Michel Ardan interfered, without giving the two enemies time to say anything more."
"“谢天谢地！”他说，“你们两位勇士没有过早碰头，真是件幸事！要不然，我们现在一定为你们中的某一个哀悼呢。不过无论如何，感谢老天，我们不用再担心了。你们一个对付蛛网，一个钻研力学，忘却了仇恨，这就表明你们之间的仇恨不是那么危险。”","“Thank heaven!” said he. “It is a happy thing that brave men like you two did not meet sooner! we should now have been mourning for one or other of you.But, thanks to Providence, which has interfered, there is now no further cause for alarm.When one forgets one’s anger in mechanics or in cobwebs, it is a sign that the anger is not dangerous.”"
"于是米歇尔·阿当告诉主席他们是怎么发现的上校。","Michel Ardan then told the president how the captain had been found occupied."
"“请问两位，”他总结道，“老天创造出像您二位这样的好人，难道是为了让你们相互开枪把对方的脑袋打碎吗？”","“I put it to you now,” said he in conclusion, “are two such good fellows as you are made on purpose to smash each other’s skulls with shot?”"
"当时的情景有点荒谬、有点出乎预料，鉴于此，米歇尔·阿当决定利用这一点化干戈为玉帛。","There was in “the situation” somewhat of the ridiculous, something quite unexpected; Michel Ardan saw this, and determined to effect a reconciliation."
"“我的好朋友们，”他带着神秘的微笑说，“你们之间不过是有点误会。没有什么深仇大恨！好了！为了证明你们之间的误会已经消除了，我真诚地希望你们接受我的提议。”","“My good friends,” said he, with his most bewitching smile, “this is nothing but a misunderstanding.Nothing more! well! to prove that it is all over between you, accept frankly the proposal I am going to make to you.”"
"“请说吧。”尼科尔说。","“Make it,” said Nicholl."
"“我们的朋友巴比康认为炮弹会直接飞到月球上，对吗？”","“Our friend Barbicane believes that his projectile will go straight to the moon?”"
"“是的，当然。”主席回答说。","“Yes, certainly,” replied the president."
"“但我们的朋友尼科尔认为它会掉回地球上，对吗？”","“And our friend Nicholl is persuaded it will fall back upon the earth?”"
"“我很确定。”上校喊道。","“I am certain of it,” cried the captain."
"“好！”阿当说，“我不能假装让你们和好，但是，我有个建议——你们和我一起去，看看我们的炮弹会不会中途停止。”","“Good!” said Ardan.“I cannot pretend to make you agree; but I suggest this: Go with me, and so see whether we are stopped on our journey.”"
"“什么？”J.T.马斯顿尖叫道，呆若木鸡。","“What?” exclaimed J. T. Maston, stupefied."
"一听到这个意外的提议，两个对手都定定地望着对方。巴比康想等上校回答。尼科尔却在等着主席的决定。","The two rivals, on this sudden proposal, looked steadily at each other.Barbicane waited for the captain’s answer.Nicholl watched for the decision of the president."
"“怎么样？”米歇尔问，“我们已经不用担心后坐力的问题了！”","“Well?” said Michel.“There is now no fear of the shock!”"
"“好吧！”巴比康叫道。","“Done!” cried Barbicane."
"尽管他说得很快，可尼科尔也同时把话说出了口。","But quickly as he pronounced the word, he was not before Nicholl."
"“好哇！好极了！嗨！嗨！好哇！”米歇尔一手拉住主席，一手拉住上校，欢呼起来，“既然问题都解决了，朋友们，我要以法国人的礼节犒劳犒劳你们。咱们去吃早餐吧！”","“Hurrah! bravo! hip! hip! hurrah!” cried Michel, giving a hand to each of the late adversaries.“Now that it is all settled, my friends, allow me to treat you after French fashion.Let us be off to breakfast!”"
"第二十二章 美国的新公民","CHAPTER XXII THE NEW CITIZEN OF THE UNITED STATES"
"当天，几乎所有的美国人都听说了尼科尔上校和巴比康主席要决斗的事情，以及那出人意料的结局。从那天起，米歇尔·阿当一刻都没有休息。来自合众国各个角落的代表团无休止地缠着他。不管他是否愿意，他都得接受所有的来访。他究竟握过多少双手，和多少个人“非常亲热地”聊过天，别人根本猜不到！如此成功的结果会使凡夫俗子飘飘欲仙的，但他却极力保持着恰到好处的半醉状态。","That same day all America heard of the affair of Captain Nicholl and President Barbicane, as well as its singular denouement.From that day forth, Michel Ardan had not one moment’s rest.Deputations from all corners of the Union harassed him without cessation or intermission.He was compelled to receive them all, whether he would or no. How many hands he shook, how many people he was “hail-fellow-well-met” with, it is impossible to guess!Such a triumphal result would have intoxicated any other man; but he managed to keep himself in a state of delightful semi-tipsiness."
"在围攻他的各种代表团中，有一个“月球人（‘精神病人’的谐音）”代表团，一直念念不忘这位未来“月球霸主”给他们带来的好处。美国有好多这样的可怜虫，有一天，他们中的一些人来拜访阿当，并请求和他一起返回自己的故乡。","Among the deputations of all kinds which assailed him, that of “The Lunatics” were careful not to forget what they owed to the future conqueror of the moon.One day, certain of these poor people, so numerous in America, came to call upon him, and requested permission to return with him to their native country."
"他答应那些人给他们在月球上的亲友捎信，才把他们打发走。他们走后，阿当对巴比康说：“十足的妄想！ 您相信月亮对精神疾病有影响吗？”","“Singular hallucination!” said he to Barbicane, after having dismissed the deputation with promises to convey numbers of messages to friends in the moon.“Do you believe in the influence of the moon upon distempers?”"
"“不怎么相信！”","“Scarcely!”"
"“我也不怎么相信，不过，历史上确实记载了一些非同寻常的事件。比如说1693年的那场瘟疫吧，一大批人就是在月蚀出现时死去的。著名的培根总是在月蚀之时晕厥过去。1399年，查理六世的疯病复发了六次，不是在新月之时就是在满月之时。根据高尔的观察，精神病患者每个月都会犯病两次，也就是在新月和满月时。事实上，有数不清的案例，像热病、梦游症，还有其他一些疾病，似乎都证明了月球的确对人类有着某种神秘的影响。”","“No more do I, despite some remarkable recorded facts of history.For instance, during an epidemic in 1693, a large number of persons died at the very moment of an eclipse.The celebrated Bacon always fainted during an eclipse.Charles VI relapsed six times into madness during the year 1399, sometimes during the new, sometimes during the full moon.Gall observed that insane persons underwent an accession of their disorder twice in every month, at the epochs of new and full moon.In fact, numerous observations made upon fevers, somnambulisms, and other human maladies, seem to prove that the moon does exercise some mysterious influence upon man.”"
"“但它是怎么影响的，原因又何在啊？”巴比康问。","“But the how and the wherefore?” asked Barbicane."
"“唔，这个嘛，普卢塔克曾经说过一句话，1900年后，阿拉果又借用过它，我也只能借用它来回答你了。‘也许，根本就没那回事儿！’”","“Well, I can only give you the answer which Arago borrowed from Plutarch, which is nineteen centuries old. ‘Perhaps the stories are not true!’”"
"在最风光的时期，米歇尔·阿当不得已经历了成名后随之而来的各种烦恼。娱乐场所的经理们想把他像珍宝一样展览。巴纳姆出价一百万美金，请阿当在全美国进行巡演。至于他的照片，各种尺寸应有尽有，他的肖像也是造型各异。转眼之间，他的照片就卖出了500多万张。","In the height of his triumph, Michel Ardan had to encounter all the annoyances incidental to a man of celebrity.Managers of entertainments wanted to exhibit him.Barnum offered him a million dollars to make a tour of the United States in his show.As for his photographs, they were sold of all size, and his portrait taken in every imaginable posture.More than half a million copies were disposed of in an incredibly short space of time."
"阿当不仅是男人们的偶像，也是女人们心中的英雄。他要是想稳定下来安个家，没准儿都结过一百次婚了。尤其是那些四十多岁的老处女，她们风韵已逝、青春不再，但还是日日夜夜抱着他的照片幻想着。即使他提出陪他一同上天的条件，也会有几百号女人抢着要跟他结婚。然而，米歇尔可一点儿都不想把一大群法美混血儿带到月球上去。","But it was not only the men who paid him homage, but the women as well.He might have married well a hundred times over, if he had been willing to settle in life.The old maids, in particular, of forty years and upward, and dry in proportion, devoured his photographs day and night.They would have married him by hundreds, even if he had imposed upon them the condition of accompanying him into space.He had, however, no intention of transplanting a race of Franco-Americans upon the surface of the moon."
"于是他婉言拒绝了所有人的请求。","He therefore declined all offers."
"他一从这些尴尬的游行中脱开身，就赶快在朋友的陪同下参观了哥伦比亚大炮。他对眼前的大炮赞不绝口，还下到了这架巨型机器的底部，不久的将来，它就要发射炮弹，把他送到月球上去了。在这里，我们有必要提一下J. T. 马斯顿的提议。当枪炮俱乐部的秘书看到巴比康和尼科尔答应了米歇尔·阿当的提议时，他也决心加入其中，和大家来一次四人旅行。于是有一天，马斯顿提出了自己的想法，决意成为他们中的一员。巴比康倍感为难地拒绝了他，他头头是道地向马斯顿解释，炮弹是不可能装下这么多人的。马斯顿非常失望，只好找米歇尔·阿当帮忙，可阿当也劝他放弃，还从个人角度出发为他列出了一两条理由。","As soon as he could withdraw from these somewhat embarrassing demonstrations, he went, accompanied by his friends, to pay a visit to the Columbiad.He was highly gratified by his inspection, and made the descent to the bottom of the tube of this gigantic machine which was presently to launch him to the regions of the moon.It is necessary here to mention a proposal of J. T. Maston’s.When the secretary of the Gun Club found that Barbicane and Nicholl accepted the proposal of Michel Ardan, he determined to join them, and make one of a smug party of four.So one day he determined to be admitted as one of the travelers.Barbicane, pained at having to refuse him, gave him clearly to understand that the projectile could not possibly contain so many passengers.Maston, in despair, went in search of Michel Ardan, who counseled him to resign himself to the situation, adding one or two arguments ad hominem."
"“老兄，你看，”他说，“我的话没有恶意，不过说实在的，我们几个当中，你的身体条件太不完善，是最不适合去月球的！”","“You see, old fellow,” he said, “you must not take what I say in bad part; but really, between ourselves, you are in too incomplete a condition to appear in the moon!”"
"“你的意思是说我缺胳膊少腿吗？”这个英勇的残疾人尖叫起来。","“Incomplete?” shrieked the valiant invalid."
"“是的，我的好兄弟！想一想，我们要是在那里遇见了月球居民呢！你希望让他们看见你现在的样子、让他们知道地球上发生的一切有多么悲惨吗？你要告诉他们什么是战争，让他们知道我们把主要时间浪费在尔虞我诈、相互残杀上，告诉他们这些事情就发生在本来可以养活一千亿人、而实际上只有两亿人的地球上吗？我们为什么要这样做呢？我的朋友，这就是我们不得不拒绝你的原因！”","“Yes, my dear fellow! imagine our meeting some of the inhabitants up there!Would you like to give them such a melancholy notion of what goes on down here? to teach them what war is, to inform them that we employ our time chiefly in devouring each other, in smashing arms and legs, and that too on a globe which is capable of supporting a hundred billions of inhabitants, and which actually does contain nearly two hundred millions?Why, my worthy friend, we should have to turn you out of doors!”"
"“可是，如果你们被炮弹晃得缺胳膊少腿的，到了那儿不也和我一样变成残废了嘛。”","“But still, if you arrive there in pieces, you will be as incomplete as I am.”"
"“你说得很对，“米歇尔·阿当回答，“但是我们不会缺胳膊少腿的。”","“Unquestionably,” replied Michel Ardan; “but we shall not.”"
"事实上，10月18号的一次预备实验取得了圆满的结果，这让他们对未来的成功抱有很大的希望。巴比康主席很想知道炮弹发射那一刻的反冲力到底有多大，于是他从彭萨科拉的兵工厂弄来了一尊38英寸的迫击炮。他把这尊炮弹安置在西尔斯伯勒的海岸边，这样，炮弹就可以落进海里，不会造成震动。他的目的是搞清炮弹发射时的反冲力有多大，而不是落地时的。","In fact, a preparatory experiment, tried on the 18th of October, had yielded the best results and caused the most well-grounded hopes of success.Barbicane, desirous of obtaining some notion of the effect of the shock at the moment of the projectile’s departure, had procured a 38-inch mortar from the arsenal of Pensacola.He had this placed on the bank of Hillisborough Roads, in order that the shell might fall back into the sea, and the shock be thereby destroyed.His object was to ascertain the extent of the shock of departure, and not that of the return."
"他们为这次有趣的实验准备了一发空心炮弹。空心炮弹的内壁覆盖着一层优质钢制成的弹簧网，弹簧网上固定着一层厚厚的垫子。简直就是一座精心搭建的鸟巢。","A hollow projectile had been prepared for this curious experiment.A thick padding fastened upon a kind of elastic network, made of the best steel, lined the inside of the walls.It was a veritable nest most carefully wadded."
"“真遗憾，这里没有我的地方。”J. T. 马斯顿惆怅地说道，他很后悔自己长得太高，不能加入这次冒险。","“What a pity I can’t find room in there,” said J. T. Maston, regretting that his height did not allow of his trying the adventure."
"炮弹里关着一只大猫和一只松鼠，松鼠是J. T. 马斯顿养的，他特别喜欢这小东西。大家很想知道这种最不怕晕的小动物能否经受住这次实验旅行的考验。","Within this shell were shut up a large cat, and a squirrel belonging to J. T. Maston, and of which he was particularly fond.They were desirous, however, of ascertaining how this little animal, least of all others subject to giddiness, would endure this experimental voyage."
"大炮里装了160磅火药，炮弹也被装进了炮膛。刚一点火，炮弹就以极快的速度窜上天，画出一道雄伟的抛物线，在大约1,000英尺处达到最高点，紧接着沿着一条优美的曲线下落，落入海边停泊着的船只中间。","The mortar was charged with 160 pounds of powder, and the shell placed in the chamber.On being fired, the projectile rose with great velocity, described a majestic parabola, attained a height of about a thousand feet, and with a graceful curve descended in the midst of the vessels that lay there at anchor."
"安排好的小船一分钟都没有耽误，立即划向炮弹落水的方向，几个潜水员跳进水里，用绳子捆住炮弹，很快就把它拖上了船。从把小动物关进炮弹，到打开这间小牢房的盖子，总共还不到五分钟。","Without a moment’s loss of time a small boat put off in the direction of its fall; some divers plunged into the water and attached ropes to the handles of the shell, which was quickly dragged on board.Five minutes did not elapse between the moment of enclosing the animals and that of unscrewing the coverlid of their prison."
