"第一章 一双手","Chapter 1 Hands"
"埃德·汉德比与贝尔·卡彭特从表面上看其实没什么暧昧。","The affair between Ed Handby and Belle Carpenter on the surface amounted to nothing."
"他曾经得以和她晚上同行，但只有一晚。那晚，他从韦斯利·莫耶的马车出租行租了一匹马和一辆马车，带着她去兜风。他深信她就是自己想要的女人，因此他必须要让她依靠自己过活，于是他将自己的渴望告诉了他。酒保已经做好准备结婚，开始努力赚钱养家，可是，他的性格太过单纯，很难将他的心意说明白。他的身体因生理的渴望而疼痛，他便用身体来表达自己。他将这位女帽店店员揽在怀里，不顾她的挣扎紧紧抱着她，吻她，直到她无计可施。后来，他将她带回镇上，让她下了马车。“等我再次抱住你，我就不会再让你离开。","He had succeeded in spending but one evening in her company.On that evening he hired a horse and buggy at Wesley Moyer’s livery barn and took her for a drive.The conviction that she was the woman his nature demanded and that he must get her settled upon him and he told her of his desires.The bartender was ready to marry and to begin trying to earn money for the support of his wife, but so simple was his nature that he found it difficult to explain his intentions.His body ached with physical longing and with his body he expressed himself.Taking the milliner into his arms and holding her tightly in spite of her struggles, he kissed her until she became helpless.Then he brought her back to town and let her out of the buggy.“When I get hold of you again I’ll not let you go."
"你不能玩弄我。”他说着，掉转身打算驾车离开。接着，他跳下马车，用强壮的双手抓住她的肩膀。“下一次，我永远不会放手了。”他说，“你还是打定主意吧。这是我跟你两个人的事，我等不及安排好就想娶你了。”","You can’t play with me,” he declared as he turned to drive away.Then, jumping out of the buggy, he gripped her shoulders with his strong hands.“I’ll keep you for good the next time,” he said.“You might as well make up your mind to that.It’s you and me for it and I’m going to have you before I get through.”"
"一月的某个夜晚，天上挂着一弯新月，乔治·威拉德外出散步。在埃德·汉德比看来，他是自己迎娶贝尔·卡彭特的唯一障碍。当晚早些时候，乔治同赛思·里士满和本镇屠夫的儿子阿特·威尔逊一起进了兰塞姆·塞柏克的台球厅。赛思·里士满德背靠墙站着，一言不发，可乔治·威拉德在说话。台球厅里都是温斯堡的年轻男孩，他们谈到了女人。年轻的记者便插了进去。他说女人们应当自己当心，同姑娘们外出的小伙子们可不会对发生的事情负责。他说的时候望着周围，希望引起注意。他讲了五分钟，接着阿特·威尔逊就开口了。阿特在卡尔·普劳斯的店里学习理发，并开始认为自己在棒球、赛马、喝酒和玩女人这些方面已经是个老手了。他开始讲起某个夜晚他和两个温斯堡男人到镇政府的妓院去的事情。这名屠夫的儿子在嘴边叼了根雪茄，当他说话的时候，就吐在了地板上。“那地方的女人才不会让我觉得害臊，哪怕她们费力地想要那么干。”他吹嘘道，“其中的一个妓女想要搞点新花样，可我耍了她。她一开始说话，我就走过去坐在了她的大腿上。我吻她的时候，全屋的人都放声大笑起来。我让她不要惹我。”","One night in January when there was a new moon George Willard, who was in Ed Handby’s mind the only obstacle to his getting Belle Carpenter, went for a walk.Early that evening George went into Ransom Surbeck’s pool room with Seth Richmond and Art Wilson, son of the town butcher.Seth Richmond stood with his back against the wall and remained silent, but George Willard talked.The pool room was filled with Winesburg boys and they talked of women.The young reporter got into that vein.He said that women should look out for themselves, that the fellow who went out with a girl was not responsible for what happened.As he talked he looked about, eager for attention.He held the floor for five minutes and then Art Wilson began to talk.Art was learning the barber’s trade in Cal Prouse’s shop and already began to consider himself an authority in such matters as baseball, horse racing, drinking, and going about with women.He began to tell of a night when he with two men from Winesburg went into a house of prostitution at the county seat.The butcher’s son held a cigar in the side of his mouth and as he talked spat on the floor.“The women in the place couldn’t embarrass me although they tried hard enough,” he boasted.“One of the girls in the house tried to get fresh, but I fooled her.As soon as she began to talk I went and sat in her lap.Everyone in the room laughed when I kissed her.I taught her to let me alone.”"
"乔治·威拉德走出台球厅，来到大街上。连日来，天气酷寒，劲风从十八英里以北的伊利湖直吹到镇上。可是那个晚上却没有风，一弯新月使夜色变得分外可爱。没想到去哪儿，也没想要做什么，乔治走出大街，开始在灯光昏暗、两旁满是木板房的街道上走着。","George Willard went out of the pool room and into Main Street.For days the weather had been bitter cold with a high wind blowing down on the town from Lake Erie, eighteen miles to the north, but on that night the wind had died away and a new moon made the night unusually lovely.Without thinking where he was going or what he wanted to do, George went out of Main Street and began walking in dimly lighted streets filled with frame houses."
"在这缀满星星的漆黑夜空下，他忘记了台球厅里的同伴们。因为天黑，路上只有他一个人，他开始高声自语。他玩心大发，先是模仿一个醉汉沿着街道踉踉跄跄地走，接着又想像自己是个穿着铮亮的、长及膝盖的皮靴的士兵，戴着佩剑，走路时发出铿锵的声音。一想到士兵，他又幻想自己是个长官，正在检阅面前一长排立正的队伍。他开始检查这些士兵的装备。他在一棵树前面停下来，开始训话。“你的背包不整齐。”他严厉地说，“这个问题我还要说多少遍？在这里，每样东西都必须有秩序。我们面前有个艰巨的任务，没有秩序，什么困难的任务都办不成。”","Out of doors under the black sky filled with stars he forgot his companions of the pool room.Because it was dark and he was alone he began to talk aloud.In a spirit of play he reeled along the street imitating a drunken man and then imagined himself a soldier clad in shining boots that reached to the knees and wearing a sword that jingled as he walked.As a soldier he pictured himself as an inspector, passing before a long line of men who stood at attention.He began to examine the accoutrements of the men.Before a tree he stopped and began to scold.“Your pack is not in order,” he said sharply.“How many times will I have to speak of this matter?Everything must be in order here.We have a difficult task before us and no difficult task can be done without order.”"
"年轻人被自己的话蛊惑了，跌跌撞撞地沿着木板人行道走着，越说越起劲儿。“军队是有纪律的，男人也一样。”他喃喃地说，陷入深思中。“纪律起源于琐碎小事，然后延伸到所有的事情上。每件小事都必须有秩序，人们工作的地方，他们的衣着，还有思想，都是如此。我自己就必须遵守秩序。我必须学习纪律。我必须使自己接触那些有秩序又伟大的东西，它们就像星星一样闪亮整个夜空。在我自己的小范围内，我必须开始去学习一些东西，开始用生命和纪律去付出，去大干一场，去工作。”","Hypnotized by his own words, the young man stumbled along the board sidewalk saying more words.“There is a law for armies and for men too,” he muttered, lost in reflection.“The law begins with little things and spreads out until it covers everything.In every little thing there must be order, in the place where men work, in their clothes, in their thoughts.I myself must be orderly.I must learn that law.I must get myself into touch with something orderly and big that swings through the night like a star.In my little way I must begin to learn something, to give and swing and work with life, with the law.”"
"乔治·威拉德在路灯旁的一道尖桩篱栅前停下来，身体开始发抖。在这样的念头出现之前，他从未想过这些，他也不知道它们从何而来。在那一刻，仿佛有个外来的声音一直在他散步的时候同他说话。他对自己的思绪感到又惊又喜，当他继续走的时候，再一次狂热地谈起这个问题。“走出兰塞姆·塞柏克的台球厅，像这样思考问题，”他低声说，“还是一个人呆着好。”如果我像阿特·威尔逊那样说话，那帮小子是能听懂。可是，他们不会懂得我刚在这里思考的一切。“","George Willard stopped by a picket fence near a street lamp and his body began to tremble.He had never before thought such thoughts as had just come into his head and he wondered where they had come from.For the moment it seemed to him that some voice outside of himself had been talking as he walked.He was amazed and delighted with his own mind and when he walked on again spoke of the matter with fervor.“To come out of Ransom Surbeck’s pool room and think things like that,” he whispered.“It is better to be alone.If I talked like Art Wilson the boys would understand me but they wouldn’t understand what I’ve been thinking down here.”"
"像二十年前的所有俄亥俄的小镇一样，温斯堡镇里也有一块特定的区域，里面住着打零工的人。由于工厂的时代还没有到来，工人们在田里干活，或者在铁路沿线上当护路工。他们一天工作十二个小时，辛劳一天的所得是一美元。他们住的房子很小，是用廉价的木料简单搭建而成的，后面有个花园。其中一些生活舒适点儿的人会养些奶牛或者一头猪，牲畜棚就建在花园的小棚子里。","In Winesburg, as in all Ohio towns of twenty years ago, there was a section in which lived day laborers.As the time of factories had not yet come, the laborers worked in the fields or were section hands on the railroads.They worked twelve hours a day and received one dollar for the long day of toil.The houses in which they lived were small cheaply constructed wooden affairs with a garden at the back.The more comfortable among them kept cows and perhaps a pig, housed in a little shed at the rear of the garden."
"在这个一月的晴朗夜空下，乔治·威拉德脑袋里回响着那些念头，走上了这样一条街。这条街上灯光昏暗，有的地方连人行道都没有。展现在他眼前的景象中，有些东西激起了他已经萌发的幻想。有一整年，他曾把所有的业余时间都用来阅读。现在，曾读过的那些关于中世纪古老城镇生活的故事清晰地出现在了他的脑海。于是，他蹒跚向前，有一种故地重游般的奇特感觉。冲动之下，他转出了街道，走进了一条阴暗的小巷。小巷位于关着奶牛和猪的牲畜棚后面。","With his head filled with resounding thoughts, George Willard walked into such a street on the clear January night.The street was dimly lighted and in places there was no sidewalk.In the scene that lay about him there was something that excited his already aroused fancy.For a year he had been devoting all of his odd moments to the reading of books and now some tale he had read concerning life in old world towns of the middle ages came sharply back to his mind so that he stumbled forward with the curious feeling of one revisiting a place that had been a part of some former existence.On an impulse he turned out of the street and went into a little dark alleyway behind the sheds in which lived the cows and pigs."
"他在那里呆了半个小时，闻着极为拥挤的牲畜棚里传来的臭味的同时，在脑袋里玩味着那突如其来的新奇念头。清新香甜的空气里充斥着肥料的臭气，唤醒了他脑海里某种兴奋的东西。简陋的小房子里面点着煤油灯，烟囱里冒出的烟直直地升上天空，猪的哼哼声，女人们穿着廉价的花布衣裳在厨房里洗盘子的声音，男人们离开房子、走进大街上的商店和酒吧的脚步声，狗的叫声，还有孩子们的哭声——所有一切使他看上去仿佛潜伏在黑暗中，怪异地超脱于众生之外。","For a half hour he stayed in the alleyway, smelling the strong smell of animals too closely housed and letting his mind play with the strange new thoughts that came to him.The very rankness of the smell of manure in the clear sweet air awoke something heady in his brain. The poor little houses lighted by kerosene lamps, the smoke from the chimneys mounting straight up into the clear air, the grunting of pigs, the women clad in cheap calico dresses and washing dishes in the kitchens, the footsteps of men coming out of the houses and going off to the stores and saloons of Main Street, the dogs barking and the children crying—all of these things made him seem, as he lurked in the darkness, oddly detached and apart from all life."
"兴奋的年轻人无法承受自己思想的重量，开始小心地沿着小巷前行。一条狗扑过来，被他用石头赶开了。接着,一栋房子的门前出现了一个男人，朝那条狗叫骂着。乔治来到一块空地上，仰起头望着天。他感到自己变得说不出的大，并且自己被这刚刚的简单体验给重塑了。他怀着一种狂热的情感把双手举过头顶，伸到黑暗之中，喃喃自语。想说点儿什么的欲望征服了他，他开始说些无意义的话。话语从他的舌尖滚落，之所以说这些话，是因为它们都是勇敢之词，意义重大。“死亡，”他喃喃地说，“黑夜，海洋，恐惧，美丽。”","The excited young man, unable to bear the weight of his own thoughts, began to move cautiously along the alleyway.A dog attacked him and had to be driven away with stones, and a man appeared at the door of one of the houses and swore at the dog.George went into a vacant lot and throwing back his head looked up at the sky.He felt unutterably big and remade by the simple experience through which he had been passing and in a kind of fervor of emotion put up his hands, thrusting them into the darkness above his head and muttering words.The desire to say words overcame him and he said words without meaning, rolling them over on his tongue and saying them because they were brave words, full of meaning.“Death,” he muttered, night, the sea, fear, loveliness.”"
"乔治·威拉德离开那片空地，重又站在房子对面的人行道上。他觉得那小街上的所有人都必定是他的手足，他希望自己能有勇气去将他们唤出屋来，同他们握手。“如果这里只有一个女人，我会牵着她的手一同奔跑，直到我们都精疲力竭为止。”他想，“那会让我好受些。”想到女人，他走出那条街，朝着贝尔·卡彭特住的房子走去。他觉得她能理解他的情绪，并且在她面前，他能做到他一直想达到的境地。以前，当他同她在一起并吻过她的双唇后，他对自己充满愤怒。他觉得自己像是被某种隐藏的目的利用了，因此并不享受这样的情感。现在，他觉得自己突然长大了，不会再被利用了。","George Willard came out of the vacant lot and stood again on the sidewalk facing the houses.He felt that all of the people in the little street must be brothers and sisters to him and he wished he had the courage to call them out of their houses and to shake their hands.“If there were only a woman here I would take hold of her hand and we would run until we were both tired out,” he thought.“That would make me feel better.”With the thought of a woman in his mind he walked out of the street and went toward the house where Belle Carpenter lived.He thought she would understand his mood and that he could achieve in her presence a position he had long been wanting to achieve.In the past when he had been with her and had kissed her lips he had come away filled with anger at himself.He had felt like one being used for some obscure purpose and had not enjoyed the feeling.Now he thought he had suddenly become too big to be used."
"当乔治来到贝尔·卡彭特的屋前时，那里已经有了一个拜访者。埃德·汉德比已到了门边，正在叫贝尔出来，想跟她说话。他想让这个女人同他一道离开，做他的妻子，可当她走出来站到门边的时候，他失去了自信，变得郁郁寡欢起来。“你离那个毛孩子远点儿。”想到乔治·威拉德，他怒吼起来。然后不知该说些什么，他便转身走了。“如果我再看到你们在一起，我就打断你的骨头，还有他的。”他加了一句。这个酒保原本是来求婚而非威胁的，却因自己的失败而生自己的气。","When George got to Belle Carpenter’s house there had already been a visitor there before him.Ed Handby had come to the door and calling Belle out of the house had tried to talk to her.He had wanted to ask the woman to come away with him and to be his wife, but when she came and stood by the door he lost his self-assurance and became sullen.“You stay away from that kid,” he growled, thinking of George Willard, and then, not knowing what else to say, turned to go away.“If I catch you together I will break your bones and his too,” he added.The bartender had come to woo, not to threaten, and was angry with himself because of his failure."
"当她的情人离开后，贝尔走进屋子，急急忙忙跑上楼。从房子上方的窗户里，她看到埃德·汉德比穿过街道，然后坐在邻居家门前的一块栓马石上。那个男人在昏暗的灯光下动也不动地坐着，双手捧着头。看到这个情景，她高兴起来。当乔治·威拉德来到门口时，她热情地欢迎了他，急忙戴上了帽子。她觉得，等她和年轻的威拉德散步穿过街道的时候，埃德·汉德比就会跟上来，她想让他不好受。","When her lover had departed Belle went indoors and ran hurriedly upstairs.From a window at the upper part of the house she saw Ed Handby cross the street and sit down on a horse block before the house of a neighbor.In the dim light the man sat motionless holding his head in his hands.She was made happy by the sight, and when George Willard came to the door she greeted him effusively and hurriedly put on her hat.She thought that, as she walked through the streets with young Willard, Ed Handby would follow and she wanted to make him suffer."
"在这夜晚甜蜜的空气中，贝尔·卡彭特和年轻记者在树林下走了快一个小时。乔治满口豪言壮语。在黑暗小巷中涌上来的力量仍留在他心中，他大胆地说着，挥动着双臂，大摇大摆地走着。他想让贝尔·卡彭特明白，他已经意识到了自己之前的不足，现在他已经改变了。“你会发现我变了。”他说道，手插在裤袋里，大胆地直视着她。“我也不知为何，可就是这样的。你必须把我当一个男人对待，要么就别来惹我。就是这么回事。”","For an hour Belle Carpenter and the young reporter walked about under the trees in the sweet night air.George Willard was full of big words.The sense of power that had come to him during the hour in the darkness in the alleyway remained with him and he talked boldly, swaggering along and swinging his arms about.He wanted to make Belle Carpenter realize that he was aware of his former weakness and that he had changed.“You’ll find me different,” he declared, thrusting his hands into his pockets and looking boldly into her eyes.“I don’t know why but it is so.You’ve got to take me for a man or let me alone.That’s how it is.”"
"一弯新月下，女人和男孩安静地在街道上来来回回地走着。乔治说完后，他们便转到了一条小街上，穿过一座桥，来到通往山坡上的小径。这座山从水库池塘那里开始，一直延伸到温斯堡的集市广场。山坡上长满了密密的灌木丛和小树，灌木丛中有小块的开阔地，上面覆盖着长长的草，现在草都变硬结冰了。","Up and down the quiet streets under the new moon went the woman and the boy.When George had finished talking they turned down a side street and went across a bridge into a path that ran up the side of a hill.The hill began at Waterworks Pond and climbed upward to the Winesburg Fair Grounds.On the hillside grew dense bushes and small trees and among the bushes were little open spaces carpeted with long grass, now stiff and frozen."
"乔治·威拉德跟在女人的身后往山上走，他的心开始跳得很快，肩膀也挺直了。突然，他肯定贝尔·卡彭特准备委身与他了。他觉得，在他身上表现出来的新力量已经在她身上起了作用，使她臣服了。这个想法使他感受到了男性的力量，几乎有些陶醉其中了。尽管他们一路上走来，她似乎没有听进去他说的话，这让他有些生气，可事实上她陪着他来到了这个地方，这打消了他所有的疑虑。“这是不同的。每件事都不同了。”他想着，抓住她的肩膀将她转过来，他站在那里看着她，眼睛里闪着骄傲的光。","As he walked behind the woman up the hill George Willard’s heart began to beat rapidly and his shoulders straightened. Suddenly he decided that Belle Carpenter was about to surrender herself to him.The new force that had manifested itself in him had, he felt, been at work upon her and had led to her conquest.The thought made him half drunk with the sense of masculine power.Although he had been annoyed that as they walked about she had not seemed to be listening to his words, the fact that she had accompanied him to this place took all his doubts away.“It is different.Everything has become different,” he thought and taking hold of her shoulder turned her about and stood looking at her, his eyes shining with pride."
"贝尔·卡彭特没有反抗。他亲吻她嘴唇的时候，她重重地倒在他怀里，同时越过他的肩膀看向黑夜。她的整个态度都在暗示着她在等待。像在小巷里一样，乔治·威拉德的思绪又回到了语言上，他紧紧地抱着这个女人，在寂静的黑夜中低声地说着。“欲望，”他低声说，“欲望、夜晚和女人。”","Belle Carpenter did not resist.When he kissed her upon the lips she leaned heavily against him and looked over his shoulder into the darkness.In her whole attitude there was a suggestion of waiting. Again, as in the alleyway, George Willard’s mind ran off into words and, holding the woman tightly he whispered the words into the still night.“Lust,” he whispered, “lust and night and women.”"
"乔治·威拉德没弄懂那晚在山坡上发生了什么事。后来，等他回到自己的房间，他想大哭一场，接着，因为愤怒和仇恨而变得几近疯狂。他恨贝尔·卡彭特，并确信他会恨她一辈子。在山坡上，他将那个女人带到了灌木丛中的一小片开阔地上，在她身边跪下来。正如同他在那些工人的房子旁边的空地上举起双手，为身上的新力量而满怀感激一样，他也在等着这个女人说些什么。此时，埃德·汉德比出现了。","George Willard did not understand what happened to him that night on the hillside.Later, when he got to his own room, he wanted to weep and then grew half insane with anger and hate.He hated Belle Carpenter and was sure that all his life he would continue to hate her.On the hillside he had led the woman to one of the little open spaces among the bushes and had dropped to his knees beside her.As in the vacant lot, by the laborers’ houses, he had put up his hands in gratitude for the new power in himself and was waiting for the woman to speak when Ed Handby appeared."
"这个酒保并不想打这个男孩，尽管在他看来，他正试图抢走他的女人。他明白打人没有必要，他有能力不用拳头来达成自己的目的。他抓住乔治的肩膀，把他给拉了起来，然后用一只手抓着这个男孩，同时看着坐在草地上的贝尔·卡彭特。接着，他的胳膊迅速向边上一抬，将年轻人远远地摔到了灌木丛里，随后他开始恐吓那个已经站起来的女人。“你不听话。”他粗暴地说，“我有点儿不想和你继续纠缠了。要不是我那么想要你，我才不来管你。”","The bartender did not want to beat the boy, who he thought had tried to take his woman away.He knew that beating was unnecessary, that he had power within himself to accomplish his purpose without using his fists.Gripping George by the shoulder and pulling him to his feet, he held him with one hand while he looked at Belle Carpenter seated on the grass.Then with a quick wide movement of his arm he sent the younger man sprawling away into the bushes and began to bully the woman, who had risen to her feet.“You’re no good,” he said roughly.“I’ve half a mind not to bother with you.I’d let you alone if I didn’t want you so much.”"
"乔治·威拉德在灌木丛里趴着，望着他眼前的情景，竭力去思考是怎么回事。他打算跳起来,扑向那个羞辱了他的男人。被痛打一顿似乎比这样被耻辱地扔到一边要好得多。","On his hands and knees in the bushes George Willard stared at the scene before him and tried hard to think.He prepared to spring at the man who had humiliated him.To be beaten seemed to be infinitely better than to be thus hurled ignominiously aside."
"年轻的记者三次跳起来扑向埃德·汉德比，每次都被调酒师抓住肩膀给扔回了灌木丛。年长些的男人看起来预备将这种练习无限地进行下去，可是乔治·威拉德的头撞在一棵树根上，静静地躺在那里。于是埃德·汉德比拽着贝尔，扬长而去。","Three times the young reporter sprang at Ed Handby and each time the bartender, catching him by the shoulder, hurled him back into the bushes.The older man seemed prepared to keep the exercise going indefinitely but George Willard’s head struck the root of a tree and he lay still.Then Ed Handby took Belle Carpenter by the arm and marched her away."
"乔治听见他们穿过灌木丛走出去。当他爬下山坡的时候，他的心情糟透了。他恨他自己，恨命运带给他如此奇耻大辱。当他回想起那小巷里独处的一小时，他感到迷惑了；他停下来在黑暗中倾听着，希望再次听见不久前使他充满勇气的外在之音。在他回家的路上再次来到了两边都是木板棚屋的街道上，可他无法忍受看到的景象，于是开始跑起来。他想尽快摆脱周围的一切，现在那些东西在他看来十分脏乱，稀疏平常。","George heard the man and woman making their way through the bushes.As he crept down the hillside his heart was sick within him.He hated himself and he hated the fate that had brought about his humiliation.When his mind went back to the hour alone in the alleyway he was puzzled and stopping in the darkness listened, hoping to hear again the voice outside himself that had so short a time before put new courage into his heart.When his way homeward led him again into the street of frame houses he could not bear the sight and began to run, wanting to get quickly out of the neighborhood that now seemed to him utterly squalid and commonplace."
"第十六章 “古怪”","Chapter 16 “Queer”"
"温斯堡镇里有一家考利父子商店。埃尔默·考利，年轻的小老板，正在紧贴在商店后面的一间简易木板棚屋里。他坐在一个箱子充当的座位上，从那里透过一面满是灰尘的窗户，他可以看见《温斯堡鹰报》的打印室。埃尔默正在给鞋子穿上新鞋带。鞋带不太好穿，他不得不把鞋子脱下来。他坐在那里看着一只袜子后跟上的大洞，一手还拿着鞋子。接着，他飞快地抬起头来，看到镇上唯一的报社记者乔治·威拉德正站在《鹰报》打印室的后门边，心不在焉地四处张望着。“好，好，接下来又是什么！”年轻人大叫道，手里还拿着一只鞋。他跳起来，从窗边悄悄地走开了。","From his seat on a box in the rough board shed that stuck like a burr on the rear of Cowley & Son’s store in Winesburg, Elmer Cowley, the junior member of the firm, could see through a dirty window into the printshop of the Winesburg Eagle.Elmer was putting new shoelaces in his shoes.They did not go in readily and he had to take the shoes off.With the shoes in his hand he sat looking at a large hole in the heel of one of his stockings.Then looking quickly up, he saw George Willard, the only newspaper reporter in Winesburg, standing at the back door of the Eagle printshop and staring absentmindedly about.“Well, well, what next!” exclaimed the young man with the shoes in his hand, jumping to his feet and creeping away from the window."
"埃尔默·考利的脸慢慢变红，双手开始颤抖。在考利父子商店里，一个犹太籍的旅行推销员站在柜台边上，正同他的父亲说话。他觉得那个记者能听到他们的谈话，这个想法让他怒火中烧。他站在棚屋的角落里，手里仍然拿着一只鞋，一只只穿着袜子的脚在木地板上跺着。","A flush crept into Elmer Cowley’s face and his hands began to tremble.In Cowley & Son’s store a Jewish traveling salesman stood by the counter talking to his father.He imagined the reporter could hear what was being said and the thought made him furious.With one of the shoes still held in his hand he stood in a corner of the shed and stamped with a stockinged foot upon the board floor."
"考利父子商店并不是朝着温斯堡大街的。它的正门开在莫米大街上，过去便是沃伊特马车行和一间给农夫们歇马的马棚。商店的旁边是一条横在大街商店背后的小巷，整天有运货马车和送料车来来往往，将货物运进运出。商店本身很难描述。威尔·亨德森曾经提到过一次，说它什么都卖又什么都不卖。商店朝着莫米大街的窗户上立着一块苹果桶大小的大煤块，以示此店接受燃煤的订单。在黑煤块的旁边放着三个蜂房的蜂蜜，都已经变成了褐色，木架子也脏兮兮的。","Cowley & Son’s store did not face the main street of Winesburg.The front was on Maumee Street and beyond it was Voight’s wagon shop and a shed for the sheltering of farmers’ horses.Beside the store an alleyway ran behind the main street stores and all day drays and delivery wagons, intent on bringing in and taking out goods, passed up and down.The store itself was indescribable.Will Henderson once said of it that it sold everything and nothing.In the window facing Maumee Street stood a chunk of coal as large as an apple barrel, to indicate that orders for coal were taken, and beside the black mass of the coal stood three combs of honey grown brown and dirty in their wooden frames."
"蜂蜜在商店的窗子上已经放了半年之久。同样出售的还有外衣衣架、有专利的吊带纽扣、罐装的屋顶油漆、瓶装风湿药以及咖啡替代品，它们同蜂蜜一起，耐心地等待着服务大众。","The honey had stood in the store window for six months.It was for sale as were also the coat hangers, patent suspender buttons, cans of roof paint, bottles of rheumatism cure, and a substitute for coffee that companioned the honey in its patient willingness to serve the public."
"站在店里听着那名旅行推销员喋喋不休的男人名叫埃比尼泽·考利，他是个瘦高个，看上去不怎么整洁。在他干瘦的脖子上长着一个老大的粉瘤，被盖下来的灰白色胡须遮住了一半。他身穿一件双排扣的男长礼服。这件外套原本是买来做结婚礼服的。在做商人之前，埃比尼泽是名农夫。婚后，周日时他穿着这件男礼服去教堂，周六下午则穿着进镇做买卖。自从他卖掉农场，成为一名商人之后，他便常常穿着它。时间久了，衣服开始发黄，上面满是油污点，可是埃比尼泽总觉得穿上它便衣着光鲜，可以白天去镇上。","Ebenezer Cowley, the man who stood in the store listening to the eager patter of words that fell from the lips of the traveling man, was tall and lean and looked unwashed.On his scrawny neck was a large wen partially covered by a grey beard.He wore a long Prince Albert coat.The coat had been purchased to serve as a wedding garment.Before he became a merchant Ebenezer was a farmer and after his marriage he wore the Prince Albert coat to church on Sundays and on Saturday afternoons when he came into town to trade.When he sold the farm to become a merchant he wore the coat constantly.It had become brown with age and was covered with grease spots, but in it Ebenezer always felt dressed up and ready for the day in town."
"作为商人的埃比尼泽生活得不快乐，可做农夫的时候，他也同样不快乐。可他还是生存着。他有一个女儿，名叫梅布尔，还有一个儿子。三人住在商店的楼上，生活的开销不大。他的苦恼并不是金钱方面的。他作为商人的不幸在于：当旅行推销员从前门进来，拿着物品来卖的时候，他便开始害怕。他站在柜台后面直摇头。他害怕的原因有：首先，如果他坚持不买，那么就失去了再卖出去的机会；其次，他往往不够坚持，会一时心软，买下卖不出去的东西。","As a merchant Ebenezer was not happily placed in life and he had not been happily placed as a farmer.Still he existed.His family, consisting of a daughter named Mabel and the son, lived with him in rooms above the store and it did not cost them much to live.His troubles were not financial.His unhappiness as a merchant lay in the fact that when a traveling man with wares to be sold came in at the front door he was afraid.Behind the counter he stood shaking his head.He was afraid, first that he would stubbornly refuse to buy and thus lose the opportunity to sell again; second that he would not be stubborn enough and would in a moment of weakness buy what could not be sold."
"这天早上，在商店里，当埃尔默·考利看见乔治·威拉德站在《鹰报》打印室的后门边，明显是在偷听的时候，这样一个总能激起他怒火的情况再次激怒了这位儿子。那名旅行推销员说着，埃比尼泽听着，他的整个身影传达出犹豫不决的信息。“你看这多快。”旅行推销员说道，他在推销一种小巧、扁平、能代替衣领纽扣的金属制品。他用一只手就迅速地解开了自己的衬衣衣领，然后又重新扣好了。他带着一副谄媚、哄骗的腔调。“我告诉你吧，人们就快不用这种愚蠢的衬衣纽扣了，你正好利用这个改变来赚钱。我把这个镇的独家代理权交给你。你只要买二十打这种别针，我就不再去别家店了。我把这个市场都留给你。”","In the store on the morning when Elmer Cowley saw George Willard standing and apparently listening at the back door of the Eagle printshop, a situation had arisen that always stirred the son’s wrath.The traveling man talked and Ebenezer listened, his whole figure expressing uncertainty.“You see how quickly it is done,” said the traveling man, who had for sale a small flat metal substitute for collar buttons.With one hand he quickly unfastened a collar from his shirt and then fastened it on again.He assumed a flattering wheedling tone.“I tell you what, men have come to the end of all this fooling with collar buttons and you are the man to make money out of the change that is coming.I am offering you the exclusive agency for this town.Take twenty dozen of these fasteners and I’ll not visit any other store.I’ll leave the field to you.”"
"旅行推销员靠在柜台上探过身去，用手指敲敲埃艾比尼泽的胸膛。“这可是个好机会，我希望你抓住它。”他怂恿道，“我的一个朋友向我提过你。‘去见见那个叫考利的人。’他说，‘他可是个有头脑的。’”","The traveling man leaned over the counter and tapped with his finger on Ebenezer’s breast.“It’s an opportunity and I want you to take it,” he urged.“A friend of mine told me about you.‘See that man Cowley,’ he said.‘He’s a live one.’”"
"旅行推销员停下来，等了会儿。他从口袋里拿出一个本子，开始写订单。埃尔默·考利还把那只鞋拿在手里。他穿过商店，经过聚精会神的两个人，然后来到前门边的一个玻璃陈列柜前。他从柜子里拿出一把廉价的手枪，开始上下挥舞。“你滚出去！”他尖叫道，“我们这里不需要什么衣领别针。”他忽然想到一个点子。“当心，我可不是在吓唬谁。”他加了一句，“我没说我会开枪。我也许不过是把枪从陈列柜里拿出来看看。可是，你最好滚出去。是的，先生，我就是这个意思。你最好拿好你的东西给我滚。”","The traveling man paused and waited.Taking a book from his pocket he began writing out the order.Still holding the shoe in his hand Elmer Cowley went through the store, past the two absorbed men, to a glass showcase near the front door.He took a cheap revolver from the case and began to wave it about.“You get out of here!” he shrieked.“We don’t want any collar fasteners here.”An idea came to him.“Mind, I’m not making any threat,” he added.“I don’t say I’ll shoot.Maybe I just took this gun out of the case to look at it.But you better get out.Yes sir, I’ll say that.You better grab up your things and get out.”"
"这个小老板的声音高得像在尖叫，他走到柜台后面，朝那两人走过去。“我们在这儿是彻头彻尾的傻瓜！”他喊道，“等我们开始卖得出东西才进货。我们不打算再这么古怪下去，引得别人偷看或偷听。你给我滚出去！”","The young storekeeper’s voice rose to a scream and going behind the counter he began to advance upon the two men.“We’re through being fools here!” he cried.“We ain’t going to buy any more stuff until we begin to sell.We ain’t going to keep on being queer and have folks staring and listening. You get out of here!”"
