"印度","India "
"巴黎的愿望，即使只是为了那里的葡萄酒。","New York has three; and for every dancing floor in Paris, New York has thirty. Good Americans, however, will still remain faithful to their old posthumous love, if only for her wine. "
"说到美国妇女，我很惊讶她们的地位同我们国家妇女的地位差别如此之大。英国妇女顺从丈夫；不需要她们的时候，她们甘愿被置于后台。她们依赖丈夫。她们很少摆出一副胜利的神态，很少做主。但是美国妇女自满、自信，谈话中总是她们在说，大多数计划都由她们制定，如果你看不到她们，那是因为她们选择在后台；她们要么在别的地方突出显眼，要么就高高在上。她们彼此聚在一起总是幽默、坦率，而同男人们在一起，她们似乎总是一副嘲讽、居高临下的态度。美国妇女有一种奇特的力量，能够吸引其他女性崇拜者，这些崇拜者又进一步增强了她们的自尊。而且，据我所知，这些仆从也有她们自己的仆从。她们的这种联盟几乎就像一个坚固、秘密的团体；不是用来对付男人，因为男人是战争的中坚力量，而且还需要他们提供其他舒适之物；这个团体是为了满足她们自己的需要。男人和女人似乎都不会因为没有彼此的陪伴而变得憔悴。","Apropos of American women, their position struck me as very different from the position of women with us. English women are deferential to their husbands; they are content to be relegated to the background on all occasions when they are not wanted. They are dependent. They seldom wear an air of triumph and rarely take the lead. But American women are complacent and assured, they do most of the talking, make most of the plans: if they are not seen, it is because they are in the background; they are either active prominently elsewhere or are high on pedestals. With each other they are mostly or often humorously direct, whereas with men they seem to adopt an ironical or patronising attitude. American women seem also to have a curious power of attracting to themselves other women who admire them and foster their self-esteem. And, for all that I know, these satellites have satellites too. Their federacy almost amounts to a solid secret society; not so much against men, for men must provide the sinews of war and other comforts, but for their own satisfaction. Both sexes appear not to languish when alone. "
"高空广告牌和科尼岛","Sky-Signs And Coney Island "
"所有去过纽约的游客都会说到那里令人兴奋的空中景象，我只能再次证明他们所言属实。没过几天，我就开始觉得上床睡觉简直就是个荒谬的想法。","All visitors to New York speak of the exhilaration of its air, and I can but repeat their testimony. After the first few days the idea of going to bed became an absurdity. "
"在各种美国营造出的独特而美丽的空中景象中，高空广告牌一定占了很大比重。在旧金山的时候，我就看到有一些高空广告牌映衬在加利福尼亚深沉的夜空中，呈现出一番令人震惊的迷人景象。但是我在纽约的第一晚从第42大街出来后，“伟大的白色大道”上令人目不暇接的闪烁夜景给人的不仅仅是惊讶，更是一种恣意欢乐的昭示。英国自然没有什么能与之相比。只要煤炭仍然这么稀少、昂贵，我们的伯爵宫展览中心就无法模仿出这种效果。尽管我们有电力驱动能源，也无法打造如此耀眼的灯光，因为美国有清朗的天气。而在潮湿的英国，一切钻石般的光芒都会变得模糊。","Among the peculiarly beautiful effects that America produces, sky signs must be counted high. I had seen some when in San Francisco against the deep Californian night, and they captivated the startled vision; but the reckless profusion and movement of the Great White Way56, as I turned out of 42nd Street on my first evening in New York, came as something more than a surprise: a revelation of wilful gaiety. We have normally nothing in England to compare with it. Nor can we have even our Earl’s Court exhibition imitations of it so long as coal is so rare and costly. But though we had the driving power for the electricity we could never get such brilliance, for the clear American atmosphere is an essential ally. In our humid airs all the diamond glints would be blurred. "
"要观赏蓝色背景下纯粹的光线交错的美景，你不要去百老汇，那里太怪诞，而一定要去科尼岛的月神公园。奇怪的是它竟然会在那里，在一片喧闹的声音和躁动之中，你会发现它那极致的魅力。所有的尖塔和拱顶，以及无数夜灯形成的线条和弧线，把夜空衬托得像一片天鹅绒般的蓝色海洋，神秘、柔和、深沉，我觉得再没有比这更为奇异、更令人陶醉的景致了。","For the purest beauty of traceries of light against a blue background one must go, however, not to Broadway, which is too bizarre, but to Luna Park on Coney Island. Odd that it should be there, in that bewildering medley of sound and restlessness, that an extreme of loveliness should be found; but I maintain that it is so, that nothing more strangely and voluptuously beautiful could be seen than all those minarets and domes, with their lines and curves formed by myriad lamps, turning by contrast the heavens into an ocean of velvet blue, mysterious and soft and profound. "
"只有在伯爵宫或奥林匹亚定期举行展览时，英国才会出现类似科尼岛这样的景致。八月的布莱克浦，银行休业日的汉普特西斯公园，也有人尝试这种狂欢的情绪，但都不够真实，而且往往被那种自觉追求欢乐的心理和大量粗俗的行为所破坏。我觉得越野障碍赛马乐园狂欢的人群似乎比聚集在讷伊集市的人群更加真切，也高兴得多得多。","Only periodically—when we have exhibitions at Earl’s Court57 or at Olympia58—is there in England anything like Coney Island. At Blackpool59 in August, and on Hampstead Heath60 on Bank Holidays, a corresponding spirit of revelry is attempted, but it is not so natural, and is vitiated by a self-conscious determination to be gay and by not a little vulgarity. The revellers of Steeplechase Park61 seemed to me to be more genuine even than the crowds that throng the Fete de Neuilly62; and a vast deal happier. "
"科尼岛和法国集市的一个显著区别是：在纽约的“安全阀”（有人这么给我描述这些地方）里没有孩子们的身影。我没有看到任何儿童。这就好像孩子们的生日礼物又被大人们抢了去。但是我想越野障碍赛马乐园和月神公园实际上就是专门为成年人设计的。从滑道、回旋轮、过山车、冲天的巨浪可以看得出这种怪诞的运动对于休假的美国人有着独特的魅力。就像有人说的那样，没有什么更好的方式，或者至少没有什么更彻底的方式把青年人聚到一起了。对中年人也不例外。但是这并没有给旁观者留下道德混乱的印象。高昂的情绪是普遍现象，而热情不高是例外情况。甚至在越野障碍赛马乐园的观众席，行家们聚集此处观看外行的拙劣表演，当裙摆被不期而至的风掀起，大家发出阵阵没有恶意的欢笑。如果这样的表演在英国得到许可，一定会沦为低俗表演；若在法国，也会让外国的观众感到不自在。但是美国人的这种公共美德—我不确定是否应该从这里开始描写美国人的文明—成功地脱颖而出。","One very striking difference between Coney Island and the French fair is the absence of children from New York’s “safety-valve,” as some one described it to me. I saw hardly any. It is as though once again the child’s birthday gifts had been appropriated by its elders; but as a matter of fact the Parks of Steeplechase and Luna were, I imagine, designed deliberately for adults. Judging by the popularity of the chutes and the whips, the switchbacks and the witching waves, eccentric movement has a peculiar attraction for the American holiday-maker. As some one put it, there is no better way, or at any rate no more thorough way, of throwing young people together. Middle-aged people, too. But the observer receives no impression of moral disorder. High spirits are the rule, and impropriety is the exception. Even in the auditorium at Steeplechase Park, where the cognoscenti assemble to witness the discomfiture of the uninitiated, there is nothing but harmless laughter as the skirts fly up before the unsuspected blast. Such a performance in England, were it permitted, would degenerate into ugliness; in France, too, it would make the alien spectator uncomfortable. But the essential public chastity of the Americans—I am not sure that I ought not here to write civilisation of the Americans—emerges triumphant. "
"在科尼岛上意外看到的滑猪游戏让我对人类利用四足动物有了一个新想法。","It was at Coney Island that I came suddenly upon the Pig Slide and had a new conception of what quadrupeds can do for man. "
"滑猪游戏在月神公园不太嘈杂的一个角落进行，那里有片围场，围场里有一个宽五码高三码的两层木房。上层是一排笼子，约六到八个，每个笼子里有一头刚出生几个星期的小猪崽。这排猪笼中间到地面放了一块倾斜的板子，板子的两侧有立起的挡板，就像装在室内游泳池里的能自动滑入水池的装置，每个笼子底下，有个直径约一英尺的洞。观众们和参与者挤在围场外面，首先是用租来的球往洞里投。没有什么能超出小猪对投过来的球表现出的机警和极大兴趣。它们的小腿在打颤，鼻子顶着笼子上的栅栏，小眼睛闪烁着，尾巴（像只在美国才有的公用螺丝锥）卷起来又打开再卷起来；情理之中的，你没投进去—这太常见了—就什么也不会发生；你准确地投进去后，乐趣才刚开始，这也是小猪们的乐趣。","The Pig Slide, which was in one of the less noisy quarters of Luna Park, consisted of an enclosure in which stood a wooden building of two storeys, some five yards wide and three high. On the upper storey was a row of six or eight cages, in each of which dwelt a little live pig, an infant of a few weeks. In the middle of the row, descending to the ground, was an inclined board, with raised edges, such as is often installed in swimming-baths to make diving automatic, and beneath each cage was a hole a foot in diameter. The spectators and participants crowded outside the enclosure, and the thing was to throw balls, which were hired for the purpose, into the holes. Nothing could exceed the alert and eager interest taken by the little pigs in the efforts of the ballthrowers. They quivered on their little legs; they pressed their little noses against the bars of the cages; their little eyes sparkled; their tails (the only public corkscrews left in America) curled and uncurled and curled again: and with reason, for whereas if you missed—as was only too easy—nothing happened: if you threw accurately the fun began, and the fun was also theirs. "
"这就是接下来所发生的。先是铃响，接着你投进球的那个洞上方的笼门上，弹簧装置会立即弹开，于是笼门便打开了。那只小猪，看你屡次失手后感到沮丧（如果不是鄙视的话），这次听到铃声就竖起了耳朵，现在脸上露出了满意的笑容，很有感染力的一笑。它跑了出来，脸上的笑容变成了一种绝对祝福的表情，兴高采烈地从铺板上滑了下来，滑到下面被一名工作人员接住，重新放回笼子，准备开始下一轮冒险。","This is what occurred. First a bell rang and then a spring released the door of the cage immediately over the hole which your ball had entered, so that it swung open. The little pig within, after watching the previous infirmity of your aim with dejection, if not contempt, had pricked up his ears on the sound of the bell, and now smiled a gratified smile, irresistible in infectiousness, and trotted out, and, with the smile dissolving into an expression of absolute beatitude, slid voluptuously down the plank: to be gathered in at the foot by an attendant and returned to its cage all ready for another such adventure."
"你花钱就是为了看到这些时刻以及随之而来的表情变化。尝到了神射手的胜利只是喜悦的一小部分；更大的喜悦来自释放一名小囚犯以及引发了如此的狂欢。","It was for these moments and their concomitant changes of countenance that you paid your money. To taste the triumph of good marksmanship was only a fraction of your joy; the greater part of it consisted in liberating a little prisoner and setting in motion so much ecstasy. "
"新闻界","The Press "
"美国有很多家报纸，而且它们大体上都很相似。从一定程度上说，许多报纸完全相同，因为美国的广博使各种特征的融合变得可能。你随便在旧金山、盐湖城、芝加哥、纽约或别的什么地方买几份报纸，总会发现沃尔特·梅森那敏锐、欢快、准确的诗句以散文格式印在其中一份报纸上，但绝不会让你的耳朵失望，而孟塔古先生的主题诗歌会出现在另一份报纸上；马特和杰夫，这两个民族英雄的历险故事会出现在第三份报纸上。每天总是那些或其他固定的特点出现在某些报纸上：这也从某些方面说明了为什么美国人似乎从不像我们的习俗那样只限于读一份报纸。","America is a land of newspapers, and the newspapers are very largely the same. To a certain extent many of them are exactly the same, for the vastness of the country makes it possible to syndicalise various features, so that you find Walt Mason’s63 sagacious and merry and punctual verse, printed to look like prose but never disappointing the ear, in one of the journals that you buy wherever you are, in San Francisco, Salt Lake City, Chicago or New York; and Mr. Montagu’s topical rhymes in another; and the daily adventures of Mutt and Jeff, who are national heroes, in a third. Every day, for ever, do those and other regular features occur in certain of the papers: which is partly why no American ever seems to confine himself, as is our custom, to only one. "
"某些美国报纸的另一个令人钦佩的特点是作家专栏，这位作家每天负责用自己或其他社外撰稿人的智慧之花或者结合两人的才智填满这个专栏：这样的专栏如唐·马奎斯开设在《太阳报》的“日晷”专栏，富兰克林·P.亚当斯在《论坛报》开设的“指挥塔”专栏以及克里斯托弗·莫利为纽约《晚邮报》开设的“保龄球场”专栏。也许伦敦《早报》上没有署名的“世界之路”专栏与之最为相似。","Another and admirable feature of certain American papers is a column edited by a man of letters, whose business it is to fill it every day, either with the blossoms of his own intelligence or of outside contributors, or a little of each: such a column as Don Marquis64 edits for The Sun, called “The Sundial,” and Franklin P. Adams65 for The Tribune, called “The Conning Tower,” and Christopher Morley66 for the New York Evening Post, called “The Bowling Green.” Perhaps the unsigned “Way of the World” in our Morning Post is the nearest London correlative. "
"这些专栏很出色、很包容，它们赋予报纸一种优雅和想象力的元素，并不一味只关注预算。像我这样的记者自然很高兴看到编辑们和这么多公众对他们的作家朋友如此拥护。英国编辑很少让读者有机会同他们维持如此稳定的个人关系。因此，在英国很少有报纸每天都刊登同一作家署名的文章—这在美国读者看来很可能是不可思议的。每日漫画在我们国家很常见；但是在伦敦，我想不到哪份报纸上有署全名的类似文学作品。《晚间新闻》上经常刊登C.E.B.的诗歌和“伦敦人”的每日短文，其他报纸上还有各种首字母署名。在我们国家，只允许艺术家署全名。如今在美国，每个人的名字在每个地方都是可以宣扬的。","These columns are managed with skill and catholicity, and they impart an element of graciousness and fancy into what might otherwise be too materialistic a budget. A journalist, like myself, is naturally delighted to find editors and a vast public so true to their writing friends. Very few English editors allow their subscribers the opportunity of establishing such steady personal relations; and in England, in consequence, the signed daily contribution from one literary hand is very rare—to an American observer probably mysteriously so. The daily cartoon is common with us; but in London, for example, I cannot think of any similar literary feature that is signed in full. We have C. E. B. ’s regular verse in the Evening News and “The Londoner’s” daily essay in the same paper, and various initials elsewhere; but, with us, only the artists are allowed their names. Now, in America every name, everywhere, is blazoned forth. "
"不论美国用美式蒲式耳想做什么，隐姓埋名可不在他们的计划之内。","Whatever bushel measures67 may be used for in the United States the concealing of light is no part of their programme. "
"另一个相对不为英国人所了解的美国日报的特点是所谓的连环画。所有的大报都有一到六组连环画，每一组都出自不同的艺术家之手。我想巴德·费希尔的“马特与杰夫”是最早开始流行起来的，后来才出现了他的对手和模仿者。没有什么比某些连环画更愚蠢的创作了。但是它们继续存在着，据说任何优先考虑销量的编辑都不会把它们去掉。","Another feature of American daily journals comparatively unknown in England is the so-called comic pictorial sequence. All the big papers have from one to half a dozen of these sequences, each by a different artist. Bud Fisher68 with “Mutt and Jeff” comes first in popularity, I believe, and then there are his rivals and his imitators. Nothing more inane than some of these series could be invented; and yet they persist and could not, I am told, be dropped by any editor who thought first of circulation. "
"如果不考虑个人供稿，所有的报纸都离奇地相似。每份报纸上都有同样的记者，同样的助理编辑，同样的标题风格。如果你认为美国人有一种过于愤世嫉俗的轻浮，那主要是因为这些极尽讽刺的标题总是那么轻松、轻率，又那么残酷。我在纽约看到一份报纸用这样的标题展开一个不幸的女子在杀死丈夫后自杀未遂的报道：","After the individual contributions have been subtracted, all the newspapers are curiously alike. The same reporters might be on every one; the same sub-editors; the same composers of head-lines. If we think of Americans as too capable of cynical levity it is largely because of these head-lines, which are always as epigrammatic as possible, always light-hearted, often facetious, and often cruel. An unfortunate woman’s failure at suicide after killing her husband was thus touched off in one of the journals while I was in New York: "
"枪法拙劣自杀失手","POOR SHOT AT HERSELF "
"但射杀丈夫却得手","BUT SUCCEEDS IN LODGING BULLET IN SPOUSE. "
"说到新闻的选择，人们无法相信美国的编辑是其人民的挚友。我并不是在为众多的英国编辑辩护。我想我们的报纸也很普通，而且太惯于用错误的方法处理事情了；但是我认为，目前美国记者比英国记者对生活庸俗化的影响更大。但是很多现象正表明我们也逐渐赶上来了。丰富是美国报纸的一个特点。一切都太丰富了。当星期天到来时，随之而来的阅读资料多得让人害怕，与休息日十分“相称”。有一点是确定的—没有哪个美国人能有时间鉴赏周日报纸和上帝。大体上人们会在周日明白，如果你同意马修·阿诺德所说的每个国家都有与其相匹配的报纸数量，那么美国人一定很不守规矩。我在美国旅游期间，很惊讶为什么到处都在讨论缺纸的问题而周日报纸却总是能如期而至。但是我肯定缺纸是真的，关于这个问题的笑话甚至进入了音乐大厅：一个很确定的证据。“如果缺纸问题继续恶化，”我听到一个喜剧演员唱道，“他们就只能重新用皮子做鞋了。”","When it comes to the choice of news, one cannot believe that American editors are the best friends of their country. I am holding no brief for many English editors; I think that our papers can be common too, and can be too ready to take things by the wrong handle; but I think that more vulgarising of life is, at present, effected by American journalists than by English. There are, however, many signs that we may catch up. Profusion is a characteristic of the American newspaper. There is too much of everything. And when Sunday comes with its masses of reading matter proper to the Day of Rest one is appalled. One thing is certain—no American can find time to do justice both to his Sunday paper and his Maker. It is principally on Sunday that one realises that if Matthew Arnold69’s saying that every nation has the newspapers it deserves is true, America must have been very naughty. How the Sunday editions could be brought out while the paper-shortage was being discussed everywhere, as it was during my visit, was a problem that staggered me. But that the shortage was real I was assured, and jokes upon it even got into the music halls: a sure indication of its existence. “If the scarcity of paper gets more acute,” I heard a comedian say, “they’ll soon have to make shoes of leather again.” "
"但是泛滥的不止是周日报纸。我曾经手里拿着一份《周六晚报》，沉甸甸的直往下坠,我惊叹这个民族读完这样一份报纸后竟然还有时间做别的事情。这份报纸是最优秀的报纸之一，不过多年前创办报纸的那位严谨、睿智、勤奋的哲人—本杰明·富兰克林看到数以百万的读者因读报而耽误了人生的正事该作何感想呢？","But it is not only the Sunday papers that are so immense. I used to hold the Saturday Evening Post in my hands, weighed down beneath its bulk, and marvel that the nation that had time to read it could have time for anything else. The matter is of the best, but what would the prudent, wise and hard-working philosopher who founded it so many years ago—Benjamin Franklin—say if he saw its lure deflecting millions of readers from the real business of life?"
"说到美国杂志—《周六晚邮报》可以算作这类—和英国杂志，我觉得二者没有可比性。最好的美国杂志质量和题材范围都极好，我们没有能与之相比的。让人惊异的是同一个国家日报和月刊差别竟然如此之大。不算月评在内，我觉得《布莱克伍德》是英国最好的月刊，而美国一本杂志就能轻松自然地消化《布莱克伍德》的所有文章并在对其进行图解说明后还能有很多剩余空间。价钱还更便宜！英国月刊为什么数量少、质量低让人难以理解。一部分是因为有报纸的竞争，一部分是因为我们人口少。但是我一直都认为我们应该发行更多好的杂志。"," When we come to consider the American magazines—to which class the Saturday Evening Post almost belongs—and the English, there is no comparison. The best American magazines are wonderful in their quality and range, and we have nothing to set beside them. It is astonishing to think how different, in the same country, daily and monthly journalism can be. Omitting the monthly reviews, Blackwood is, I take it, our fi nest monthly miscellany; and all of Blackwood could easily and naturally be absorbed in one of the American magazines and be illustrated into the bargain, and still leave room for much more. And the whole would cost less! Why England is so poorly and pettily served in the matter of monthly magazines is something of a mystery; but part of the cause is the rivalry of the papers, and part the smallness of our population. But I shall always hold that we deserve more good magazines than we have now. "
"艺术宝藏","Treasures Of Art "
"我很幸运当大都会博物馆举行五十周年庆典的时候我在纽约，因为我可以同时欣赏到本馆收藏的艺术品和专为庆典从外面借来的艺术品，这样我才得以看到H.E.亨廷顿夫人和马昆德收藏的弗美尔的杰作；还有平常就能看到的伦勃朗的作品，马奈的《静物》，高庚的《河边的女人》，埃尔·格列柯的《托雷多风景》，哈利·戈德曼墙上佛兰斯·哈尔斯所画的快乐的大个子荷兰人，贝利尼的《酒神节》，更不用说还有在18和19展厅分别展出的，摩根先生收藏的来自庞贝的爱神铜像，和从二十多套收藏中挑选出来的各式瓷器。如果没有其他有趣的地方，我一定会一次又一次地被吸引到这座宏伟的博物馆来。","I was fortunate in being in New York when the Metropolitan Museum celebrated the fi ftieth anniversary of its birth, for I was therefore able to enjoy not only its normal treasures but such others as had been borrowed for birthday presents, which means that I saw Mrs. H. E. Huntington’s Vermeer, as well as the supreme Marquand70 example of that master; more than the regular wealth of Rembrandts, Manet’s “Still Life,” Gauguin’s71 “Women by the River,” El Greco’s “View of Toledo,” Franz Hals’72 big jovial Dutchman from Mr. Harry Goldman’s walls, and Bellini’s73 “Bacchanale”—to say nothing of the lace in galleries 18 and 19, Mr. Morgan’s74 bronze Eros from Pompeii, and the various cases of porcelain from a score of collections. But without extra allurements I should have been drawn again and again to this magnificent museum. "
"大都会的两名主要捐赠人—奥尔特曼和赫恩是干货店老板，而马昆德也是一个商人，他所藏的小弗美尔可以说是美国最可爱的艺术品。今后我觉得大型百货商店值得光顾，说不准店主就是艺术品慈善收藏家。有了这样的想法和希望，我很可能更愿意去光顾牛津街的某家商店而不去听卡利斯提尼斯雄辩、独特的演讲。","Two of the principal metropolitan donors—Altman75 and Hearn— were the owners of big dry goods stores, while Marquand, whose little Vermeer is probably the loveliest thing in America, was also a merchant. In future I shall look upon all the great emporium proprietors as worthy of patronage, on the chance of their being also beneficent collectors of works of art. This thought, this hope, is more likely to get me into a certain Oxford Street establishment than all the rhetoric and special pleading of Callisthenes76. "
"进不去弗里克画廊，但我有机会在摩根和H.E.亨廷顿先生的图书馆里随意游览。在这两个图书馆里我都看到了大量独一无二的、不曾见过的名家亲笔签名，没想到它们落入民间收藏家之手。稀有书籍只要有钱就可以买到手，因为大多都是复制品。但是签名和“联盟”书籍是独一无二的，而美国就是它们的归处。我以前就知道要穿过大西洋才能看到许多名画真品，我们伦敦只有照片。我知道兰姆大量的信件在美国，在摩根图书馆里我看到作者的散文《谈谈烧猪》的初稿，而在费城牛顿先生的博物馆里看到了更让人觊觎的《梦中的孩子们》的手稿。我知道美国更迫切地想收藏一切跟济慈、雪莱和斯蒂文森有关的物品。但是让我惊讶的是摩根图书馆里竟然有如此广泛的手稿，从弥尔顿到杜莫里埃，从培根到《道林·格雷》；在亨廷顿图书馆我把海涅当年写下《佛罗伦萨的夜晚》的大页书写纸拿在手里摩挲。","The Frick Gallery was not accessible; but I was privileged to roam at will both in Mr. Morgan’s library and in Mr. H. E. Huntington77’s, in each of which I saw such a profusion of unique and unappraisable autographs as I had not supposed existed in private hands. Rare books any one with money can have, for they are mostly in duplicate; but autographs and “association” books are unique, and America is the place for them. I had known that it was necessary to cross the Atlantic in order to see the originals of many of the pictures of which we in London have only the photographs. I knew that the bulk of the Lamb correspondence was in America, and at Mr. Morgan’s I saw the author’s draft of the essay on “Roast Pig,” and at Mr. Newton’s, in Philadelphia, the original of “Dream Children,” an even more desirable possession; I knew that America had provided an eager home for everything connected with Keats and Shelley and Stevenson; but it was a surprise to find at Mr. Morgan’s so wide a range of MSS., extending from Milton78 to Du Maurier79, and from Bacon80 to “Dorian Gray”81; while at Mr. Huntington’s I had in my hands the actual foolscap sheets on which Heine82 composed his “Florentine Nights.” "
"你会说我应该早就知道这些事情。也许吧！但是并不是我一个人不知道，很多跟我交谈过的美国收藏家也不知道哈佛大学图书馆里收藏有托马斯·卡莱尔当初撰写《克伦威尔》和《腓特烈大帝》所用的全部参考文献（大多加以注释）。出于对美国人（“尤其是他们中更沉默的那些人”）的尊敬，托马斯死后将它们赠给了哈佛大学。","I ought, you say, to have known this before. Maybe. But that ignorance in such matters is no monopoly of mine I can prove by remarking that many an American collector with whom I have talked was unaware that the library of Harvard University is the possessor of all the works of reference—mostly annotated—which were used by Thomas Carlyle83 in writing his “Cromwell” and his “Frederick the Great,” and they were bequeathed by him in his will to Harvard University because of his esteem and regard for the American people, “particularly the more silent part of them.” "
"去了这些图书馆，加上在哈佛大学怀德纳图书馆的匆匆一瞥，又看了某些书商的书架后，让我看到了美国收藏家在将新世界变为旧世界宝藏的过程中所做出的贡献，我意识到，将来，一切艺术评论家，不论他们研究的是什么领域，一切文学家，也不论他们研究的是什么领域，甚至古代文物学的学生，如果打算进行严谨透彻的研究，来美国访问学习的必要性会越来越大。我以前曾作过这样的猜测，但直到现在我才真正明白。","My hours in these libraries, together with a glimpse of the Widener room at Harvard and certain booksellers’ shelves, gave me some idea of what American collectors have done towards making the New World a treasury of the Old, and I realised how more and more necessary it will be, in the future, for all critics of art in whatever branch, and of literature in whatever branch, and all students even of antiquity, if they intend to be thorough, to visit America. This I had guessed at, but never before had known. "
"英国游客看到这么多原本属于英国的财富被收藏在美国图书馆，尤其是当他觉得无法分享这种民族自豪感时，就会禁不住停下来思考这种情况是怎么发生的—以及正在发生着的—这些本应该在自己国家的许多财富会流失到了别处。","The English traveller lighting upon so many of the essentially English riches as are conserved in American libraries, and particularly when he has not a meagre share of national pride, cannot but pause to wonder how it came about—and comes about—that so much that ought to be in its own country has been permitted to stray. "
"英国的收藏家和鉴赏家绝对不少。那么他们怎么会让济慈、雪莱、彭斯、拜伦、兰姆和约翰逊的信件—此刻我只能列举这些—在美国安了家？我知道美元非常强大，但是它强大到这种程度了吗？甚至能胜过浓厚的爱国主义热情？","In England collectors and connoisseurs are by no means rare. What, then, were they doing to let all these letters of Keats and Shelley, Burns and Byron84, Lamb and Johnson85—to name for the moment nothing else—find their resting-place in America? The dollar is very powerful, I know, but should it have been as pre-eminently powerful as this? Need it have defeated so much patriotism? "
"绘画可以归入另一个类别，因为每位艺术家不止创作一幅绘画。我在美国公共的和私人的画廊里看到新老国外大师的收藏品后对它们的新主人并没有产生怨恨情绪。只要这些大师的作品够多，每个国家都应该收藏一些。但是对于手稿就应该另当别论。摹真本，比如兰姆书信的波士顿文献协会版本，就可以供全世界其他地方的人们欣赏，但是原版应该保存在作者的家乡。但这只是一个理想却不切实际的劝告。我们只能挤出一丝笑容忍了，并为这笔独特的财产被人满怀自豪和关爱地珍藏着感到高兴。英国人想通过购买美国伟大作家的手稿，比如，富兰克林和爱伦·坡、霍桑和爱默生、梭罗和洛威尔、霍姆斯和惠特曼","Pictures come into a different category, for every artist painted more than one picture. I have experienced no shade of resentment towards their new owners in looking at the superb collections of old and new foreign masters in the American public and private galleries; for so long as there are enough examples of the masters to go round, every nation should have a share. With MSS. , however, it is different. Facsimiles, such as the Boston Bibliographical Society’s edition of Lamb’s letters, would serve for the rest of the world, and the originals should be in their author’s native land. But that is a counsel of perfection. The only thing to do is to grin and bear it, and feel happy that these unique possessions are preserved with such loving pride and care. Any idea of retaliation on America on the part of England by buying up the MSS. "
"来报复美国的想法也是徒劳的，因为我发现摩根先生也拥有这些。在他的图书馆里，我把全套的《早餐桌上》和爱伦·坡的一部没有出版的戏剧捧在手里欣赏。","of the great American writers, such as Franklin86 and Poe87, Hawthorne88 and Emerson89, Thoreau90 and Lowell91, Holmes92 and Whitman93, was rendered futile by the discovery that Mr. Morgan possesses these too. I had in his library all the Breakfast Table94 series in my hands, together with a play by Poe not yet published. "
"弗农山","Mount Vernon "
"说到对这些珍宝的悉心关切，我们得到一个启示，那就是新世界成功的保管经验值得旧世界学习。英国没有一个国家圣地，能像弗农山的华盛顿庄园那样成为一个国家的完美典范。也许这是因为我们缺少像华盛顿这样的典范人物。如果你要寻找类似的地方，那就去枫丹白露。我们国家也有一些圣地，但是没有一处像这里将虔诚表现得如此透彻。当我想到弗农山被保护、重建得如此完整时，心里充满了崇敬之情。上千件私人文物能重新回到这里，主要是依托个人的虔诚行为，因此，除了观光客，这座宁静、简朴的弗吉尼亚宅院几乎跟当年一模一样。这个圣地对于一个急于想表达自豪、恭敬的年轻民族来说意义非凡。","Mention of the beautiful solicitude with which these treasures are surrounded, suggests the reflection that the old country has something to learn from the new in the matter of distinguished custodianship. We have no place of national pilgrimage in England that is so perfect a model as Washington’s home at Mount Vernon. It is perhaps through lack of a figure of the Washington type that we have nothing to compare with it; for any parallel one must rather go to Fontainebleau; but certain shrines are ours and none of them discloses quite such pious thoroughness as this. When I think of the completeness of the preservation and reconstruction of Mount Vernon, where, largely through the piety of individuals, a thousand personal relics have been reassembled, so that, save for the sightseers, this serene and simple Virginian mansion is almost exactly as it was, I am filled with admiration. For a young people largely in a hurry to find time to be so proud and so reverent is a significant thing. "
"这种虔敬的精神并不只局限于国家纪念馆。马萨诸塞州的朗费罗“路边客栈”，尽管仍然只是一家客栈，但并不比格拉斯米尔的“鸽舍”和切尔西的“卡莱尔故居”逊色，甚至可以说保护得更加细心。但是再回来说弗农山，井然有序也并非是它最不引人注意的特点。比如，它不像斯特拉特福，贸易和情感交织在一起。在这片土地上，一切都是宁静的。我从没在教堂里见过美国人（我得赶紧补充：不是因为他们不去，而是因为我自己没去），但是我可以肯定即使在教堂，他们也不会因为氛围神圣而表现得更加虔诚。看着弗农山上的人群，想着在华盛顿已经建成的独立、宏大、辉煌的林肯纪念堂，我意识到，美国尽管表面看来轻浮、玩世不恭，做起事来也能极其严肃。","Nor is this spirit of pious reverence confined to national memorials. Longfellow’s Wayside Inn in Massachusetts, although still only a hostelry, compares not unfavourably with Dove Cottage95 at Grasmere and Carlyle’s house in Chelsea. The preservation is more minute. But to return to Mount Vernon, the orderliness of the place is not its least noticeable feature. There is no mingling of trade with sentiment, as at Stratford-on-Avon96, for example. Within the borders of the estate everything is quiet. I have never seen Americans in church (not, I hasten to add, because they abstain, but because I did), but I am sure that they could not, even there, behave more as if the environment were sacred. To watch the crowds at Mount Vernon, and to contemplate the massive isolated grandeur of the Lincoln Memorial now being finished at Washington, is to realise that America, for all its superficial frivolity and cynicism, is capable of a very deep seriousness. "
"自由体诗","Vers Libre "
"在美国如果你回避自由体诗就会显得十分迂腐。","It would have been pedantic, while in America, to have abstained from an effort at vers libre. "
"反抗","REVOLT "
"我去大都会博物馆看了许多美丽的收藏，感到非常高兴。","I had been to the Metropolitan Museum looking at beautiful things and rejoicing in them. "
"接着我搭乘火车到这个国家更远的地方去，去保罗·史密斯博物馆。","And then I had to catch a train and go far into the country, to Paul Smith’s. "
